timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668683189830,0.82,0.181818,0.156584,0.0798122,0.0211082,0.163194,0.134434,0.00817439,0.733333,0.131148,0.0271967,0.872263,0.0365297,0.030445,0,0,0,0,
1668683189930,0.8,0.181818,0.156584,0.0821596,0.0211082,0.163194,0.132075,0.00681199,0.733333,0.129326,0.0271967,0.872263,0.0380518,0.028103,0,0,0,0,
1668683190030,0.8,0.178683,0.153025,0.0798122,0.0211082,0.161458,0.132075,0.00681199,0.733333,0.129326,0.0251046,0.872263,0.0365297,0.028103,0,0,0,0,
1668683190130,0.8,0.181818,0.153025,0.0798122,0.0211082,0.161458,0.132075,0.00817439,0.733333,0.131148,0.0271967,0.872263,0.0380518,0.030445,0,0,0,0,
1668683190231,0.8,0.181818,0.156584,0.0821596,0.0211082,0.163194,0.134434,0.00817439,0.74,0.131148,0.0271967,0.872263,0.0365297,0.028103,0,0,0,0,
1668683190331,0.8,0.181818,0.153025,0.0798122,0.0211082,0.161458,0.134434,0.00817439,0.733333,0.129326,0.0271967,0.872263,0.0380518,0.028103,0,0,0,0,
1668683190431,0.82,0.178683,0.153025,0.0798122,0.0211082,0.161458,0.132075,0.00817439,0.733333,0.131148,0.0271967,0.868613,0.0365297,0.028103,0,0,0,0,
1668683190531,0.84,0.178683,0.202847,0.084507,0.0224274,0.161458,0.134434,0.00681199,0.74,0.132969,0.0251046,0.861314,0.0365297,0.028103,0,0,0,0,
1668683190632,0.88,0.144201,0.572954,0.0680751,0.0356201,0.159722,0.0990566,0,0.546667,0.12204,0.0313808,0.80292,0.021309,0.00702576,0,0,0,0,
1668683190732,0.66,0.0564263,0.75089,0.0680751,0.0369393,0.239583,0.0966981,0.00816326,0.333333,0.105647,0.0083682,0.678832,0.0197869,0.0491803,0,0,0,0,
1668683190832,0.64,0.0125392,0.807829,0.07277,0.060686,0.373264,0.240566,0.0693878,0.393333,0.189435,0.0230126,0.60219,0.0456621,0.199063,0,0,0,0,
1668683190932,0.9,0.0470219,0.900356,0.028169,0.120053,0.265625,0.0495283,0.137415,0.346667,0.145719,0.0523013,0.437956,0,0.269321,0,0,0,0,
1668683191033,1,0.0564263,1,0.0211268,0.0870712,0.505208,0.0801887,0.112925,0.746667,0.251366,0.0313808,0.50365,0,0.215457,0,0,0,0,
1668683191133,1,0.0564263,1,0.0187793,0.0897098,0.574653,0.0731132,0.0911565,0.886667,0.238616,0.0230126,0.583942,0.0105422,0.189696,0,0,0,0,
1668683191233,0.967213,0.0438871,0.990769,0.0117371,0.124011,0.732639,0.0707547,0.0829932,0.84,0.222222,0.0104603,0.919708,0.0210843,0.264637,0,0,0,0,
1668683191333,0.868852,0,0.923077,0.0258216,0.197889,0.715278,0.0636792,0.127891,0.726667,0.180328,0.039749,0.864964,0.0286145,0.313817,0,0,0,0,
1668683191433,0.934426,0.00906344,0.843077,0.0446009,0.259894,0.802083,0.0636792,0.165986,0.726667,0.178506,0.0585774,0.868613,0.0301205,0.325527,0,0,0,0,
1668683191534,0.983607,0.111782,0.763077,0.07277,0.282322,0.909722,0.0849057,0.190476,0.733333,0.182149,0.0878661,0.817518,0.0271084,0.325527,0,0,0,0,
1668683191634,0.983871,0.280967,0.710769,0.115023,0.295515,0.963542,0.106132,0.22449,0.693333,0.174863,0.165272,0.664234,0.0271084,0.327869,0,0,0,0,
1668683191734,0.967742,0.323263,0.664615,0.110329,0.292876,0.993056,0.120283,0.246258,0.68,0.173042,0.207113,0.620438,0.0256024,0.337237,0,0,0,0,
1668683191834,0.967742,0.350453,0.64,0.084507,0.28628,1,0.127358,0.269388,0.686667,0.185792,0.219665,0.605839,0.0346386,0.346604,0,0,0,0,
1668683191935,1,0.36858,0.64,0.0680751,0.282322,0.998305,0.122642,0.291156,0.66,0.182149,0.240586,0.583942,0.0391566,0.360656,0,0,0,0,
1668683192035,1,0.374622,0.646154,0.0633803,0.279683,0.99661,0.117925,0.302041,0.64,0.173042,0.25523,0.572993,0.0331325,0.381733,0,0,0,0,
1668683192135,1,0.383686,0.658462,0.056338,0.275726,0.981356,0.122642,0.314286,0.633333,0.178506,0.261506,0.572993,0.0301205,0.391101,0,0,0,0,
1668683192235,0.984127,0.386707,0.649231,0.0516432,0.274406,0.977966,0.125,0.319728,0.64,0.185792,0.257322,0.576642,0.0301205,0.388759,0,0,0,0,
1668683192335,1,0.380665,0.655385,0.0469484,0.274406,0.976271,0.113208,0.321088,0.64,0.183971,0.253138,0.59854,0.0361446,0.393443,0,0,0,0,
1668683192436,1,0.389728,0.661538,0.0516432,0.277045,0.983051,0.108491,0.322449,0.626667,0.178506,0.25523,0.591241,0.0346386,0.398126,0,0,0,0,
1668683192536,0.984375,0.39577,0.633846,0.0492958,0.278364,0.991525,0.103774,0.32517,0.653333,0.180328,0.246862,0.667883,0.0361446,0.405152,0,0,0,0,
1668683192636,1,0.404834,0.627692,0.0492958,0.274406,1,0.0990566,0.327891,0.653333,0.180328,0.24477,0.675182,0.0346386,0.407494,0,0,0,0,
1668683192736,1,0.398792,0.603077,0.0492958,0.279683,1,0.0943396,0.331973,0.673333,0.183971,0.240586,0.810219,0.0316265,0.421546,0,0,0,0,
1668683192837,1,0.407855,0.575385,0.0516432,0.281003,1,0.0943396,0.333333,0.72,0.202186,0.236402,1,0.0286145,0.435597,0,0,0,0,
1668683192937,0.984615,0.401813,0.563077,0.0586854,0.281003,1,0.0966981,0.330612,0.733333,0.20765,0.236402,1,0.0240964,0.430913,0,0,0,0,
1668683193037,0.984848,0.398792,0.566154,0.0610329,0.279683,0.996705,0.0943396,0.326531,0.753333,0.209472,0.236402,1,0.0225904,0.421546,0,0,0,0,
1668683193137,0.984848,0.401813,0.566154,0.0610329,0.282322,0.996705,0.0943396,0.322449,0.76,0.213115,0.236402,1,0.0210843,0.409836,0,0,0,0,
1668683193237,0.939394,0.39577,0.556923,0.0657277,0.283641,0.99341,0.0966981,0.312925,0.753333,0.213115,0.230126,0.991379,0.0195783,0.391101,0,0,0,0,
1668683193338,0.909091,0.392749,0.556923,0.0704225,0.28496,0.985173,0.0943396,0.29932,0.726667,0.204007,0.223849,0.942529,0.0150602,0.379391,0,0,0,0,
1668683193438,0.818182,0.377643,0.563077,0.0868545,0.28628,0.971993,0.0919811,0.291156,0.753333,0.182149,0.228033,0.939655,0,0.377049,0,0,0,0,
1668683193538,0.787879,0.377643,0.596923,0.110329,0.279683,0.930807,0.0872642,0.27483,0.733333,0.136612,0.228033,0.885057,0,0.372365,0,0,0,0,
1668683193638,0.80303,0.383686,0.615385,0.103286,0.277045,0.891269,0.0801887,0.269388,0.68,0.0910747,0.236402,0.850575,0.00297177,0.358314,0,0,0,0,
