timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668683013769,0.377049,0.0599613,0.498747,0.0730159,0.00277393,0.216981,0.0623557,0.0208062,0.856115,0.0868597,0.0332031,0.87037,0.0452261,0.0531915,0,0,0,0,
1668683013869,0.377049,0.0599613,0.501253,0.0730159,0.00277393,0.218868,0.0646651,0.0208062,0.856115,0.0868597,0.0351562,0.87037,0.0452261,0.0531915,0,0,0,0,
1668683013969,0.377049,0.0599613,0.498747,0.0730159,0.00277393,0.218868,0.0646651,0.0208062,0.848921,0.0868597,0.0351562,0.87037,0.0452261,0.0558511,0,0,0,0,
1668683014070,0.377049,0.0599613,0.498747,0.0698413,0.00277393,0.218868,0.0646651,0.0195059,0.848921,0.0868597,0.0351562,0.87037,0.0452261,0.0558511,0,0,0,0,
1668683014170,0.377049,0.0599613,0.501253,0.0761905,0.00277393,0.218868,0.0646651,0.0208062,0.848921,0.0890869,0.0351562,0.87037,0.0469012,0.0558511,0,0,0,0,
1668683014270,0.377049,0.0599613,0.501253,0.0761905,0.00277393,0.218868,0.0646651,0.0208062,0.848921,0.0868597,0.0351562,0.87037,0.0452261,0.0558511,0,0,0,0,
1668683014370,0.368852,0.0580271,0.498747,0.0698413,0.00277393,0.218868,0.0646651,0.0208062,0.848921,0.0868597,0.0351562,0.87037,0.0452261,0.0531915,0,0,0,0,
1668683014471,0.377049,0.0580271,0.508772,0.0761905,0.00277393,0.211321,0.0600462,0.0182055,0.834532,0.0890869,0.0371094,0.862963,0.0435511,0.0531915,0,0,0,0,
1668683014571,0.385246,0.0522244,0.551378,0.0698413,0.00554785,0.183019,0.0369515,0.0156047,0.776978,0.0824053,0.046875,0.851852,0.0368509,0.0452128,0,0,0,0,
1668683014671,0.352459,0.0444874,0.568922,0.0444444,0.0110957,0.14717,0.0207852,0.0195059,0.532374,0.0801782,0.0625,0.655556,0.0117253,0.0398936,0,0,0,0,
1668683014772,0.286885,0.032882,0.586466,0.0507937,0.0124827,0.118868,0.0161663,0.0286086,0.294964,0.0512249,0.0546875,0.562963,0.00335008,0.0611702,0,0,0,0,
1668683014872,0.278689,0.0348162,0.593985,0.0539683,0.0166436,0.113208,0.0207852,0.0312094,0.23741,0.0467706,0.0507812,0.559259,0.00502513,0.0664894,0,0,0,0,
