timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668683444122,0.673077,0.165017,0.422111,0.0526316,0.0289855,0.16221,0.205714,0.014885,0.753731,0.180198,0.0589431,0.690678,0.0300501,0.0375,0,0,0,0,
1668683444222,0.673077,0.165017,0.422111,0.0526316,0.0289855,0.16221,0.202857,0.014885,0.753731,0.178218,0.0569106,0.690678,0.0300501,0.0375,0,0,0,0,
1668683444322,0.673077,0.165017,0.422111,0.0526316,0.0289855,0.16221,0.202857,0.0135318,0.746269,0.178218,0.0589431,0.690678,0.0300501,0.0375,0,0,0,0,
1668683444422,0.692308,0.165017,0.422111,0.0526316,0.027668,0.160428,0.202857,0.0135318,0.753731,0.178218,0.0589431,0.686441,0.0300501,0.035,0,0,0,0,
1668683444523,0.673077,0.165017,0.422111,0.0526316,0.0289855,0.16221,0.2,0.0135318,0.753731,0.178218,0.0569106,0.686441,0.0283806,0.035,0,0,0,0,
1668683444623,0.692308,0.165017,0.422111,0.0526316,0.0289855,0.16221,0.202857,0.0135318,0.753731,0.176238,0.0569106,0.686441,0.0283806,0.035,0,0,0,0,
1668683444723,0.673077,0.165017,0.427136,0.0552632,0.027668,0.160428,0.202857,0.0135318,0.746269,0.178218,0.0569106,0.690678,0.0283806,0.0375,0,0,0,0,
1668683444824,0.692308,0.161716,0.462312,0.0552632,0.027668,0.15508,0.2,0.0135318,0.753731,0.176238,0.0589431,0.699153,0.0283806,0.0325,0,0,0,0,
1668683444924,0.634615,0.122112,0.924623,0.0394737,0.0447958,0.149733,0.142857,0.0202977,0.567164,0.180198,0.0752033,0.550847,0.015025,0.03,0,0,0,0,
1668683445024,0.403846,0.0330033,1,0.0684211,0.0619236,0.208556,0.162857,0.0635995,0.298507,0.170297,0.0630081,0.372881,0.0100167,0.12,0,0,0,0,
1668683445124,0.288462,0.0231023,1,0.123684,0.100132,0.2959,0.382857,0.158322,0.298507,0.207921,0.130081,0.38983,0.0283806,0.3375,0,0,0,0,
1668683445224,0.403846,0.019802,1,0.184211,0.146245,0.333333,0.497143,0.250338,0.343284,0.279208,0.296748,0.40678,0.066778,0.52,0,0,0,0,
1668683445325,0.576923,0,1,0.168421,0.179183,0.358289,0.311429,0.26387,0.283582,0.239604,0.304878,0.394068,0.0767947,0.56,0,0,0,0,
1668683445425,0.634615,0,1,0.0552632,0.181818,0.333333,0.122857,0.220568,0.253731,0.190099,0.184959,0.313559,0.0534224,0.525,0,0,0,0,
1668683445525,0.615385,0,1,0.0236842,0.177866,0.372549,0.0971429,0.181326,0.268657,0.192079,0.123984,0.347458,0.0383973,0.52,0,0,0,0,
