timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668683561572,0.787234,0.123989,0.477816,0.0604651,0.0143229,0.199367,0.146667,0.0173333,0.735484,0.0781563,0.0742972,0.83682,0.0671031,0.0331754,0,0,0,0,
1668683561673,0.808511,0.123989,0.477816,0.0604651,0.0143229,0.199367,0.146667,0.0173333,0.735484,0.0781563,0.0763052,0.83682,0.0687398,0.0308057,0,0,0,0,
1668683561774,0.787234,0.123989,0.477816,0.0627907,0.0143229,0.200949,0.146667,0.0173333,0.735484,0.0761523,0.0763052,0.832636,0.0687398,0.0331754,0,0,0,0,
1668683561874,0.808511,0.121294,0.477816,0.0604651,0.0143229,0.199367,0.146667,0.0186667,0.735484,0.0781563,0.0783133,0.83682,0.0687398,0.0331754,0,0,0,0,
1668683561974,0.787234,0.121294,0.484642,0.0627907,0.0143229,0.193038,0.146667,0.0186667,0.729032,0.0801603,0.0783133,0.845188,0.0671031,0.0308057,0,0,0,0,
1668683562074,0.851064,0.12938,0.631399,0.0511628,0.0260417,0.19462,0.138667,0.02,0.703226,0.104208,0.0742972,0.8159,0.0556465,0.0165877,0,0,0,0,
1668683562174,0.978723,0.097035,0.709898,0.0465116,0.0377604,0.204114,0.0613333,0.016,0.387097,0.0501002,0.0722892,0.548117,0.0425532,0.0118483,0,0,0,0,
1668683562275,1,0.0835579,1,0.0372093,0.0403646,0.153481,0.0373333,0.0226667,0.36129,0.0240481,0.0742972,0.514644,0.0425532,0.0165877,0,0,0,0,
1668683562375,1,0.105121,1,0.0302326,0.0481771,0.169304,0.0346667,0.036,0.432258,0.0180361,0.0763052,0.41841,0.0376432,0.0118483,0,0,0,0,
1668683562475,1,0.118598,1,0.0255814,0.0494792,0.189873,0.0266667,0.04,0.458065,0.0140281,0.0722892,0.364017,0.0327332,0.007109,0,0,0,0,
1668683562575,0.988764,0.121294,1,0.0209302,0.0520833,0.193038,0.0293333,0.0506667,0.548387,0.0140281,0.0843373,0.447699,0.0376432,0.0165877,0,0,0,0,
1668683562675,0.853933,0.0862534,1,0.0209302,0.0546875,0.234177,0.0346667,0.056,0.6,0.0160321,0.0923695,0.531381,0.0409165,0.028436,0,0,0,0,
1668683562776,0.719101,0.0377358,1,0.0186047,0.0638021,0.226266,0.0293333,0.0706667,0.567742,0.012024,0.100402,0.539749,0.0409165,0.0331754,0,0,0,0,
1668683562876,0.651685,0.00269542,0.9718,0.0255814,0.0989583,0.200949,0.024,0.121333,0.496774,0.0140281,0.106426,0.585774,0.0425532,0.0402844,0,0,0,0,
1668683562976,0.662921,0,0.908894,0.0209302,0.136719,0.251582,0.0346667,0.169333,0.464516,0.0160321,0.114458,0.60251,0.0392799,0.0450237,0,0,0,0,
1668683563076,0.719101,0.091623,0.800434,0.0139535,0.177083,0.261076,0.048,0.232,0.464516,0.0140281,0.138554,0.598326,0.0376432,0.0616114,0,0,0,0,
1668683563177,0.752809,0.26178,0.687636,0.00465116,0.209635,0.330696,0.08,0.294667,0.348387,0.00400802,0.184739,0.535565,0.0261866,0.0710901,0,0,0,0,
1668683563277,0.707865,0.340314,0.618221,0,0.222656,0.469937,0.112,0.353333,0.258065,0,0.261044,0.435146,0.01473,0.0876777,0,0,0,0,
1668683563377,0.651685,0.382199,0.574837,0.00231481,0.223958,0.564873,0.138667,0.382667,0.341935,0.0138614,0.293173,0.41841,0.00654664,0.111374,0,0,0,0,
1668683563477,0.651685,0.405759,0.559653,0.00462963,0.223958,0.65981,0.157333,0.389333,0.387097,0.0455446,0.289157,0.426778,0,0.156398,0,0,0,0,
1668683563577,0.640449,0.439791,0.546638,0.00231481,0.222656,0.69462,0.178667,0.381333,0.43871,0.10297,0.273092,0.51046,0.00654664,0.220379,0,0,0,0,
1668683563678,0.651685,0.426702,0.542299,0,0.223958,0.731013,0.205333,0.373333,0.477419,0.170297,0.281125,0.58159,0.0245499,0.277251,0,0,0,0,
1668683563778,0.651685,0.434555,0.518438,0.00231481,0.22526,0.757911,0.234667,0.364,0.477419,0.231683,0.297189,0.627615,0.0425532,0.308057,0,0,0,0,
1668683563878,0.685393,0.434555,0.529284,0.00462963,0.220052,0.751582,0.234667,0.353333,0.470968,0.235644,0.299197,0.615063,0.0507365,0.315166,0,0,0,0,
1668683563978,0.685393,0.426702,0.54013,0.00462963,0.217448,0.75,0.229333,0.349333,0.458065,0.239604,0.295181,0.610879,0.0572831,0.317536,0,0,0,0,
1668683564079,0.685393,0.431937,0.559653,0.00231481,0.216146,0.742089,0.232,0.350667,0.451613,0.239604,0.295181,0.619247,0.0572831,0.317536,0,0,0,0,
1668683564179,0.674157,0.439791,0.553145,0.00462963,0.21875,0.75,0.232,0.349333,0.470968,0.243564,0.291165,0.631799,0.0621931,0.319905,0,0,0,0,
1668683564280,0.674157,0.442408,0.548807,0.00231481,0.21875,0.759494,0.237333,0.345333,0.483871,0.245545,0.297189,0.640167,0.0638298,0.324645,0,0,0,0,
1668683564380,0.674157,0.442408,0.550976,0.00462963,0.216146,0.757911,0.24,0.344,0.490323,0.251485,0.297189,0.656904,0.0671031,0.329384,0,0,0,0,
1668683564480,0.674157,0.434555,0.563991,0.00462963,0.214844,0.75,0.229333,0.341333,0.477419,0.243564,0.297189,0.661088,0.0654664,0.327014,0,0,0,0,
1668683564580,0.685393,0.434555,0.572668,0.00462963,0.214844,0.743671,0.226667,0.342667,0.464516,0.235644,0.307229,0.67364,0.0572831,0.327014,0,0,0,0,
1668683564680,0.685393,0.431937,0.574837,0.00462963,0.216146,0.737342,0.221333,0.34,0.451613,0.225743,0.313253,0.67364,0.0540098,0.322275,0,0,0,0,
1668683564781,0.685393,0.426702,0.572668,0.00462963,0.217448,0.737342,0.218667,0.338667,0.458065,0.225743,0.315261,0.690377,0.0540098,0.317536,0,0,0,0,
1668683564881,0.662921,0.426702,0.563991,0.00462963,0.21875,0.734177,0.218667,0.34,0.451613,0.225743,0.315261,0.669456,0.0523732,0.317536,0,0,0,0,
1668683564981,0.674157,0.41623,0.572668,0.00462963,0.217448,0.731013,0.218667,0.338667,0.445161,0.227723,0.315261,0.665272,0.0540098,0.322275,0,0,0,0,
1668683565081,0.674157,0.387435,0.585683,0.00694444,0.21224,0.713608,0.210667,0.337333,0.419355,0.215842,0.317269,0.615063,0.0523732,0.350711,0,0,0,0,
1668683565182,0.662921,0.350785,0.59436,0.00925926,0.210938,0.672468,0.162667,0.344,0.329032,0.142574,0.34739,0.464435,0.0458265,0.388626,0,0,0,0,
1668683565282,0.651685,0.356021,0.607375,0.00925926,0.216146,0.609177,0.104,0.337333,0.219355,0.0950495,0.37751,0.384937,0.0392799,0.43128,0,0,0,0,
1668683565382,0.629214,0.340314,0.616052,0.0138889,0.213542,0.511076,0.0693333,0.332,0.103226,0.0673267,0.38755,0.213389,0.0392799,0.454976,0,0,0,0,
1668683565482,0.595506,0.222513,0.600868,0.0162037,0.209635,0.401899,0.0586667,0.36,0.0516129,0.0455446,0.403614,0.154812,0.0343699,0.488152,0,0,0,0,
