timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668684032580,0.723404,0.216667,0.228571,0.0410256,0.0300654,0.137417,0.213622,0.0281501,0.859375,0.187793,0.022449,0.575439,0.0315399,0.0446809,0,0,0,0,
1668684032681,0.744681,0.21,0.22381,0.0358974,0.0300654,0.135762,0.213622,0.0268097,0.851562,0.190141,0.022449,0.57193,0.0315399,0.0446809,0,0,0,0,
1668684032781,0.723404,0.213333,0.228571,0.0358974,0.0300654,0.134106,0.210526,0.0268097,0.84375,0.187793,0.0204082,0.57193,0.0315399,0.0468085,0,0,0,0,
1668684032881,0.723404,0.21,0.242857,0.0384615,0.0287582,0.127483,0.210526,0.0268097,0.851562,0.185446,0.022449,0.578947,0.0315399,0.0446809,0,0,0,0,
1668684032981,0.723404,0.156667,0.709524,0.0307692,0.0575163,0.135762,0.167183,0.0455764,0.773438,0.187793,0.055102,0.596491,0.0204082,0.0468085,0,0,0,0,
1668684033081,0.659574,0.05,1,0.0461538,0.112418,0.281457,0.176471,0.144772,0.4375,0.171362,0.0571429,0.4,0.0222635,0.142553,0,0,0,0,
1668684033182,0.829787,0.0133333,0.992188,0.0358974,0.243137,0.312914,0.0495356,0.170241,0.351562,0.131455,0.0755102,0.277193,0.0111317,0.291489,0,0,0,0,
1668684033282,0.978723,0.0133333,0.996491,0,0.216993,0.509934,0.0371517,0.168901,0.445312,0.169014,0.0632653,0.178947,0,0.3,0,0,0,0,
1668684033382,1,0.06,0.975524,0.00755668,0.179085,0.784768,0.0557276,0.162198,0.6875,0.223005,0.0346939,0.266667,0,0.251064,0,0,0,0,
1668684033482,1,0.09,0.982639,0.00503778,0.175163,0.942053,0.0619195,0.156836,0.84375,0.244131,0.0142857,0.368421,0.00182815,0.187234,0,0,0,0,
1668684033583,1,0.0866667,0.982639,0.00251889,0.207843,0.990066,0.0619195,0.159517,0.921875,0.244131,0.00408163,0.508772,0.00182815,0.187234,0,0,0,0,
1668684033683,0.983607,0.0633333,0.986111,0.00503778,0.249673,0.993464,0.0650155,0.170241,0.9375,0.241784,0.0204082,0.564912,0,0.204255,0,0,0,0,
