timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668690987955,0.0297767,0.0261364,0.613301,0.0169779,0.0842607,0.172492,0.017452,0.0465116,0.567935,0.037037,0.0408859,0.564208,0.028777,0.0618337,0,0,0,0,
1668690988055,0.0297767,0.025,0.618227,0.0186757,0.0842607,0.172492,0.017452,0.047619,0.565217,0.037037,0.0408859,0.564208,0.028777,0.0618337,0,0,0,0,
1668690988155,0.0310174,0.025,0.618227,0.0186757,0.0842607,0.172492,0.017452,0.047619,0.565217,0.037037,0.0408859,0.565574,0.028777,0.0618337,0,0,0,0,
1668690988256,0.028536,0.025,0.615764,0.0169779,0.0826709,0.172492,0.017452,0.0465116,0.5625,0.037037,0.0408859,0.565574,0.028777,0.0597015,0,0,0,0,
1668690988356,0.0297767,0.0261364,0.64532,0.0169779,0.0842607,0.170237,0.017452,0.0465116,0.559783,0.0358025,0.0408859,0.564208,0.0279776,0.0597015,0,0,0,0,
1668690988456,0.028536,0.0261364,0.874384,0.0203735,0.0779014,0.167982,0.0314136,0.0454042,0.51087,0.0382716,0.0425894,0.560109,0.0239808,0.0618337,0,0,0,0,
1668690988556,0.0483871,0.0352273,0.980296,0.0305603,0.0604134,0.270575,0.228621,0.0454042,0.451087,0.111111,0.0425894,0.463115,0.00639488,0.0788913,0,0,0,0,
1668690988656,0.0682382,0.0420455,1,0.0543294,0.0683625,0.430665,0.26178,0.225914,0.399457,0.151852,0.20954,0.456284,0.00479616,0.247335,0,0,0,0,
1668690988757,0.0210918,0.0204545,0.981651,0.0713073,0.17806,0.497182,0.237347,0.314507,0.320652,0.124691,0.385009,0.357924,0.00319744,0.334755,0,0,0,0,
1668690988857,0.0248139,0.00795455,1,0.0101868,0.192369,0.740699,0.0907504,0.335548,0.326087,0,0.37138,0.0601093,0.00959233,0.313433,0,0,0,0,
1668690988957,0.0235732,0.00795455,0.965665,0.00848896,0.17806,1,0.116928,0.349945,0.459239,0.0331288,0.325383,0.14071,0,0.283582,0,0,0,0,
1668690989057,0.00992556,0.0011274,0.905579,0.0169779,0.225755,1,0.179756,0.417497,0.459239,0.0883436,0.339012,0.297814,0.00159236,0.30064,0,0,0,0,
1668690989157,0.00124069,0.240135,0.896996,0.0560272,0.372019,0.939689,0.254799,0.444075,0.442935,0.152147,0.356048,0.196721,0.00318471,0.294243,0,0,0,0,
1668690989257,0.00992556,0.365276,0.899142,0.0713073,0.384738,0.965953,0.240838,0.508306,0.353261,0.142331,0.44293,0.0901639,0.00557325,0.356077,0,0,0,0,
1668690989358,0.0124069,0.418264,0.922747,0.057725,0.405405,0.960117,0.198953,0.530454,0.347826,0.0932515,0.494037,0.057377,0.00238854,0.405117,0,0,0,0,
1668690989458,0.0148883,0.425028,0.944206,0.0560272,0.414944,0.965953,0.164049,0.533776,0.377717,0.0527607,0.516184,0.0560109,0.00159236,0.41791,0,0,0,0,
1668690989558,0.0223325,0.404735,0.967811,0.0611205,0.414944,0.980545,0.141361,0.540421,0.36413,0.0282209,0.522998,0.122951,0.0111465,0.422175,0,0,0,0,
1668690989658,0.0198511,0.34611,0.982833,0.0696095,0.394277,0.983463,0.136126,0.543743,0.394022,0.0196319,0.521295,0.241803,0.0167197,0.415778,0,0,0,0,
1668690989759,0.0124069,0.354002,0.980687,0.0713073,0.378378,0.985409,0.13438,0.552602,0.418478,0.0233129,0.531516,0.38388,0.0191083,0.415778,0,0,0,0,
1668690989859,0.0124069,0.352875,0.993562,0.0696095,0.375199,0.995136,0.13438,0.555925,0.42663,0.0245399,0.534923,0.407104,0.0191083,0.420043,0,0,0,0,
1668690989959,0.016129,0.34611,0.995717,0.0730051,0.376789,1,0.139616,0.555925,0.459239,0.0282209,0.53833,0.459016,0.0199045,0.426439,0,0,0,0,
1668690990059,0.016129,0.349493,0.976445,0.0679117,0.370429,1,0.146597,0.557032,0.5,0.0380368,0.545145,0.502732,0.0183121,0.432836,0,0,0,0,
1668690990159,0.0173697,0.342728,0.974304,0.0560272,0.384738,1,0.146597,0.559247,0.532609,0.0404908,0.543441,0.519126,0.0175159,0.430704,0,0,0,0,
1668690990260,0.0186104,0.303269,0.948608,0.0458404,0.406995,1,0.139616,0.561462,0.567935,0.0392638,0.534923,0.553279,0.0183121,0.420043,0,0,0,0,
1668690990360,0.0210918,0.282976,0.907923,0.0458404,0.421304,1,0.137871,0.562569,0.605978,0.0392638,0.528109,0.637978,0.0199045,0.405117,0,0,0,0,
1668690990460,0.0198511,0.244645,0.88651,0.0441426,0.421304,1,0.136126,0.561462,0.630435,0.0368098,0.521295,0.681694,0.0214968,0.385927,0,0,0,0,
1668690990560,0.0210918,0.241263,0.875803,0.040747,0.432432,1,0.13438,0.563677,0.638587,0.0331288,0.516184,0.692623,0.0214968,0.36887,0,0,0,0,
1668690990660,0.0210918,0.239008,0.877944,0.040747,0.438792,0.997458,0.13089,0.563677,0.638587,0.0269939,0.507666,0.684426,0.0199045,0.339019,0,0,0,0,
1668690990760,0.0198511,0.241263,0.880086,0.040747,0.445151,0.98983,0.125654,0.560354,0.619565,0.0233129,0.504259,0.647541,0.0143312,0.311301,0,0,0,0,
1668690990861,0.0272953,0.254791,0.910064,0.0458404,0.45469,0.977966,0.132635,0.557032,0.603261,0.0294479,0.504259,0.605191,0.00796178,0.298507,0,0,0,0,
1668690990961,0.0248139,0.260428,0.931477,0.0509338,0.459459,0.957627,0.141361,0.545958,0.589674,0.0343558,0.495741,0.527322,0.00318471,0.285714,0,0,0,0,
1668690991061,0.0124069,0.273957,0.955032,0.0509338,0.464229,0.93983,0.143106,0.524917,0.581522,0.0368098,0.459966,0.43306,0,0.255864,0,0,0,0,
1668690991161,0.0124069,0.333709,0.946467,0.057725,0.416534,0.919492,0.158813,0.487265,0.5625,0.0417178,0.39523,0.375683,0,0.217484,0,0,0,0,
1668690991261,0.0148883,0.3292,0.965739,0.0628183,0.332273,0.89661,0.183246,0.462901,0.529891,0.0662577,0.318569,0.370219,0,0.202559,0,0,0,0,
1668690991362,0.0148883,0.313416,0.989293,0.0747029,0.36407,0.812712,0.209424,0.440753,0.451087,0.0932515,0.265758,0.344262,0.000788644,0.189765,0,0,0,0,
1668690991462,0.0173697,0.308906,1,0.0780985,0.386328,0.789831,0.21466,0.434109,0.407609,0.100613,0.241908,0.337432,0.00157729,0.187633,0,0,0,0,
1668690991562,0.016129,0.310034,1,0.0713073,0.405405,0.780508,0.211169,0.437431,0.38587,0.0981595,0.231687,0.337432,0.00236593,0.183369,0,0,0,0,
1668690991662,0.0136476,0.312289,0.991525,0.0662139,0.406995,0.779661,0.211169,0.437431,0.377717,0.0981595,0.218058,0.346995,0.00236593,0.183369,0,0,0,0,
1668690991762,0.0136476,0.314543,0.997881,0.0611205,0.411765,0.780508,0.204188,0.440753,0.369565,0.0957055,0.218058,0.349727,0.00394322,0.187633,0,0,0,0,
1668690991863,0.0111663,0.32469,0.974576,0.0526316,0.441971,0.779661,0.198953,0.44629,0.380435,0.0969325,0.219762,0.36612,0.00394322,0.189765,0,0,0,0,
1668690991963,0.00868486,0.319053,0.972458,0.0390492,0.426073,0.755932,0.139616,0.445183,0.42663,0.0662577,0.224872,0.509563,0.0118297,0.196162,0,0,0,0,
1668690992063,0.0136476,0.120631,0.995763,0.00848896,0.200318,0.742373,0.0890052,0.315615,0.467391,0.00981595,0.163543,0.493169,0.0236593,0.179104,0,0,0,0,
