timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668690922215,0.0316456,0.00595948,0.535573,0.0244328,0.0595447,0.171717,0.0203735,0.0169082,0.732673,0.0370813,0.0223881,0.690513,0.02457,0.0135135,0,0,0,0,
1668690922315,0.0300633,0.00476758,0.537549,0.0244328,0.0595447,0.169473,0.0186757,0.0169082,0.729373,0.034689,0.0223881,0.690513,0.02457,0.0135135,0,0,0,0,
1668690922416,0.0316456,0.00476758,0.561265,0.0244328,0.0577933,0.162739,0.0203735,0.0169082,0.719472,0.0394737,0.0205224,0.693624,0.02457,0.0112613,0,0,0,0,
1668690922516,0.0316456,0.00476758,0.559289,0.0244328,0.0595447,0.163861,0.0203735,0.0193237,0.709571,0.0430622,0.0186567,0.679627,0.022113,0.00900901,0,0,0,0,
1668690922616,0.0316456,0.00476758,0.594862,0.0209424,0.056042,0.162739,0.0305603,0.0229469,0.650165,0.0394737,0.0205224,0.637636,0.015561,0.027027,0,0,0,0,
1668690922716,0.0348101,0.011919,0.881423,0.0244328,0.0577933,0.310887,0.149406,0.0603865,0.518152,0.0598086,0.0802239,0.538103,0.002457,0.112613,0,0,0,0,
1668690922817,0.0363924,0.00715137,0.986166,0.0820244,0.056042,0.356902,0.275042,0.301932,0.389439,0.162679,0.328358,0.612753,0.00244698,0.328829,0,0,0,0,
1668690922917,0.00949367,0,1,0.111693,0.115587,0.35578,0.258065,0.32971,0.333333,0.172249,0.410448,0.469673,0.0114192,0.387387,0,0,0,0,
1668690923017,0.0253165,0.0190476,0.979779,0.0191972,0.206655,0.656566,0.14601,0.351449,0.270627,0.0502392,0.363806,0.105754,0,0.376126,0,0,0,0,
1668690923117,0.0316456,0.0107143,0.979779,0.0139616,0.126095,0.891134,0.152801,0.364734,0.366337,0.0705742,0.324627,0.0979782,0.00243309,0.355856,0,0,0,0,
1668690923217,0,0,0.976103,0.0122164,0.138354,1,0.208829,0.415459,0.435644,0.156699,0.347015,0.136858,0.0470397,0.355856,0,0,0,0,
1668690923318,0,0.0731995,0.941176,0.0226876,0.169877,1,0.288625,0.461353,0.544554,0.199761,0.352612,0.228616,0.0875912,0.355856,0,0,0,0,
1668690923418,0.00938967,0.105077,0.941176,0.0383944,0.141856,1,0.319185,0.445652,0.570957,0.211722,0.317164,0.225505,0.0648824,0.346847,0,0,0,0,
1668690923518,0.0187793,0.181818,0.948529,0.0488656,0.150613,0.99807,0.34635,0.417874,0.554455,0.205742,0.281716,0.265941,0.0381184,0.27027,0,0,0,0,
1668690923618,0.0266041,0.283353,0.970588,0.0488656,0.162872,0.974903,0.324278,0.391304,0.537954,0.179426,0.244403,0.29549,0.0194647,0.256757,0,0,0,0,
1668690923719,0.0266041,0.376623,0.987132,0.0488656,0.166375,0.942085,0.298812,0.384058,0.491749,0.149522,0.238806,0.270607,0.0081103,0.259009,0,0,0,0,
1668690923819,0.028169,0.373081,0.992647,0.0471204,0.157618,0.912162,0.283531,0.384058,0.478548,0.130383,0.244403,0.287714,0.00892133,0.25,0,0,0,0,
1668690923919,0.0250391,0.342385,0.955882,0.0575916,0.138354,0.914093,0.317487,0.378019,0.537954,0.147129,0.277985,0.44168,0.0121655,0.286036,0,0,0,0,
1668690924020,0.0250391,0.338843,0.955882,0.0593368,0.138354,0.896718,0.312394,0.378019,0.537954,0.145933,0.283582,0.407465,0.0129765,0.297297,0,0,0,0,
1668690924120,0.0219092,0.340024,0.96875,0.0558464,0.136602,0.88417,0.288625,0.391304,0.50165,0.136364,0.285448,0.33437,0.0113544,0.304054,0,0,0,0,
