timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668691228167,0.0100125,0.00218102,0.430913,0.0289855,0.045977,0.232987,0.0126582,0.0109091,0.735915,0.0607662,0.0530973,0.665535,0.0239077,0.0337349,0,0,0,0,
1668691228268,0.0100125,0.00218102,0.433255,0.0289855,0.045977,0.232987,0.0126582,0.00969697,0.735915,0.0607662,0.0548673,0.667233,0.0239077,0.0337349,0,0,0,0,
1668691228368,0.0100125,0.00218102,0.435597,0.0307971,0.044335,0.232987,0.0144665,0.0109091,0.732394,0.0607662,0.0530973,0.667233,0.0239077,0.0337349,0,0,0,0,
1668691228468,0.0100125,0.00109051,0.433255,0.0289855,0.045977,0.232987,0.0126582,0.0109091,0.732394,0.0620872,0.0548673,0.667233,0.0239077,0.0337349,0,0,0,0,
1668691228568,0.00876095,0.00218102,0.442623,0.0326087,0.0426929,0.231834,0.0144665,0.00969697,0.732394,0.0607662,0.0548673,0.66893,0.0239077,0.0337349,0,0,0,0,
1668691228668,0.00750939,0.00109051,0.47541,0.0307971,0.0426929,0.231834,0.0162749,0.00848485,0.721831,0.0620872,0.0530973,0.663837,0.0230833,0.0289157,0,0,0,0,
1668691228769,0.0137672,0.00436205,0.648712,0.0307971,0.0426929,0.243368,0.034358,0.00848485,0.640845,0.0766182,0.0477876,0.631579,0.0181369,0.0289157,0,0,0,0,
1668691228869,0.0312891,0.0087241,0.836066,0.0724638,0.0246305,0.249135,0.18264,0.0181818,0.588028,0.143989,0.0424779,0.641766,0.00989283,0.0819277,0,0,0,0,
1668691228969,0.0563204,0.0163577,0.960187,0.137681,0.0574713,0.50519,0.276673,0.147879,0.264085,0.224571,0.247788,0.188455,0.0370981,0.318072,0,0,0,0,
1668691229069,0.028786,0.00763359,0.992974,0.186594,0.0952381,0.565167,0.303797,0.229091,0.285211,0.277411,0.454867,0.0713073,0.0865622,0.510843,0,0,0,0,
1668691229169,0.0137672,0.00436205,0.997748,0.155797,0.121511,0.594002,0.305606,0.166061,0.334507,0.317041,0.561062,0.0645161,0.185491,0.698795,0,0,0,0,
1668691229270,0.0250313,0.00545256,1,0.13587,0.124795,0.637832,0.291139,0.13697,0.348592,0.303831,0.623009,0.135823,0.189613,0.684337,0,0,0,0,
1668691229370,0.0325407,0.00654308,0.984305,0.144928,0.129721,0.687428,0.296564,0.133333,0.380282,0.307794,0.667257,0.227504,0.189613,0.710843,0,0,0,0,
1668691229470,0.0362954,0.0087241,0.991031,0.143116,0.128079,0.732411,0.294756,0.132121,0.387324,0.311757,0.681416,0.241087,0.185491,0.737349,0,0,0,0,
1668691229570,0.0387985,0.00981461,0.982063,0.144928,0.128079,0.765859,0.298373,0.13697,0.411972,0.31572,0.693805,0.273345,0.182193,0.739759,0,0,0,0,
1668691229670,0.0375469,0.0087241,0.984305,0.155797,0.118227,0.732411,0.291139,0.145455,0.40493,0.310436,0.695575,0.380306,0.153339,0.708434,0,0,0,0,
1668691229770,0.0375469,0.0109051,1,0.163043,0.123153,0.748558,0.283906,0.161212,0.411972,0.306473,0.709734,0.502547,0.117065,0.73012,0,0,0,0,
1668691229871,0.0362954,0.0087241,1,0.17029,0.124795,0.765859,0.278481,0.169697,0.429577,0.305152,0.718584,0.584041,0.0956307,0.73494,0,0,0,0,
1668691229971,0.0362954,0.0087241,0.997778,0.177536,0.126437,0.777393,0.274864,0.17697,0.461268,0.298547,0.736283,0.641766,0.084089,0.754217,0,0,0,0,
