timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668691468246,0.0219638,0.0308219,0.884279,0.0608229,0.0148423,0.0577396,0.0945709,0.0387016,0.52139,0.121588,0.0817391,0.564536,0.00580913,0.0938086,0,0,0,0,
1668691468346,0.0219638,0.0319635,0.888646,0.059034,0.0148423,0.0589681,0.0945709,0.0387016,0.52139,0.122829,0.0817391,0.564536,0.006639,0.0938086,0,0,0,0,
1668691468446,0.0219638,0.0308219,0.888646,0.0626118,0.0148423,0.0601966,0.0945709,0.0387016,0.52139,0.121588,0.08,0.563329,0.00580913,0.0919325,0,0,0,0,
1668691468547,0.0232558,0.0319635,0.895196,0.059034,0.0166976,0.0638821,0.103327,0.0387016,0.518717,0.126551,0.0782609,0.559711,0.00497925,0.0900563,0,0,0,0,
1668691468647,0.0387597,0.0456621,0.914847,0.0626118,0.0445269,0.119165,0.183888,0.0399501,0.449198,0.156328,0.0765217,0.458384,0.00580913,0.110694,0,0,0,0,
1668691468747,0.0529716,0.053653,1,0.137746,0.0445269,0.163391,0.201401,0.15231,0.414439,0.202233,0.262609,0.500603,0.0033195,0.317073,0,0,0,0,
1668691468847,0.0387597,0.0456621,1,0.193202,0.0593692,0.199017,0.197898,0.273408,0.387701,0.215881,0.415652,0.516285,0.000829876,0.358349,0,0,0,0,
1668691468947,0.0103359,0.0251142,1,0.125224,0.0686456,0.289926,0.171629,0.298377,0.368984,0.12531,0.417391,0.472859,0,0.362101,0,0,0,0,
1668691469048,0.0180879,0.0194064,0.992687,0.0465116,0.0797774,0.583538,0.122592,0.310861,0.326203,0.0707196,0.398261,0.318456,0.00248756,0.354597,0,0,0,0,
1668691469148,0.0206718,0.0182648,0.974406,0.0339893,0.0871985,0.69656,0.120841,0.33583,0.26738,0.0781638,0.389565,0.185766,0.000829187,0.350844,0,0,0,0,
1668691469248,0.0193798,0.0171233,0.956124,0.0357782,0.0649351,0.694103,0.141856,0.36829,0.229947,0.0930521,0.410435,0.162847,0,0.354597,0,0,0,0,
1668691469348,0.0206718,0.0159817,0.963437,0.0411449,0.0463822,0.665848,0.164623,0.39201,0.254011,0.120347,0.446957,0.17491,0.00413907,0.360225,0,0,0,0,
1668691469448,0.0206718,0.0148402,0.967093,0.0465116,0.0463822,0.676904,0.182137,0.403246,0.275401,0.137717,0.485217,0.20386,0.0107616,0.363977,0,0,0,0,
1668691469549,0.0129199,0.0182648,0.923218,0.0661896,0.0519481,0.728501,0.201401,0.454432,0.296791,0.152605,0.532174,0.264174,0.0173841,0.363977,0,0,0,0,
