timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668691740725,0.0125392,0.00113122,0.659624,0.0319149,0.0657895,0.106383,0.0434783,0.0260417,0.697509,0.0517928,0.0226843,0.581361,0.00259067,0.00164474,0,0,0,0,
1668691740825,0.0109718,0.00226244,0.657277,0.0319149,0.0657895,0.106383,0.0434783,0.0247396,0.697509,0.0517928,0.0226843,0.581361,0.00259067,0,0,0,0,0,
1668691740925,0.0125392,0.00226244,0.659624,0.0319149,0.0639098,0.106383,0.0451505,0.0247396,0.69395,0.0517928,0.0226843,0.581361,0.00259067,0,0,0,0,0,
1668691741026,0.0125392,0.00226244,0.659624,0.0319149,0.0639098,0.106383,0.0434783,0.0247396,0.69395,0.0504648,0.0226843,0.581361,0.00259067,0.00164474,0,0,0,0,
1668691741126,0.0109718,0.00226244,0.657277,0.0319149,0.0657895,0.106383,0.0434783,0.0247396,0.69395,0.0504648,0.0226843,0.578402,0.00259067,0.00164474,0,0,0,0,
1668691741226,0.0141066,0.00339367,0.617371,0.0336879,0.0733083,0.104019,0.0434783,0.0247396,0.66548,0.0464807,0.0245747,0.557692,0,0.00657895,0,0,0,0,
1668691741326,0.0109718,0.00226244,0.906103,0.0514184,0.0451128,0.125296,0.173913,0.0338542,0.483986,0.106242,0.0623819,0.471893,0.00171821,0.100329,0,0,0,0,
1668691741427,0.0015528,0.010181,0.983568,0.134752,0.0263158,0.262411,0.237458,0.173177,0.508897,0.220452,0.251418,0.559172,0.0103093,0.240132,0,0,0,0,
1668691741527,0,0.00904977,1,0.179078,0.056391,0.287234,0.235786,0.316406,0.41637,0.22178,0.415879,0.418639,0.024055,0.309211,0,0,0,0,
1668691741627,0.0153374,0.0124434,1,0.0514184,0.0657895,0.5,0.192308,0.328125,0.302491,0.0849934,0.383743,0.196746,0.00859107,0.299342,0,0,0,0,
1668691741727,0.0153374,0.0124434,0.992439,0.0478723,0.0526316,0.585106,0.197324,0.358073,0.263345,0.0996016,0.395085,0.156805,0.0103093,0.300987,0,0,0,0,
1668691741828,0.0168712,0.00904977,1,0.0797872,0.0357143,0.514184,0.220736,0.401042,0.19573,0.131474,0.448015,0.0784024,0.0223368,0.307566,0,0,0,0,
1668691741928,0.0153374,0.00565611,1,0.0833333,0.0451128,0.507092,0.222408,0.416667,0.13879,0.132802,0.493384,0.0369822,0.032646,0.315789,0,0,0,0,
1668691742028,0.0138037,0.00452489,0.996441,0.0744681,0.0657895,0.553191,0.229097,0.432292,0.124555,0.138114,0.517958,0,0.0317869,0.322368,0,0,0,0,
1668691742128,0,0.00226244,0.912811,0.0904255,0.0338346,0.592199,0.250836,0.449219,0.117438,0.158035,0.546314,0.00143678,0.0352234,0.332237,0,0,0,0,
1668691742229,0,0.0113122,0.830961,0.0407801,0.037594,0.579196,0.20903,0.464844,0.0142349,0.12085,0.546314,0,0.0223368,0.328947,0,0,0,0,
1668691742329,0.00149254,0.0158371,0.820285,0.0390071,0.0357143,0.555556,0.214047,0.483073,0.0175439,0.118194,0.563327,0.0159509,0.0231959,0.333882,0,0,0,0,
1668691742429,0.00447094,0.322398,0.768683,0.0620567,0.0808271,0.765957,0.22408,0.549479,0.108772,0.118194,0.604915,0.174233,0.0137457,0.337171,0,0,0,0,
1668691742529,0.0134128,0.441176,0.754448,0.0691489,0.191729,0.923168,0.254181,0.572917,0.238596,0.142098,0.62949,0.278528,0.0128866,0.324013,0,0,0,0,
1668691742630,0.0268256,0.488688,0.745552,0.0656028,0.287594,1,0.277592,0.572917,0.305263,0.160691,0.63138,0.349693,0.0120275,0.296053,0,0,0,0,
1668691742730,0.0312966,0.535068,0.708185,0.0496454,0.379699,1,0.277592,0.570312,0.291228,0.150066,0.625709,0.321472,0.00601375,0.284539,0,0,0,0,
1668691742830,0.0342772,0.573529,0.663701,0.0407801,0.242481,0.935424,0.252508,0.604167,0.301754,0.131474,0.621928,0.279755,0.00859107,0.276316,0,0,0,0,
1668691742930,0.0342772,0.582579,0.688612,0.0904255,0.116541,0.395756,0.237458,0.610677,0.0877193,0.116866,0.614367,0.142331,0.0180412,0.248355,0,0,0,0,
1668691743030,0.0342772,0.595023,0.738434,0.106383,0.199248,0.630074,0.214047,0.647135,0,0.0996016,0.637051,0.104294,0.0146048,0.253289,0,0,0,0,
1668691743131,0.0357675,0.589366,0.766904,0.102837,0.218045,0.580258,0.172241,0.619792,0.164336,0.0703851,0.601134,0.155828,0.00859107,0.248355,0,0,0,0,
1668691743231,0.0268256,0.574661,0.845196,0.0975177,0.328947,0.560886,0.155518,0.541667,0.325175,0.0677291,0.502836,0.24908,0.00515464,0.212171,0,0,0,0,
1668691743331,0.0372578,0.501131,0.880783,0.118794,0.347744,0.515683,0.160535,0.484375,0.43007,0.0969456,0.425331,0.333742,0.00601375,0.192434,0,0,0,0,
