timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668525473171,0.0206186,0.0150565,0.457812,0.015949,0.0217786,0.118065,0.0430328,0.0527108,0.607477,0.255282,0.0389344,0.731156,0.0230474,0.077551,0,0,0,0,
1668525473271,0.0206186,0.0150565,0.457812,0.0143541,0.0217786,0.118065,0.0430328,0.0527108,0.607477,0.257042,0.0389344,0.731156,0.0230474,0.077551,0,0,0,0,
1668525473371,0.0206186,0.0163112,0.45625,0.015949,0.0217786,0.118065,0.0409836,0.0527108,0.602804,0.255282,0.0389344,0.728643,0.0230474,0.0761905,0,0,0,0,
1668525473471,0.0206186,0.0150565,0.457812,0.015949,0.0217786,0.118065,0.0430328,0.0527108,0.607477,0.255282,0.0409836,0.733668,0.0230474,0.0761905,0,0,0,0,
1668525473572,0.0206186,0.0150565,0.457812,0.0143541,0.0217786,0.118065,0.0430328,0.0512048,0.602804,0.255282,0.0409836,0.733668,0.0230474,0.077551,0,0,0,0,
1668525473672,0.0206186,0.0150565,0.459375,0.015949,0.0235935,0.128023,0.0430328,0.0512048,0.616822,0.257042,0.0368852,0.71608,0.0204866,0.0748299,0,0,0,0,
1668525473772,0.0206186,0.0163112,0.45625,0.015949,0.0272232,0.133713,0.045082,0.0512048,0.626168,0.257042,0.0368852,0.708543,0.0204866,0.0761905,0,0,0,0,
1668525473872,0.0103093,0.0138018,0.6,0.0127592,0.0254083,0.11522,0.0143443,0.0406627,0.46729,0.21831,0.0409836,0.600502,0,0.0734694,0,0,0,0,
1668525473972,0.0463918,0.00125471,0.660937,0.00956938,0.0544465,0.182077,0,0.233434,0.434579,0.0950704,0.00614754,0.547739,0.0112641,0.00673854,0,0,0,0,
1668525474073,0.123711,0,0.642187,0.0223285,0.0635209,0.153627,0.0184426,0.444277,0.383178,0.126761,0.0860656,0.595477,0.0225282,0.0363881,0,0,0,0,
1668525474173,0.175258,0,0.689062,0,0.0508167,0.250356,0.00204918,0.442771,0.476636,0.0651408,0.0901639,0.623116,0.00375469,0.0431267,0,0,0,0,
1668525474273,0.21134,0.00123609,0.735937,0.00940439,0.0381125,0.268848,0.00409836,0.307229,0.523364,0.0440141,0.0717213,0.653266,0.00500626,0.0377358,0,0,0,0,
1668525474373,0.206186,0,0.728125,0.0125392,0.0344828,0.294452,0.00409836,0.295181,0.448598,0.0334507,0.067623,0.675879,0.00500626,0.0350404,0,0,0,0,
1668525474473,0.21134,0,0.726562,0.0141066,0.0344828,0.305832,0.00409836,0.296687,0.401869,0.0299296,0.067623,0.693467,0.00625782,0.0363881,0,0,0,0,
1668525474574,0.221649,0,0.734375,0.0109718,0.0362976,0.320057,0.00409836,0.295181,0.359813,0.0316901,0.067623,0.703518,0.00876095,0.0458221,0,0,0,0,
1668525474674,0.231959,0.00123153,0.740625,0.0141066,0.0344828,0.29872,0.00409836,0.290663,0.336449,0.028169,0.0655738,0.71608,0.00876095,0.0458221,0,0,0,0,
1668525474774,0.237113,0,0.739062,0.015674,0.0344828,0.29303,0.00204918,0.299699,0.317757,0.0246479,0.0635246,0.721106,0.0100125,0.0444744,0,0,0,0,
1668525474874,0.237113,0,0.732813,0.00940439,0.0399274,0.337127,0.00614754,0.370482,0.341121,0.0140845,0.0614754,0.746231,0.0100125,0.0431267,0,0,0,0,
1668525474974,0.237113,0.00369458,0.721875,0.0109718,0.0435572,0.349929,0.00409836,0.463855,0.359813,0.0105634,0.0635246,0.768844,0.0112641,0.0458221,0,0,0,0,
1668525475075,0.237113,0.00738916,0.717188,0.0109718,0.0435572,0.355619,0.00409836,0.51506,0.378505,0.0123239,0.0655738,0.778894,0.0112641,0.0431267,0,0,0,0,
1668525475175,0.226804,0.00862069,0.70625,0.0109718,0.0417423,0.371266,0.00204918,0.546687,0.406542,0.0140845,0.0635246,0.778894,0.00876095,0.0404313,0,0,0,0,
1668525475275,0.231959,0.00862069,0.70625,0.0125392,0.0399274,0.372688,0.00204918,0.566265,0.457944,0.0123239,0.0635246,0.778894,0.00625782,0.0363881,0,0,0,0,
1668525475375,0.231959,0.0123153,0.7,0.0109718,0.0399274,0.375533,0.00204918,0.585843,0.53271,0.00880282,0.0655738,0.788945,0.00375469,0.032345,0,0,0,0,
1668525475476,0.226804,0.020936,0.685938,0.00783699,0.0399274,0.379801,0.00204918,0.606928,0.658879,0.00352113,0.0778688,0.79397,0.00250313,0.0256065,0,0,0,0,
1668525475576,0.21134,0.0726601,0.648438,0.00626959,0.0399274,0.372688,0.00614754,0.600904,0.757009,0.0017452,0.0778688,0.758794,0.00125156,0.0134771,0,0,0,0,
1668525475676,0.195876,0.124384,0.609375,0.00470219,0.0399274,0.358464,0.00614754,0.606928,0.747664,0,0.114754,0.721106,0,0.00404313,0,0,0,0,
1668525475776,0.164948,0.213054,0.576563,0.0015674,0.0453721,0.354196,0.0122951,0.620482,0.705607,0,0.159836,0.711055,0,0,0,0,0,0,
1668525475877,0.154639,0.274631,0.546875,0,0.0635209,0.381223,0.0143443,0.61747,0.705607,0,0.188525,0.718593,0,0,0,0,0,0,
1668525475977,0.139175,0.35468,0.53125,0,0.0852995,0.405405,0.0184426,0.629518,0.682243,0,0.188525,0.68593,0,0,0,0,0,0,
1668525476077,0.139175,0.360837,0.510938,0.00156495,0.0889292,0.450925,0.0348361,0.576807,0.719626,0.0152542,0.165984,0.635678,0,0,0,0,0,0,
1668525476177,0.14433,0.364532,0.498437,0.00156495,0.092559,0.463727,0.0491803,0.531627,0.705607,0.0271186,0.14959,0.582915,0,0,0,0,0,0,
