timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668525203561,0.212766,0.0280374,0.755102,0.0294985,0.0213144,0.24058,0.022541,0.0790191,0.495652,0.180036,0.0897666,0.460317,0.027027,0.0421179,0,0,0,0,
1668525203661,0.234043,0.0311526,0.755102,0.0309735,0.0213144,0.242029,0.022541,0.0776567,0.5,0.180036,0.0897666,0.463492,0.027027,0.0421179,0,0,0,0,
1668525203761,0.255319,0.0280374,0.755102,0.0294985,0.0213144,0.24058,0.0204918,0.0790191,0.5,0.180036,0.0897666,0.463492,0.0282021,0.0421179,0,0,0,0,
1668525203861,0.191489,0.0311526,0.854592,0.0309735,0.0195382,0.210145,0.0204918,0.0776567,0.456522,0.16934,0.0969479,0.457143,0.027027,0.0409146,0,0,0,0,
1668525203962,0.212766,0.00311526,0.834184,0.019174,0.158082,0.134783,0.0143443,0.555858,0.43913,0.0766488,0.271095,0.501587,0.0211516,0.0962696,0,0,0,0,
1668525204062,0.361702,0.00623053,0.862245,0.0235988,0.21492,0.0797101,0.0143443,0.663488,0.33913,0.0641711,0.35368,0.250794,0.0176263,0.137184,0,0,0,0,
1668525204162,0.468085,0.0747664,0.892857,0.0309735,0.145648,0.0710145,0.0122951,0.370572,0.282609,0.0730838,0.172352,0.104762,0.027027,0.1071,0,0,0,0,
1668525204262,0.574468,0.34891,0.943878,0.0353982,0.104796,0.00869565,0.0143443,0.33515,0.147826,0.0659537,0.129264,0.0126984,0.0446533,0.111913,0,0,0,0,
1668525204362,0.787234,0.464174,0.982143,0.0427729,0.104796,0,0.0163934,0.351499,0.026087,0.106952,0.0969479,0.0253968,0.0716804,0.134777,0,0,0,0,
1668525204463,1,0.523364,1,0.0486726,0.108348,0,0.0143443,0.384196,0.0130435,0.180036,0.109515,0.130159,0.104583,0.169675,0,0,0,0,
1668525204563,1,0.576324,0.997475,0.0471976,0.16341,0,0.0163934,0.446866,0.0565217,0.240642,0.193896,0.222222,0.155112,0.203369,0,0,0,0,
1668525204663,1,0.573209,0.974811,0.0516224,0.357016,0.00424328,0.0143443,0.625341,0,0.251337,0.351885,0.126984,0.142186,0.204573,0,0,0,0,
1668525204763,0.963636,0.601246,0.964736,0.0560472,0.611012,0.0169731,0.0143443,0.694823,0,0.217469,0.43088,0.0222222,0.115159,0.227437,0,0,0,0,
1668525204863,0.963636,0.610592,0.972292,0.0560472,0.628774,0.00848656,0.0122951,0.707084,0.00377358,0.212121,0.45781,0,0.0916569,0.258724,0,0,0,0,
1668525204964,1,0.598131,0.979849,0.0545723,0.632327,0.00424328,0.0122951,0.712534,0.0226415,0.196078,0.470377,0,0.0951821,0.279182,0,0,0,0,
1668525205064,1,0.676012,0.967254,0.0530973,0.651865,0,0.0122951,0.717984,0.045283,0.192513,0.481149,0,0.112808,0.287605,0,0,0,0,
1668525205164,0.963636,0.869159,0.906801,0.0501475,0.662522,0,0.0102459,0.730245,0.135849,0.219251,0.490126,0,0.20329,0.290012,0,0,0,0,
1668525205264,0.963636,0.903427,0.896725,0.0530973,0.660746,0,0.0102459,0.734332,0.169811,0.245989,0.490126,0,0.285546,0.271961,0,0,0,0,
1668525205364,0.909091,0.931464,0.858942,0.0516224,0.666075,0,0.0143443,0.739782,0.2,0.270945,0.490126,0.0026738,0.344301,0.259928,0,0,0,0,
1668525205465,0.763636,0.971963,0.788413,0.0427729,0.667851,0,0.022541,0.743869,0.245283,0.299465,0.497307,0.026738,0.383079,0.264741,0,0,0,0,
