timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668525577030,0.132075,0.0569106,0.77907,0.0370861,0.00181159,0.0603318,0.0140562,0.116901,0.569507,0.211268,0.0728643,0.932432,0.0464548,0.0993103,0,0,0,0,
1668525577131,0.150943,0.0569106,0.776163,0.0357616,0.00362319,0.0603318,0.0140562,0.11831,0.573991,0.213028,0.0728643,0.93018,0.0464548,0.097931,0,0,0,0,
1668525577231,0.132075,0.0569106,0.770349,0.0370861,0.00362319,0.0618401,0.0120482,0.11831,0.578475,0.213028,0.0728643,0.918919,0.0464548,0.097931,0,0,0,0,
1668525577331,0.132075,0.0569106,0.767442,0.0384106,0.00362319,0.0618401,0.0120482,0.11831,0.578475,0.213028,0.0728643,0.921171,0.0464548,0.097931,0,0,0,0,
1668525577431,0.150943,0.0569106,0.758721,0.0370861,0.00362319,0.0633484,0.0120482,0.11831,0.573991,0.213028,0.0728643,0.918919,0.0452323,0.0965517,0,0,0,0,
1668525577531,0.132075,0.0569106,0.755814,0.0370861,0.00543478,0.0633484,0.0120482,0.119718,0.578475,0.213028,0.0728643,0.916667,0.0440098,0.0965517,0,0,0,0,
1668525577632,0.132075,0.0569106,0.752907,0.0397351,0.00543478,0.0633484,0.0120482,0.11831,0.587444,0.211268,0.0728643,0.912162,0.0452323,0.0951724,0,0,0,0,
1668525577732,0.132075,0.0487805,0.787791,0.0291391,0.0217391,0.120664,0.00401606,0.125352,0.632287,0.190141,0.0125628,0.828829,0.0342298,0.0758621,0,0,0,0,
1668525577832,0.0943396,0.0650406,0.686047,0.018543,0.0380435,0.254902,0.0060241,0.169014,0.695067,0.193662,0,0.646396,0.0342298,0.0648276,0,0,0,0,
1668525577932,0.188679,0.0650406,0.738372,0.0357616,0.0380435,0.309201,0.060241,0.173239,0.816144,0.232394,0.0121951,0.614865,0.0378973,0.0937931,0,0,0,0,
1668525578032,0.377358,0.0650406,0.729651,0.0728477,0.0380435,0.312217,0.140562,0.164789,0.843049,0.264085,0.182927,0.554054,0.0268949,0.16,0,0,0,0,
1668525578132,0.490566,0.0243902,0.700581,0.111258,0.0416667,0.325792,0.192771,0.160563,0.865471,0.286972,0.346341,0.502252,0.0305623,0.252414,0,0,0,0,
1668525578233,0.566038,0.00813008,0.69186,0.137748,0.0471014,0.33635,0.228916,0.156338,0.90583,0.297535,0.441463,0.468468,0.0317848,0.390345,0,0,0,0,
1668525578333,0.603774,0.00813008,0.686047,0.141722,0.048913,0.3454,0.226908,0.153521,0.928251,0.299296,0.441463,0.452703,0.0317848,0.413793,0,0,0,0,
1668525578433,0.603774,0.00813008,0.686047,0.144371,0.048913,0.349925,0.2249,0.152113,0.93722,0.295775,0.439024,0.45045,0.0317848,0.423448,0,0,0,0,
1668525578533,0.603774,0.00813008,0.686047,0.139073,0.0471014,0.351433,0.218875,0.150704,0.941704,0.288732,0.439024,0.443694,0.0268949,0.413793,0,0,0,0,
1668525578633,0.603774,0.00813008,0.686047,0.133775,0.048913,0.361991,0.210843,0.146479,0.959641,0.28169,0.436585,0.436937,0.0232274,0.409655,0,0,0,0,
1668525578734,0.622642,0.00813008,0.686047,0.129801,0.0471014,0.369532,0.206827,0.143662,0.964126,0.278169,0.434146,0.441441,0.0207824,0.402759,0,0,0,0,
1668525578834,0.603774,0.00813008,0.686047,0.137748,0.0434783,0.380091,0.212851,0.139437,0.977578,0.278169,0.429268,0.45045,0.0207824,0.390345,0,0,0,0,
1668525578934,0.603774,0,0.68314,0.136424,0.0434783,0.387632,0.212851,0.135211,0.995516,0.276408,0.426829,0.463964,0.0195599,0.383448,0,0,0,0,
1668525579034,0.622642,0,0.680233,0.13245,0.0416667,0.393665,0.208835,0.135211,1,0.272887,0.429268,0.475225,0.0207824,0.384828,0,0,0,0,
1668525579134,0.622642,0.00806452,0.674419,0.129801,0.0398551,0.402715,0.202811,0.133803,1,0.267606,0.426829,0.488739,0.0183374,0.364138,0,0,0,0,
1668525579234,0.622642,0,0.671512,0.127152,0.0380435,0.410256,0.202811,0.132394,1,0.267606,0.434146,0.5,0.0195599,0.355862,0,0,0,0,
1668525579334,0.622642,0.00806452,0.671512,0.127152,0.0380435,0.417798,0.202811,0.130986,1,0.267606,0.434146,0.518018,0.0207824,0.357241,0,0,0,0,
1668525579435,0.641509,0,0.668605,0.127152,0.0362319,0.431373,0.202811,0.129577,1,0.269366,0.436585,0.536036,0.0220049,0.364138,0,0,0,0,
1668525579535,0.660377,0,0.674419,0.121854,0.0344203,0.453997,0.200803,0.133803,0.991379,0.267606,0.436585,0.581081,0.0293399,0.37931,0,0,0,0,
1668525579635,0.660377,0.00793651,0.662791,0.100662,0.0289855,0.568627,0.176707,0.169014,0.982759,0.253521,0.426829,0.641892,0.0317848,0.373793,0,0,0,0,
1668525579735,0.660377,0.0238095,0.662791,0.101987,0.0362319,0.589744,0.170683,0.191549,0.987069,0.248239,0.439024,0.671171,0.0354523,0.382069,0,0,0,0,
1668525579836,0.641509,0.047619,0.645349,0.115232,0.0525362,0.61991,0.184739,0.242254,1,0.255282,0.458537,0.675676,0.0427873,0.402759,0,0,0,0,
