timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668526020257,0.216667,0.0420712,0.654206,0.0535211,0.0052356,0.142287,0.0039604,0.0674931,0.534247,0.165232,0.0204545,0.821963,0.0475113,0.0336134,0,0,0,0,
1668526020357,0.216667,0.0420712,0.654206,0.0535211,0.0052356,0.142287,0.0039604,0.0661157,0.534247,0.163511,0.0181818,0.821963,0.0463801,0.0336134,0,0,0,0,
1668526020458,0.216667,0.0420712,0.654206,0.0535211,0.0052356,0.142287,0.0039604,0.0661157,0.534247,0.163511,0.0204545,0.823627,0.0475113,0.035014,0,0,0,0,
1668526020558,0.216667,0.0420712,0.651869,0.0535211,0.0052356,0.144947,0.0039604,0.0661157,0.538813,0.163511,0.0181818,0.821963,0.0463801,0.035014,0,0,0,0,
1668526020658,0.166667,0.0323625,0.885514,0.0450704,0.0191972,0.168883,0.00594059,0.0922865,0.356164,0.111876,0,0.737105,0.0237557,0.0322129,0,0,0,0,
1668526020758,0.233333,0.012945,0.974299,0.0366197,0.0279232,0.103723,0.0019802,0.179063,0.365297,0.0464716,0.047191,0.440932,0.0124434,0.0210084,0,0,0,0,
1668526020858,0.433333,0.00970874,0.992991,0.0323944,0.0418848,0.0199468,0,0.194215,0.191781,0,0.0629213,0.259567,0.00565611,0,0,0,0,0,
1668526020959,0.666667,0.00970874,1,0.0295775,0.0471204,0.0226064,0,0.205234,0.123288,0,0.047191,0.138103,0.00452489,0,0,0,0,0,
1668526021059,0.783333,0.00323625,0.997674,0.0267606,0.0575916,0.0106383,0,0.219008,0.086758,0,0.0404494,0.063228,0.00565611,0,0,0,0,0,
1668526021159,0.833333,0.00647249,0.981395,0.0295775,0.0750436,0,0,0.243802,0,0,0.0314607,0,0.00565611,0,0,0,0,0,
1668526021259,0.833333,0.0226537,0.974419,0.0253521,0.095986,0.00793651,0,0.296143,0,0,0.0247191,0,0.00904977,0,0,0,0,0,
1668526021360,0.833333,0.0873786,0.972093,0.0211268,0.118674,0.00925926,0.0019305,0.362259,0.00403226,0.0015674,0.0269663,0.00150602,0.0124434,0.0037831,0,0,0,0,
1668526021460,0.8,0.197411,0.972093,0.0197183,0.143106,0.00661376,0.00192678,0.42011,0.016129,0.0141066,0.0269663,0.0135542,0.0192308,0.00882724,0,0,0,0,
1668526021560,0.766667,0.252427,0.972093,0.0197183,0.144852,0.0357143,0.0134875,0.415978,0.0604839,0.0188088,0.0247191,0.0391566,0.0192308,0.00252207,0,0,0,0,
1668526021660,0.75,0.330097,0.965116,0.0169014,0.144852,0.037037,0.00770713,0.409091,0.0564516,0.023511,0.0292135,0.0587349,0.0192308,0,0,0,0,0,
1668526021760,0.7,0.404531,0.955814,0.015493,0.172775,0.00793651,0,0.432507,0.0282258,0.0329154,0.0561798,0.0361446,0.0226244,0.0163728,0,0,0,0,
1668526021860,0.666667,0.530744,0.934884,0.0225352,0.293194,0,0.00384615,0.553719,0.0564516,0.0219436,0.188764,0,0.0282805,0.0629723,0,0,0,0,
1668526021961,0.633333,0.776699,0.895349,0.0295775,0.478185,0.037859,0.025,0.655647,0,0.0141066,0.379775,0,0.0395928,0.118388,0,0,0,0,
1668526022061,0.566667,0.987055,0.844186,0.0394366,0.504363,0.0809399,0.0403846,0.679063,0,0.015674,0.467416,0,0.0576923,0.15869,0,0,0,0,
1668526022161,0.5,1,0.786047,0.0464789,0.530541,0.163185,0.0403846,0.679063,0,0.00940439,0.530337,0,0.081448,0.201511,0,0,0,0,
1668526022261,0.45,1,0.751163,0.0535211,0.532286,0.195822,0.0403846,0.663912,0.00302115,0.0172414,0.552809,0,0.0984163,0.224181,0,0,0,0,
1668526022362,0.433333,1,0.727907,0.0633803,0.535777,0.203655,0.0442308,0.657025,0,0.0344828,0.568539,0,0.114253,0.253149,0,0,0,0,
1668526022462,0.4,1,0.718605,0.0661972,0.541012,0.182768,0.0538462,0.652893,0,0.0579937,0.570787,0,0.135747,0.277078,0,0,0,0,
1668526022562,0.416667,0.997436,0.711628,0.0619718,0.539267,0.165796,0.0653846,0.647383,0,0.0877743,0.564045,0,0.153846,0.277078,0,0,0,0,
1668526022662,0.45,0.997436,0.709302,0.056338,0.534031,0.156658,0.0711538,0.643251,0.00295858,0.106583,0.555056,0,0.160633,0.270781,0,0,0,0,
1668526022762,0.466667,0.997449,0.706977,0.0492958,0.539267,0.152742,0.075,0.641873,0.00295858,0.122257,0.548315,0,0.175339,0.274559,0,0,0,0,
1668526022863,0.483333,0.997455,0.702326,0.0422535,0.541012,0.151436,0.0807692,0.640496,0.0147929,0.136364,0.548315,0.00109409,0.190045,0.282116,0,0,0,0,
1668526022963,0.483333,1,0.704651,0.0394366,0.546248,0.148825,0.0865385,0.637741,0.0236686,0.141066,0.546067,0,0.187783,0.280856,0,0,0,0,
1668526023063,0.5,1,0.704651,0.0366197,0.546248,0.152742,0.0923077,0.634986,0.0295858,0.147335,0.539326,0,0.183258,0.274559,0,0,0,0,
1668526023163,0.516667,1,0.706977,0.0352113,0.546248,0.151436,0.0980769,0.629477,0.0384615,0.155172,0.530337,0,0.180995,0.270781,0,0,0,0,
1668526023264,0.55,0.997468,0.709302,0.0352113,0.541012,0.150131,0.101923,0.623967,0.0384615,0.163009,0.523596,0,0.178733,0.264484,0,0,0,0,
1668526023364,0.533333,1,0.709302,0.0338028,0.539267,0.152742,0.103846,0.619835,0.0414201,0.164577,0.521348,0,0.178733,0.264484,0,0,0,0,
1668526023464,0.533333,0.997468,0.709302,0.0323944,0.537522,0.152742,0.103846,0.615702,0.0443787,0.166144,0.521348,0.00107411,0.177602,0.269521,0,0,0,0,
