timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668526193959,0.0882353,0.00735294,0.627119,0.0393258,0.0160142,0.126087,0.0886598,0.0256776,0.551724,0.409556,0.110656,0.869565,0.105006,0.18236,0,0,0,0,
1668526194059,0.0882353,0.00735294,0.627119,0.0407303,0.0160142,0.127536,0.0865979,0.0256776,0.551724,0.409556,0.108607,0.869565,0.106227,0.183552,0,0,0,0,
1668526194159,0.0784314,0,0.625,0.0393258,0.0160142,0.127536,0.0865979,0.0256776,0.551724,0.40785,0.108607,0.867391,0.106227,0.183552,0,0,0,0,
1668526194259,0.0784314,0,0.747881,0.0379213,0.019573,0.14058,0.0783505,0.0199715,0.497537,0.394198,0.106557,0.819565,0.0976801,0.175209,0,0,0,0,
1668526194359,0.0882353,0,0.959746,0.0519663,0.0338078,0.147826,0.0206186,0.1398,0.408867,0.233788,0.067623,0.473913,0.0586081,0.116806,0,0,0,0,
1668526194460,0.176471,0,0.911017,0.0337079,0.0569395,0.165217,0.00824742,0.363766,0.37931,0.150171,0.19877,0.513043,0.018315,0.170441,0,0,0,0,
1668526194560,0.254902,0.0133333,0.938559,0.0210674,0.0569395,0.146377,0.00824742,0.309558,0.394089,0.119454,0.190574,0.554348,0.003663,0.168057,0,0,0,0,
1668526194660,0.294118,0.0266667,0.949153,0.0238764,0.0516014,0.147826,0.00618557,0.226819,0.403941,0.117747,0.135246,0.552174,0,0.156138,0,0,0,0,
1668526194760,0.323529,0.0133333,0.959746,0.0210674,0.0551601,0.131884,0.00618557,0.201141,0.334975,0.114334,0.0881148,0.526087,0,0.1323,0,0,0,0,
1668526194860,0.343137,0,0.95339,0.0140449,0.0604982,0.102899,0.00618557,0.205421,0.226601,0.110922,0.0635246,0.471739,0,0.102503,0,0,0,0,
1668526194960,0.352941,0.0127389,0.930085,0.00983146,0.0658363,0.0681159,0.00618557,0.266762,0.123153,0.105802,0.0430328,0.432609,0,0.0846246,0,0,0,0,
1668526195061,0.362745,0.044586,0.904661,0.00842697,0.0711744,0.0405797,0.0103093,0.333809,0.0689655,0.105802,0.0266393,0.419565,0,0.0750894,0,0,0,0,
1668526195161,0.352941,0.10828,0.870763,0.0126404,0.0765125,0.0376812,0.0103093,0.406562,0.0492611,0.112628,0.0245902,0.408696,0.0036452,0.067938,0,0,0,0,
1668526195261,0.333333,0.267516,0.836864,0.011236,0.0871886,0.0710145,0.0123711,0.477889,0.0591133,0.110922,0.0307377,0.393478,0.0072904,0.0631704,0,0,0,0,
1668526195361,0.313726,0.356688,0.822034,0.00702247,0.103203,0.0594203,0.0123711,0.57204,0.0147783,0.0921502,0.022541,0.330435,0.0036452,0.0500596,0,0,0,0,
1668526195461,0.313726,0.66879,0.777542,0.00983146,0.129893,0.0768116,0.0164948,0.634807,0.0492611,0.110922,0.0594262,0.33913,0.00850547,0.0464839,0,0,0,0,
1668526195561,0.294118,1,0.722458,0.0308989,0.169039,0.171014,0.0268041,0.654779,0.128079,0.124573,0.180328,0.426087,0.0243013,0.0691299,0,0,0,0,
1668526195662,0.235294,1,0.688559,0.0393258,0.225979,0.288406,0.0350515,0.656205,0.211823,0.156997,0.258197,0.476087,0.0607533,0.0858165,0,0,0,0,
1668526195762,0.215686,1,0.669492,0.0505618,0.241993,0.334783,0.0474227,0.654779,0.251232,0.192833,0.295082,0.486957,0.0874848,0.0941597,0,0,0,0,
1668526195862,0.205882,1,0.652542,0.0561798,0.236655,0.355072,0.0597938,0.650499,0.295566,0.220137,0.309426,0.48913,0.105711,0.0941597,0,0,0,0,
1668526195962,0.186275,1,0.639831,0.0519663,0.236655,0.347826,0.0680412,0.633381,0.315271,0.24744,0.313525,0.447826,0.137303,0.0977354,0,0,0,0,
1668526196062,0.166667,1,0.625,0.0449438,0.252669,0.368116,0.0886598,0.633381,0.305419,0.274744,0.327869,0.3,0.188335,0.114422,0,0,0,0,
1668526196162,0.166667,1,0.622881,0.0435393,0.266904,0.385507,0.113402,0.627675,0.339901,0.295222,0.32582,0.258696,0.211422,0.123957,0,0,0,0,
1668526196263,0.156863,1,0.625,0.0421348,0.27758,0.391304,0.142268,0.619116,0.389163,0.312287,0.315574,0.236957,0.200486,0.126341,0,0,0,0,
1668526196363,0.147059,1,0.631356,0.0463483,0.27758,0.402899,0.16701,0.590585,0.438424,0.329352,0.282787,0.208696,0.164034,0.121573,0,0,0,0,
1668526196463,0.127451,0.992308,0.637712,0.0505618,0.282918,0.433333,0.185567,0.552068,0.517241,0.349829,0.215164,0.2,0.147023,0.106079,0,0,0,0,
1668526196563,0.107843,0.979487,0.637712,0.0547753,0.311388,0.495652,0.206186,0.526391,0.591133,0.380546,0.135246,0.21087,0.132442,0.0989273,0,0,0,0,
1668526196663,0.117647,0.974359,0.644068,0.0575843,0.359431,0.569565,0.218557,0.544936,0.600985,0.399317,0.0881148,0.215217,0.119077,0.0929678,0,0,0,0,
1668526196763,0.127451,0.966667,0.648305,0.0603933,0.405694,0.637681,0.218557,0.569187,0.615764,0.40785,0.0348361,0.228261,0.0996355,0.0858165,0,0,0,0,
1668526196864,0.137255,0.961538,0.654661,0.0646067,0.428826,0.675362,0.228866,0.57632,0.650246,0.411263,0,0.228261,0.0874848,0.0810489,0,0,0,0,
1668526196964,0.176471,0.958974,0.65678,0.0702247,0.446619,0.695652,0.237113,0.584879,0.679803,0.418089,0,0.232609,0.0826245,0.0774732,0,0,0,0,
1668526197064,0.186275,0.951282,0.663136,0.0842697,0.427046,0.698551,0.249485,0.577746,0.738916,0.419795,0,0.23913,0.0789793,0.0750894,0,0,0,0,
1668526197164,0.205882,0.938462,0.665254,0.0941011,0.411032,0.698551,0.25567,0.559201,0.79803,0.418089,0,0.25,0.0753341,0.0715137,0,0,0,0,
1668526197264,0.22549,0.917949,0.667373,0.0997191,0.434164,0.708696,0.261856,0.550642,0.852217,0.416382,0,0.26087,0.0716889,0.0643623,0,0,0,0,
1668526197364,0.245098,0.902564,0.669492,0.101124,0.55516,0.742029,0.270103,0.549215,0.921182,0.416382,0,0.278261,0.0680437,0.0619785,0,0,0,0,
1668526197465,0.245098,0.892308,0.67161,0.0997191,0.613879,0.731884,0.270103,0.553495,0.931035,0.412969,0,0.284783,0.0631835,0.0595948,0,0,0,0,
1668526197565,0.254902,0.892308,0.667373,0.0983146,0.635231,0.728985,0.272165,0.560628,0.935961,0.412969,0,0.28913,0.0595383,0.0584029,0,0,0,0,
1668526197665,0.235294,0.897436,0.667373,0.0969101,0.635231,0.726087,0.270103,0.564907,0.926108,0.411263,0.00191939,0.293478,0.0595383,0.0584029,0,0,0,0,
1668526197765,0.22549,0.897436,0.665254,0.0997191,0.622776,0.72029,0.265979,0.564907,0.91133,0.411263,0.00191939,0.297826,0.0619684,0.0619785,0,0,0,0,
1668526197865,0.215686,0.897436,0.663136,0.103933,0.597865,0.715942,0.263918,0.562054,0.896552,0.411263,0.00191939,0.3,0.0631835,0.0631704,0,0,0,0,
1668526197966,0.215686,0.897436,0.661017,0.105337,0.587189,0.715942,0.265979,0.562054,0.901478,0.412969,0,0.306522,0.0631835,0.0643623,0,0,0,0,
1668526198066,0.215686,0.894872,0.663136,0.106742,0.581851,0.710145,0.265979,0.557775,0.896552,0.412969,0,0.31087,0.0656136,0.0643623,0,0,0,0,
1668526198166,0.205882,0.892308,0.661017,0.108146,0.578292,0.705797,0.265979,0.554922,0.901478,0.414676,0.00191205,0.31087,0.0643985,0.0643623,0,0,0,0,
1668526198266,0.196078,0.889744,0.658898,0.109551,0.558719,0.698551,0.265979,0.550642,0.896552,0.414676,0,0.315217,0.0656136,0.0655542,0,0,0,0,
1668526198366,0.196078,0.887179,0.658898,0.105337,0.55516,0.697101,0.261856,0.552068,0.886699,0.412969,0,0.317391,0.0656136,0.0655542,0,0,0,0,
1668526198466,0.205882,0.876923,0.654661,0.108146,0.553381,0.7,0.268041,0.550642,0.916256,0.418089,0,0.321739,0.0680437,0.0655542,0,0,0,0,
1668526198567,0.205882,0.85641,0.654661,0.113764,0.553381,0.701449,0.270103,0.549215,0.935961,0.419795,0,0.326087,0.0692588,0.0655542,0,0,0,0,
1668526198667,0.215686,0.846154,0.658898,0.113764,0.551601,0.698551,0.274227,0.537803,0.950739,0.419795,0,0.323913,0.0692588,0.0643623,0,0,0,0,
1668526198767,0.22549,0.833333,0.658898,0.11236,0.551601,0.695652,0.276289,0.53067,0.955665,0.419795,0,0.323913,0.0668287,0.0619785,0,0,0,0,
1668526198867,0.235294,0.794872,0.663136,0.11236,0.553381,0.688406,0.280412,0.520685,0.970443,0.421502,0.00189036,0.323913,0.0643985,0.0607866,0,0,0,0,
1668526198967,0.254902,0.751282,0.665254,0.120787,0.532028,0.691304,0.290722,0.490728,1,0.421502,0,0.330435,0.0643985,0.057211,0,0,0,0,
1668526199068,0.254902,0.738462,0.661017,0.119382,0.514235,0.695652,0.294845,0.46933,0.995238,0.421502,0,0.334783,0.0595383,0.0536353,0,0,0,0,
1668526199168,0.264706,0.7,0.663136,0.123596,0.469751,0.715942,0.305155,0.429387,1,0.416382,0,0.35,0.0534629,0.0476758,0,0,0,0,
1668526199268,0.27451,0.669231,0.65678,0.141854,0.391459,0.750725,0.331959,0.378031,1,0.418089,0,0.367391,0.0534629,0.0393325,0,0,0,0,
1668526199368,0.284314,0.653846,0.652542,0.171348,0.311388,0.842029,0.37732,0.28388,1,0.411263,0,0.38913,0.0534629,0.0321812,0,0,0,0,
1668526199468,0.294118,0.592308,0.652542,0.212079,0.241993,0.889855,0.406186,0.21398,1,0.416382,0,0.391304,0.054678,0.0297974,0,0,0,0,
1668526199568,0.284314,0.54359,0.654661,0.240169,0.199288,0.895652,0.408247,0.182596,0.966258,0.418089,0.00902527,0.382609,0.0534629,0.0274136,0,0,0,0,
1668526199669,0.27451,0.492308,0.658898,0.248596,0.181495,0.894203,0.412371,0.158345,0.911043,0.418089,0.0216607,0.373913,0.0461725,0.0214541,0,0,0,0,
1668526199769,0.27451,0.302564,0.667373,0.266854,0.158363,0.901449,0.430928,0.128388,0.837423,0.423208,0.032491,0.376087,0.0437424,0.0166865,0,0,0,0,
1668526199869,0.245098,0.148718,0.688559,0.273876,0.133452,0.927536,0.430928,0.0870185,0.751534,0.421502,0.0415162,0.380435,0.036452,0.0143027,0,0,0,0,
1668526199969,0.254902,0.107692,0.711864,0.269663,0.124555,0.918841,0.42268,0.0156919,0.662577,0.416382,0.0559567,0.373913,0.0291616,0.0131108,0,0,0,0,
1668526200069,0.323529,0.0897436,0.716102,0.240169,0.151246,0.862319,0.389691,0,0.656442,0.40785,0.0595668,0.369565,0.0230863,0.0166865,0,0,0,0,
1668526200170,0.323529,0.0948718,0.70339,0.213483,0.158363,0.843478,0.360825,0.00141243,0.625767,0.397611,0.064982,0.367391,0.0157959,0.0178784,0,0,0,0,
1668526200270,0.323529,0.0897436,0.701271,0.205056,0.163701,0.837681,0.348454,0,0.616564,0.394198,0.066787,0.365217,0.0145808,0.0190703,0,0,0,0,
1668526200370,0.284314,0.0769231,0.690678,0.179775,0.16548,0.833333,0.340206,0,0.634969,0.385666,0.0631769,0.380435,0.0145808,0.0262217,0,0,0,0,
1668526200470,0.27451,0.0692308,0.682203,0.119382,0.124555,0.757971,0.284536,0.0084507,0.576687,0.363481,0.0469314,0.406522,0.018226,0.0309893,0,0,0,0,
1668526200570,0.22549,0.0512821,0.550847,0.0477528,0.0925267,0.67971,0.134021,0.00985915,0.371166,0.31058,0.066787,0.382609,0.0194411,0.0369487,0,0,0,0,
1668526200670,0.176471,0.0435897,0.302966,0.0154494,0.0854093,0.526087,0.0371134,0.0056338,0.322086,0.257679,0.106498,0.241304,0.0328068,0.0441001,0,0,0,0,
