timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668780813327,0.0392857,0.025,0.325926,0.0205832,0.0552846,0.266735,0.0218254,0.0430108,0.54755,0.0572451,0.104839,0.739015,0.071754,0.0526961,0,0,0,0,
1668780813427,0.0392857,0.0229167,0.325926,0.0205832,0.0552846,0.266735,0.0238095,0.0443548,0.550432,0.0572451,0.103226,0.740346,0.071754,0.0526961,0,0,0,0,
1668780813527,0.0392857,0.0229167,0.320988,0.0222985,0.0552846,0.267765,0.0238095,0.0443548,0.550432,0.0554562,0.103226,0.740346,0.0728929,0.0514706,0,0,0,0,
1668780813627,0.0392857,0.0229167,0.31358,0.0188679,0.0569106,0.269825,0.0218254,0.0430108,0.54755,0.0554562,0.103226,0.737683,0.0728929,0.0502451,0,0,0,0,
1668780813728,0.0321429,0.01875,0.474074,0.0548885,0.0601626,0.272915,0.0218254,0.0349462,0.45245,0.0447227,0.109677,0.697736,0.070615,0.0428922,0,0,0,0,
1668780813828,0.05,0.0520833,0.809877,0.478559,0.121951,0.291452,0.236111,0.295699,0.440922,0.157424,0.43871,0.677763,0.071754,0.115196,0,0,0,0,
1668780813928,0.0178571,0.183333,0.834568,0.493997,0.417886,0.367662,0.212302,0.612903,0.397695,0.110912,0.63871,0.573901,0.0330296,0.294118,0,0,0,0,
1668780814028,0.0464286,0.0270833,0.837037,0.161235,0.0878049,0.592173,0.093254,0.205645,0.400576,0.078712,0.201613,0.561917,0.0101466,0.11152,0,0,0,0,
1668780814129,0.0321429,0.0208333,0.681481,0.202401,0.0715447,0.801236,0.128968,0.0981183,0.573487,0.137746,0.133871,0.648469,0.0462232,0.104167,0,0,0,0,
1668780814229,0.0107143,0.00833333,0.758025,0.26072,0.0861789,0.855819,0.202381,0.137097,0.639769,0.168157,0.119355,0.637816,0.0642616,0.0931373,0,0,0,0,
1668780814329,0.0107143,0.0125,0.733333,0.305317,0.245528,0.878476,0.240079,0.209677,0.610951,0.191413,0.125806,0.623169,0.0744081,0.0870098,0,0,0,0,
1668780814429,0.0142857,0.01875,0.740741,0.41681,0.289431,0.76725,0.347222,0.166667,0.619597,0.266547,0.101613,0.645806,0.100338,0.0882353,0,0,0,0,
1668780814530,0.0392857,0.254167,0.728395,0.490566,0.341463,0.791967,0.436508,0.11828,0.723343,0.320215,0.0548387,0.681758,0.119504,0.0784314,0,0,0,0,
1668780814630,0.0464286,0.360417,0.735802,0.523156,0.300813,0.755922,0.43254,0.107527,0.688761,0.341682,0.0419355,0.704394,0.118377,0.0784314,0,0,0,0,
1668780814730,0.0607143,0.514583,0.782716,0.531732,0.22439,0.658084,0.382937,0.0793011,0.610951,0.325581,0.0435484,0.65779,0.096956,0.0857843,0,0,0,0,
1668780814830,0.0607143,0.514583,0.804938,0.519726,0.149594,0.321318,0.285714,0.0793011,0.573487,0.266547,0.0629032,0.635153,0.0631342,0.0870098,0,0,0,0,
1668780814930,0.0571429,0.50625,0.82716,0.500858,0.115447,0.258496,0.253968,0.0416667,0.576369,0.243292,0.0758065,0.647137,0.0563698,0.0931373,0,0,0,0,
1668780815031,0.0607143,0.50625,0.849383,0.499142,0.102439,0.140062,0.236111,0.0537634,0.417867,0.218247,0.0854839,0.599201,0.0405862,0.0919118,0,0,0,0,
1668780815131,0.0642857,0.510417,0.851852,0.504288,0.095935,0.117405,0.236111,0.061828,0.37464,0.209302,0.0887097,0.588549,0.0349493,0.0943627,0,0,0,0,
1668780815231,0.0714286,0.504167,0.879012,0.500858,0.0731707,0.0720906,0.236111,0.0672043,0.299712,0.198569,0.0935484,0.564581,0.0259301,0.0980392,0,0,0,0,
1668780815331,0.075,0.5,0.898765,0.499142,0.0520325,0.0267765,0.238095,0.0577957,0.242075,0.193202,0.103226,0.540613,0.0214205,0.0992647,0,0,0,0,
1668780815432,0.0821429,0.508333,0.920988,0.490566,0.0390244,0,0.22619,0.0336022,0.201729,0.18068,0.109677,0.527297,0.0169109,0.0980392,0,0,0,0,
1668780815532,0.0892857,0.510417,0.925926,0.483705,0.0357724,0,0.218254,0.030914,0.175793,0.168157,0.11129,0.517976,0.0135287,0.0980392,0,0,0,0,
1668780815632,0.0892857,0.514583,0.911111,0.487135,0.0357724,0.00100402,0.21627,0.0241935,0.175793,0.162791,0.109677,0.511318,0.0124014,0.0968137,0,0,0,0,
1668780815732,0.0892857,0.51875,0.906173,0.487135,0.0341463,0.00301205,0.21627,0.0215054,0.193084,0.157424,0.108065,0.515313,0.0124014,0.0919118,0,0,0,0,
1668780815833,0.0928571,0.514583,0.906173,0.488851,0.0308943,0.0100402,0.212302,0.0215054,0.21902,0.150268,0.106452,0.524634,0.0124014,0.0894608,0,0,0,0,
1668780815933,0.0964286,0.516667,0.906173,0.495712,0.0292683,0.0230924,0.21627,0.0201613,0.233429,0.152057,0.106452,0.528628,0.0146561,0.0882353,0,0,0,0,
1668780816033,0.0964286,0.514583,0.908642,0.492281,0.0276423,0.0210843,0.21627,0.0201613,0.233429,0.152057,0.108065,0.531292,0.0146561,0.0882353,0,0,0,0,
1668780816133,0.1,0.510417,0.916049,0.490566,0.0260163,0.0110442,0.21627,0.0241935,0.242075,0.148479,0.108065,0.536618,0.0146561,0.0894608,0,0,0,0,
1668780816234,0.1,0.5,0.925926,0.488851,0.0227642,0.00200803,0.220238,0.0255376,0.253602,0.146691,0.11129,0.543276,0.0146561,0.0894608,0,0,0,0,
1668780816334,0.1,0.49375,0.925926,0.48542,0.0211382,0.00803213,0.218254,0.0282258,0.279539,0.150268,0.109677,0.560586,0.0157835,0.0906863,0,0,0,0,
1668780816434,0.1,0.485417,0.928395,0.483705,0.0211382,0.0110442,0.222222,0.0295699,0.345821,0.159213,0.108065,0.601864,0.0202931,0.0919118,0,0,0,0,
