timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668780580080,0.0340136,0.0550285,0.226744,0.00664452,0.0537125,0.28266,0.0094162,0.0331126,0.66113,0.0279605,0.0356537,0.838483,0.0528053,0.0237797,0,0,0,0,
1668780580180,0.0340136,0.0550285,0.223837,0.00664452,0.0521327,0.283452,0.0094162,0.0331126,0.66113,0.0279605,0.0356537,0.839888,0.0528053,0.0237797,0,0,0,0,
1668780580280,0.0306122,0.0550285,0.22093,0.00664452,0.0521327,0.283452,0.00753296,0.0331126,0.657807,0.0263158,0.0356537,0.838483,0.0528053,0.0237797,0,0,0,0,
1668780580380,0.0340136,0.056926,0.22093,0.00664452,0.0537125,0.284244,0.0094162,0.0331126,0.66113,0.0279605,0.0356537,0.838483,0.0517052,0.0237797,0,0,0,0,
1668780580481,0.0340136,0.0550285,0.218023,0.00996678,0.0537125,0.285036,0.0094162,0.0331126,0.66113,0.0279605,0.0339559,0.838483,0.0517052,0.0237797,0,0,0,0,
1668780580581,0.0306122,0.0531309,0.206395,0.00996678,0.0521327,0.285036,0.00753296,0.0331126,0.657807,0.0279605,0.0339559,0.841292,0.0528053,0.0225282,0,0,0,0,
1668780580681,0.0340136,0.0531309,0.168605,0.013289,0.0505529,0.288203,0.0094162,0.0384106,0.671096,0.0230263,0.040747,0.830056,0.039604,0.0250313,0,0,0,0,
1668780580781,0.0136054,0.0360531,0.787791,0.172757,0.0268562,0.239905,0.0772128,0.0900662,0.375415,0.0323625,0.125637,0.691011,0.0209021,0.0425532,0,0,0,0,
1668780580882,0.0748299,0.0170778,0.901163,0.478405,0.0410742,0.315914,0.301318,0.202649,0.651163,0.153722,0.337861,0.817416,0.0693069,0.28035,0,0,0,0,
1668780580982,0.085034,0.0189753,0.892442,0.519934,0.0900474,0.281869,0.265537,0.276821,0.551495,0.182848,0.480475,0.695225,0.0814081,0.435544,0,0,0,0,
1668780581082,0.0136054,0.0227704,1,0.372093,0.0884676,0.164687,0.135593,0.198675,0.33887,0.0550162,0.353141,0.560393,0.029703,0.352941,0,0,0,0,
