timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668780978637,0.0214724,0.0421456,0.170279,0.00722022,0.0853462,0.259219,0.054,0,0.813456,0.102564,0.0901503,0.805338,0.0878995,0.120321,0,0,0,0,
1668780978737,0.0214724,0.0421456,0.173375,0.00722022,0.0837359,0.259219,0.054,0,0.816514,0.104396,0.0901503,0.805338,0.0878995,0.120321,0,0,0,0,
1668780978838,0.0184049,0.0402299,0.170279,0.00541516,0.0853462,0.259219,0.054,0,0.816514,0.104396,0.0901503,0.805338,0.0890411,0.120321,0,0,0,0,
1668780978938,0.0214724,0.0421456,0.164087,0.00541516,0.0837359,0.259219,0.054,0.00141443,0.816514,0.102564,0.0901503,0.803768,0.0856164,0.117647,0,0,0,0,
1668780979038,0.0153374,0.0383142,0.188854,0.0361011,0.0869565,0.278742,0.052,0,0.770642,0.0952381,0.0834725,0.78179,0.0833333,0.108289,0,0,0,0,
1668780979138,0.00613497,0.0191571,0.814241,0.218412,0.0547504,0.241866,0.206,0.0787623,0.584098,0.148352,0.191987,0.649922,0.0684932,0.0989305,0,0,0,0,
1668780979238,0.0368098,0.0249042,0.832817,0.49278,0.0917874,0.261388,0.306,0.261603,0.571865,0.238095,0.462437,0.591837,0.0707763,0.157754,0,0,0,0,
1668780979339,0.0153374,0.0363985,0.959752,0.543321,0.186795,0.207158,0.26,0.578059,0.544343,0.197802,0.642738,0.530612,0.0422374,0.303476,0,0,0,0,
1668780979439,0,0.0402299,1,0.481949,0.144928,0.0813449,0.188,0.658228,0.458716,0.0695971,0.639399,0.453689,0.00570776,0.314171,0,0,0,0,
1668780979539,0.00607903,0.0402299,1,0.411552,0.120773,0.0943601,0.17,0.630098,0.360856,0.00549451,0.639399,0.359498,0.00684932,0.282086,0,0,0,0,
1668780979639,0.0151976,0.0287356,0.994565,0.330325,0.10467,0.144252,0.14,0.638537,0.293578,0,0.646077,0.287284,0.0148402,0.260695,0,0,0,0,
1668780979739,0.0182371,0.0287356,1,0.303249,0.10628,0.183297,0.128,0.623066,0.275229,0,0.644407,0.271586,0.0125571,0.247326,0,0,0,0,
