timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668781573727,0.0474777,0.0545113,0.140719,0.0171821,0.0842788,0.36612,0.0186722,0.0163112,0.64752,0.0711744,0.0375671,0.873065,0.0622837,0.0684358,0,0,0,0,
1668781573827,0.0504451,0.0582707,0.146707,0.0171821,0.0858995,0.368852,0.0186722,0.0163112,0.644909,0.0711744,0.0375671,0.871517,0.0611303,0.0684358,0,0,0,0,
1668781573927,0.0504451,0.056391,0.146707,0.0171821,0.0858995,0.367031,0.0165975,0.0150565,0.644909,0.069395,0.0375671,0.871517,0.0622837,0.0670391,0,0,0,0,
1668781574028,0.0474777,0.0545113,0.128743,0.0154639,0.0842788,0.371585,0.0145228,0.0150565,0.639687,0.0711744,0.0357782,0.866873,0.0599769,0.0642458,0,0,0,0,
1668781574128,0.041543,0.0488722,0.727545,0.0670103,0.0858995,0.348816,0.0145228,0.0175659,0.537859,0.069395,0.0697674,0.797214,0.017301,0.0670391,0,0,0,0,
1668781574228,0.0296736,0.0281955,0.889222,0.250859,0.0599676,0.343352,0.165975,0.166876,0.519582,0.108541,0.27907,0.797214,0.0611303,0.117318,0,0,0,0,
1668781574328,0.106825,0.0169173,0.997006,0.426117,0.0940032,0.350638,0.201245,0.53074,0.558747,0.161922,0.615385,0.814241,0.0634371,0.412011,0,0,0,0,
1668781574428,0.175074,0.0206767,1,0.439863,0.124797,0.308743,0.155602,0.654956,0.582245,0.128114,0.686941,0.80031,0.0495963,0.541899,0,0,0,0,
1668781574529,0.178042,0.0300752,1,0.371134,0.103728,0.26867,0.107884,0.697616,0.569191,0.0480427,0.692308,0.789474,0.0207612,0.575419,0,0,0,0,
1668781574629,0.172107,0.0225564,1,0.283505,0.0842788,0.270492,0.0684647,0.687578,0.54047,0,0.685152,0.763158,0,0.567039,0,0,0,0,
1668781574729,0.166172,0.0206767,0.983568,0.276632,0.0858995,0.290528,0.0622407,0.672522,0.543081,0,0.683363,0.750774,0.00114548,0.574022,0,0,0,0,
1668781574829,0.175074,0.0206767,0.960094,0.33677,0.0745543,0.322404,0.0871369,0.690088,0.571802,0.0121107,0.694097,0.77709,0.00572738,0.615922,0,0,0,0,
1668781574929,0.186944,0.0169173,0.934272,0.357388,0.076175,0.361566,0.0975104,0.695107,0.600522,0.0190311,0.706619,0.803406,0.0045819,0.645251,0,0,0,0,
1668781575030,0.21365,0.0075188,0.887324,0.390034,0.0599676,0.397086,0.120332,0.707654,0.639687,0.050173,0.72093,0.846749,0.00343643,0.685754,0,0,0,0,
1668781575130,0.198813,0.0093985,0.875587,0.407216,0.0551053,0.442623,0.134855,0.695107,0.686684,0.0795848,0.70483,0.848297,0.00114548,0.715084,0,0,0,0,
1668781575230,0.183976,0.0150376,0.873239,0.448454,0.0696921,0.466302,0.176349,0.675031,0.715405,0.128028,0.717352,0.868421,0.0045819,0.72905,0,0,0,0,
