timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668781861049,0.00689655,0.0828157,0.139676,0.0463822,0.0808581,0.367171,0.0984556,0.0203804,0.679458,0.100193,0.0820244,0.861111,0.127098,0.0964029,0,0,0,0,
1668781861149,0.0103448,0.0828157,0.1417,0.0463822,0.0808581,0.367171,0.0984556,0.0203804,0.679458,0.100193,0.0820244,0.860082,0.127098,0.0964029,0,0,0,0,
1668781861250,0.00689655,0.0828157,0.139676,0.0482375,0.0792079,0.367171,0.0984556,0.0190217,0.679458,0.0982659,0.0802792,0.861111,0.127098,0.094964,0,0,0,0,
1668781861350,0.00689655,0.0828157,0.137652,0.0463822,0.0775578,0.366091,0.0965251,0.0190217,0.677201,0.0963391,0.0802792,0.860082,0.129496,0.094964,0,0,0,0,
1668781861450,0.0103448,0.0786749,0.145749,0.0538033,0.0825083,0.381209,0.0907336,0.0149457,0.650113,0.0867052,0.0767888,0.848765,0.131894,0.0834532,0,0,0,0,
1668781861550,0.0655172,0.0434783,0.819838,0.239332,0.0379538,0.357451,0.227799,0.131793,0.62754,0.138728,0.191972,0.81893,0.08753,0.0561151,0,0,0,0,
1668781861651,0.262069,0.0310559,0.880567,0.517625,0.0676568,0.317495,0.339768,0.245924,0.623025,0.296724,0.364747,0.832305,0.0923261,0.0733813,0,0,0,0,
1668781861751,0.348276,0.0289855,0.890688,0.536178,0.234323,0.284017,0.339768,0.433424,0.566591,0.337187,0.488656,0.786008,0.0623501,0.151079,0,0,0,0,
1668781861851,0.22069,0.0414079,0.989879,0.454545,0.130363,0.231102,0.260618,0.331522,0.521445,0.213873,0.317627,0.824074,0.0515588,0.0877698,0,0,0,0,
1668781861951,0.17931,0.0310559,0.976048,0.333952,0.0874587,0.331533,0.198842,0.262228,0.595937,0.154143,0.239092,0.885802,0.0359712,0.0863309,0,0,0,0,
