timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668782507983,0.0487805,0.241379,0.492462,0.0374415,0.0365535,0.3,0.0513393,0.00117786,0.586854,0.0734177,0.104987,0.559871,0.0580645,0.0252427,0,0,0,0,
1668782508083,0.0487805,0.241379,0.492462,0.0374415,0.0365535,0.298592,0.0513393,0,0.586854,0.0759494,0.104987,0.559871,0.0564516,0.0252427,0,0,0,0,
1668782508183,0.0487805,0.245211,0.497487,0.0374415,0.0365535,0.298592,0.0513393,0,0.586854,0.0759494,0.104987,0.559871,0.0580645,0.0271845,0,0,0,0,
1668782508284,0.0569106,0.241379,0.502513,0.0390016,0.037859,0.298592,0.0513393,0.00117786,0.58216,0.0734177,0.104987,0.563107,0.0580645,0.0252427,0,0,0,0,
1668782508384,0.0650406,0.233716,0.809045,0.0624025,0.0391645,0.309859,0.0803571,0.00468384,0.568075,0.103797,0.0958005,0.559871,0.0370968,0.00582524,0,0,0,0,
1668782508484,0.113821,0.210728,0.899498,0.099844,0.04047,0.353521,0.125,0.0175644,0.680751,0.124051,0.124672,0.585761,0.0322581,0.0213592,0,0,0,0,
1668782508584,0.178862,0.252874,1,0.0967239,0.0496084,0.333803,0.0870536,0.0480094,0.577465,0.106329,0.132546,0.436893,0.0177419,0.0368932,0,0,0,0,
1668782508684,0.243902,0.302682,1,0.0561622,0.0861619,0.371831,0.0669643,0.0737705,0.549296,0.0860759,0.110236,0.275081,0.0177419,0.0757282,0,0,0,0,
1668782508785,0.276423,0.279693,0.954357,0.104524,0.117493,0.376056,0.0825893,0.0772834,0.605634,0.0658228,0.124672,0.349515,0.0290323,0.145631,0,0,0,0,
1668782508885,0.292683,0.256705,0.917012,0.123245,0.173629,0.557746,0.102679,0.0960187,0.769953,0.0810127,0.152231,0.621359,0.0354839,0.24466,0,0,0,0,
1668782508985,0.284553,0.245211,0.904564,0.115445,0.249347,0.601408,0.100446,0.119438,0.910798,0.113924,0.174541,0.831715,0.05,0.266019,0,0,0,0,
1668782509085,0.317073,0.272031,0.838174,0.131045,0.385118,0.888732,0.165179,0.120609,0.986425,0.303797,0.144357,0.912621,0.120968,0.300971,0,0,0,0,
1668782509185,0.325203,0.344828,0.875519,0.157566,0.402089,0.869014,0.205357,0.120609,0.841629,0.392405,0.149606,0.546926,0.140323,0.299029,0,0,0,0,
1668782509286,0.333333,0.425287,0.829876,0.157566,0.379896,0.821127,0.203125,0.129977,0.511312,0.367089,0.182415,0.223301,0.137097,0.260194,0,0,0,0,
1668782509386,0.341463,0.490421,0.821577,0.157566,0.348564,0.785915,0.200893,0.14637,0.420814,0.379747,0.191601,0.152104,0.148387,0.264078,0,0,0,0,
1668782509486,0.349593,0.475096,0.842324,0.152886,0.340731,0.784507,0.191964,0.144028,0.434389,0.392405,0.187664,0.177994,0.151613,0.258252,0,0,0,0,
1668782509586,0.357724,0.45977,0.846473,0.148206,0.342037,0.78169,0.178571,0.137002,0.457014,0.397468,0.182415,0.213592,0.15,0.254369,0,0,0,0,
1668782509686,0.357724,0.444444,0.854772,0.141966,0.344648,0.777465,0.162946,0.133489,0.475113,0.402532,0.178478,0.255663,0.151613,0.248544,0,0,0,0,
1668782509787,0.349593,0.444444,0.858921,0.137285,0.348564,0.778873,0.151786,0.133489,0.493213,0.394937,0.178478,0.281553,0.153226,0.250485,0,0,0,0,
1668782509887,0.341463,0.43295,0.858921,0.134165,0.35248,0.784507,0.142857,0.133489,0.520362,0.389873,0.177165,0.317152,0.153226,0.254369,0,0,0,0,
1668782509987,0.317073,0.429119,0.813278,0.131045,0.368146,0.815493,0.140625,0.133489,0.633484,0.397468,0.165354,0.459547,0.148387,0.275728,0,0,0,0,
1668782510087,0.308943,0.421456,0.792531,0.131045,0.375979,0.838028,0.140625,0.137002,0.742081,0.377215,0.150919,0.644013,0.140323,0.295146,0,0,0,0,
1668782510187,0.300813,0.37931,0.780083,0.132605,0.383812,0.86338,0.149554,0.142857,0.782805,0.36962,0.146982,0.676375,0.132258,0.295146,0,0,0,0,
1668782510288,0.300813,0.356322,0.771784,0.134165,0.385118,0.873239,0.151786,0.147541,0.782805,0.346835,0.148294,0.676375,0.125806,0.295146,0,0,0,0,
1668782510388,0.300813,0.337165,0.767635,0.134165,0.386423,0.876056,0.154018,0.148712,0.778281,0.336709,0.149606,0.669903,0.119355,0.295146,0,0,0,0,
1668782510488,0.300813,0.314176,0.755187,0.129485,0.389034,0.873239,0.151786,0.147541,0.769231,0.324051,0.150919,0.66343,0.117742,0.293204,0,0,0,0,
1668782510588,0.325203,0.291188,0.73444,0.124805,0.387728,0.840845,0.151786,0.149883,0.742081,0.306329,0.15748,0.66343,0.112903,0.285437,0,0,0,0,
1668782510688,0.349593,0.279693,0.742739,0.118565,0.387728,0.780282,0.151786,0.147541,0.701357,0.288608,0.166667,0.66343,0.112903,0.264078,0,0,0,0,
1668782510789,0.373984,0.260536,0.742739,0.109204,0.406005,0.676056,0.147321,0.163934,0.556561,0.253165,0.187664,0.650485,0.104839,0.221359,0,0,0,0,
1668782510889,0.382114,0.249042,0.746888,0.107644,0.400783,0.528169,0.147321,0.187354,0.484163,0.237975,0.198163,0.669903,0.0919355,0.231068,0,0,0,0,
1668782510989,0.390244,0.226054,0.780083,0.099844,0.39295,0.342254,0.122768,0.221311,0.40724,0.207595,0.199475,0.705502,0.0951613,0.267961,0,0,0,0,
