timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668782598214,0.113208,0.230415,0.664865,0.0327022,0.0220386,0.353846,0.0332542,0.0124294,0.746114,0.0487179,0.0958084,0.586118,0.0572451,0.0224439,0,0,0,0,
1668782598315,0.132075,0.230415,0.664865,0.0327022,0.0206612,0.353846,0.0356295,0.0124294,0.746114,0.0487179,0.0958084,0.586118,0.0572451,0.0224439,0,0,0,0,
1668782598415,0.132075,0.230415,0.659459,0.0344234,0.0220386,0.353846,0.0332542,0.0124294,0.740933,0.0487179,0.0958084,0.583548,0.0572451,0.0224439,0,0,0,0,
1668782598515,0.132075,0.225806,0.789189,0.0430293,0.0220386,0.34,0.0380048,0.00903955,0.689119,0.0461538,0.0898204,0.552699,0.039356,0.00997506,0,0,0,0,
1668782598615,0.0566038,0.211982,0.988095,0.0619621,0.0261708,0.32,0.0760095,0.0282486,0.720207,0.0512821,0.10479,0.570694,0.0125224,0,0,0,0,0,
1668782598715,0.132075,0.170507,0.880952,0.0963855,0.0385675,0.338462,0.106888,0.0384181,0.678756,0.0897436,0.118263,0.473008,0,0.0122549,0,0,0,0,
1668782598816,0.245283,0.179724,0.964286,0.0860585,0.0440771,0.347692,0.087886,0.0463277,0.678756,0.107692,0.122754,0.419023,0,0.0269608,0,0,0,0,
1668782598916,0.377358,0.235023,1,0.070568,0.053719,0.396923,0.0807601,0.061017,0.797927,0.117949,0.122754,0.398458,0,0.0392157,0,0,0,0,
1668782599016,0.528302,0.322581,0.996283,0.11704,0.0688705,0.695385,0.0902613,0.0689266,1,0.0871795,0.116766,0.524422,0.00886525,0.0147059,0,0,0,0,
1668782599116,0.603774,0.308756,1,0.129088,0.125344,0.807692,0.087886,0.0836158,1,0.0820513,0.128743,0.624679,0.0212766,0,0,0,0,0,
1668782599216,0.641509,0.221198,0.99278,0.125645,0.22865,0.883077,0.0926366,0.101695,0.987705,0.1,0.140719,0.691517,0.0460993,0.00242718,0,0,0,0,
1668782599317,0.641509,0.198157,0.927798,0.13253,0.53168,1,0.128266,0.134463,1,0.24359,0.136228,0.871465,0.102837,0.0121359,0,0,0,0,
1668782599417,0.754717,0.239631,0.967509,0.144578,0.632231,1,0.166271,0.133333,0.996441,0.376923,0.121257,0.866324,0.120567,0.13835,0,0,0,0,
1668782599517,0.716981,0.262673,0.920578,0.148021,0.632231,1,0.180523,0.128814,0.843416,0.374359,0.125749,0.627249,0.118794,0.223301,0,0,0,0,
1668782599617,0.679245,0.290323,0.898917,0.153184,0.599174,0.965101,0.178147,0.175141,0.637011,0.358974,0.142216,0.51928,0.12766,0.317961,0,0,0,0,
1668782599717,0.716981,0.281106,0.895307,0.156627,0.550964,0.897987,0.192399,0.170621,0.604982,0.389744,0.137725,0.508997,0.141844,0.402913,0,0,0,0,
1668782599818,0.773585,0.271889,0.906137,0.149742,0.550964,0.875168,0.192399,0.148023,0.647687,0.379487,0.136228,0.529563,0.132979,0.407767,0,0,0,0,
1668782599918,0.792453,0.271889,0.909747,0.144578,0.567493,0.888591,0.166271,0.144633,0.669039,0.351282,0.137725,0.55527,0.134752,0.410194,0,0,0,0,
1668782600018,0.811321,0.267281,0.924188,0.141136,0.560606,0.87651,0.149644,0.145763,0.66548,0.341026,0.140719,0.570694,0.136525,0.412621,0,0,0,0,
