timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668782378858,0.133333,0.237288,0.440298,0.0228873,0.0231884,0.796089,0.0899654,0.00950119,0.504464,0.159259,0.0591054,0.397297,0.0755814,0.0138889,0,0,0,0,
1668782378958,0.155556,0.237288,0.447761,0.0246479,0.0231884,0.798883,0.0934256,0.00950119,0.508929,0.159259,0.0591054,0.397297,0.0784884,0.0138889,0,0,0,0,
1668782379059,0.133333,0.237288,0.447761,0.0246479,0.0231884,0.796089,0.0899654,0.00831354,0.504464,0.159259,0.057508,0.397297,0.0755814,0.0119048,0,0,0,0,
1668782379159,0.133333,0.237288,0.447761,0.0228873,0.0231884,0.798883,0.0899654,0.00950119,0.508929,0.159259,0.057508,0.397297,0.0755814,0.0119048,0,0,0,0,
1668782379259,0.133333,0.233051,0.432836,0.0228873,0.0231884,0.796089,0.0899654,0.00831354,0.5,0.159259,0.057508,0.394595,0.0726744,0.0119048,0,0,0,0,
1668782379359,0.0888889,0.228814,1,0.0457746,0.0246377,0.740223,0.128028,0.0296912,0.504464,0.192593,0.086262,0.424324,0.0581395,0.00395257,0,0,0,0,
1668782379459,0.355556,0.199153,1,0.0739437,0.0333333,0.731844,0.128028,0.0427553,0.455357,0.185185,0.103834,0.302703,0.0232558,0.0237154,0,0,0,0,
1668782379560,0.6,0.224576,0.957747,0.0211268,0.057971,0.846369,0.114187,0.0558195,0.535714,0.262963,0.0511182,0.202703,0.0377907,0.0474308,0,0,0,0,
1668782379660,0.733333,0.25,1,0,0.0869565,0.874302,0.103806,0.0807601,0.629464,0.174074,0.0814696,0.278378,0.0755814,0.0790514,0,0,0,0,
1668782379760,0.822222,0.211864,0.809524,0.115385,0.102899,1,0.176471,0.0902613,0.705357,0.366667,0.119808,0.424324,0.168605,0.166008,0,0,0,0,
1668782379860,0.955556,0.25,0.774892,0.148601,0.26087,1,0.217993,0.18171,0.897321,0.392593,0.175719,0.672973,0.206395,0.328063,0,0,0,0,
1668782379960,0.955556,0.368644,0.770563,0.164336,0.397101,1,0.314879,0.190024,0.919643,0.711111,0.177316,0.556757,0.284884,0.34585,0,0,0,0,
1668782380060,0.955556,0.385593,0.705628,0.166084,0.395652,0.98679,0.307958,0.200713,0.875,0.755556,0.177316,0.535135,0.284884,0.343874,0,0,0,0,
1668782380161,1,0.334746,0.675325,0.15035,0.401449,0.944518,0.283737,0.22209,0.825893,0.688889,0.180511,0.516216,0.241279,0.332016,0,0,0,0,
1668782380261,1,0.300847,0.679654,0.13986,0.413043,0.900925,0.276817,0.228029,0.821429,0.596296,0.175719,0.532432,0.215116,0.320158,0,0,0,0,
1668782380361,0.979167,0.292373,0.645022,0.141608,0.414493,0.886394,0.294118,0.233967,0.834821,0.525926,0.166134,0.535135,0.209302,0.310277,0,0,0,0,
1668782380461,1,0.283898,0.640693,0.138112,0.418841,0.853369,0.290657,0.241093,0.816964,0.492593,0.161342,0.537838,0.206395,0.300395,0,0,0,0,
1668782380561,1,0.283898,0.640693,0.132867,0.43913,0.840159,0.280277,0.245843,0.790179,0.451852,0.158147,0.545946,0.200581,0.29249,0,0,0,0,
1668782380662,1,0.288136,0.601732,0.118881,0.471014,0.819022,0.221453,0.24228,0.754464,0.362963,0.159744,0.583784,0.206395,0.302372,0,0,0,0,
1668782380762,1,0.173729,0.636364,0.115385,0.453623,0.766182,0.200692,0.209026,0.772321,0.322222,0.15016,0.613514,0.197674,0.298419,0,0,0,0,
1668782380862,0.862745,0.161017,0.74026,0.108392,0.073913,0.418758,0.141869,0.117577,0.611607,0.0555556,0.186901,0.4,0.0348837,0.150198,0,0,0,0,
