timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668782827675,0.1,0.0570571,0.181818,0.0349762,0.0149051,0.354005,0.0760626,0.0139211,0.621005,0.139842,0.0892587,0.309091,0.0763889,0.0454545,0,0,0,0,
1668782827775,0.1,0.0570571,0.181818,0.036566,0.0162602,0.354005,0.0760626,0.0139211,0.621005,0.137203,0.0877458,0.309091,0.0746528,0.0427807,0,0,0,0,
1668782827875,0.0923077,0.0540541,0.261818,0.0381558,0.0162602,0.347545,0.0693512,0.0139211,0.607306,0.134565,0.0892587,0.306818,0.0746528,0.0427807,0,0,0,0,
1668782827975,0.130769,0.045045,0.538182,0.111288,0.0216802,0.375969,0.145414,0.0313225,0.694064,0.195251,0.113464,0.375,0.0555556,0.040107,0,0,0,0,
1668782828076,0.123077,0.024024,0.530909,0.17965,0.0298103,0.431525,0.248322,0.0510441,0.680365,0.298153,0.131619,0.338636,0.078125,0.15508,0,0,0,0,
1668782828176,0.115385,0.018018,0.585455,0.197138,0.0447154,0.462532,0.272931,0.0591647,0.703196,0.369393,0.161876,0.293182,0.102431,0.280749,0,0,0,0,
1668782828276,0.176923,0.027027,0.72,0.166932,0.0582656,0.552972,0.192394,0.0742459,0.748858,0.295515,0.170953,0.295455,0.0989583,0.377005,0,0,0,0,
1668782828376,0.192308,0.039039,0.796364,0.163752,0.0474255,0.611111,0.154362,0.0858469,0.826484,0.277045,0.149773,0.340909,0.0972222,0.427807,0,0,0,0,
1668782828476,0.215385,0.0540541,0.854545,0.154213,0.0433604,0.666667,0.134228,0.0730858,0.894977,0.266491,0.133132,0.393182,0.0972222,0.483957,0,0,0,0,
1668782828577,0.207692,0.0570571,0.88,0.149444,0.0447154,0.657623,0.123043,0.0730858,0.90411,0.253298,0.131619,0.404545,0.0902778,0.486631,0,0,0,0,
1668782828677,0.215385,0.0570571,0.872727,0.149444,0.0460705,0.660207,0.120805,0.0730858,0.931507,0.255937,0.128593,0.411364,0.09375,0.47861,0,0,0,0,
1668782828777,0.2,0.0570571,0.847273,0.147854,0.0474255,0.665375,0.123043,0.0707657,0.945205,0.258575,0.124054,0.443182,0.0954861,0.483957,0,0,0,0,
1668782828877,0.215385,0.0600601,0.829091,0.147854,0.0514905,0.679587,0.118568,0.0684455,0.936073,0.253298,0.122542,0.477273,0.0920139,0.491979,0,0,0,0,
1668782828977,0.223077,0.0570571,0.84,0.144674,0.0623306,0.677003,0.114094,0.0696056,0.926941,0.248021,0.122542,0.520455,0.0850694,0.505348,0,0,0,0,
1668782829077,0.215385,0.0630631,0.814545,0.139905,0.0934959,0.684755,0.114094,0.0788863,0.945205,0.253298,0.122542,0.636364,0.0815972,0.550802,0,0,0,0,
1668782829178,0.207692,0.042042,0.76,0.138315,0.146341,0.689922,0.114094,0.0881671,1,0.253298,0.133132,0.711364,0.0798611,0.561497,0,0,0,0,
1668782829278,0.215385,0.345345,0.734545,0.149444,0.265583,0.715762,0.114094,0.113689,1,0.255937,0.142209,0.740909,0.0833333,0.585562,0,0,0,0,
1668782829378,0.2,0.735736,0.716364,0.166932,0.307588,0.758398,0.127517,0.12761,0.977778,0.292876,0.149773,0.752273,0.100694,0.59893,0,0,0,0,
1668782829478,0.207692,0.786787,0.730909,0.17806,0.315718,0.763566,0.14094,0.12877,0.986667,0.316623,0.146747,0.704545,0.111111,0.582888,0,0,0,0,
