timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668782966149,0.013986,0.116041,0.70339,0.0317965,0.0366714,0.305592,0.101737,0.0187354,0.607547,0.139881,0.100719,0.519757,0.0434783,0.0659091,0,0,0,0,
1668782966250,0.00699301,0.116041,0.711864,0.0349762,0.0380818,0.304291,0.104218,0.0187354,0.603774,0.139881,0.0992806,0.516717,0.04,0.0659091,0,0,0,0,
1668782966350,0.020979,0.109215,0.872881,0.0540541,0.0423131,0.328999,0.104218,0.0175644,0.622642,0.14881,0.100719,0.522796,0.0278261,0.0545455,0,0,0,0,
1668782966450,0.041958,0.102389,0.868644,0.0858506,0.0493653,0.360208,0.156328,0.0351288,0.664151,0.160714,0.123741,0.550152,0.0226087,0.0545455,0,0,0,0,
1668782966550,0.034965,0.0819113,0.911017,0.114467,0.0550071,0.401821,0.173697,0.0761124,0.660377,0.178571,0.153957,0.525836,0.0313043,0.0863636,0,0,0,0,
1668782966651,0.0909091,0.0784983,0.940678,0.138315,0.0550071,0.46554,0.148883,0.0854801,0.709434,0.190476,0.168345,0.495441,0.0504348,0.163636,0,0,0,0,
1668782966751,0.125874,0.0955631,0.940678,0.166932,0.0366714,0.544863,0.143921,0.088993,0.758491,0.217262,0.181295,0.507599,0.0643478,0.197727,0,0,0,0,
1668782966851,0.125874,0.12628,0.927966,0.187599,0.0310296,0.568271,0.151365,0.088993,0.792453,0.208333,0.184173,0.510638,0.066087,0.2,0,0,0,0,
1668782966951,0.160839,0.129693,0.90678,0.198728,0.0338505,0.609883,0.153846,0.088993,0.818868,0.205357,0.184173,0.531915,0.0643478,0.213636,0,0,0,0,
1668782967051,0.167832,0.129693,0.877119,0.201908,0.0380818,0.646294,0.156328,0.0854801,0.818868,0.214286,0.182734,0.534954,0.0643478,0.231818,0,0,0,0,
1668782967152,0.167832,0.122867,0.805085,0.222576,0.0437236,0.673602,0.173697,0.0948478,0.781132,0.217262,0.202878,0.617021,0.0747826,0.345455,0,0,0,0,
1668782967252,0.188811,0.133106,0.809322,0.244833,0.0592384,0.730819,0.198511,0.11007,0.739623,0.252976,0.257554,0.732523,0.0973913,0.427273,0,0,0,0,
1668782967352,0.237762,0.1843,0.834746,0.257552,0.0803949,0.73212,0.19603,0.106557,0.637736,0.28869,0.333813,0.720365,0.109565,0.556818,0,0,0,0,
1668782967452,0.321678,0.368601,0.809322,0.278219,0.0973202,0.720416,0.223325,0.124122,0.573585,0.377976,0.353957,0.598784,0.123478,0.643182,0,0,0,0,
1668782967553,0.34965,0.474403,0.775424,0.278219,0.108604,0.681404,0.258065,0.183841,0.550943,0.4375,0.359712,0.553191,0.132174,0.638636,0,0,0,0,
1668782967653,0.328671,0.672355,0.805085,0.292528,0.114245,0.70091,0.263027,0.173302,0.558491,0.392857,0.356835,0.556231,0.135652,0.640909,0,0,0,0,
1668782967753,0.314685,0.679181,0.817797,0.303657,0.126939,0.721717,0.263027,0.161592,0.603774,0.389881,0.355396,0.574468,0.14087,0.640909,0,0,0,0,
