timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668783251607,0.0136054,0.14321,0.587983,0.0473083,0.0133511,0.569273,0.0886699,0.053443,0.615079,0.114187,0.121306,0.680912,0.0883978,0.0395778,0,0,0,0,
1668783251708,0.0136054,0.14321,0.592275,0.050571,0.0133511,0.567901,0.091133,0.053443,0.615079,0.117647,0.122862,0.680912,0.0883978,0.0395778,0,0,0,0,
1668783251808,0.0136054,0.14321,0.600858,0.050571,0.0133511,0.562414,0.0862069,0.0544707,0.611111,0.110727,0.121306,0.680912,0.0883978,0.0422164,0,0,0,0,
1668783251908,0.0272109,0.135802,0.854077,0.0799347,0.0226969,0.558299,0.103448,0.0606372,0.626984,0.121107,0.121306,0.700855,0.0580111,0,0,0,0,0,
1668783252008,0.0748299,0.118519,0.862661,0.1354,0.0293725,0.595336,0.179803,0.0914697,0.730159,0.221453,0.144635,0.723647,0.0607735,0.0209424,0,0,0,0,
1668783252109,0.0544218,0.125926,1,0.141925,0.0894526,0.636488,0.105911,0.144913,0.678571,0.179931,0.189736,0.646724,0.0635359,0.170157,0,0,0,0,
1668783252209,0.047619,0.145679,0.992032,0.14845,0.0520694,0.792867,0.103448,0.142857,0.793651,0.249135,0.174184,0.615385,0.0248619,0.146597,0,0,0,0,
1668783252309,0.0544218,0.155556,0.988048,0.156607,0.0413885,0.871056,0.110837,0.129496,0.924603,0.297578,0.164852,0.689459,0.0303867,0.0863874,0,0,0,0,
1668783252409,0.0952381,0.162963,0.984314,0.163132,0.0453939,0.864198,0.105911,0.124358,1,0.290657,0.166407,0.843305,0.038674,0.0235602,0,0,0,0,
1668783252509,0.102041,0.145679,0.976471,0.166395,0.0534045,0.85048,0.110837,0.129496,1,0.287197,0.175739,0.997151,0.0718232,0.0052356,0,0,0,0,
1668783252610,0.102041,0.133333,0.941176,0.161501,0.0947931,0.825789,0.12069,0.139774,1,0.304498,0.18507,1,0.110497,0.0183246,0,0,0,0,
1668783252710,0.0884354,0.120988,0.85098,0.163132,0.161549,0.802469,0.128079,0.147996,1,0.307958,0.209953,0.997519,0.118785,0.0209424,0,0,0,0,
