timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668786840983,0.15873,0.0344203,0.234783,0.023301,0.0772798,0.180153,0.0714286,0,0.584559,0.221945,0.0111317,0.748908,0.0256776,0.112903,0,0,0,0,
1668786841083,0.15873,0.0344203,0.231884,0.0213592,0.0772798,0.180153,0.0714286,0,0.584559,0.224439,0.0111317,0.748908,0.0271041,0.114247,0,0,0,0,
1668786841183,0.15873,0.0344203,0.237681,0.0194175,0.0772798,0.178626,0.0714286,0,0.584559,0.224439,0.0111317,0.746725,0.0256776,0.112903,0,0,0,0,
1668786841284,0.15873,0.0344203,0.246377,0.0213592,0.0757342,0.180153,0.0714286,0,0.584559,0.226933,0.0111317,0.746725,0.0285307,0.112903,0,0,0,0,
1668786841384,0.15873,0.0344203,0.324638,0.0213592,0.0788253,0.18626,0.0686813,0,0.5625,0.229426,0.0111317,0.733624,0.0356633,0.111559,0,0,0,0,
1668786841484,0.150794,0.0271739,0.434783,0.0524272,0.0850077,0.170992,0.032967,0.000848896,0.533088,0.187032,0.025974,0.720524,0.0271041,0.0887097,0,0,0,0,
1668786841584,0.0714286,0.0181159,0.672464,0.0854369,0.0401855,0.158779,0.0384615,0.016129,0.477941,0.214464,0.0445269,0.742358,0.0399429,0.0913979,0,0,0,0,
1668786841685,0.0555556,0.00543478,0.823188,0.114563,0,0.148092,0.0769231,0.0551783,0.544118,0.281796,0.0686456,0.740175,0.0670471,0.0994624,0,0,0,0,
1668786841785,0.0555556,0.00181159,0.898551,0.104854,0.0154083,0.116031,0.104396,0.0636672,0.566176,0.319202,0.0723562,0.469432,0.064194,0.0685484,0,0,0,0,
1668786841885,0.103175,0.00543478,1,0.116505,0.107858,0.0687023,0.0467033,0.0297114,0.268382,0.169576,0.0519481,0.159389,0.0185449,0,0,0,0,0,
1668786841985,0.0952381,0.00724638,0.980114,0.143689,0.134052,0.0503817,0.0164835,0.0271647,0.143382,0,0,0.141921,0.00713267,0.00658762,0,0,0,0,
1668786842085,0.111111,0.00543478,0.957386,0.149515,0.141757,0.0458015,0.0247253,0.0475382,0.0955882,0.0145278,0,0.255459,0.0142653,0.0513834,0,0,0,0,
1668786842186,0.142857,0.00181159,0.971591,0.165049,0.151002,0.0442748,0.0467033,0.112054,0.0808824,0.0992736,0.0840787,0.360262,0.0784593,0.14361,0,0,0,0,
1668786842286,0.150794,0.00905797,0.977273,0.18835,0.180277,0.0290076,0.0659341,0.180815,0.0257353,0.154964,0.078712,0.355895,0.10271,0.155468,0,0,0,0,
1668786842386,0.15873,0.00724638,0.971591,0.229126,0.200308,0.059542,0.0824176,0.186757,0.121324,0.176755,0.0465116,0.329694,0.124108,0.151515,0,0,0,0,
1668786842486,0.15873,0.00905797,0.971591,0.254369,0.201849,0.0824427,0.101648,0.182513,0.150735,0.193705,0.0375671,0.323144,0.151213,0.14888,0,0,0,0,
1668786842586,0.166667,0.0126812,0.971591,0.269903,0.20339,0.0992366,0.10989,0.181664,0.176471,0.22276,0.0286225,0.318777,0.166904,0.144928,0,0,0,0,
1668786842687,0.174603,0.0144928,0.977273,0.283495,0.204931,0.105344,0.123626,0.181664,0.143382,0.249395,0.00715563,0.310044,0.152639,0.142292,0,0,0,0,
1668786842787,0.190476,0.0163043,0.980114,0.316505,0.206471,0.108397,0.131868,0.184211,0.106618,0.276029,0,0.286026,0.162625,0.135705,0,0,0,0,
1668786842887,0.198413,0.0217391,0.971591,0.328155,0.20339,0.103817,0.134615,0.185908,0.113971,0.283293,0,0.272926,0.182596,0.134387,0,0,0,0,
1668786842987,0.214286,0.0253623,0.963068,0.332039,0.200308,0.10229,0.134615,0.185908,0.132353,0.285714,0.00706714,0.275109,0.196862,0.13834,0,0,0,0,
1668786843088,0.214286,0.0362319,0.951705,0.341748,0.195686,0.0977099,0.142857,0.181664,0.161765,0.290557,0.00883392,0.272926,0.211127,0.137022,0,0,0,0,
1668786843188,0.222222,0.0416667,0.951705,0.359223,0.191063,0.0992366,0.153846,0.17657,0.180147,0.309927,0.00706714,0.259825,0.228245,0.13307,0,0,0,0,
1668786843288,0.214286,0.0434783,0.954545,0.363107,0.189522,0.105344,0.162088,0.174024,0.202206,0.31477,0.00706714,0.262009,0.238231,0.130435,0,0,0,0,
1668786843388,0.238095,0.0434783,0.965909,0.361165,0.189522,0.108397,0.159341,0.174873,0.205882,0.312349,0.0106007,0.259825,0.239658,0.126482,0,0,0,0,
1668786843489,0.238095,0.0416667,0.977273,0.357282,0.191063,0.108397,0.159341,0.174024,0.209559,0.309927,0.00883392,0.262009,0.241084,0.125165,0,0,0,0,
1668786843589,0.230159,0.0398551,0.977273,0.357282,0.189522,0.10687,0.156593,0.174024,0.202206,0.312349,0.00706714,0.259825,0.242511,0.121212,0,0,0,0,
1668786843689,0.230159,0.0398551,0.971591,0.35534,0.187982,0.103817,0.159341,0.173175,0.205882,0.319613,0.00530035,0.262009,0.245364,0.12253,0,0,0,0,
1668786843789,0.222222,0.0398551,0.974432,0.353398,0.189522,0.103817,0.159341,0.170628,0.216912,0.322034,0.00176678,0.264192,0.243937,0.119895,0,0,0,0,
1668786843889,0.238095,0.0434783,0.980114,0.357282,0.187982,0.103817,0.167582,0.16893,0.224265,0.329298,0.00176678,0.259825,0.24679,0.119895,0,0,0,0,
1668786843990,0.246032,0.0507246,0.971591,0.368932,0.186441,0.103817,0.181319,0.165535,0.235294,0.343826,0,0.253275,0.259629,0.11726,0,0,0,0,
1668786844090,0.246032,0.057971,0.948864,0.386408,0.187982,0.10687,0.195055,0.162139,0.242647,0.37046,0,0.233624,0.278174,0.114625,0,0,0,0,
1668786844190,0.253968,0.067029,0.943182,0.4,0.189522,0.10687,0.206044,0.159593,0.242647,0.380145,0,0.222707,0.289586,0.110672,0,0,0,0,
1668786844290,0.253968,0.067029,0.943182,0.4,0.187982,0.105344,0.206044,0.160441,0.238971,0.375303,0,0.224891,0.28816,0.109354,0,0,0,0,
1668786844391,0.253968,0.067029,0.943182,0.396116,0.186441,0.10687,0.200549,0.16129,0.246324,0.368039,0.00175439,0.231441,0.28816,0.109354,0,0,0,0,
1668786844491,0.261905,0.0688406,0.934659,0.394175,0.1849,0.108397,0.200549,0.162139,0.257353,0.37046,0.00350877,0.235808,0.289586,0.110672,0,0,0,0,
1668786844591,0.261905,0.067029,0.931818,0.386408,0.183359,0.10687,0.195055,0.162988,0.264706,0.363196,0.00526316,0.251092,0.28816,0.113307,0,0,0,0,
1668786844691,0.253968,0.067029,0.934659,0.376699,0.181818,0.10687,0.18956,0.164686,0.268382,0.360775,0.00526316,0.264192,0.285307,0.113307,0,0,0,0,
1668786844791,0.253968,0.0652174,0.9375,0.372816,0.183359,0.108397,0.184066,0.164686,0.268382,0.355932,0.00526316,0.268559,0.285307,0.114625,0,0,0,0,
1668786844892,0.253968,0.067029,0.928977,0.368932,0.183359,0.10687,0.184066,0.165535,0.275735,0.353511,0.00701754,0.272926,0.28388,0.114625,0,0,0,0,
1668786844992,0.253968,0.067029,0.928977,0.368932,0.1849,0.108397,0.184066,0.165535,0.286765,0.353511,0.00701754,0.275109,0.282454,0.114625,0,0,0,0,
1668786845092,0.253968,0.067029,0.926136,0.36699,0.183359,0.108397,0.184066,0.165535,0.279412,0.35109,0.00877193,0.275109,0.281027,0.114625,0,0,0,0,
1668786845192,0.253968,0.0652174,0.926136,0.36699,0.180277,0.108397,0.184066,0.166384,0.283088,0.353511,0.00701754,0.275109,0.281027,0.114625,0,0,0,0,
1668786845292,0.253968,0.0652174,0.928977,0.36699,0.180277,0.108397,0.184066,0.165535,0.279412,0.35109,0.00701754,0.275109,0.279601,0.113307,0,0,0,0,
1668786845393,0.253968,0.0652174,0.923295,0.370874,0.181818,0.108397,0.184066,0.166384,0.279412,0.35109,0.00877193,0.277293,0.281027,0.114625,0,0,0,0,
1668786845493,0.253968,0.0652174,0.920455,0.368932,0.180277,0.108397,0.181319,0.165535,0.283088,0.35109,0.00701754,0.277293,0.281027,0.114625,0,0,0,0,
1668786845593,0.261905,0.0634058,0.920455,0.365049,0.181818,0.108397,0.181319,0.166384,0.283088,0.348668,0.00701754,0.279476,0.278174,0.114625,0,0,0,0,
1668786845694,0.261905,0.0615942,0.928977,0.361165,0.181818,0.10687,0.178571,0.168081,0.272059,0.346247,0.00701754,0.281659,0.278174,0.113307,0,0,0,0,
1668786845794,0.261905,0.0615942,0.931818,0.363107,0.183359,0.108397,0.178571,0.167233,0.275735,0.346247,0.00877193,0.281659,0.276747,0.113307,0,0,0,0,
1668786845894,0.261905,0.0615942,0.931818,0.363107,0.183359,0.108397,0.178571,0.167233,0.279412,0.343826,0.00701754,0.281659,0.276747,0.113307,0,0,0,0,
1668786845994,0.253968,0.0615942,0.926136,0.361165,0.1849,0.108397,0.178571,0.166384,0.279412,0.346247,0.00701754,0.281659,0.276747,0.113307,0,0,0,0,
1668786846094,0.253968,0.0597826,0.928977,0.361165,0.1849,0.108397,0.178571,0.167233,0.283088,0.346247,0.00701754,0.281659,0.275321,0.113307,0,0,0,0,
1668786846195,0.253968,0.0597826,0.928977,0.363107,0.186441,0.108397,0.178571,0.167233,0.283088,0.343826,0.00877193,0.279476,0.275321,0.113307,0,0,0,0,
1668786846295,0.253968,0.0597826,0.926136,0.363107,0.186441,0.108397,0.181319,0.167233,0.286765,0.346247,0.00877193,0.279476,0.275321,0.114625,0,0,0,0,
1668786846395,0.261905,0.0597826,0.928977,0.363107,0.186441,0.109924,0.181319,0.166384,0.286765,0.346247,0.00701754,0.279476,0.275321,0.113307,0,0,0,0,
1668786846495,0.253968,0.0597826,0.926136,0.363107,0.186441,0.109924,0.181319,0.166384,0.290441,0.343826,0.00701754,0.277293,0.275321,0.113307,0,0,0,0,
1668786846595,0.261905,0.0597826,0.928977,0.36699,0.186441,0.11145,0.181319,0.167233,0.294118,0.346247,0.00701754,0.279476,0.275321,0.113307,0,0,0,0,
1668786846696,0.253968,0.0597826,0.928977,0.365049,0.186441,0.109924,0.181319,0.166384,0.290441,0.346247,0.00701754,0.279476,0.275321,0.113307,0,0,0,0,
1668786846796,0.261905,0.0615942,0.928977,0.36699,0.187982,0.109924,0.181319,0.166384,0.294118,0.346247,0.00701754,0.279476,0.276747,0.114625,0,0,0,0,
1668786846896,0.261905,0.0615942,0.926136,0.36699,0.187982,0.11145,0.184066,0.167233,0.297794,0.348668,0.00701754,0.281659,0.279601,0.113307,0,0,0,0,
1668786846996,0.261905,0.0615942,0.926136,0.370874,0.187982,0.109924,0.184066,0.166384,0.297794,0.348668,0.00701754,0.281659,0.281027,0.113307,0,0,0,0,
1668786847097,0.261905,0.0615942,0.923295,0.368932,0.187982,0.11145,0.184066,0.166384,0.297794,0.348668,0.00877193,0.283843,0.281027,0.111989,0,0,0,0,
1668786847197,0.253968,0.0652174,0.911932,0.36699,0.189522,0.109924,0.186813,0.166384,0.301471,0.35109,0.00701754,0.279476,0.282454,0.113307,0,0,0,0,
1668786847297,0.253968,0.0634058,0.914773,0.363107,0.189522,0.103817,0.18956,0.165535,0.279412,0.353511,0.00701754,0.275109,0.281027,0.111989,0,0,0,0,
1668786847397,0.246032,0.0615942,0.926136,0.363107,0.198767,0.0992366,0.195055,0.163837,0.261029,0.353511,0.00526316,0.262009,0.278174,0.110672,0,0,0,0,
1668786847497,0.230159,0.0615942,0.928977,0.35534,0.20339,0.0946565,0.197802,0.162988,0.261029,0.353511,0.00526316,0.255459,0.279601,0.111989,0,0,0,0,
1668786847598,0.222222,0.057971,0.946023,0.353398,0.206471,0.0931298,0.200549,0.163837,0.257353,0.353511,0.00526316,0.248908,0.278174,0.110672,0,0,0,0,
1668786847698,0.230159,0.057971,0.948864,0.363107,0.208012,0.0931298,0.206044,0.162139,0.261029,0.360775,0.00701754,0.242358,0.28388,0.109354,0,0,0,0,
1668786847798,0.230159,0.057971,0.957386,0.368932,0.209553,0.0931298,0.208791,0.162988,0.253676,0.365617,0.00526316,0.231441,0.292439,0.105402,0,0,0,0,
1668786847898,0.238095,0.0615942,0.951705,0.378641,0.209553,0.0992366,0.211538,0.164686,0.261029,0.375303,0.00526316,0.227074,0.303852,0.102767,0,0,0,0,
1668786847999,0.246032,0.0615942,0.954545,0.38835,0.208012,0.0977099,0.214286,0.167233,0.275735,0.380145,0.00526316,0.224891,0.315264,0.101449,0,0,0,0,
1668786848099,0.246032,0.0634058,0.951705,0.386408,0.217257,0.112977,0.197802,0.174873,0.261029,0.377724,0.00526316,0.233624,0.326676,0.108037,0,0,0,0,
1668786848199,0.261905,0.0724638,0.931818,0.382524,0.228043,0.149618,0.197802,0.0636672,0.286765,0.397094,0.0263158,0.275109,0.360913,0.13307,0,0,0,0,
1668786848299,0.269841,0.0615942,0.909091,0.372816,0.22188,0.2,0.178571,0,0.345588,0.409201,0.0385965,0.272926,0.370899,0.14361,0,0,0,0,
1668786848399,0.261905,0.0434783,0.821023,0.390291,0.195686,0.174046,0.195055,0,0.382353,0.472155,0.0333333,0.270742,0.393723,0.142292,0,0,0,0,
1668786848500,0.246032,0.0199275,0.752841,0.38835,0.192604,0.172519,0.206044,0,0.363971,0.51816,0.0140351,0.251092,0.39515,0.139657,0,0,0,0,
1668786848600,0.18254,0.0307971,0.596591,0.285437,0.218798,0.203053,0.159341,0.00829876,0.411765,0.523002,0,0.327511,0.380884,0.113307,0,0,0,0,
1668786848700,0.111111,0.0362319,0.0397727,0.108738,0.177196,0.2,0.186813,0.0033195,0.466912,0.489104,0.0133333,0.480349,0.369472,0.102767,0,0,0,0,
1668786848800,0.119048,0.0525362,0,0.11068,0.120185,0.192366,0.186813,0,0.566176,0.464891,0.025,0.550218,0.319544,0.0961792,0,0,0,0,
1668786848901,0.142857,0.048913,0.0434783,0.116505,0.0801233,0.169466,0.148352,0.00163265,0.617647,0.404358,0.035,0.637555,0.273894,0.0961792,0,0,0,0,
1668786849001,0.142857,0.0471014,0.109974,0.120388,0.0446841,0.169466,0.123626,0.00326531,0.613971,0.372881,0.0533333,0.670306,0.238231,0.0909091,0,0,0,0,
1668786849101,0.150794,0.0398551,0.225064,0.126214,0.00924499,0.158779,0.0961538,0.0179592,0.591912,0.343826,0.06,0.69869,0.21398,0.101449,0,0,0,0,
1668786849202,0.15873,0.0326087,0.345269,0.130097,0.00308166,0.169466,0.0851648,0.0285714,0.584559,0.329298,0.07,0.709607,0.191155,0.102767,0,0,0,0,
1668786849302,0.150794,0.0289855,0.381074,0.128155,0,0.170992,0.0659341,0.0391837,0.566176,0.305085,0.0766667,0.718341,0.159772,0.101449,0,0,0,0,
1668786849402,0.142857,0.0235507,0.457801,0.128155,0,0.166412,0.0549451,0.0408163,0.540441,0.280872,0.085,0.735808,0.128388,0.100132,0,0,0,0,
1668786849502,0.134921,0.0253623,0.450128,0.12233,0.00154083,0.177099,0.0412088,0.0416327,0.511029,0.266344,0.0966667,0.779476,0.10699,0.101449,0,0,0,0,
1668786849602,0.134921,0.0271739,0.465473,0.112621,0.00616333,0.174046,0.0274725,0.0408163,0.470588,0.251816,0.11,0.834061,0.0912981,0.109354,0,0,0,0,
1668786849703,0.134921,0.0289855,0.439898,0.0951456,0.0154083,0.180153,0.0164835,0.0359184,0.426471,0.251816,0.12,0.877729,0.0912981,0.129117,0,0,0,0,
1668786849803,0.134921,0.0344203,0.442455,0.0737864,0.0416025,0.19084,0.0164835,0.0310204,0.404412,0.249395,0.13,0.879913,0.0970043,0.142292,0,0,0,0,
1668786849903,0.134921,0.0344203,0.439898,0.0504854,0.0693374,0.192366,0.0247253,0.0261224,0.415441,0.246973,0.13,0.893013,0.105563,0.139657,0,0,0,0,
1668786850003,0.142857,0.0380435,0.393862,0.0349515,0.0878274,0.212214,0.043956,0.0244898,0.477941,0.239709,0.103333,0.871179,0.0841655,0.14888,0,0,0,0,
1668786850104,0.150794,0.0326087,0.381074,0.0271845,0.0816641,0.210687,0.0549451,0.0277551,0.555147,0.232446,0.09,0.89083,0.0656205,0.155468,0,0,0,0,
1668786850204,0.150794,0.0307971,0.352941,0.0213592,0.0724191,0.203053,0.0604396,0.0293878,0.580882,0.230024,0.0883333,0.875546,0.0542083,0.15415,0,0,0,0,
1668786850304,0.150794,0.0307971,0.358056,0.0213592,0.0677966,0.2,0.0631868,0.0302041,0.613971,0.230024,0.0866667,0.879913,0.0485021,0.155468,0,0,0,0,
1668786850404,0.15873,0.0307971,0.368286,0.0213592,0.0662558,0.19542,0.0631868,0.0318367,0.628676,0.22276,0.0816667,0.871179,0.0399429,0.151515,0,0,0,0,
1668786850504,0.15873,0.0271739,0.383632,0.0213592,0.0647149,0.19084,0.0604396,0.0326531,0.636029,0.225182,0.0816667,0.873362,0.0370899,0.14888,0,0,0,0,
1668786850605,0.15873,0.0289855,0.404092,0.023301,0.0647149,0.183206,0.0631868,0.0342857,0.639706,0.225182,0.0816667,0.879913,0.0370899,0.150198,0,0,0,0,
1668786850705,0.15873,0.0271739,0.419437,0.0271845,0.0631741,0.180153,0.0604396,0.0334694,0.636029,0.225182,0.0816667,0.884279,0.0356633,0.150198,0,0,0,0,
1668786850805,0.150794,0.0271739,0.421995,0.0271845,0.0631741,0.177099,0.0604396,0.0334694,0.632353,0.22276,0.0833333,0.89083,0.0356633,0.150198,0,0,0,0,
1668786850906,0.15873,0.0271739,0.421995,0.0271845,0.0647149,0.175573,0.0576923,0.0334694,0.632353,0.22276,0.0816667,0.888646,0.0342368,0.150198,0,0,0,0,
