timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668786594564,0.15534,0.0142857,0.0116279,0.0502901,0.107203,0.217391,0.0743034,0.0292842,0.480583,0.337237,0.0666667,0.581818,0.0837838,0.0446686,0,0,0,0,
1668786594664,0.15534,0.0160714,0.0116279,0.0522244,0.105528,0.217391,0.0743034,0.0303688,0.480583,0.334895,0.0666667,0.581818,0.0824324,0.0461095,0,0,0,0,
1668786594764,0.15534,0.0142857,0.0174419,0.0502901,0.105528,0.217391,0.0743034,0.0303688,0.485437,0.334895,0.0666667,0.581818,0.0837838,0.0446686,0,0,0,0,
1668786594864,0.15534,0.0142857,0.0203488,0.0522244,0.103853,0.214674,0.0743034,0.0303688,0.485437,0.330211,0.0666667,0.581818,0.0824324,0.0461095,0,0,0,0,
1668786594965,0.145631,0.0142857,0.0261628,0.0502901,0.102178,0.214674,0.0712074,0.0303688,0.480583,0.332553,0.0666667,0.581818,0.0810811,0.0446686,0,0,0,0,
1668786595065,0.145631,0.0125,0.142442,0.0580271,0.107203,0.203804,0.0557276,0.0303688,0.441748,0.332553,0.0702703,0.561039,0.0824324,0.0432277,0,0,0,0,
1668786595165,0.0679612,0.00178571,0.56686,0.116054,0.0284757,0.17663,0.0712074,0.0553145,0.582524,0.34192,0.0936937,0.623377,0.0675676,0.0489914,0,0,0,0,
1668786595265,0.0970874,0,0.703488,0.133462,0.0150754,0.146739,0.0897833,0.0954447,0.621359,0.35363,0.115315,0.61039,0.0689189,0.0504323,0,0,0,0,
1668786595365,0.0873786,0.00175131,0.761628,0.133462,0.0268007,0.0896739,0.114551,0.107375,0.621359,0.391101,0.12973,0.457143,0.0851351,0.0432277,0,0,0,0,
1668786595466,0.135922,0,0.834302,0.129594,0.0502513,0,0.0866873,0.0900217,0.427184,0.370023,0.131532,0.202597,0.0783784,0.0244957,0,0,0,0,
1668786595566,0.165049,0.00174825,0.877907,0.139265,0.142379,0,0.0185759,0.0672451,0.242718,0.227166,0.104505,0.101299,0.077027,0.0446686,0,0,0,0,
1668786595666,0.106796,0,0.90407,0.166344,0.120603,0,0,0.0672451,0.0485437,0.112412,0.0810811,0.0909091,0.118919,0.132565,0,0,0,0,
1668786595766,0.126214,0,0.94186,0.162476,0.0452261,0.0143541,0,0.150759,0.104072,0.0679157,0.203604,0.0987013,0.139189,0.157061,0,0,0,0,
1668786595866,0.194175,0.04363,0.927326,0.191489,0.0469012,0.0430622,0.011976,0.184382,0.235294,0.0843091,0.308108,0.145455,0.159459,0.157061,0,0,0,0,
1668786595967,0.23301,0.095986,0.906977,0.220503,0.0301508,0.00239234,0.0568862,0.154013,0.176471,0.152225,0.272072,0.127273,0.213514,0.151297,0,0,0,0,
1668786596067,0.252427,0.172775,0.869186,0.245648,0.0284757,0,0.0808383,0.152928,0.113122,0.229508,0.218018,0.0155844,0.268919,0.139769,0,0,0,0,
1668786596167,0.262136,0.22164,0.843023,0.259188,0.0268007,0,0.0868263,0.160521,0.104072,0.264637,0.201802,0,0.301351,0.134006,0,0,0,0,
1668786596267,0.281553,0.317627,0.822674,0.286267,0.0251256,0,0.0958084,0.183297,0.081448,0.320843,0.181982,0,0.335135,0.126801,0,0,0,0,
1668786596367,0.271845,0.431065,0.784884,0.307544,0.038526,0.0022779,0.10479,0.211497,0.0723982,0.377049,0.163964,0,0.360811,0.123919,0,0,0,0,
1668786596468,0.262136,0.441536,0.767442,0.309478,0.038526,0.00227273,0.10479,0.225597,0.0904977,0.395785,0.144144,0,0.364865,0.126801,0,0,0,0,
1668786596568,0.271845,0.424084,0.764535,0.307544,0.0268007,0,0.107784,0.251627,0.122172,0.430913,0.140541,0,0.375676,0.132565,0,0,0,0,
1668786596668,0.300971,0.439791,0.773256,0.31528,0.0234506,0,0.11976,0.279826,0.122172,0.466042,0.147748,0,0.385135,0.14121,0,0,0,0,
1668786596768,0.31068,0.425829,0.752907,0.31528,0.0234506,0.00222717,0.113772,0.300434,0.162896,0.489461,0.162162,0,0.397297,0.148415,0,0,0,0,
1668786596868,0.359223,0.382199,0.758721,0.324952,0.0251256,0.00668151,0.107784,0.340564,0.167421,0.517564,0.181982,0,0.418919,0.15562,0,0,0,0,
1668786596969,0.359223,0.329843,0.726744,0.34236,0.0301508,0.0378619,0.0928144,0.447939,0.140271,0.557377,0.212613,0.00176991,0.444595,0.175793,0,0,0,0,
1668786597069,0.320388,0.326353,0.662791,0.332689,0.169179,0.0757238,0.0718563,0.586768,0.104072,0.58548,0.297297,0,0.458108,0.207493,0,0,0,0,
1668786597169,0.262136,0.321117,0.598837,0.309478,0.289782,0.0957684,0.0628743,0.63449,0.0633484,0.606557,0.344144,0.00519931,0.466216,0.217579,0,0,0,0,
1668786597269,0.23301,0.209424,0.531977,0.253385,0.383585,0.11804,0.0479042,0.644252,0.122172,0.59719,0.327928,0.0433276,0.459459,0.21902,0,0,0,0,
1668786597370,0.184466,0.136126,0.334302,0.0831721,0.110553,0.158129,0.0239521,0.364425,0.208145,0.421546,0.0756757,0.337955,0.418919,0.190202,0,0,0,0,
1668786597470,0.145631,0.13438,0.186047,0.0773694,0.0469012,0.18931,0.0479042,0.236443,0.361991,0.407494,0.0684685,0.613518,0.363513,0.165706,0,0,0,0,
1668786597570,0.126214,0.106457,0.148256,0.10058,0.0368509,0.289532,0.0508982,0.212581,0.429864,0.384075,0.0666667,0.733102,0.308108,0.170029,0,0,0,0,
1668786597670,0.0970874,0.106457,0.206395,0.123791,0.0351759,0.367483,0.0538922,0.20282,0.475113,0.374707,0.0720721,0.800693,0.27027,0.164265,0,0,0,0,
1668786597770,0.0873786,0.104712,0.305233,0.121857,0.038526,0.331849,0.0449102,0.185466,0.461538,0.348946,0.0684685,0.79896,0.228378,0.144092,0,0,0,0,
