timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668786978542,0.130682,0.0384615,0.253968,0.0337302,0.0721649,0.154034,0.122754,0.0755981,0.361905,0.223377,0.0311891,0.581538,0.0612245,0.0302613,0,0,0,0,
1668786978642,0.130682,0.0384615,0.257937,0.0337302,0.0721649,0.156479,0.122754,0.076555,0.357143,0.223377,0.0311891,0.581538,0.0612245,0.0302613,0,0,0,0,
1668786978742,0.136364,0.0384615,0.261905,0.031746,0.0721649,0.156479,0.122754,0.0755981,0.361905,0.223377,0.0292398,0.581538,0.0597668,0.0302613,0,0,0,0,
1668786978843,0.130682,0.0384615,0.265873,0.0337302,0.0721649,0.156479,0.122754,0.0755981,0.361905,0.220779,0.0292398,0.575385,0.0612245,0.0302613,0,0,0,0,
1668786978943,0.136364,0.04,0.277778,0.0337302,0.0721649,0.158924,0.122754,0.0755981,0.357143,0.220779,0.0311891,0.572308,0.0626822,0.0302613,0,0,0,0,
1668786979043,0.125,0.0384615,0.321429,0.0337302,0.0670103,0.154034,0.116766,0.077512,0.347619,0.225974,0.0350877,0.569231,0.0655977,0.0316369,0,0,0,0,
1668786979143,0.113636,0.0323077,0.59127,0.0833333,0.0412371,0.122249,0.0778443,0.0794258,0.233333,0.207792,0.0604289,0.609231,0.0699708,0.0178817,0,0,0,0,
1668786979243,0.0909091,0.0215385,0.84127,0.176587,0.0274914,0.188264,0.0748503,0.150239,0.319048,0.174026,0.0604289,0.695385,0.0641399,0.0371389,0,0,0,0,
1668786979344,0.0965909,0.0153846,0.833333,0.214286,0.024055,0.173594,0.11976,0.207656,0.290476,0.171429,0.0545809,0.686154,0.0553936,0.0949106,0,0,0,0,
1668786979444,0.142045,0.0123077,0.93254,0.279762,0.0412371,0.158924,0.206587,0.235407,0.366667,0.236364,0.0623782,0.735385,0.116618,0.198074,0,0,0,0,
1668786979544,0.159091,0.0153846,1,0.303571,0.056701,0.195599,0.233533,0.247847,0.390476,0.267532,0.0818713,0.673846,0.145773,0.225585,0,0,0,0,
1668786979644,0.130682,0.0107692,1,0.291667,0.0532646,0.251834,0.224551,0.244976,0.447619,0.27013,0.079922,0.627692,0.141399,0.21458,0,0,0,0,
1668786979745,0.107955,0.00769231,0.98513,0.267857,0.056701,0.361858,0.191617,0.248804,0.471429,0.251948,0.0818713,0.550769,0.123907,0.204952,0,0,0,0,
1668786979845,0.107955,0.00615385,0.944238,0.230159,0.0584192,0.366748,0.158683,0.252632,0.457143,0.218182,0.0877193,0.532308,0.0991254,0.188446,0,0,0,0,
1668786979945,0.102273,0.00461538,0.966543,0.204365,0.0584192,0.278729,0.128743,0.261244,0.428571,0.202597,0.111111,0.547692,0.0714286,0.198074,0,0,0,0,
1668786980046,0.125,0.00461538,1,0.170635,0.0618557,0.244499,0.10479,0.277512,0.433333,0.184416,0.140351,0.547692,0.0510204,0.211829,0,0,0,0,
1668786980146,0.130682,0.00769231,0.99631,0.162698,0.0618557,0.288509,0.0958084,0.275598,0.490476,0.166234,0.14425,0.550769,0.0349854,0.215956,0,0,0,0,
1668786980246,0.142045,0.0123077,1,0.156746,0.0601375,0.305623,0.0778443,0.277512,0.504762,0.148052,0.146199,0.636923,0.0116618,0.225585,0,0,0,0,
1668786980346,0.142045,0.0153846,0.98524,0.162698,0.056701,0.320293,0.0868263,0.25933,0.552381,0.158442,0.134503,0.704615,0.00291545,0.229711,0,0,0,0,
1668786980446,0.136364,0.0153846,0.97786,0.164683,0.056701,0.347188,0.0958084,0.257416,0.571429,0.168831,0.136452,0.735385,0.0058309,0.23934,0,0,0,0,
