timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668787208456,0.222222,0.108312,0.412955,0.0318091,0.0350404,0.114206,0.13764,0.0856237,0.512605,0.279904,0.0790021,0.530892,0.0542083,0.0702427,0,0,0,0,
1668787208556,0.222222,0.108312,0.408907,0.0337972,0.0363881,0.114206,0.134831,0.0856237,0.512605,0.277512,0.0769231,0.530892,0.0556348,0.0702427,0,0,0,0,
1668787208657,0.222222,0.110831,0.40081,0.0337972,0.0363881,0.115599,0.13764,0.0856237,0.516807,0.277512,0.0769231,0.530892,0.0542083,0.0702427,0,0,0,0,
1668787208757,0.238095,0.108312,0.384615,0.0337972,0.0363881,0.114206,0.134831,0.0856237,0.512605,0.27512,0.0769231,0.530892,0.0527817,0.0702427,0,0,0,0,
1668787208857,0.238095,0.108312,0.392713,0.0337972,0.0350404,0.112813,0.134831,0.0856237,0.508403,0.277512,0.0769231,0.530892,0.0542083,0.0702427,0,0,0,0,
1668787208958,0.222222,0.105793,0.392713,0.0357853,0.0350404,0.111421,0.132022,0.0856237,0.508403,0.27512,0.0769231,0.533181,0.0527817,0.0702427,0,0,0,0,
1668787209058,0.238095,0.105793,0.404858,0.0337972,0.0350404,0.111421,0.132022,0.0845666,0.508403,0.277512,0.0769231,0.533181,0.0527817,0.0702427,0,0,0,0,
1668787209158,0.206349,0.105793,0.506073,0.0377734,0.0377358,0.108635,0.117978,0.0845666,0.462185,0.277512,0.0831601,0.517162,0.0542083,0.0689655,0,0,0,0,
1668787209258,0.174603,0.0982368,0.870445,0.11332,0.0269542,0.101671,0.0955056,0.0835095,0.37395,0.255981,0.106029,0.521739,0.0513552,0.0651341,0,0,0,0,
1668787209358,0.142857,0.0856423,1,0.15507,0.0134771,0.103064,0.0842697,0.142706,0.39916,0.205742,0.116424,0.620137,0.0328103,0.0817369,0,0,0,0,
1668787209459,0.126984,0.0806045,1,0.151093,0.0107817,0.108635,0.0814607,0.194503,0.331933,0.186603,0.118503,0.691076,0.0185449,0.0881226,0,0,0,0,
1668787209559,0.222222,0.0780856,1,0.135189,0.0107817,0.0933148,0.103933,0.207188,0.281513,0.205742,0.10395,0.734554,0.00570613,0.0855683,0,0,0,0,
1668787209659,0.380952,0.0831234,1,0.125249,0.00943396,0.0821727,0.143258,0.198731,0.289916,0.217703,0.0852391,0.759725,0.00570613,0.083014,0,0,0,0,
1668787209759,0.428571,0.103275,1,0.121272,0.00808625,0.0793872,0.168539,0.176533,0.281513,0.23445,0.0706861,0.771167,0.00713267,0.083014,0,0,0,0,
1668787209860,0.68254,0.115869,1,0.117296,0.0161725,0.108635,0.157303,0.15222,0.277311,0.212919,0.0665281,0.773455,0.0042796,0.0791826,0,0,0,0,
1668787209960,0.698413,0.0856423,0.971831,0.121272,0.0202156,0.133705,0.143258,0.137421,0.327731,0.198565,0.0623701,0.76659,0.0042796,0.0804598,0,0,0,0,
1668787210060,0.68254,0.0654912,0.907042,0.137177,0.0121294,0.140669,0.157303,0.137421,0.327731,0.196172,0.0602911,0.75286,0.0042796,0.0804598,0,0,0,0,
1668787210160,0.634921,0.0352645,0.859155,0.145129,0.00404313,0.132312,0.199438,0.184989,0.5,0.253589,0.037422,0.76659,0.0114123,0.0804598,0,0,0,0,
1668787210260,0.507937,0.120907,0.783099,0.163022,0.00404313,0.174095,0.196629,0.186047,0.630252,0.296651,0.004158,0.750572,0.0114123,0.0715198,0,0,0,0,
1668787210361,0.380952,0.382872,0.723944,0.202783,0.00134771,0.21727,0.22191,0.205074,0.642857,0.26555,0.022869,0.707094,0.00285307,0.0804598,0,0,0,0,
1668787210461,0.333333,0.403023,0.704225,0.176938,0.0175202,0.199164,0.188202,0.362579,0.5,0.174641,0.0644491,0.654462,0,0.083014,0,0,0,0,
1668787210561,0.269841,0.420655,0.692958,0.15507,0.0229111,0,0.106742,0.510571,0.357143,0.0502392,0.197505,0.530892,0,0.091954,0,0,0,0,
1668787210661,0.269841,0.493703,0.676056,0.161034,0.0269542,0.0288462,0.120787,0.524313,0.378151,0.0645933,0.216216,0.569794,0.00423131,0.091954,0,0,0,0,
1668787210762,0.285714,0.755668,0.656338,0.224652,0.0229111,0.131868,0.168539,0.51797,0.533613,0.124402,0.170478,0.741419,0.00705219,0.0881226,0,0,0,0,
1668787210862,0.253968,0.853904,0.622535,0.240557,0.0458221,0.17033,0.115169,0.524313,0.588235,0.167464,0.04158,0.803204,0.00141044,0.0574713,0,0,0,0,
1668787210962,0.253968,0.846348,0.616901,0.244533,0.0485175,0.0824176,0.0955056,0.523256,0.52521,0.177033,0,0.775744,0.00421941,0.0817369,0,0,0,0,
1668787211062,0.396825,0.808564,0.676056,0.234592,0.0633423,0.0494506,0.0983146,0.503171,0.34874,0.186603,0.0458167,0.677346,0,0.120051,0,0,0,0,
1668787211162,0.52381,0.801008,0.71831,0.234592,0.0552561,0.116758,0.120787,0.436575,0.37395,0.253589,0.0557769,0.649886,0.00280112,0.128991,0,0,0,0,
1668787211263,0.587302,0.785894,0.738028,0.244533,0.074124,0.142857,0.157303,0.428118,0.512605,0.282297,0.0458167,0.675057,0.0070028,0.123883,0,0,0,0,
1668787211363,0.634921,0.753149,0.746479,0.256461,0.0876011,0.145604,0.176966,0.42389,0.613445,0.294258,0.0059761,0.718535,0.0266106,0.0996169,0,0,0,0,
1668787211463,0.634921,0.722922,0.749296,0.266402,0.101078,0.15522,0.188202,0.421776,0.642857,0.308612,0,0.745995,0.0630252,0.0945083,0,0,0,0,
1668787211563,0.619048,0.748111,0.743662,0.28827,0.114555,0.171703,0.199438,0.410148,0.642857,0.334928,0.00194932,0.743707,0.119048,0.132822,0,0,0,0,
1668787211664,0.68254,0.788413,0.752113,0.308151,0.113208,0.18956,0.219101,0.394292,0.516807,0.339713,0.0487329,0.567506,0.105042,0.177522,0,0,0,0,
1668787211764,0.650794,0.821159,0.75493,0.322068,0.117251,0.186813,0.22191,0.404863,0.407563,0.313397,0.0935673,0.430206,0.103641,0.195402,0,0,0,0,
1668787211864,0.650794,0.828715,0.76338,0.326044,0.126685,0.179945,0.22191,0.397463,0.378151,0.311005,0.101365,0.400458,0.0994398,0.190294,0,0,0,0,
1668787211964,0.587302,0.828715,0.757746,0.326044,0.115903,0.196429,0.216292,0.400634,0.441176,0.322967,0.0818713,0.427918,0.117647,0.201788,0,0,0,0,
1668787212065,0.52381,0.831234,0.743662,0.326044,0.11186,0.210165,0.22191,0.395349,0.495798,0.358852,0.0487329,0.453089,0.159664,0.213282,0,0,0,0,
1668787212165,0.555556,0.836272,0.743662,0.32008,0.110512,0.244505,0.233146,0.382664,0.529412,0.394737,0.0214425,0.459954,0.186275,0.214559,0,0,0,0,
1668787212265,0.555556,0.826196,0.749296,0.322068,0.110512,0.233516,0.238764,0.390063,0.546219,0.409091,0.0136452,0.462243,0.201681,0.213282,0,0,0,0,
1668787212365,0.539683,0.828715,0.743662,0.32008,0.106469,0.223901,0.238764,0.402748,0.563025,0.406699,0.0136452,0.471396,0.208683,0.214559,0,0,0,0,
1668787212465,0.507937,0.84131,0.743662,0.314115,0.0983827,0.21978,0.227528,0.42389,0.558824,0.404306,0.0233918,0.503433,0.231092,0.217114,0,0,0,0,
1668787212566,0.492063,0.843829,0.738028,0.310139,0.0956873,0.221154,0.241573,0.414376,0.638655,0.435407,0,0.610984,0.288515,0.227331,0,0,0,0,
1668787212666,0.492063,0.843829,0.735211,0.316103,0.107817,0.214286,0.255618,0.409091,0.718487,0.452153,0.00193424,0.697941,0.309524,0.228608,0,0,0,0,
1668787212766,0.460317,0.853904,0.723944,0.314115,0.106469,0.228022,0.269663,0.399577,0.739496,0.466507,0.0154739,0.764302,0.333333,0.227331,0,0,0,0,
1668787212866,0.460317,0.853904,0.71831,0.304175,0.119946,0.206044,0.27809,0.429175,0.726891,0.464115,0.032882,0.816934,0.338936,0.224777,0,0,0,0,
1668787212967,0.460317,0.851385,0.715493,0.298211,0.123989,0.206044,0.280899,0.427061,0.743697,0.45933,0.0425532,0.839817,0.336134,0.219668,0,0,0,0,
1668787213067,0.460317,0.84131,0.704225,0.290258,0.134771,0.197802,0.289326,0.428118,0.764706,0.447368,0.0464217,0.910755,0.341737,0.212005,0,0,0,0,
1668787213167,0.444444,0.84131,0.698592,0.28827,0.128032,0.184066,0.292135,0.455603,0.760504,0.433014,0.0599613,0.919908,0.338936,0.210728,0,0,0,0,
1668787213267,0.460317,0.84131,0.698592,0.28827,0.123989,0.184066,0.303371,0.447146,0.798319,0.452153,0.0522244,0.949657,0.331933,0.208174,0,0,0,0,
1668787213368,0.460317,0.836272,0.698592,0.28827,0.123989,0.188187,0.308989,0.438689,0.806723,0.454545,0.0444874,0.967963,0.32493,0.200511,0,0,0,0,
1668787213468,0.47619,0.813602,0.695775,0.284294,0.136119,0.182692,0.300562,0.453488,0.768908,0.440191,0.0560928,0.954233,0.317927,0.201788,0,0,0,0,
