timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668787320566,0.108911,0.0514541,0.571956,0.0523256,0.0429043,0.122074,0.066482,0.0483539,0.308696,0.179104,0.0626263,0.357746,0.0424597,0,0,0,0,0,
1668787320666,0.118812,0.0514541,0.575646,0.0542636,0.0429043,0.122074,0.0637119,0.0483539,0.308696,0.174129,0.0626263,0.357746,0.0409956,0,0,0,0,0,
1668787320766,0.108911,0.0514541,0.583026,0.0542636,0.0429043,0.120401,0.0637119,0.0483539,0.304348,0.176617,0.0626263,0.35493,0.0409956,0,0,0,0,0,
1668787320866,0.108911,0.0514541,0.619926,0.0523256,0.0412541,0.115385,0.066482,0.0504115,0.304348,0.179104,0.0646465,0.36338,0.0424597,0,0,0,0,0,
1668787320967,0.128713,0.0559284,0.649446,0.0523256,0.0429043,0.115385,0.0692521,0.0504115,0.304348,0.181592,0.0666667,0.360563,0.0409956,0,0,0,0,0,
1668787321067,0.118812,0.0536913,0.749077,0.0678295,0.0445545,0.118729,0.0609418,0.0473251,0.286957,0.179104,0.0686869,0.357746,0.0395315,0,0,0,0,0,
1668787321167,0.128713,0.0425056,0.874539,0.104651,0.0445545,0.172241,0.0637119,0.0483539,0.330435,0.201493,0.0929293,0.425352,0.033675,0,0,0,0,0,
1668787321267,0.118812,0.0268456,1,0.129845,0.0214521,0.207358,0.0775623,0.103909,0.447826,0.228856,0.117172,0.55493,0.0395315,0.0145695,0,0,0,0,
1668787321367,0.108911,0.0111857,1,0.135659,0.0247525,0.23913,0.0886427,0.140947,0.53913,0.278607,0.133333,0.571831,0.0541728,0.0225166,0,0,0,0,
1668787321468,0.0990099,0,1,0.139535,0.0313531,0.297659,0.0941828,0.177984,0.595652,0.320896,0.139394,0.571831,0.079063,0.0278146,0,0,0,0,
1668787321568,0.0990099,0,0.980583,0.172481,0.039604,0.4699,0.0720222,0.174897,0.56087,0.278607,0.111111,0.577465,0.0922401,0.0264901,0,0,0,0,
1668787321668,0.0990099,0,0.915858,0.189922,0.0346535,0.513378,0.0858726,0.149177,0.56087,0.223881,0.0686869,0.611268,0.079063,0.0357616,0,0,0,0,
1668787321768,0.138614,0.00886918,0.932039,0.195736,0.0379538,0.486622,0.102493,0.133745,0.573913,0.221393,0.0323232,0.588732,0.090776,0.0516556,0,0,0,0,
1668787321868,0.168317,0.00443459,0.954693,0.20155,0.0330033,0.444816,0.099723,0.185185,0.513043,0.223881,0.030303,0.552113,0.0893119,0.0503311,0,0,0,0,
1668787321969,0.158416,0.0155211,0.92233,0.197674,0.019802,0.367893,0.105263,0.34465,0.36087,0.243781,0.0626263,0.459155,0.0834553,0.0569536,0,0,0,0,
1668787322069,0.128713,0.115299,0.883495,0.197674,0.0181518,0.364549,0.113573,0.355967,0.352174,0.261194,0.0828283,0.456338,0.0849195,0.0582781,0,0,0,0,
1668787322169,0.188119,0.221729,0.893204,0.199612,0.0148515,0.41806,0.135734,0.299383,0.43913,0.303483,0.0727273,0.504225,0.0849195,0.0543046,0,0,0,0,
1668787322269,0.257426,0.554324,0.899676,0.218992,0.0280528,0.508361,0.174515,0.269547,0.578261,0.365672,0.0525253,0.523944,0.0878477,0.0490066,0,0,0,0,
1668787322369,0.247525,0.842572,0.893204,0.234496,0.0313531,0.58194,0.216066,0.237654,0.608696,0.420398,0.0707071,0.538028,0.0775988,0.0503311,0,0,0,0,
1668787322469,0.237624,0.960089,0.92233,0.253876,0.0610561,0.653846,0.243767,0.218107,0.569565,0.442786,0.0828283,0.540845,0.0688141,0.0397351,0,0,0,0,
1668787322570,0.257426,0.953437,0.97411,0.263566,0.0808581,0.655518,0.293629,0.145062,0.543478,0.487562,0.0585859,0.591549,0.0746706,0.0291391,0,0,0,0,
1668787322670,0.346535,0.953437,1,0.263566,0.110561,0.588629,0.387812,0.0390946,0.469565,0.557214,0.0484848,0.659155,0.0819912,0.0264901,0,0,0,0,
1668787322770,0.415842,0.949002,1,0.261628,0.108911,0.568562,0.407202,0.0246914,0.482609,0.567164,0.0464646,0.701408,0.0937042,0.0317881,0,0,0,0,
1668787322870,0.445545,0.944568,1,0.265504,0.108911,0.551839,0.398892,0.0226337,0.495652,0.547264,0.0484848,0.692958,0.0995608,0.0278146,0,0,0,0,
1668787322970,0.435644,0.94235,0.993711,0.273256,0.107261,0.563545,0.379501,0.0123457,0.534783,0.519901,0.0565657,0.656338,0.101025,0.0251656,0,0,0,0,
1668787323071,0.445545,0.933481,0.987421,0.281008,0.117162,0.591973,0.34349,0,0.573913,0.49005,0.0525253,0.653521,0.103953,0.0145695,0,0,0,0,
1668787323171,0.425743,0.929047,0.981132,0.282946,0.118812,0.595318,0.33241,0,0.578261,0.475124,0.0484848,0.630986,0.105417,0.0119205,0,0,0,0,
1668787323271,0.405941,0.922395,0.974843,0.281008,0.113861,0.588629,0.32687,0.00102249,0.578261,0.470149,0.0424242,0.619718,0.108346,0.00927152,0,0,0,0,
1668787323371,0.39604,0.931264,0.971698,0.282946,0.112211,0.593646,0.3241,0,0.586957,0.465174,0.0424242,0.622535,0.106881,0.00927152,0,0,0,0,
1668787323471,0.376238,0.949002,0.962264,0.284884,0.107261,0.602007,0.313019,0.00101937,0.6,0.460199,0.0424242,0.639437,0.101025,0.00794702,0,0,0,0,
1668787323572,0.386139,0.944568,0.962264,0.282946,0.107261,0.603679,0.310249,0.00101937,0.613043,0.457711,0.0424242,0.670423,0.0937042,0.00794702,0,0,0,0,
1668787323672,0.386139,0.940133,0.962264,0.282946,0.110561,0.617057,0.296399,0,0.613043,0.452736,0.0444444,0.667606,0.0893119,0.00529801,0,0,0,0,
1668787323772,0.39604,0.940133,0.962264,0.282946,0.112211,0.622074,0.288089,0.00101626,0.621739,0.442786,0.0444444,0.664789,0.0878477,0.00397351,0,0,0,0,
1668787323872,0.39604,0.937916,0.965409,0.282946,0.115512,0.622074,0.282548,0.00101523,0.647826,0.442786,0.040404,0.68169,0.0878477,0.00397351,0,0,0,0,
