timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668520254154,0.709677,0.0909091,0.196429,0.0489362,0.0111317,0.314961,0.00928074,0.0767263,0.483092,0.0967742,0.0671233,0.891341,0.072335,0.0421941,0,0,0,0,
1668520254255,0.709677,0.0956938,0.196429,0.0510638,0.0111317,0.314961,0.00928074,0.0767263,0.483092,0.0948767,0.0671233,0.891341,0.072335,0.0432489,0,0,0,0,
1668520254355,0.709677,0.0861244,0.196429,0.0468085,0.0111317,0.314961,0.00928074,0.0754476,0.478261,0.0948767,0.0671233,0.891341,0.0736041,0.0421941,0,0,0,0,
1668520254455,0.693548,0.0909091,0.19898,0.0489362,0.0111317,0.317585,0.00928074,0.0754476,0.483092,0.0948767,0.0671233,0.891341,0.0736041,0.0421941,0,0,0,0,
1668520254555,0.709677,0.0909091,0.204082,0.0489362,0.012987,0.322835,0.00928074,0.0767263,0.483092,0.0948767,0.0657534,0.889643,0.0736041,0.0421941,0,0,0,0,
1668520254655,0.725806,0.0909091,0.19898,0.0468085,0.012987,0.32021,0.00928074,0.0754476,0.483092,0.0967742,0.0671233,0.891341,0.0748731,0.0421941,0,0,0,0,
1668520254756,0.725806,0.0909091,0.19898,0.0489362,0.0148423,0.328084,0.00928074,0.0754476,0.483092,0.0967742,0.0657534,0.887946,0.072335,0.0411392,0,0,0,0,
1668520254856,0.693548,0.0909091,0.193878,0.0489362,0.012987,0.333333,0.00696056,0.0741688,0.487923,0.0948767,0.0657534,0.886248,0.072335,0.0411392,0,0,0,0,
1668520254956,0.33871,0.0669856,0.502551,0.0595745,0.00371058,0.249344,0.00696056,0.0626598,0.352657,0.0929791,0.0821918,0.830221,0.0469543,0.0400844,0,0,0,0,
1668520255056,0.129032,0.0478469,0.660714,0.0957447,0.00927644,0.47769,0.025522,0.0818414,0.280193,0.0967742,0.0863014,0.730051,0.0253807,0.0527426,0,0,0,0,
1668520255157,0.0806452,0.00956938,0.691327,0.0787234,0.0482375,0.771654,0.0301624,0.0895141,0.318841,0.0948767,0.0890411,0.685908,0.0126904,0.0548523,0,0,0,0,
1668520255257,0.112903,0,0.752551,0.0765957,0.0500928,0.958005,0.0324826,0.0920716,0.381643,0.0910816,0.090411,0.689304,0.00634518,0.0548523,0,0,0,0,
1668520255357,0.112903,0,0.834184,0.0808511,0.0500928,1,0.0394432,0.0869565,0.652174,0.056926,0.0849315,0.747029,0,0.0485232,0,0,0,0,
1668520255457,0.16129,0,0.852041,0.129787,0.0111317,1,0.0533643,0.0780051,0.710145,0.0796964,0.0739726,0.843803,0.00506971,0.0537975,0,0,0,0,
1668520255557,0.33871,0.0429185,0.84949,0.193617,0.0352505,1,0.0696056,0.113811,0.821256,0.117647,0.0684932,0.887946,0,0.0590717,0,0,0,0,
1668520255657,0.403226,0.193133,0.806122,0.334043,0.0797774,0.967005,0.104408,0.158568,0.913043,0.155598,0.0808219,0.940577,0.00252845,0.0622363,0,0,0,0,
1668520255757,0.403226,0.579399,0.811224,0.385106,0.19666,0.950508,0.113689,0.207161,0.855072,0.157495,0.10137,0.879457,0,0.0727848,0,0,0,0,
1668520255858,0.209677,0.785408,0.82398,0.442553,0.233766,0.940355,0.150812,0.258312,0.589372,0.16129,0.105479,0.786078,0,0.10443,0,0,0,0,
1668520255958,0.112903,0.802575,0.818878,0.47234,0.218924,0.923858,0.183295,0.258312,0.57971,0.195446,0.112329,0.580645,0.00371747,0.121308,0,0,0,0,
1668520256058,0.0967742,0.742489,0.816327,0.476596,0.194805,0.906091,0.206497,0.232737,0.565217,0.201139,0.124658,0.565365,0,0.119198,0,0,0,0,
1668520256159,0.112903,0.703863,0.821429,0.470213,0.191095,0.895939,0.206497,0.216113,0.584541,0.199241,0.120548,0.57725,0.00123457,0.118143,0,0,0,0,
1668520256259,0.145161,0.65236,0.836735,0.476596,0.187384,0.883249,0.222738,0.19821,0.63285,0.206831,0.112329,0.585739,0.00123457,0.121308,0,0,0,0,
1668520256359,0.193548,0.639485,0.854592,0.478723,0.179963,0.871827,0.229698,0.189258,0.642512,0.210626,0.10411,0.57725,0.00246914,0.120253,0,0,0,0,
1668520256459,0.177419,0.622318,0.844388,0.474468,0.179963,0.870558,0.222738,0.18798,0.652174,0.210626,0.1,0.584041,0.0037037,0.120253,0,0,0,0,
1668520256559,0.225806,0.613734,0.841837,0.47234,0.179963,0.870558,0.213457,0.18798,0.681159,0.206831,0.0986301,0.604414,0.00493827,0.121308,0,0,0,0,
