timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668519933901,0.8,0.0211268,0.292411,0.0302326,0.00931099,0.285205,0.00865801,0.0639687,0.522523,0.0535714,0.0872396,0.865347,0.0874704,0.0557769,0,0,0,0,
1668519934001,0.8,0.0211268,0.292411,0.0302326,0.00931099,0.285205,0.00865801,0.0652741,0.522523,0.0535714,0.0872396,0.865347,0.0886525,0.0557769,0,0,0,0,
1668519934101,0.8,0.0211268,0.292411,0.0325581,0.00931099,0.286988,0.00865801,0.0652741,0.527027,0.0535714,0.0872396,0.865347,0.0886525,0.0567729,0,0,0,0,
1668519934202,0.8,0.0140845,0.292411,0.0302326,0.00931099,0.285205,0.00865801,0.0639687,0.522523,0.0535714,0.0872396,0.865347,0.0886525,0.0557769,0,0,0,0,
1668519934302,0.8,0.0211268,0.292411,0.0302326,0.00931099,0.285205,0.00865801,0.0639687,0.522523,0.0555556,0.0872396,0.865347,0.0874704,0.0557769,0,0,0,0,
1668519934402,0.8,0.0211268,0.292411,0.0302326,0.00931099,0.286988,0.00865801,0.0652741,0.522523,0.0535714,0.0859375,0.865347,0.0886525,0.0557769,0,0,0,0,
1668519934502,0.8,0.0211268,0.290179,0.0302326,0.00931099,0.286988,0.00649351,0.0639687,0.522523,0.0555556,0.0872396,0.865347,0.0874704,0.0557769,0,0,0,0,
1668519934602,0.753846,0.0211268,0.296875,0.0302326,0.00931099,0.290553,0.00865801,0.0639687,0.527027,0.0555556,0.0885417,0.861386,0.0862884,0.0547809,0,0,0,0,
1668519934703,0.0769231,0,0.609375,0.0395349,0.0167598,0.286988,0.00649351,0.0417755,0.396396,0.0575397,0.0976562,0.893069,0.0591017,0.0587649,0,0,0,0,
1668519934803,0,0,0.640625,0.0930233,0.018622,0.409982,0.038961,0.0809399,0.22973,0.0813492,0.108073,0.568317,0.0212766,0.0816733,0,0,0,0,
1668519934903,0.0441176,0,0.716518,0.0744186,0.0260708,0.490196,0.034632,0.0926893,0.288288,0.0714286,0.114583,0.554455,0.0153664,0.0776892,0,0,0,0,
1668519935003,0.0294118,0,0.819196,0.0302326,0.0465549,0.607843,0.0281385,0.0953003,0.378378,0.0496032,0.117188,0.522772,0.0070922,0.0737052,0,0,0,0,
1668519935103,0,0,0.881696,0.0186047,0.0670391,0.707665,0.025974,0.0966057,0.468468,0.031746,0.119792,0.520792,0.0035461,0.0717131,0,0,0,0,
1668519935204,0.0289855,0.00568182,0.897321,0.0232558,0.0577281,0.83779,0.0324675,0.0992167,0.486486,0.0297619,0.119792,0.538614,0.00827423,0.0657371,0,0,0,0,
1668519935304,0.101449,0,0.895089,0.044186,0.00372439,0.948307,0.038961,0.114883,0.495495,0.0357143,0.11849,0.584158,0.00945626,0.0667331,0,0,0,0,
1668519935404,0.202899,0.0112994,0.895089,0.0790698,0.00742115,0.996479,0.0454545,0.137076,0.545045,0.0496032,0.119792,0.619802,0.00945626,0.0677291,0,0,0,0,
1668519935504,0.318841,0.0225989,0.910714,0.106977,0.0760668,0.940141,0.0497836,0.167102,0.621622,0.0615079,0.121094,0.772277,0.0153664,0.0727092,0,0,0,0,
1668519935604,0.463768,0.169492,0.910714,0.190698,0.280148,0.989437,0.0649351,0.203655,0.725225,0.0853175,0.11849,0.849505,0.0141844,0.0727092,0,0,0,0,
1668519935705,0.521739,0.542373,0.908482,0.327907,0.380334,1,0.0952381,0.234987,0.743243,0.0992064,0.135417,0.855446,0.00236407,0.106574,0,0,0,0,
1668519935805,0.434783,0.700565,0.877232,0.388372,0.356215,1,0.116883,0.236292,0.779279,0.115079,0.152344,0.738614,0,0.12749,0,0,0,0,
1668519935905,0.289855,0.706215,0.841518,0.374419,0.339518,1,0.123377,0.218016,0.743243,0.109127,0.16276,0.665347,0,0.124502,0,0,0,0,
1668519936005,0.246377,0.694915,0.821429,0.337209,0.339518,1,0.121212,0.199739,0.698198,0.105159,0.175781,0.637624,0.00117371,0.119522,0,0,0,0,
1668519936105,0.101449,0.649718,0.825893,0.260465,0.35807,0.987161,0.116883,0.180157,0.576577,0.0813492,0.191406,0.611881,0.00704225,0.104582,0,0,0,0,
1668519936206,0.0869565,0.615819,0.861607,0.234884,0.372913,0.961484,0.116883,0.169713,0.522523,0.0674603,0.184896,0.619802,0.00938967,0.0956175,0,0,0,0,
1668519936306,0.0724638,0.553672,0.877232,0.24186,0.374768,0.948645,0.11039,0.16188,0.518018,0.0575397,0.170573,0.645545,0.0117371,0.0926295,0,0,0,0,
1668519936406,0.0869565,0.514124,0.910714,0.237209,0.374768,0.935806,0.0995671,0.159269,0.490991,0.0535714,0.157552,0.693069,0.0129108,0.0876494,0,0,0,0,
1668519936506,0.101449,0.519774,0.944196,0.237209,0.376623,0.914408,0.0952381,0.156658,0.5,0.047619,0.147135,0.738614,0.0129108,0.0786853,0,0,0,0,
1668519936606,0.101449,0.564972,0.959821,0.239535,0.384045,0.898716,0.0952381,0.160574,0.531532,0.0376984,0.145833,0.80396,0.0152582,0.0657371,0,0,0,0,
1668519936707,0.101449,0.570621,0.977679,0.218605,0.387755,0.884451,0.0865801,0.159269,0.572072,0.0396825,0.148438,0.8,0.0246479,0.0697211,0,0,0,0,
1668519936807,0.0724638,0.553672,0.979911,0.204651,0.38961,0.881598,0.0822511,0.154047,0.509009,0.0456349,0.15625,0.774257,0.0305164,0.0677291,0,0,0,0,
1668519936907,0.0724638,0.39548,0.991071,0.134884,0.384045,0.757489,0.0735931,0.146214,0.653153,0.0575397,0.15625,1,0.0340376,0.0816733,0,0,0,0,
1668519937007,0.0724638,0.146893,1,0.0209302,0.148423,0.704708,0.0606061,0.13577,0.599099,0.0515873,0.139323,1,0.0410798,0.0996016,0,0,0,0,
1668519937107,0.0144928,0.0112994,1,0.0162791,0.137291,0.593438,0.047619,0.112272,0.77027,0,0.128906,0.67893,0.0316901,0.0766932,0,0,0,0,
1668519937208,0,0.00564972,0.994129,0.0116279,0.124304,0.550642,0.0454545,0.12141,0.806306,0.00194932,0.126302,0.682274,0.0316901,0.0766932,0,0,0,0,
1668519937308,0.0138889,0.124294,0.923679,0,0.0909091,0.513552,0.0411255,0.112272,0.734234,0.0116732,0.125,0.670569,0.0316901,0.0737052,0,0,0,0,
1668519937408,0.0133333,0.271186,0.772994,0.00692841,0.0500928,0.456491,0.0281385,0.0887728,0.567568,0.040856,0.119792,0.652174,0.036385,0.0737052,0,0,0,0,
1668519937508,0.0666667,0.265537,0.671233,0.00923788,0.0166976,0.39515,0.0194805,0.0809399,0.495495,0.0505837,0.117188,0.648829,0.0399061,0.0766932,0,0,0,0,
1668519937608,0.08,0.259887,0.622309,0.00461894,0.0241187,0.35806,0.017316,0.073107,0.441441,0.0447471,0.111979,0.640468,0.0399061,0.0776892,0,0,0,0,
1668519937709,0.12,0.265537,0.571429,0.00461894,0.0482375,0.356633,0.0151515,0.0678851,0.445946,0.0428016,0.109375,0.653846,0.0399061,0.0776892,0,0,0,0,
1668519937809,0.4,0.310734,0.395303,0.00230947,0.0649351,0.308131,0.0108225,0.0691906,0.463964,0.0350195,0.106771,0.692308,0.0422535,0.0747012,0,0,0,0,
1668519937909,0.626667,0.288136,0.295499,0.0115473,0.0352505,0.262482,0.012987,0.0639687,0.603604,0.0428016,0.0703125,0.747492,0.0739437,0.0557769,0,0,0,0,
1668519938009,0.733333,0.276836,0.268102,0.0184758,0.0278293,0.273894,0.0151515,0.0600522,0.594595,0.0428016,0.0559896,0.762542,0.084507,0.0547809,0,0,0,0,
1668519938109,0.733333,0.271186,0.264188,0.0207852,0.0222635,0.276747,0.0151515,0.0548303,0.581081,0.040856,0.0533854,0.755853,0.0856808,0.0527888,0,0,0,0,
1668519938210,0.72,0.265537,0.266145,0.0207852,0.0185529,0.276747,0.0151515,0.0509138,0.572072,0.040856,0.0533854,0.754181,0.0856808,0.0527888,0,0,0,0,
1668519938310,0.733333,0.265537,0.266145,0.0184758,0.0148423,0.273894,0.0151515,0.0509138,0.563063,0.040856,0.0533854,0.752508,0.084507,0.0517928,0,0,0,0,
1668519938410,0.733333,0.271186,0.268102,0.0230947,0.0148423,0.272468,0.0151515,0.0522193,0.563063,0.0428016,0.0546875,0.750836,0.0856808,0.0517928,0,0,0,0,
