timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668520408430,0.28,0.126437,0.229412,0.0529801,0.0147059,0.315464,0.0157303,0.0662338,0.554622,0.0526316,0.0726027,0.877095,0.103275,0.0576923,0,0,0,0,
1668520408530,0.29,0.126437,0.226471,0.0551876,0.0147059,0.313402,0.0157303,0.0662338,0.554622,0.0526316,0.0726027,0.875233,0.103275,0.0576923,0,0,0,0,
1668520408630,0.28,0.1341,0.226471,0.0529801,0.0147059,0.315464,0.0157303,0.0662338,0.55042,0.0526316,0.0726027,0.875233,0.103275,0.0576923,0,0,0,0,
1668520408730,0.28,0.126437,0.229412,0.0529801,0.0147059,0.313402,0.0157303,0.0662338,0.55042,0.0526316,0.0726027,0.875233,0.103275,0.0576923,0,0,0,0,
1668520408830,0.29,0.130268,0.232353,0.0551876,0.0147059,0.31134,0.0157303,0.0662338,0.55042,0.0545809,0.0726027,0.877095,0.105793,0.0566239,0,0,0,0,
1668520408931,0.28,0.126437,0.247059,0.0551876,0.0147059,0.309278,0.0157303,0.0662338,0.55042,0.0545809,0.0726027,0.880819,0.103275,0.0566239,0,0,0,0,
1668520409031,0.24,0.122605,0.288235,0.0551876,0.0147059,0.307216,0.0134831,0.0649351,0.55042,0.0526316,0.0739726,0.888268,0.102015,0.0566239,0,0,0,0,
1668520409131,0.1,0.10728,0.964706,0.125828,0,0.173196,0.011236,0.0727273,0.495798,0.0584795,0.0890411,0.972067,0.0843829,0.0587607,0,0,0,0,
1668520409231,0.22,0.249042,1,0.203091,0.0128205,0.385567,0.0382022,0.120779,0.546219,0.0877193,0.145205,0.913919,0.0503778,0.117521,0,0,0,0,
1668520409331,0.15,0.260536,0.99449,0.225166,0.00732601,0.451546,0.0494382,0.158442,0.546219,0.105263,0.19726,0.81685,0.0289673,0.195513,0,0,0,0,
1668520409432,0.13,0.229885,1,0.227373,0.00549451,0.531959,0.047191,0.163636,0.563025,0.0935673,0.191781,0.824176,0.0302267,0.226496,0,0,0,0,
1668520409532,0.11,0.172414,0.969863,0.231788,0.00915751,0.643299,0.047191,0.161039,0.592437,0.0838207,0.215068,0.847985,0.034005,0.266026,0,0,0,0,
1668520409632,0.1,0.111111,0.972603,0.233996,0.00549451,0.674227,0.0494382,0.15974,0.60084,0.0838207,0.220548,0.871795,0.0415617,0.285256,0,0,0,0,
1668520409732,0.1,0.091954,0.978082,0.240618,0,0.723711,0.047191,0.15974,0.592437,0.079922,0.221918,0.871795,0.0440806,0.290598,0,0,0,0,
1668520409832,0.12,0.0766283,0.989041,0.240618,0.00363636,0.758763,0.0449438,0.172727,0.588235,0.0721248,0.241096,0.875458,0.0440806,0.298077,0,0,0,0,
1668520409932,0.17,0.0689655,0.983562,0.225166,0.0290909,0.880412,0.047191,0.196104,0.588235,0.0682261,0.29589,0.891941,0.0478589,0.318376,0,0,0,0,
1668520410033,0.2,0.0574713,1,0.211921,0.0527273,0.996,0.0516854,0.203896,0.609244,0.0721248,0.328767,0.904762,0.0478589,0.321581,0,0,0,0,
1668520410133,0.28,0.0996169,1,0.240618,0.0945455,0.962,0.047191,0.267532,0.642857,0.0779727,0.342466,0.921245,0.0465995,0.323718,0,0,0,0,
1668520410233,0.28,0.318008,0.981333,0.251656,0.210909,1,0.0516854,0.350649,0.621849,0.0662768,0.347945,0.873626,0.0415617,0.32906,0,0,0,0,
1668520410333,0.22,0.429119,0.949333,0.267108,0.269091,1,0.0561798,0.398701,0.571429,0.0584795,0.345205,0.791209,0.0377834,0.32906,0,0,0,0,
1668520410433,0.19,0.544061,0.944,0.282561,0.301818,1,0.0629213,0.441558,0.516807,0.0545809,0.354795,0.727106,0.034005,0.331197,0,0,0,0,
1668520410533,0.18,0.570881,0.944,0.298013,0.3,1,0.0696629,0.449351,0.478992,0.0545809,0.364384,0.692308,0.0251889,0.33547,0,0,0,0,
1668520410634,0.19,0.624521,0.968,0.304636,0.301818,0.99844,0.0719101,0.463636,0.470588,0.0545809,0.367123,0.675824,0.0201511,0.34188,0,0,0,0,
1668520410734,0.19,0.666667,0.994667,0.309051,0.3,1,0.0741573,0.464935,0.466387,0.0565302,0.382192,0.681319,0.0163728,0.348291,0,0,0,0,
1668520410834,0.15,0.720307,0.946667,0.339956,0.3,0.996923,0.0898876,0.466234,0.47479,0.0662768,0.409589,0.68315,0.0151134,0.356838,0,0,0,0,
1668520410934,0.09,0.770115,0.912,0.379691,0.290909,1,0.119101,0.455844,0.44958,0.079922,0.426027,0.576923,0.00503778,0.334402,0,0,0,0,
1668520411034,0.02,0.785441,0.869333,0.384106,0.28,0.99232,0.134831,0.442857,0.390756,0.0818713,0.424658,0.432234,0,0.306624,0,0,0,0,
1668520411135,0,0.724138,0.877333,0.368653,0.263636,0.976959,0.130337,0.420779,0.357143,0.0760234,0.415069,0.417582,0.00124688,0.298077,0,0,0,0,
1668520411235,0,0.662835,0.893333,0.355408,0.227273,0.953917,0.139326,0.37013,0.344538,0.0779727,0.390411,0.432234,0.00124688,0.279915,0,0,0,0,
1668520411335,0,0.62069,0.909333,0.342163,0.192727,0.93702,0.146067,0.32987,0.315126,0.0662768,0.375342,0.432234,0.00374065,0.262821,0,0,0,0,
1668520411435,0,0.555556,0.928,0.333333,0.163636,0.917051,0.148315,0.283117,0.268908,0.0389864,0.367123,0.454212,0.00997506,0.255342,0,0,0,0,
1668520411535,0,0.524904,0.973333,0.317881,0.149091,0.904762,0.134831,0.271429,0.260504,0.0272904,0.356164,0.487179,0.0124688,0.252137,0,0,0,0,
1668520411635,0.0181818,0.501916,1,0.306843,0.125455,0.870968,0.116854,0.255844,0.268908,0.0214425,0.339726,0.520147,0.0124688,0.244658,0,0,0,0,
1668520411736,0.0181818,0.482759,1,0.304636,0.116364,0.872504,0.11236,0.241558,0.285714,0.0214425,0.331507,0.543956,0.0149626,0.240385,0,0,0,0,
1668520411836,0.0545455,0.455939,1,0.293598,0.105455,0.864823,0.105618,0.225974,0.319328,0.0214425,0.317808,0.587912,0.0187032,0.228632,0,0,0,0,
1668520411936,0.0545455,0.43295,1,0.291391,0.101818,0.872504,0.101124,0.224675,0.378151,0.0214425,0.319178,0.653846,0.0236908,0.220085,0,0,0,0,
1668520412036,0.0454545,0.425287,0.987654,0.267108,0.1,0.884793,0.0831461,0.212987,0.605042,0.0331384,0.310959,0.994505,0.0286783,0.231838,0,0,0,0,
