timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668520698752,0.4,0.0228833,0.410334,0.0383795,0.00905797,0.323105,0.00806452,0.0539084,0.632035,0.0895238,0.0333839,0.738758,0.09375,0.00137552,0,0,0,0,
1668520698852,0.4,0.0228833,0.419453,0.0405117,0.00724638,0.3213,0.0107527,0.0525606,0.627706,0.0895238,0.0318665,0.740899,0.0950521,0.00137552,0,0,0,0,
1668520698953,0.4,0.0251716,0.416413,0.0405117,0.00724638,0.323105,0.00806452,0.0525606,0.627706,0.0876191,0.0318665,0.738758,0.09375,0.00137552,0,0,0,0,
1668520699053,0.4,0.0228833,0.416413,0.0405117,0.00905797,0.323105,0.00806452,0.0539084,0.632035,0.0895238,0.0318665,0.736617,0.0924479,0.00137552,0,0,0,0,
1668520699153,0.384615,0.0228833,0.413374,0.0383795,0.00905797,0.3213,0.00806452,0.0512129,0.627706,0.0876191,0.0318665,0.736617,0.0924479,0,0,0,0,0,
1668520699253,0.369231,0.020595,0.462006,0.0405117,0.00724638,0.306859,0.00537634,0.0458221,0.584416,0.0857143,0.0349014,0.719486,0.0885417,0.00137363,0,0,0,0,
1668520699353,0.123077,0.0160183,0.68997,0.123667,0.00362319,0.292419,0.0374332,0.0175202,0.320346,0.104762,0.0349014,0.541756,0.0338542,0.0151099,0,0,0,0,
1668520699454,0.153846,0.0503432,0.693009,0.219616,0.0144928,0.393502,0.106952,0.0795148,0.497835,0.142857,0.0500759,0.554604,0.0195312,0.0865385,0,0,0,0,
1668520699554,0.123077,0.0457666,0.723404,0.170576,0.0416667,0.422383,0.0481283,0.101078,0.441558,0.121905,0.0637329,0.528908,0.0182292,0.0892857,0,0,0,0,
1668520699654,0.123077,0.0389016,0.723404,0.149254,0.0398551,0.471119,0.0374332,0.0997305,0.437229,0.114286,0.0622155,0.513919,0.0195312,0.0824176,0,0,0,0,
1668520699754,0.0923077,0.00686499,0.699088,0.119403,0.0398551,0.588448,0.0374332,0.0862534,0.4329,0.104762,0.0576631,0.475375,0.0169271,0.0714286,0,0,0,0,
1668520699854,0.0923077,0,0.699088,0.134328,0.0326087,0.673285,0.0427807,0.0808625,0.450216,0.102857,0.0561457,0.445396,0.015625,0.0755495,0,0,0,0,
1668520699955,0.107692,0.0205479,0.720365,0.21322,0.0181159,0.65704,0.0695187,0.113208,0.484848,0.118095,0.0546282,0.428266,0.0182292,0.0837912,0,0,0,0,
1668520700055,0.184615,0.182648,0.762918,0.296375,0.0163043,0.669675,0.131016,0.157682,0.549784,0.158095,0.0667678,0.413276,0.0221354,0.105769,0,0,0,0,
1668520700155,0.169231,0.356164,0.817629,0.375267,0.0217391,0.756318,0.227273,0.234501,0.601732,0.192381,0.121396,0.379015,0.0143229,0.122253,0,0,0,0,
1668520700255,0.138462,0.452055,0.860182,0.443497,0.0289855,0.83213,0.347594,0.327493,0.549784,0.213333,0.207891,0.310493,0.0104167,0.135989,0,0,0,0,
1668520700355,0.138462,0.493151,0.911854,0.477612,0.0307971,0.823105,0.409091,0.33558,0.441558,0.241905,0.241275,0.201285,0.0104167,0.138736,0,0,0,0,
1668520700456,0.107692,0.486301,0.911854,0.494669,0.0380435,0.823105,0.419786,0.342318,0.441558,0.268571,0.273141,0.194861,0.0143229,0.163462,0,0,0,0,
1668520700556,0.0153846,0.477169,0.878419,0.471215,0.0416667,0.812274,0.377005,0.351752,0.4329,0.249524,0.292868,0.218415,0.0104167,0.177198,0,0,0,0,
1668520700656,0,0.456621,0.869301,0.445629,0.0416667,0.808664,0.328877,0.365229,0.450216,0.20381,0.3217,0.278373,0.0078125,0.182692,0,0,0,0,
1668520700756,0,0.431507,0.860182,0.41791,0.0416667,0.796029,0.28877,0.351752,0.458874,0.171429,0.324734,0.334047,0.00911458,0.182692,0,0,0,0,
1668520700857,0,0.417808,0.908815,0.413646,0.0416667,0.788809,0.259358,0.349057,0.415584,0.144762,0.335357,0.33833,0.0078125,0.177198,0,0,0,0,
