timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668521123067,0.685039,0.0705882,0.265169,0.0603113,0.0471204,0.340836,0.0187793,0.0780669,0.627451,0.0672566,0.0774963,0.832905,0.0823096,0.0329531,0,0,0,0,
1668521123167,0.685039,0.0705882,0.267416,0.0583658,0.0471204,0.340836,0.0187793,0.0780669,0.627451,0.0654867,0.0774963,0.832905,0.0810811,0.0329531,0,0,0,0,
1668521123268,0.685039,0.0705882,0.262921,0.0583658,0.0453752,0.340836,0.0164319,0.0780669,0.622549,0.0672566,0.076006,0.832905,0.0810811,0.0329531,0,0,0,0,
1668521123368,0.692913,0.0705882,0.267416,0.0583658,0.0471204,0.340836,0.0187793,0.0780669,0.622549,0.0654867,0.0774963,0.832905,0.0810811,0.0316857,0,0,0,0,
1668521123468,0.685039,0.0705882,0.269663,0.0583658,0.0471204,0.339228,0.0187793,0.0780669,0.622549,0.0672566,0.0774963,0.832905,0.0823096,0.0329531,0,0,0,0,
1668521123568,0.685039,0.0705882,0.269663,0.0583658,0.0471204,0.340836,0.0187793,0.0780669,0.622549,0.0654867,0.0774963,0.832905,0.0835381,0.0329531,0,0,0,0,
1668521123669,0.685039,0.0705882,0.276405,0.0564202,0.0453752,0.339228,0.0187793,0.0768278,0.617647,0.0654867,0.0774963,0.835476,0.0835381,0.0316857,0,0,0,0,
1668521123769,0.614173,0.0682353,0.352809,0.077821,0.0418848,0.334405,0.0164319,0.0693928,0.558824,0.0637168,0.0730253,0.886889,0.0835381,0.0304183,0,0,0,0,
1668521123869,0.354331,0.0564706,0.54382,0.161479,0.0366492,0.389068,0.0352113,0.0855019,0.495098,0.0867257,0.0909091,0.871465,0.0577396,0.035488,0,0,0,0,
1668521123969,0.244094,0.0682353,0.647191,0.198444,0.034904,0.440514,0.0516432,0.112763,0.357843,0.0955752,0.102832,0.562982,0.036855,0.0544994,0,0,0,0,
1668521124069,0.181102,0.0494118,0.764045,0.132296,0.0907504,0.527331,0.0446009,0.142503,0.377451,0.0849558,0.111773,0.496144,0.0307125,0.0583016,0,0,0,0,
1668521124170,0.125984,0.0282353,0.898876,0.0428016,0.148342,0.672026,0.0328638,0.136307,0.470588,0.0654867,0.108793,0.416452,0.0257985,0.0456274,0,0,0,0,
1668521124270,0.0866142,0.00470588,0.970787,0.0272374,0.167539,0.779743,0.0375587,0.133829,0.52451,0.060177,0.108793,0.419023,0.0233415,0.0443599,0,0,0,0,
1668521124370,0.0866142,0.00235294,1,0.0272374,0.118674,0.765273,0.0422535,0.149938,0.568627,0.0584071,0.111773,0.562982,0.027027,0.0608365,0,0,0,0,
1668521124470,0.11811,0.00234742,0.995726,0.036965,0.0802792,0.855305,0.0492958,0.171004,0.661765,0.0654867,0.119225,0.827763,0.031941,0.0773131,0,0,0,0,
1668521124570,0.149606,0.0586854,0.961538,0.0797665,0.08726,0.948553,0.056338,0.216853,0.735294,0.0814159,0.131148,0.755784,0.0282555,0.0811153,0,0,0,0,
1668521124671,0.181102,0.330986,0.961538,0.208171,0.106457,1,0.0938967,0.225527,0.955882,0.100885,0.169896,0.874036,0.022113,0.0899873,0,0,0,0,
1668521124771,0.173228,0.469484,0.959402,0.280156,0.139616,0.996047,0.164319,0.224287,0.828431,0.113274,0.299553,0.70437,0.002457,0.12801,0,0,0,0,
1668521124871,0.15748,0.532864,0.965812,0.291829,0.139616,0.998682,0.173709,0.221809,0.671569,0.129204,0.344262,0.493573,0,0.174905,0,0,0,0,
1668521124971,0.102362,0.49061,0.980769,0.301556,0.141361,0.982872,0.180751,0.185874,0.5,0.130973,0.311475,0.298201,0,0.176172,0,0,0,0,
1668521125071,0.0787402,0.476526,0.99359,0.297665,0.139616,0.942029,0.187793,0.163569,0.367647,0.129204,0.274218,0.22108,0,0.164766,0,0,0,0,
1668521125172,0.0472441,0.441315,0.997872,0.285992,0.136126,0.916996,0.180751,0.143742,0.348039,0.125664,0.256334,0.326478,0.00243309,0.160963,0,0,0,0,
1668521125272,0.0393701,0.434272,1,0.282101,0.136126,0.889328,0.180751,0.138786,0.323529,0.118584,0.256334,0.344473,0.00608273,0.154626,0,0,0,0,
1668521125372,0.0393701,0.441315,1,0.285992,0.13438,0.876153,0.187793,0.138786,0.269608,0.113274,0.260805,0.33419,0.00851582,0.150824,0,0,0,0,
1668521125472,0.0472441,0.429577,1,0.285992,0.132635,0.874835,0.187793,0.140025,0.259804,0.107965,0.262295,0.33419,0.00851582,0.150824,0,0,0,0,
1668521125573,0.0629921,0.422535,1,0.27821,0.132635,0.869565,0.178404,0.142503,0.254902,0.099115,0.259314,0.336761,0.00851582,0.148289,0,0,0,0,
1668521125673,0.0629921,0.420188,0.997976,0.276265,0.132635,0.864295,0.171362,0.141264,0.245098,0.0920354,0.259314,0.341902,0.00851582,0.145754,0,0,0,0,
1668521125773,0.0551181,0.413146,0.997976,0.276265,0.132635,0.86166,0.173709,0.141264,0.245098,0.0938053,0.262295,0.344473,0.00973236,0.147022,0,0,0,0,
1668521125873,0.0629921,0.392019,1,0.274319,0.13438,0.853755,0.166667,0.141264,0.254902,0.0920354,0.260805,0.354756,0.0109489,0.147022,0,0,0,0,
1668521125973,0.0787402,0.279343,1,0.268482,0.13438,0.843215,0.166667,0.131351,0.269608,0.0884956,0.23994,0.359897,0.00973236,0.141952,0,0,0,0,
1668521126074,0.0866142,0.0892019,1,0.2607,0.129145,0.824769,0.180751,0.0991326,0.284314,0.099115,0.187779,0.385604,0.00851582,0.135615,0,0,0,0,
1668521126174,0.0866142,0.0234742,0.992366,0.250973,0.102967,0.789196,0.192488,0.0557621,0.436274,0.127434,0.09538,0.488432,0.00608273,0.119138,0,0,0,0,
1668521126274,0.102362,0.0234742,1,0.22179,0.123909,0.736495,0.164319,0.0731103,0.602941,0.141593,0.0461997,0.622108,0.00486618,0.0975919,0,0,0,0,
1668521126374,0.0944882,0.00938967,1,0.167315,0.202443,0.794466,0.0915493,0.0619579,0.696078,0.0690266,0.052161,0.732648,0.0121655,0.13308,0,0,0,0,
1668521126474,0.0866142,0.0117371,0.931532,0.138132,0.233857,0.936759,0.0985916,0.039653,0.764706,0.0371681,0.0849478,0.820051,0.0206813,0.171103,0,0,0,0,
1668521126575,0.133858,0.279343,0.769369,0.171206,0.202443,0.963109,0.0915493,0.0309789,0.754902,0.0477876,0.0849478,0.794344,0.0170316,0.179975,0,0,0,0,
1668521126675,0.15748,0.366197,0.738739,0.194553,0.200698,0.785244,0.0868545,0.0458488,0.735294,0.0513274,0.0789866,0.758355,0.0121655,0.168568,0,0,0,0,
1668521126775,0.15748,0.340376,0.753153,0.196498,0.21466,0.811594,0.0892019,0.0446097,0.754902,0.0566372,0.0730253,0.753213,0.013382,0.164766,0,0,0,0,
1668521126875,0.15748,0.338028,0.731532,0.182879,0.232112,0.971014,0.0962441,0.0346964,0.735294,0.0530973,0.0700447,0.753213,0.0121655,0.166033,0,0,0,0,
