timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668520653780,0.477273,0.150327,0.363934,0.0385356,0.0181818,0.284848,0.0119617,0.0672704,0.450331,0.0806754,0.0410557,0.87541,0.0919118,0.0425273,0,0,0,0,
1668520653881,0.477273,0.150327,0.357377,0.0385356,0.0181818,0.284848,0.0119617,0.0659767,0.450331,0.0825516,0.042522,0.868852,0.0919118,0.0425273,0,0,0,0,
1668520653981,0.477273,0.150327,0.357377,0.0385356,0.02,0.288889,0.0119617,0.0672704,0.450331,0.0825516,0.0410557,0.865574,0.0919118,0.0425273,0,0,0,0,
1668520654081,0.477273,0.153595,0.357377,0.0385356,0.0181818,0.288889,0.0119617,0.0659767,0.456954,0.0806754,0.0410557,0.865574,0.0919118,0.0425273,0,0,0,0,
1668520654181,0.477273,0.150327,0.357377,0.0366089,0.0181818,0.286869,0.00956938,0.064683,0.450331,0.0825516,0.0410557,0.865574,0.0931373,0.0413123,0,0,0,0,
1668520654281,0.477273,0.153595,0.354098,0.0385356,0.0181818,0.286869,0.0119617,0.0659767,0.450331,0.0825516,0.0410557,0.865574,0.0919118,0.0413123,0,0,0,0,
1668520654382,0.454545,0.150327,0.354098,0.0385356,0.0181818,0.286869,0.00956938,0.064683,0.443709,0.0806754,0.0395894,0.862295,0.0919118,0.0400972,0,0,0,0,
1668520654482,0.318182,0.147059,0.396721,0.044316,0.0163636,0.268687,0.00478469,0.0517464,0.331126,0.0787992,0.0454545,0.829508,0.0845588,0.0400972,0,0,0,0,
1668520654582,0.204545,0.166667,0.698361,0.125241,0.0163636,0.226263,0.0239234,0.076326,0,0.0881801,0.0659824,0.406557,0.0343137,0.0571081,0,0,0,0,
1668520654682,0.204545,0.29085,0.629508,0.181118,0.0563636,0.343434,0.0382775,0.165589,0.214724,0.0994371,0.115836,0.429508,0.0171569,0.131227,0,0,0,0,
1668520654782,0.113636,0.238562,0.563934,0.0982659,0.08,0.391919,0.0311005,0.184994,0.190184,0.0769231,0.162757,0.413115,0.0122549,0.164034,0,0,0,0,
1668520654883,0.0909091,0.235294,0.298361,0.119461,0.0781818,0.40404,0.0382775,0.368693,0.116564,0.0750469,0.376833,0.403279,0.0318627,0.241798,0,0,0,0,
1668520654983,0.0909091,0.24183,0.180328,0.129094,0.165455,0.432323,0.0741627,0.472186,0.0920245,0.103189,0.508798,0.311475,0.0686275,0.296476,0,0,0,0,
1668520655083,0.113636,0.248366,0.232787,0.159923,0.272727,0.428283,0.114833,0.50194,0.177914,0.15197,0.549853,0.318033,0.0919118,0.321993,0,0,0,0,
1668520655183,0.113636,0.264706,0.314754,0.217726,0.294545,0.450505,0.157895,0.517464,0.184049,0.187617,0.554252,0.301639,0.0992647,0.325638,0,0,0,0,
1668520655283,0.113636,0.212418,0.281967,0.194605,0.167273,0.533333,0.148325,0.470893,0.128834,0.174484,0.527859,0.24918,0.0943627,0.313487,0,0,0,0,
1668520655384,0.0681818,0.398693,0.27541,0.223507,0.214545,0.723232,0.184211,0.509702,0.141104,0.204503,0.564516,0.177049,0.0943627,0.336574,0,0,0,0,
1668520655484,0.0227273,0.607843,0.344262,0.248555,0.205455,0.676768,0.198565,0.552393,0.104294,0.198874,0.596774,0.196721,0.0943627,0.348724,0,0,0,0,
1668520655584,0,0.669935,0.406557,0.292871,0.196364,0.650505,0.217703,0.631307,0.110429,0.198874,0.629032,0.259016,0.0919118,0.353584,0,0,0,0,
1668520655684,0,0.70915,0.468852,0.333333,0.2,0.713131,0.210526,0.692109,0,0.168856,0.667155,0.121311,0.0735294,0.368165,0,0,0,0,
1668520655784,0,0.70915,0.47541,0.342967,0.189091,0.719192,0.212919,0.69599,0.0289017,0.172608,0.673021,0.0721311,0.0661765,0.376671,0,0,0,0,
1668520655885,0.0204082,0.637255,0.478689,0.302505,0.170909,0.70101,0.181818,0.686934,0.0231214,0.140713,0.665689,0.0852459,0.0367647,0.35966,0,0,0,0,
1668520655985,0,0.594771,0.47541,0.285164,0.149091,0.674747,0.162679,0.65718,0.0231214,0.116323,0.64956,0.095082,0.0318627,0.332928,0,0,0,0,
1668520656085,0,0.558824,0.521311,0.26975,0.130909,0.648485,0.133971,0.655886,0,0.0863039,0.645161,0.121311,0.0269608,0.313487,0,0,0,0,
1668520656185,0.0188679,0.542484,0.609836,0.283237,0.109091,0.654545,0.117225,0.652005,0,0.0694184,0.642229,0.216393,0.0257353,0.37181,0,0,0,0,
