timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668783882595,0.340426,0.199134,0.594393,0.0606654,0.0229277,0.387145,0.174224,0.0929368,0.87931,0.450135,0.196193,0.823232,0.0842857,0.0477569,0,0,0,0,
1668783882696,0.319149,0.199134,0.594393,0.0587084,0.021164,0.38565,0.174224,0.0916976,0.875,0.447439,0.194729,0.825758,0.0842857,0.0477569,0,0,0,0,
1668783882796,0.319149,0.199134,0.594393,0.0606654,0.0229277,0.38565,0.174224,0.0916976,0.875,0.450135,0.194729,0.823232,0.0842857,0.0477569,0,0,0,0,
1668783882896,0.319149,0.199134,0.592523,0.0606654,0.0229277,0.38864,0.174224,0.0916976,0.87931,0.447439,0.194729,0.828283,0.0842857,0.0477569,0,0,0,0,
1668783882996,0.297872,0.203463,0.585047,0.0606654,0.0246914,0.390135,0.167064,0.0892193,0.87931,0.436658,0.193265,0.843434,0.0814286,0.0448625,0,0,0,0,
1668783883096,0.191489,0.199134,0.564486,0.072407,0.0299824,0.405082,0.143198,0.0892193,0.853448,0.407008,0.191801,0.919192,0.08,0.0303907,0,0,0,0,
1668783883197,0.0425532,0.177489,0.553271,0.129159,0.0246914,0.436472,0.126492,0.0991326,0.849138,0.377358,0.203514,0.944444,0.0857143,0.0260492,0,0,0,0,
1668783883297,0.0851064,0.138528,0.626168,0.133072,0.031746,0.41704,0.147971,0.118959,0.969828,0.455526,0.215227,0.972222,0.111429,0.0361794,0,0,0,0,
1668783883397,0.0425532,0.116883,0.579439,0.117417,0.0335097,0.458894,0.169451,0.11772,0.995851,0.525606,0.215227,0.848485,0.124286,0.0361794,0,0,0,0,
1668783883497,0.0212766,0.121212,0.521495,0.0958904,0.0388007,0.458894,0.178998,0.114002,0.896266,0.536388,0.206442,0.656566,0.101429,0.0289436,0,0,0,0,
1668783883598,0,0.121212,0.456075,0.105675,0.0511464,0.399103,0.131265,0.110285,0.609959,0.336927,0.188873,0.60101,0.1,0.0622287,0,0,0,0,
1668783883698,0.0625,0.164502,0.429907,0.174168,0.0864198,0.387145,0.131265,0.211896,0.514523,0.237197,0.450952,0.492424,0.215714,0.232996,0,0,0,0,
1668783883798,0.333333,0.142857,0.506542,0.18591,0.123457,0.38864,0.133652,0.561338,0.381743,0.269542,0.676428,0.272727,0.274286,0.335745,0,0,0,0,
1668783883898,0.458333,0.151515,0.493458,0.219178,0.160494,0.400598,0.178998,0.638166,0.369295,0.299191,0.718887,0.0606061,0.294286,0.364689,0,0,0,0,
1668783883998,0.541667,0.155844,0.472897,0.236791,0.179894,0.412556,0.190931,0.662949,0.278008,0.264151,0.759883,0.00252525,0.257143,0.419682,0,0,0,0,
1668783884099,0.583333,0.164502,0.452336,0.246575,0.17284,0.433483,0.190931,0.665428,0.278008,0.239892,0.795022,0.00755668,0.24,0.519537,0,0,0,0,
