timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668783717640,0.322581,0.155963,0.38,0.0473251,0.0458716,0.438672,0.253264,0.0909091,1,0.41791,0.146341,0.724566,0.0659898,0.0498489,0,0,0,0,
1668783717740,0.322581,0.152905,0.378,0.0452675,0.0440367,0.438672,0.255875,0.0896465,0.99495,0.41791,0.146341,0.722084,0.0642978,0.0498489,0,0,0,0,
1668783717841,0.322581,0.155963,0.378,0.0452675,0.0440367,0.438672,0.253264,0.0909091,1,0.41791,0.146341,0.722084,0.0659898,0.0498489,0,0,0,0,
1668783717941,0.322581,0.155963,0.376,0.0473251,0.0458716,0.438672,0.253264,0.0896465,0.99495,0.420896,0.146341,0.722084,0.0642978,0.0483384,0,0,0,0,
1668783718041,0.322581,0.155963,0.378,0.0473251,0.0440367,0.440115,0.255875,0.0909091,0.994975,0.41791,0.146341,0.722084,0.0642978,0.0498489,0,0,0,0,
1668783718142,0.290323,0.152905,0.376,0.0452675,0.0440367,0.440115,0.255875,0.0883838,0.994975,0.41791,0.144715,0.719603,0.0642978,0.0483384,0,0,0,0,
1668783718242,0.322581,0.155963,0.374,0.0452675,0.0440367,0.444444,0.255875,0.0883838,0.994975,0.420896,0.144715,0.712159,0.0642978,0.0468278,0,0,0,0,
1668783718342,0.290323,0.155963,0.37,0.0452675,0.0458716,0.448773,0.255875,0.0871212,0.98995,0.420896,0.143089,0.704715,0.0642978,0.0483384,0,0,0,0,
1668783718442,0.322581,0.155963,0.37,0.0473251,0.0458716,0.448773,0.255875,0.0871212,0.98995,0.423881,0.144715,0.704715,0.0659898,0.0468278,0,0,0,0,
1668783718543,0.322581,0.155963,0.376,0.0432099,0.0458716,0.448773,0.253264,0.0871212,0.98995,0.426866,0.144715,0.704715,0.0676819,0.0453172,0,0,0,0,
1668783718643,0.354839,0.152905,0.382,0.0452675,0.0477064,0.443001,0.248042,0.0883838,1,0.447761,0.15122,0.689826,0.0693739,0.0407855,0,0,0,0,
1668783718743,0.0967742,0.137615,0.63,0.0761317,0.0422018,0.421356,0.232376,0.119949,0.969957,0.501493,0.195122,0.813896,0.0693739,0.0422961,0,0,0,0,
1668783718843,0.290323,0.110092,0.696,0.0884774,0.053211,0.414141,0.201044,0.132576,0.892704,0.408955,0.198374,0.734491,0.0439932,0.0392749,0,0,0,0,
1668783718943,0.483871,0.103976,0.664,0.0761317,0.0623853,0.448773,0.159269,0.132576,0.785408,0.268657,0.186992,0.665012,0.0152284,0.0302115,0,0,0,0,
1668783719044,0.645161,0.110092,0.67,0.0514403,0.0623853,0.427128,0.143603,0.138889,0.828326,0.164179,0.177236,0.707196,0.0186125,0.0332326,0,0,0,0,
1668783719144,0.774194,0.11315,0.71,0.0473251,0.0605505,0.424242,0.143603,0.140152,0.824034,0.0567164,0.170732,0.73201,0.0203046,0.0407855,0,0,0,0,
1668783719244,0.870968,0.116208,0.734,0.0740741,0.0752294,0.44733,0.140992,0.164141,0.802575,0,0.20813,0.744417,0.0253807,0.070997,0,0,0,0,
1668783719344,1,0.110092,0.752,0.117284,0.13578,0.562771,0.151436,0.47096,0.67382,0,0.453659,0.704715,0.035533,0.191843,0,0,0,0,
1668783719444,1,0.100917,0.732,0.1893,0.166972,0.717172,0.169713,0.585859,0.708154,0.00273224,0.598374,0.657568,0.0389171,0.241692,0,0,0,0,
1668783719545,0.948718,0.0917431,0.696,0.238683,0.159633,0.839827,0.182768,0.565657,0.738197,0.0191257,0.613008,0.672457,0.0541455,0.249245,0,0,0,0,
1668783719645,0.794872,0.103976,0.644,0.251029,0.150459,0.958153,0.190601,0.55303,0.811159,0.0382514,0.634146,0.736973,0.072758,0.299094,0,0,0,0,
1668783719745,0.769231,0.122324,0.612,0.246914,0.144954,1,0.195822,0.542929,0.819743,0.057377,0.642276,0.764268,0.0998308,0.317221,0,0,0,0,
1668783719846,0.794872,0.122324,0.598,0.242798,0.143119,0.987377,0.203655,0.532828,0.811159,0.0956284,0.643902,0.759305,0.133672,0.317221,0,0,0,0,
1668783719946,0.794872,0.119266,0.6,0.248971,0.13945,0.97195,0.208877,0.525253,0.772532,0.120219,0.634146,0.692308,0.150592,0.303625,0,0,0,0,
1668783720046,0.794872,0.116208,0.608,0.240741,0.13945,0.953717,0.208877,0.527778,0.746781,0.136612,0.634146,0.682382,0.160745,0.291541,0,0,0,0,
1668783720146,0.846154,0.110092,0.622,0.234568,0.154128,0.943899,0.206266,0.551768,0.746781,0.136612,0.630894,0.66005,0.152284,0.277946,0,0,0,0,
1668783720247,0.846154,0.107034,0.628,0.242798,0.155963,0.945302,0.214099,0.549242,0.729614,0.163934,0.621138,0.66005,0.170897,0.279456,0,0,0,0,
1668783720347,0.820513,0.110092,0.632,0.242798,0.154128,0.939691,0.21671,0.545455,0.72103,0.180328,0.617886,0.672457,0.187817,0.282477,0,0,0,0,
1668783720447,0.820513,0.110092,0.628,0.255144,0.152294,0.959327,0.221932,0.541667,0.690987,0.196721,0.619512,0.679901,0.196277,0.285498,0,0,0,0,
1668783720547,0.769231,0.103976,0.616,0.263374,0.152294,0.987377,0.224543,0.535354,0.699571,0.202186,0.621138,0.699752,0.203046,0.287009,0,0,0,0,
1668783720647,0.74359,0.100917,0.592,0.27572,0.148624,1,0.237598,0.520202,0.682403,0.221311,0.621138,0.719603,0.204738,0.287009,0,0,0,0,
1668783720748,0.717949,0.100917,0.574,0.279835,0.143119,0.991585,0.237598,0.518939,0.622318,0.20765,0.627642,0.704715,0.191201,0.287009,0,0,0,0,
1668783720848,0.615385,0.088685,0.564,0.242798,0.12844,0.970711,0.214099,0.531566,0.635193,0.161202,0.622764,0.71464,0.170897,0.271903,0,0,0,0,
1668783720948,0.512821,0.0917431,0.592,0.185185,0.0752294,0.666667,0.169713,0.375,0.51073,0.153005,0.37561,0.682382,0.14044,0.222054,0,0,0,0,
1668783721048,0.307692,0.0825688,0.5,0.154321,0.0752294,0.570432,0.159269,0.296717,0.502146,0.188525,0.315447,0.667494,0.150592,0.220544,0,0,0,0,
1668783721149,0.205128,0.0948012,0.478,0.139918,0.0752294,0.543933,0.154047,0.277778,0.527897,0.191257,0.307317,0.655087,0.145516,0.212991,0,0,0,0,
1668783721249,0.102564,0.110092,0.454,0.133745,0.0715596,0.497908,0.143603,0.236111,0.480687,0.196721,0.263415,0.627792,0.130288,0.176737,0,0,0,0,
1668783721349,0.0769231,0.11315,0.422,0.121399,0.0715596,0.461646,0.138381,0.214646,0.472103,0.213115,0.23252,0.602978,0.108291,0.134441,0,0,0,0,
1668783721449,0.128205,0.119266,0.35,0.0781893,0.0678899,0.403068,0.143603,0.190657,0.476395,0.300546,0.2,0.550869,0.0862944,0.0664653,0,0,0,0,
1668783721549,0.25641,0.131498,0.302,0.063786,0.0605505,0.387727,0.167102,0.17803,0.536481,0.404372,0.203252,0.526055,0.0829103,0.0528701,0,0,0,0,
1668783721649,0.410256,0.149847,0.256,0.0534979,0.0513761,0.387727,0.214099,0.17298,0.67382,0.47541,0.213008,0.550869,0.0846024,0.0468278,0,0,0,0,
1668783721750,0.410256,0.149847,0.278,0.0534979,0.0495413,0.400279,0.214099,0.167929,0.669528,0.464481,0.213008,0.558313,0.0795262,0.0438066,0,0,0,0,
1668783721850,0.512821,0.146789,0.282,0.0452675,0.0587156,0.429568,0.234987,0.161616,0.824034,0.442623,0.193496,0.736973,0.072758,0.0498489,0,0,0,0,
1668783721950,0.461538,0.12844,0.348,0.0432099,0.0477064,0.417015,0.248042,0.164141,0.828326,0.448087,0.193496,0.806452,0.0761421,0.0528701,0,0,0,0,
1668783722050,0.461538,0.12844,0.342,0.0411523,0.0477064,0.426778,0.250653,0.159091,0.824034,0.442623,0.186992,0.791563,0.0744501,0.0543807,0,0,0,0,
1668783722150,0.435897,0.125382,0.358,0.0432099,0.0477064,0.428173,0.250653,0.156566,0.824034,0.442623,0.182114,0.791563,0.0744501,0.0543807,0,0,0,0,
1668783722251,0.461538,0.125382,0.36,0.0432099,0.0495413,0.426778,0.253264,0.156566,0.832618,0.442623,0.180488,0.801489,0.0761421,0.0543807,0,0,0,0,
1668783722351,0.435897,0.122324,0.37,0.0411523,0.0477064,0.428173,0.253264,0.15404,0.828326,0.442623,0.177236,0.806452,0.0744501,0.0543807,0,0,0,0,
1668783722451,0.461538,0.125382,0.374,0.0411523,0.0495413,0.426778,0.253264,0.15404,0.828326,0.445355,0.177236,0.806452,0.0744501,0.0543807,0,0,0,0,
1668783722551,0.435897,0.125382,0.374,0.0411523,0.0477064,0.425384,0.253264,0.155303,0.832618,0.445355,0.17561,0.808933,0.0744501,0.0543807,0,0,0,0,
1668783722651,0.461538,0.125382,0.376,0.0411523,0.0495413,0.426778,0.253264,0.15404,0.828326,0.445355,0.17561,0.806452,0.0744501,0.0543807,0,0,0,0,
1668783722752,0.410256,0.119266,0.374,0.0411523,0.0477064,0.426778,0.253264,0.15404,0.828326,0.439891,0.173984,0.811414,0.072758,0.0543807,0,0,0,0,
1668783722852,0.435897,0.122324,0.374,0.0390946,0.0495413,0.425384,0.250653,0.152778,0.828326,0.442623,0.173984,0.811414,0.0744501,0.0543807,0,0,0,0,
1668783722952,0.410256,0.122324,0.378,0.0411523,0.0477064,0.425384,0.250653,0.152778,0.828326,0.442623,0.173984,0.811414,0.072758,0.0543807,0,0,0,0,
1668783723052,0.410256,0.122324,0.378,0.0411523,0.0495413,0.425384,0.250653,0.152778,0.828326,0.439891,0.173984,0.808933,0.072758,0.0528701,0,0,0,0,
1668783723152,0.410256,0.122324,0.38,0.0411523,0.0495413,0.425384,0.253264,0.151515,0.828326,0.439891,0.172358,0.811414,0.072758,0.0528701,0,0,0,0,
1668783723253,0.435897,0.122324,0.38,0.0390946,0.0477064,0.423989,0.250653,0.151515,0.828326,0.439891,0.172358,0.811414,0.072758,0.0543807,0,0,0,0,
1668783723353,0.435897,0.122324,0.382,0.0390946,0.0495413,0.423989,0.253264,0.151515,0.828326,0.442623,0.173984,0.811414,0.072758,0.0528701,0,0,0,0,
1668783723453,0.410256,0.122324,0.384,0.0411523,0.0495413,0.422594,0.250653,0.151515,0.824034,0.439891,0.172358,0.813896,0.072758,0.0528701,0,0,0,0,
1668783723553,0.410256,0.122324,0.39,0.0411523,0.0477064,0.421199,0.250653,0.151515,0.828326,0.437158,0.170732,0.813896,0.071066,0.0528701,0,0,0,0,
1668783723653,0.410256,0.122324,0.39,0.0390946,0.0477064,0.422594,0.250653,0.151515,0.828326,0.439891,0.172358,0.816377,0.072758,0.0528701,0,0,0,0,
1668783723753,0.410256,0.122324,0.388,0.0390946,0.0477064,0.421199,0.250653,0.151515,0.828326,0.439891,0.172358,0.813896,0.072758,0.0528701,0,0,0,0,
1668783723854,0.410256,0.122324,0.39,0.0411523,0.0495413,0.421199,0.250653,0.151515,0.824034,0.439891,0.170732,0.813896,0.072758,0.0528701,0,0,0,0,
1668783723954,0.435897,0.122324,0.39,0.0390946,0.0477064,0.422594,0.250653,0.151515,0.828326,0.439891,0.170732,0.813896,0.072758,0.0528701,0,0,0,0,
1668783724054,0.410256,0.122324,0.388,0.037037,0.0495413,0.421199,0.248042,0.150253,0.828326,0.439891,0.170732,0.813896,0.071066,0.0513595,0,0,0,0,
1668783724154,0.410256,0.119266,0.39,0.0390946,0.0495413,0.419805,0.250653,0.150253,0.824034,0.439891,0.170732,0.816377,0.072758,0.0513595,0,0,0,0,
