timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668784122711,0.378378,0.1,0.643443,0.0707071,0.0390071,0.365432,0.194581,0.130641,0.847534,0.38125,0.184818,0.830709,0.068254,0.0780423,0,0,0,0,
1668784122811,0.378378,0.1,0.641393,0.0707071,0.0390071,0.365432,0.194581,0.129454,0.847534,0.38125,0.184818,0.830709,0.0666667,0.0767196,0,0,0,0,
1668784122911,0.378378,0.1,0.643443,0.0707071,0.0390071,0.365432,0.194581,0.129454,0.847534,0.378125,0.184818,0.830709,0.0666667,0.0767196,0,0,0,0,
1668784123011,0.351351,0.0974359,0.641393,0.0707071,0.0390071,0.366667,0.194581,0.130641,0.847534,0.38125,0.184818,0.830709,0.068254,0.0767196,0,0,0,0,
1668784123112,0.351351,0.1,0.643443,0.0707071,0.0390071,0.366667,0.194581,0.129454,0.847534,0.38125,0.183168,0.830709,0.068254,0.0767196,0,0,0,0,
1668784123212,0.351351,0.1,0.645492,0.0707071,0.0390071,0.364198,0.194581,0.129454,0.847534,0.378125,0.184818,0.82874,0.0666667,0.0767196,0,0,0,0,
1668784123312,0.378378,0.1,0.647541,0.0686869,0.0390071,0.365432,0.194581,0.130641,0.852018,0.378125,0.183168,0.826772,0.0666667,0.0767196,0,0,0,0,
1668784123412,0.27027,0.0897436,0.684426,0.0909091,0.0336879,0.392593,0.17734,0.124703,0.784753,0.3625,0.174917,0.80315,0.0634921,0.0648148,0,0,0,0,
1668784123512,0.297297,0.0615385,0.747951,0.238384,0.0549645,0.465432,0.258621,0.186461,0.699552,0.290625,0.186469,0.761811,0.0539683,0.0965608,0,0,0,0,
1668784123613,0.378378,0.0641026,0.690574,0.311111,0.120567,0.501235,0.29803,0.339667,0.816144,0.203125,0.367987,0.694882,0.0920635,0.238095,0,0,0,0,
1668784123713,0.297297,0.0820513,0.690574,0.311111,0.184397,0.514815,0.305419,0.431116,0.73991,0.209375,0.437294,0.627953,0.0984127,0.259259,0,0,0,0,
1668784123813,0.297297,0.0871795,0.77459,0.252525,0.175532,0.55679,0.231527,0.389549,0.686099,0.196875,0.372937,0.562992,0.0888889,0.256614,0,0,0,0,
1668784123913,0.459459,0.0717949,0.848361,0.20202,0.131206,0.62716,0.231527,0.301663,0.713004,0.2625,0.316832,0.624016,0.0634921,0.239418,0,0,0,0,
1668784124013,0.567568,0.0589744,0.834016,0.187879,0.131206,0.692593,0.253695,0.276722,0.843049,0.3375,0.323432,0.832677,0.0730159,0.263228,0,0,0,0,
1668784124114,0.540541,0.0589744,0.813525,0.171717,0.0992908,0.709877,0.270936,0.269596,0.928251,0.396875,0.407591,1,0.0507937,0.35582,0,0,0,0,
1668784124214,0.540541,0.0589744,0.827869,0.163636,0.0780142,0.719753,0.273399,0.273159,0.928251,0.425,0.465347,1,0.031746,0.386243,0,0,0,0,
1668784124314,0.513514,0.0717949,0.829918,0.165657,0.0886525,0.725926,0.275862,0.27791,0.941704,0.425,0.523102,1,0.0222222,0.391534,0,0,0,0,
1668784124414,0.540541,0.102564,0.838115,0.169697,0.111702,0.758025,0.263547,0.271971,0.946188,0.3875,0.577558,1,0.0142857,0.390212,0,0,0,0,
1668784124515,0.486486,0.110256,0.790984,0.169697,0.134752,0.776543,0.253695,0.266033,0.941704,0.371875,0.618812,1,0.0126984,0.390212,0,0,0,0,
1668784124615,0.486486,0.107692,0.778689,0.171717,0.171986,0.782716,0.251232,0.258907,0.93722,0.36875,0.635314,1,0.0142857,0.388889,0,0,0,0,
1668784124715,0.459459,0.0923077,0.743852,0.173737,0.184397,0.772839,0.251232,0.258907,0.932735,0.365625,0.651815,0.994652,0.0174603,0.392857,0,0,0,0,
1668784124815,0.405405,0.0820513,0.719262,0.175758,0.198582,0.788889,0.248768,0.251781,0.932735,0.359375,0.658416,1,0.015873,0.391534,0,0,0,0,
1668784124916,0.351351,0.0717949,0.696721,0.175758,0.216312,0.795062,0.246305,0.244656,0.950673,0.34375,0.663366,1,0.0142857,0.39418,0,0,0,0,
1668784125016,0.513514,0.105128,0.69877,0.187879,0.315603,0.838272,0.256158,0.238717,1,0.34375,0.656766,1,0.0126984,0.395503,0,0,0,0,
1668784125116,0.648649,0.197436,0.678279,0.214141,0.421986,0.928395,0.280788,0.236342,1,0.334375,0.623762,1,0.0111111,0.392857,0,0,0,0,
1668784125216,0.675676,0.251282,0.665984,0.226263,0.382979,0.94321,0.310345,0.212589,1,0.35,0.557756,1,0.0126984,0.392857,0,0,0,0,
1668784125317,0.783784,0.292308,0.668033,0.250505,0.347518,0.958025,0.327586,0.213777,0.966418,0.346875,0.463696,0.971831,0.0190476,0.402116,0,0,0,0,
1668784125417,0.837838,0.34359,0.67418,0.264646,0.335106,0.966667,0.330049,0.210214,0.902985,0.3375,0.430693,0.887324,0.0269841,0.388889,0,0,0,0,
1668784125517,0.810811,0.410256,0.670082,0.272727,0.338652,0.971605,0.32266,0.212589,0.772388,0.3,0.478548,0.72457,0.0253968,0.363757,0,0,0,0,
1668784125617,0.810811,0.433333,0.67623,0.268687,0.342199,0.966667,0.302956,0.213777,0.697761,0.25,0.491749,0.610329,0.0206349,0.338624,0,0,0,0,
1668784125717,0.756757,0.569231,0.678279,0.270707,0.352837,0.965432,0.29064,0.22209,0.630597,0.23125,0.513201,0.539906,0.0206349,0.313492,0,0,0,0,
1668784125818,0.72973,0.710256,0.668033,0.272727,0.363475,0.966667,0.288177,0.230404,0.608209,0.221875,0.533003,0.532081,0.0222222,0.308201,0,0,0,0,
1668784125918,0.702703,0.794872,0.655738,0.280808,0.37234,0.97037,0.288177,0.250594,0.578358,0.209375,0.585809,0.514867,0.0253968,0.30291,0,0,0,0,
1668784126018,0.648649,0.817949,0.637295,0.284848,0.374113,0.97284,0.288177,0.25772,0.578358,0.203125,0.59736,0.511737,0.0238095,0.300265,0,0,0,0,
1668784126118,0.540541,0.853846,0.614754,0.278788,0.379433,0.967901,0.283251,0.256532,0.600746,0.184375,0.60231,0.538341,0.0206349,0.306878,0,0,0,0,
1668784126219,0.405405,0.892308,0.60041,0.268687,0.391844,0.964198,0.275862,0.25772,0.608209,0.153125,0.60231,0.552426,0.0111111,0.306878,0,0,0,0,
1668784126319,0.324324,0.912821,0.588115,0.256566,0.41844,0.958025,0.261084,0.252969,0.619403,0.109375,0.589109,0.56964,0.0047619,0.296296,0,0,0,0,
1668784126419,0.216216,0.928205,0.565574,0.238384,0.452128,0.951852,0.246305,0.266033,0.630597,0.046875,0.584158,0.615023,0,0.265873,0,0,0,0,
1668784126519,0.135135,0.920513,0.555328,0.230303,0.468085,0.949383,0.238916,0.268409,0.626866,0.01875,0.566007,0.619718,0,0.269841,0,0,0,0,
1668784126620,0.162162,0.889744,0.557377,0.222222,0.478723,0.954321,0.229064,0.251781,0.600746,0,0.529703,0.550861,0.00157233,0.255291,0,0,0,0,
1668784126720,0.189189,0.869231,0.565574,0.216162,0.484043,0.945679,0.221675,0.241093,0.58209,0,0.509901,0.505477,0.00314465,0.23545,0,0,0,0,
1668784126820,0.243243,0.84359,0.581967,0.214141,0.47695,0.939506,0.219212,0.226841,0.58209,0.00288184,0.473597,0.524257,0.00471698,0.203704,0,0,0,0,
1668784126921,0.189189,0.830769,0.577869,0.210101,0.475177,0.940741,0.216749,0.223278,0.664179,0.0489914,0.427393,0.696401,0.00786164,0.230159,0,0,0,0,
1668784127021,0.135135,0.846154,0.565574,0.208081,0.466312,0.938272,0.214286,0.213777,0.697761,0.054755,0.40264,0.723005,0.00786164,0.231481,0,0,0,0,
1668784127121,0.108108,0.84359,0.557377,0.208081,0.455674,0.937037,0.211823,0.203088,0.757463,0.074928,0.386139,0.779343,0.0110063,0.243386,0,0,0,0,
1668784127221,0.108108,0.828205,0.557377,0.20202,0.439716,0.930864,0.206897,0.198337,0.794776,0.0893372,0.40429,0.802817,0.0141509,0.248677,0,0,0,0,
1668784127322,0.135135,0.566667,0.606557,0.179798,0.274823,0.864198,0.192118,0.225653,0.820895,0.115274,0.359736,0.791862,0.0141509,0.22619,0,0,0,0,
1668784127422,0.162162,0.225641,0.659836,0.139394,0.0797872,0.761728,0.194581,0.180523,0.820895,0.253602,0.270627,0.733959,0.00156006,0.201058,0,0,0,0,
1668784127522,0,0.225641,0.629098,0.109091,0.0975177,0.641975,0.172414,0.185273,0.835821,0.259366,0.254125,0.763693,0.0140406,0.198413,0,0,0,0,
1668784127622,0.0526316,0.205128,0.67418,0.127273,0.0921986,0.579012,0.160099,0.19715,0.675373,0.193084,0.232673,0.588419,0.0187207,0.134921,0,0,0,0,
1668784127722,0.105263,0.207692,0.735656,0.153535,0.0851064,0.545679,0.162562,0.199525,0.671642,0.198847,0.216172,0.593114,0.0405616,0.126984,0,0,0,0,
1668784127823,0.210526,0.189744,0.702869,0.149495,0.0744681,0.5,0.157635,0.192399,0.664179,0.210375,0.209571,0.596244,0.0452418,0.104497,0,0,0,0,
1668784127923,0.236842,0.184615,0.622951,0.139394,0.0567376,0.47037,0.162562,0.184086,0.671642,0.256484,0.214521,0.594679,0.0546022,0.0806878,0,0,0,0,
1668784128023,0.315789,0.179487,0.571721,0.125253,0.0496454,0.42963,0.172414,0.179335,0.705224,0.334294,0.224422,0.593114,0.0624025,0.0714286,0,0,0,0,
1668784128123,0.447368,0.176923,0.557377,0.0727273,0.0407801,0.379012,0.194581,0.175772,0.746269,0.420749,0.234323,0.547731,0.0670827,0.0568783,0,0,0,0,
1668784128224,0.447368,0.171795,0.620902,0.0585859,0.037234,0.402469,0.204434,0.174584,0.761194,0.409222,0.232673,0.5759,0.0624025,0.0582011,0,0,0,0,
1668784128324,0.447368,0.164103,0.534836,0.0424242,0.0336879,0.412346,0.204434,0.166271,0.764925,0.391931,0.217822,0.696401,0.0686427,0.0820106,0,0,0,0,
1668784128424,0.526316,0.164103,0.469262,0.0383838,0.0265957,0.406173,0.226601,0.168646,0.735075,0.400576,0.219472,0.680751,0.0670827,0.0820106,0,0,0,0,
1668784128524,0.5,0.158974,0.493852,0.040404,0.0283688,0.403704,0.224138,0.163895,0.720149,0.394813,0.216172,0.683881,0.0702028,0.0833333,0,0,0,0,
1668784128625,0.526316,0.15641,0.5,0.040404,0.0283688,0.402469,0.226601,0.165083,0.720149,0.397695,0.216172,0.687011,0.0702028,0.0846561,0,0,0,0,
1668784128725,0.526316,0.15641,0.504098,0.0383838,0.0248227,0.4,0.226601,0.163895,0.723881,0.397695,0.216172,0.693271,0.0686427,0.0846561,0,0,0,0,
1668784128825,0.5,0.153846,0.510246,0.040404,0.0248227,0.398765,0.224138,0.162708,0.723881,0.397695,0.214521,0.697966,0.0717629,0.0846561,0,0,0,0,
1668784128925,0.473684,0.153846,0.516393,0.040404,0.0248227,0.398765,0.224138,0.16152,0.720149,0.397695,0.214521,0.697966,0.0702028,0.0833333,0,0,0,0,
1668784129025,0.447368,0.151282,0.52459,0.0383838,0.0265957,0.397531,0.221675,0.160333,0.720149,0.394813,0.212871,0.696401,0.0717629,0.0846561,0,0,0,0,
1668784129126,0.473684,0.153846,0.528689,0.0383838,0.0248227,0.395062,0.219212,0.160333,0.716418,0.394813,0.211221,0.696401,0.0717629,0.0833333,0,0,0,0,
1668784129226,0.526316,0.15641,0.528689,0.0383838,0.0283688,0.395062,0.221675,0.160333,0.716418,0.394813,0.211221,0.693271,0.0702028,0.0833333,0,0,0,0,
1668784129326,0.5,0.153846,0.528689,0.0363636,0.0283688,0.395062,0.221675,0.159145,0.716418,0.391931,0.209571,0.691706,0.0686427,0.0833333,0,0,0,0,
1668784129426,0.473684,0.151282,0.530738,0.0343434,0.0283688,0.395062,0.221675,0.159145,0.716418,0.394813,0.207921,0.691706,0.0702028,0.0833333,0,0,0,0,
1668784129527,0.5,0.153846,0.534836,0.0363636,0.0301418,0.393827,0.221675,0.160333,0.716418,0.394813,0.207921,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784129627,0.473684,0.151282,0.534836,0.0363636,0.0283688,0.392593,0.221675,0.159145,0.716418,0.394813,0.207921,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784129727,0.5,0.151282,0.536885,0.0363636,0.0301418,0.392593,0.221675,0.159145,0.716418,0.391931,0.207921,0.693271,0.0702028,0.0833333,0,0,0,0,
1668784129827,0.473684,0.148718,0.536885,0.0343434,0.0301418,0.392593,0.219212,0.157957,0.712687,0.394813,0.206271,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784129927,0.473684,0.148718,0.543033,0.0343434,0.0283688,0.391358,0.219212,0.157957,0.712687,0.394813,0.206271,0.693271,0.0686427,0.0820106,0,0,0,0,
1668784130027,0.447368,0.151282,0.545082,0.0383838,0.0301418,0.391358,0.221675,0.157957,0.716418,0.394813,0.206271,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784130128,0.473684,0.148718,0.547131,0.0363636,0.0301418,0.392593,0.219212,0.157957,0.716418,0.394813,0.206271,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784130228,0.473684,0.148718,0.545082,0.0343434,0.0301418,0.391358,0.219212,0.157957,0.716418,0.394813,0.206271,0.693271,0.0702028,0.0820106,0,0,0,0,
1668784130328,0.473684,0.148718,0.54918,0.0363636,0.0301418,0.392593,0.219212,0.157957,0.716418,0.394813,0.206271,0.693271,0.0702028,0.0806878,0,0,0,0,
1668784130428,0.447368,0.148718,0.553279,0.0363636,0.0301418,0.391358,0.219212,0.157957,0.716418,0.394813,0.206271,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784130529,0.447368,0.148718,0.555328,0.0363636,0.0301418,0.392593,0.219212,0.157957,0.716418,0.394813,0.206271,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784130629,0.473684,0.148718,0.553279,0.0343434,0.0319149,0.391358,0.216749,0.15677,0.712687,0.394813,0.206271,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784130729,0.473684,0.148718,0.553279,0.0363636,0.0319149,0.391358,0.219212,0.15677,0.716418,0.394813,0.206271,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784130829,0.447368,0.148718,0.553279,0.0363636,0.0301418,0.391358,0.219212,0.157957,0.716418,0.394813,0.206271,0.693271,0.0686427,0.0820106,0,0,0,0,
1668784130930,0.447368,0.146154,0.555328,0.0343434,0.0319149,0.391358,0.216749,0.157957,0.716418,0.394813,0.206271,0.693271,0.0686427,0.0820106,0,0,0,0,
1668784131030,0.447368,0.146154,0.555328,0.0343434,0.0301418,0.391358,0.216749,0.15677,0.716418,0.394813,0.206271,0.694836,0.0686427,0.0820106,0,0,0,0,
1668784131130,0.447368,0.148718,0.557377,0.0363636,0.0301418,0.391358,0.216749,0.15677,0.716418,0.394813,0.20462,0.694836,0.0686427,0.0820106,0,0,0,0,
1668784131230,0.473684,0.148718,0.557377,0.0363636,0.0301418,0.391358,0.216749,0.15677,0.716418,0.391931,0.206271,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784131330,0.447368,0.146154,0.555328,0.0343434,0.0301418,0.391358,0.216749,0.155582,0.716418,0.391931,0.206271,0.694836,0.0686427,0.0820106,0,0,0,0,
1668784131431,0.447368,0.148718,0.557377,0.0343434,0.0301418,0.391358,0.216749,0.155582,0.720149,0.394813,0.206271,0.696401,0.0702028,0.0820106,0,0,0,0,
1668784131531,0.473684,0.148718,0.557377,0.0363636,0.0319149,0.391358,0.216749,0.15677,0.720149,0.394813,0.206271,0.696401,0.0717629,0.0820106,0,0,0,0,
1668784131631,0.447368,0.148718,0.555328,0.0363636,0.0301418,0.391358,0.216749,0.15677,0.720149,0.391931,0.20462,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784131731,0.447368,0.146154,0.555328,0.0343434,0.0301418,0.391358,0.216749,0.15677,0.716418,0.394813,0.206271,0.696401,0.0702028,0.0820106,0,0,0,0,
1668784131832,0.447368,0.146154,0.555328,0.0343434,0.0319149,0.391358,0.216749,0.15677,0.720149,0.394813,0.20462,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784131932,0.447368,0.148718,0.557377,0.0363636,0.0319149,0.391358,0.216749,0.155582,0.720149,0.394813,0.20462,0.696401,0.0702028,0.0820106,0,0,0,0,
1668784132032,0.447368,0.148718,0.555328,0.0343434,0.0319149,0.391358,0.216749,0.155582,0.720149,0.394813,0.206271,0.696401,0.0702028,0.0820106,0,0,0,0,
1668784132132,0.447368,0.146154,0.557377,0.0343434,0.0301418,0.392593,0.216749,0.155582,0.720149,0.391931,0.20462,0.694836,0.0686427,0.0820106,0,0,0,0,
1668784132233,0.447368,0.148718,0.557377,0.0363636,0.0301418,0.391358,0.216749,0.15677,0.720149,0.391931,0.20462,0.694836,0.0686427,0.0820106,0,0,0,0,
1668784132333,0.447368,0.146154,0.557377,0.0343434,0.0301418,0.391358,0.216749,0.155582,0.720149,0.391931,0.20462,0.694836,0.0702028,0.0820106,0,0,0,0,
1668784132433,0.447368,0.148718,0.557377,0.0343434,0.0319149,0.391358,0.216749,0.155582,0.720149,0.394813,0.20462,0.694836,0.0717629,0.0820106,0,0,0,0,
1668784132533,0.447368,0.146154,0.557377,0.0343434,0.0319149,0.391358,0.216749,0.155582,0.720149,0.391931,0.20462,0.694836,0.0702028,0.0806878,0,0,0,0,
