timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668784368389,0.333333,0.0955882,0.528947,0.06,0.0538194,0.264214,0.160287,0.11375,0.734234,0.347709,0.17893,0.718254,0.041868,0.0840336,0,0,0,0,
1668784368490,0.333333,0.0955882,0.536842,0.058,0.0538194,0.263099,0.160287,0.1125,0.738739,0.347709,0.180602,0.718254,0.0434783,0.087395,0,0,0,0,
1668784368590,0.333333,0.0955882,0.536842,0.06,0.0538194,0.264214,0.160287,0.1125,0.738739,0.347709,0.180602,0.714286,0.041868,0.0857143,0,0,0,0,
1668784368690,0.333333,0.0955882,0.573684,0.06,0.0538194,0.265329,0.150718,0.1125,0.743243,0.336927,0.180602,0.712302,0.0402576,0.0857143,0,0,0,0,
1668784368790,0.181818,0.0955882,0.65,0.08,0.0538194,0.297659,0.126794,0.11625,0.774775,0.307278,0.190635,0.666667,0.0257649,0.10084,0,0,0,0,
1668784368890,0.181818,0.00735294,0.747368,0.186,0.0607639,0.38573,0.155502,0.2125,0.995495,0.253369,0.269231,0.706349,0.0193237,0.240336,0,0,0,0,
1668784368991,0.272727,0.0147059,0.747368,0.26,0.0833333,0.406912,0.169856,0.39875,0.86036,0.15903,0.444816,0.748016,0.0515298,0.388235,0,0,0,0,
1668784369091,0.272727,0.0147059,0.773684,0.236,0.0902778,0.467113,0.165072,0.45125,0.779279,0.137466,0.481605,0.700397,0.0821256,0.386555,0,0,0,0,
1668784369191,0.393939,0.0147059,0.755263,0.216,0.0885417,0.503902,0.179426,0.41375,0.747748,0.150943,0.409699,0.674603,0.10628,0.331092,0,0,0,0,
1668784369291,0.363636,0,0.7,0.186,0.0815972,0.400223,0.165072,0.32125,0.617117,0.107817,0.341137,0.513889,0.111111,0.272269,0,0,0,0,
1668784369391,0.545455,0,0.781579,0.192,0.0746528,0.400223,0.165072,0.35125,0.536036,0.0781671,0.346154,0.444444,0.148148,0.240336,0,0,0,0,
1668784369492,0.606061,0.0142857,0.763158,0.222,0.0902778,0.505017,0.244019,0.3225,0.599099,0.156334,0.32107,0.43254,0.228663,0.215126,0,0,0,0,
1668784369592,0.757576,0.1,0.776316,0.26,0.0868056,0.54738,0.289474,0.285,0.513514,0.212938,0.29097,0.321429,0.31401,0.205042,0,0,0,0,
1668784369692,0.939394,0.807143,0.739474,0.302,0.09375,0.573021,0.342105,0.2125,0.540541,0.247978,0.210702,0.353175,0.288245,0.17479,0,0,0,0,
1668784369792,0.818182,1,0.639474,0.348,0.100694,0.64437,0.406699,0.205,0.671171,0.25876,0.26087,0.363095,0.247987,0.208403,0,0,0,0,
1668784369892,0.818182,1,0.618421,0.37,0.0850694,0.626533,0.433014,0.18125,0.675676,0.274933,0.301003,0.347222,0.238325,0.218487,0,0,0,0,
1668784369992,0.878788,0.979239,0.605263,0.388,0.0729167,0.634337,0.449761,0.17,0.666667,0.28841,0.314381,0.34127,0.231884,0.218487,0,0,0,0,
1668784370093,0.878788,0.951557,0.584211,0.432,0.0538194,0.630992,0.488038,0.15625,0.675676,0.307278,0.327759,0.333333,0.233494,0.221849,0,0,0,0,
1668784370193,0.818182,0.972318,0.555263,0.434,0.0555556,0.639911,0.502392,0.14,0.653153,0.315364,0.337793,0.329365,0.233494,0.220168,0,0,0,0,
1668784370293,0.787879,0.968858,0.55,0.424,0.0555556,0.628763,0.495215,0.12625,0.621622,0.309973,0.332776,0.323413,0.223833,0.218487,0,0,0,0,
1668784370393,0.727273,0.968858,0.534211,0.448,0.0434028,0.61204,0.502392,0.1175,0.581081,0.315364,0.32107,0.303571,0.225443,0.228571,0,0,0,0,
1668784370494,0.69697,0.951557,0.528947,0.49,0.03125,0.600892,0.528708,0.11,0.540541,0.318059,0.319398,0.293651,0.220612,0.215126,0,0,0,0,
1668784370594,0.636364,0.958477,0.528947,0.508,0.0243056,0.580825,0.545455,0.10875,0.509009,0.312668,0.329431,0.285714,0.222222,0.206723,0,0,0,0,
1668784370694,0.69697,0.955017,0.544737,0.512,0.015625,0.542921,0.538278,0.1225,0.468468,0.301887,0.32107,0.289683,0.214171,0.2,0,0,0,0,
1668784370794,0.666667,0.958477,0.55,0.51,0.0138889,0.536232,0.526316,0.1375,0.436937,0.299191,0.327759,0.291667,0.214171,0.198319,0,0,0,0,
1668784370894,0.666667,0.955017,0.563158,0.5,0.0104167,0.513935,0.509569,0.1525,0.378378,0.291105,0.311037,0.295635,0.207729,0.193277,0,0,0,0,
1668784370995,0.636364,0.961938,0.573684,0.482,0.00868056,0.506132,0.471292,0.1675,0.342342,0.264151,0.292642,0.303571,0.185185,0.191597,0,0,0,0,
1668784371095,0.606061,0.961938,0.576316,0.484,0.00868056,0.507246,0.45933,0.17,0.306306,0.245283,0.279264,0.309524,0.169082,0.188235,0,0,0,0,
1668784371195,0.666667,0.948097,0.586842,0.482,0.00347222,0.493868,0.454545,0.165,0.274775,0.234501,0.270903,0.313492,0.1562,0.189916,0,0,0,0,
1668784371295,0.636364,0.948097,0.581579,0.49,0.00347222,0.499443,0.456938,0.15875,0.274775,0.234501,0.270903,0.31746,0.1562,0.189916,0,0,0,0,
