timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668784491103,0.140625,0.0816327,0.571429,0.0511811,0.0622837,0.222607,0.14604,0.135338,0.586667,0.30791,0.17338,0.767584,0.0441826,0.0409683,0,0,0,0,
1668784491203,0.125,0.0793651,0.574405,0.0511811,0.0622837,0.222607,0.14604,0.135338,0.582222,0.30791,0.17338,0.764526,0.0427099,0.0409683,0,0,0,0,
1668784491304,0.125,0.0793651,0.577381,0.0531496,0.0622837,0.22376,0.14604,0.135338,0.586667,0.305085,0.17338,0.764526,0.0427099,0.0409683,0,0,0,0,
1668784491404,0.109375,0.0793651,0.580357,0.0511811,0.0605536,0.224913,0.143564,0.134085,0.582222,0.305085,0.171629,0.761468,0.0441826,0.0409683,0,0,0,0,
1668784491504,0.109375,0.0793651,0.583333,0.0511811,0.0605536,0.228374,0.143564,0.134085,0.586667,0.305085,0.168126,0.743119,0.0441826,0.0391061,0,0,0,0,
1668784491605,0.078125,0.0770975,0.708333,0.0629921,0.0588235,0.237601,0.126238,0.12782,0.555556,0.29096,0.162872,0.681957,0.0412371,0.0316574,0,0,0,0,
1668784491705,0.015625,0.0748299,0.776786,0.133858,0.0657439,0.259516,0.113861,0.117794,0.431111,0.288136,0.143608,0.66055,0.0294551,0.0018622,0,0,0,0,
1668784491805,0.21875,0.0521542,0.883929,0.202756,0.0743945,0.295271,0.175743,0.149123,0.613333,0.228814,0.15937,0.798165,0.0191458,0.0577281,0,0,0,0,
1668784491905,0.34375,0.0408163,0.860119,0.285433,0.0813149,0.387543,0.259901,0.16416,0.644444,0.259887,0.252189,0.840979,0.0441826,0.24581,0,0,0,0,
1668784492006,0.375,0.0385488,0.97619,0.297244,0.0847751,0.391003,0.252475,0.179198,0.635556,0.237288,0.299475,0.813456,0.0471281,0.288641,0,0,0,0,
1668784492106,0.328125,0.0453515,0.946429,0.21063,0.0795848,0.379469,0.170792,0.18797,0.582222,0.144068,0.341506,0.767584,0.0206186,0.307263,0,0,0,0,
1668784492206,0.359375,0.047619,0.97619,0.15748,0.0622837,0.381776,0.123762,0.18797,0.675556,0.0960452,0.323993,0.7737,0.00883652,0.307263,0,0,0,0,
1668784492306,0.421875,0.0634921,0.988166,0.122047,0.0484429,0.39677,0.10396,0.177945,0.671111,0.0677966,0.283713,0.721713,0.00147275,0.256983,0,0,0,0,
1668784492407,0.40625,0.0702948,0.955621,0.120079,0.032872,0.374856,0.101485,0.169173,0.662222,0.0677966,0.25394,0.733945,0.00441826,0.217877,0,0,0,0,
1668784492507,0.375,0.0680272,0.887574,0.122047,0.0363322,0.366782,0.101485,0.166667,0.675556,0.0762712,0.25394,0.767584,0.00736377,0.21229,0,0,0,0,
1668784492607,0.34375,0.0612245,0.831361,0.122047,0.0536332,0.415225,0.108911,0.171679,0.693333,0.0903955,0.259194,0.804281,0.011782,0.206704,0,0,0,0,
1668784492707,0.3125,0.0566893,0.775148,0.127953,0.0795848,0.452134,0.116337,0.18797,0.755556,0.10452,0.273205,0.825688,0.017673,0.20298,0,0,0,0,
1668784492807,0.203125,0.0816327,0.674556,0.135827,0.129758,0.588235,0.108911,0.206767,0.897778,0.079096,0.246935,0.856269,0.0220913,0.171322,0,0,0,0,
