timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668527283279,0.111111,0.0357143,0.72766,0.0980392,0.0210896,0.161232,0.00735294,0.0174622,0.234043,0.0906921,0.0435435,0.690678,0.0366032,0.027673,0,0,0,0,
1668527283379,0.111111,0.0357143,0.72766,0.0980392,0.0210896,0.163043,0.00735294,0.0174622,0.234043,0.0883055,0.0435435,0.686441,0.0366032,0.027673,0,0,0,0,
1668527283479,0.111111,0.0357143,0.719149,0.0941176,0.0210896,0.161232,0.00735294,0.0174622,0.234043,0.0930788,0.0435435,0.682203,0.0380673,0.027673,0,0,0,0,
1668527283579,0.111111,0.0357143,0.719149,0.0980392,0.0210896,0.161232,0.00735294,0.0174622,0.234043,0.0954654,0.0435435,0.686441,0.0380673,0.027673,0,0,0,0,
1668527283680,0.111111,0.0357143,0.761702,0.101961,0.0140598,0.150362,0.00735294,0.0349243,0.259574,0.105012,0.0510511,0.720339,0.0424597,0.0377358,0,0,0,0,
1668527283780,0.240741,0.0379464,0.991489,0.105882,0,0.0797101,0.0245098,0.0989523,0.259574,0.107399,0.0945946,0.694915,0.045388,0.0867925,0,0,0,0,
1668527283880,0.203704,0.0558036,0.629787,0.14902,0.0500864,0.277174,0.473039,0.225844,0.391489,0.336516,0.0945946,0.677966,0.166911,0.206289,0,0,0,0,
1668527283981,0.333333,0.03125,0.804255,0.0588235,0.1019,0.302536,0.10049,0.436554,0.289362,0.0763723,0.220721,0.601695,0.057101,0.2,0,0,0,0,
1668527284081,0.814815,0.00873362,1,0.0470588,0.120898,0.456522,0.0588235,0.330617,0.480851,0.0811456,0.105105,0.516949,0.00732064,0.0930818,0,0,0,0,
1668527284181,0.851852,0.00655022,0.806452,0.00784314,0.0829016,0.672101,0.0465686,0.343423,0.506383,0.00238663,0.0855856,0.733051,0.0439239,0.100629,0,0,0,0,
1668527284281,0.814815,0,0.770609,0,0.108808,0.815217,0.0563725,0.388824,0.497872,0.00238663,0.114114,0.771186,0.0483163,0.125786,0,0,0,0,
1668527284381,0.814815,0.0518359,0.749104,0.0116732,0.131261,0.86413,0.117647,0.429569,0.574468,0.0692124,0.112613,0.728814,0.0556369,0.153459,0,0,0,0,
1668527284482,1,0.140389,0.781362,0.0622568,0.129534,0.927536,0.17402,0.480792,0.53617,0.102625,0.124625,0.491525,0.0483163,0.157233,0,0,0,0,
1668527284582,1,0.349892,0.749104,0.105058,0.132988,1,0.237745,0.478463,0.497872,0.147971,0.138138,0.152542,0.0512445,0.152201,0,0,0,0,
1668527284682,1,0.440605,0.74552,0.108949,0.129534,0.99308,0.252451,0.463329,0.506383,0.147971,0.145646,0.122881,0.0439239,0.153459,0,0,0,0,
1668527284782,1,0.421166,0.763441,0.0894942,0.120898,0.967128,0.245098,0.472643,0.502128,0.136038,0.171171,0.131356,0.0409956,0.158491,0,0,0,0,
1668527284882,1,0.390929,0.781362,0.0700389,0.110535,0.953287,0.257353,0.470314,0.497872,0.145585,0.171171,0.118644,0.0366032,0.158491,0,0,0,0,
1668527284983,1,0.382289,0.78853,0.0622568,0.100173,0.951557,0.257353,0.492433,0.47234,0.143198,0.1997,0.0974576,0.0366032,0.162264,0,0,0,0,
1668527285083,0.986301,0.384449,0.792115,0.0583658,0.100173,0.963668,0.242647,0.528522,0.438298,0.133652,0.225225,0.0932203,0.0322108,0.163522,0,0,0,0,
1668527285183,1,0.37797,0.799283,0.0466926,0.110535,1,0.198529,0.562282,0.4,0.102625,0.256757,0.0381356,0.0248902,0.157233,0,0,0,0,
1668527285283,1,0.356371,0.81362,0.0428016,0.117444,0.996599,0.181373,0.589057,0.344681,0.0739857,0.307808,0,0.0190337,0.152201,0,0,0,0,
1668527285383,1,0.339093,0.831541,0.0466926,0.120898,0.97449,0.156863,0.633295,0.293617,0.0310263,0.411411,0,0.0146413,0.144654,0,0,0,0,
1668527285484,1,0.349892,0.824373,0.0428016,0.120898,0.931973,0.132353,0.657742,0.234043,0,0.48048,0,0.0131772,0.140881,0,0,0,0,
1668527285584,0.9875,0.365011,0.806452,0.0389105,0.127807,0.918367,0.110294,0.681024,0.182979,0,0.518018,0,0.00878477,0.139623,0,0,0,0,
1668527285684,1,0.37149,0.795699,0.0428016,0.132988,0.892857,0.0931373,0.696158,0.153191,0,0.539039,0.0161725,0.00878477,0.144654,0,0,0,0,
1668527285784,0.9875,0.38013,0.770609,0.0428016,0.141623,0.930272,0.0784314,0.708964,0.157447,0,0.552553,0.0835579,0.00439239,0.152201,0,0,0,0,
1668527285885,1,0.37581,0.756272,0.0389105,0.146805,0.994898,0.0686275,0.714785,0.174468,0,0.554054,0.145553,0,0.157233,0,0,0,0,
1668527285985,0.987952,0.38013,0.734767,0.0428016,0.158895,1,0.0612745,0.72177,0.174468,0,0.563063,0.161725,0,0.161006,0,0,0,0,
1668527286085,0.987952,0.386609,0.698925,0.0350195,0.181347,1,0.0539216,0.728754,0.178723,0,0.566066,0.185984,0,0.166038,0,0,0,0,
1668527286185,1,0.390929,0.677419,0.0350195,0.2038,1,0.0490196,0.736903,0.191489,0,0.567568,0.207547,0,0.169811,0,0,0,0,
1668527286285,1,0.386609,0.666667,0.0350195,0.229706,1,0.0441176,0.745052,0.208511,0,0.566066,0.226415,0,0.171069,0,0,0,0,
1668527286385,1,0.382289,0.648746,0.0428016,0.24525,1,0.0392157,0.747381,0.221277,0,0.564565,0.239892,0,0.172327,0,0,0,0,
1668527286486,0.988506,0.38013,0.634409,0.0428016,0.255613,1,0.0367647,0.753201,0.229787,0,0.566066,0.242588,0.00144509,0.174843,0,0,0,0,
1668527286586,1,0.37365,0.630824,0.0389105,0.259067,1,0.0367647,0.754366,0.238298,0,0.566066,0.245283,0.00144509,0.174843,0,0,0,0,
1668527286686,1,0.367171,0.62724,0.0428016,0.264249,1,0.0367647,0.754366,0.242553,0,0.563063,0.256065,0.00289017,0.173585,0,0,0,0,
1668527286786,0.988636,0.365011,0.62724,0.0428016,0.267703,1,0.0367647,0.75553,0.251064,0.00210084,0.56006,0.274933,0.00144509,0.173585,0,0,0,0,
1668527286886,1,0.360691,0.630824,0.0466926,0.267703,1,0.0367647,0.75553,0.251064,0,0.558559,0.285714,0.00289017,0.173585,0,0,0,0,
1668527286987,1,0.358531,0.62724,0.0466926,0.26943,0.998659,0.0343137,0.75553,0.251064,0,0.558559,0.291105,0.00289017,0.174843,0,0,0,0,
1668527287087,1,0.360691,0.62724,0.0428016,0.267703,0.998659,0.0343137,0.756694,0.251064,0.00419287,0.558559,0.291105,0.00433526,0.174843,0,0,0,0,
1668527287187,1,0.360691,0.630824,0.0428016,0.267703,0.995979,0.0343137,0.756694,0.251064,0,0.558559,0.283019,0.00433526,0.173585,0,0,0,0,
1668527287287,0.989011,0.360691,0.634409,0.0466926,0.26943,0.995979,0.0343137,0.757858,0.246809,0,0.56006,0.266846,0.00433526,0.173585,0,0,0,0,
1668527287387,0.989011,0.360691,0.634409,0.0466926,0.267703,0.997319,0.0343137,0.756694,0.246809,0.00208768,0.558559,0.277628,0.00433526,0.173585,0,0,0,0,
1668527287488,0.978022,0.360691,0.641577,0.0428016,0.265976,0.994638,0.0343137,0.756694,0.242553,0.00208768,0.555556,0.296496,0.00578035,0.174843,0,0,0,0,
1668527287588,0.956044,0.356371,0.641577,0.0466926,0.262522,0.985255,0.0367647,0.756694,0.242553,0.00208768,0.551051,0.331536,0.00433526,0.177358,0,0,0,0,
1668527287688,0.89011,0.339093,0.637993,0.0389105,0.253886,0.966488,0.0367647,0.752037,0.246809,0,0.539039,0.371968,0.00289017,0.176101,0,0,0,0,
1668527287788,0.824176,0.278618,0.637993,0.0350195,0.233161,0.938338,0.0392157,0.742724,0.255319,0,0.506006,0.404313,0,0.169811,0,0,0,0,
1668527287888,0.78022,0.224622,0.637993,0.0272374,0.208981,0.906166,0.0441176,0.720605,0.268085,0,0.451952,0.428571,0.00289017,0.158491,0,0,0,0,
1668527287989,0.747253,0.194384,0.630824,0.0233463,0.196891,0.864611,0.0441176,0.698487,0.26383,0,0.415916,0.436658,0.00433526,0.148428,0,0,0,0,
1668527288089,0.725275,0.179266,0.630824,0.0194553,0.189983,0.820375,0.0441176,0.684517,0.259574,0.00413223,0.387387,0.447439,0.00578035,0.143396,0,0,0,0,
1668527288189,0.714286,0.172786,0.637993,0.0233463,0.186529,0.77882,0.0441176,0.664726,0.255319,0.00619835,0.34985,0.455526,0.00433526,0.137107,0,0,0,0,
