timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668526884808,0.188679,0.137143,0.951417,0.0685921,0.0402098,0.0850515,0.0103359,0.0466744,0.167702,0.139241,0.0810398,0.737643,0.0544413,0.0780312,0,0,0,0,
1668526884909,0.207547,0.137143,0.951417,0.0722022,0.041958,0.0850515,0.0103359,0.0478413,0.173913,0.139241,0.0795107,0.737643,0.0544413,0.0768307,0,0,0,0,
1668526885009,0.207547,0.137143,0.951417,0.0758123,0.0402098,0.0850515,0.0103359,0.0466744,0.173913,0.14135,0.0795107,0.737643,0.0544413,0.0768307,0,0,0,0,
1668526885109,0.207547,0.137143,0.951417,0.0722022,0.0402098,0.0850515,0.0103359,0.0466744,0.173913,0.139241,0.0795107,0.737643,0.0530086,0.0768307,0,0,0,0,
1668526885209,0.207547,0.137143,0.951417,0.0722022,0.0402098,0.0850515,0.0103359,0.0478413,0.173913,0.14135,0.0795107,0.73384,0.0544413,0.0768307,0,0,0,0,
1668526885310,0.207547,0.14,0.939271,0.0722022,0.0437063,0.0863402,0.0103359,0.0478413,0.173913,0.14135,0.0795107,0.726236,0.0544413,0.0756303,0,0,0,0,
1668526885410,0.207547,0.128571,1,0.0722022,0.0384615,0.0695876,0.00775194,0.0968495,0.21118,0.154008,0.103976,0.65019,0.0472779,0.0912365,0,0,0,0,
1668526885510,0.377358,0.125714,0.905109,0.0397112,0.0559441,0.00902062,0.0620155,0.154026,0,0.170886,0.120795,0.414449,0.0386819,0.140456,0,0,0,0,
1668526885610,0.433962,0.128571,0.945255,0.0433213,0.0751748,0.0283505,0.0671835,0.267211,0.195266,0.162447,0.149847,0.653992,0.0243553,0.144058,0,0,0,0,
1668526885710,0.811321,0.0857143,1,0.0433213,0.0926573,0.0979381,0.0413437,0.205368,0.319527,0.189873,0.122324,0.418251,0.00286533,0.112845,0,0,0,0,
1668526885811,1,0.0942857,0.990769,0.0541516,0.0856643,0.143041,0.0439276,0.198366,0.142012,0.168776,0.100917,0.395437,0.0315186,0.159664,0,0,0,0,
1668526885911,0.842105,0.114286,0.84,0.0180505,0.0769231,0.0463918,0.142119,0.416569,0.201183,0.246835,0.192661,0.403042,0.118911,0.211285,0,0,0,0,
1668526886011,1,0.0914286,0.916923,0.00361011,0.101399,0.108247,0.245478,0.485414,0.289941,0.293249,0.224771,0.155894,0.12894,0.205282,0,0,0,0,
1668526886111,1,0.114286,0.923077,0.00359712,0.111888,0.157216,0.302326,0.521587,0.307692,0.322785,0.281346,0.00380228,0.120344,0.207683,0,0,0,0,
