timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668527442729,0.145455,0.301932,0.795866,0.110345,0.0344234,0.0583804,0.0399003,0.0498812,0.147059,0.217184,0.0511182,0.982699,0.0813954,0.0867971,0,0,0,0,
1668527442830,0.145455,0.304348,0.795866,0.110345,0.0361446,0.0583804,0.0399003,0.0522565,0.147059,0.21957,0.0543131,0.982699,0.0799419,0.0867971,0,0,0,0,
1668527442930,0.145455,0.304348,0.79845,0.110345,0.0344234,0.0583804,0.0399003,0.0558195,0.142857,0.214797,0.0559105,0.972318,0.0799419,0.0880196,0,0,0,0,
1668527443030,0.145455,0.301932,0.79845,0.110345,0.0344234,0.0564972,0.0399003,0.0593824,0.138655,0.214797,0.0559105,0.965398,0.0784884,0.0880196,0,0,0,0,
1668527443130,0.127273,0.304348,0.79845,0.106897,0.0361446,0.0546139,0.0399003,0.0629454,0.134454,0.214797,0.057508,0.948097,0.0784884,0.0880196,0,0,0,0,
1668527443230,0.145455,0.301932,0.819121,0.1,0.0395869,0.0583804,0.0349127,0.0771971,0.138655,0.217184,0.0623003,0.906574,0.0726744,0.091687,0,0,0,0,
1668527443330,0.163636,0.294686,0.749354,0.0793103,0.0550775,0.124294,0.109726,0.0783848,0.0840336,0.167064,0.0319489,0.938776,0.059593,0.0880196,0,0,0,0,
1668527443431,0.0727273,0.318841,0.54522,0.168966,0.106713,0.242938,0.453865,0.279097,0.260504,0.365155,0.172524,0.670068,0.194767,0.342298,0,0,0,0,
1668527443531,0.109091,0.316425,0.503876,0.3,0.363167,0.282486,0.59601,0.434679,0.285714,0.477327,0.36262,0.588435,0.231105,0.442543,0,0,0,0,
1668527443631,0.181818,0.321256,0.620155,0.162069,0.263339,0.310734,0.286783,0.579572,0.184874,0.27685,0.383387,0.486395,0.1875,0.308068,0,0,0,0,
1668527443731,0.345455,0.294686,0.73385,0.0551724,0.154905,0.282486,0.102244,0.523753,0.10084,0.152745,0.376997,0.414966,0.122093,0.276284,0,0,0,0,
1668527443831,0.454545,0.26087,0.795866,0.0241379,0.10327,0.386064,0.0947631,0.404988,0.0378151,0.143198,0.399361,0.452381,0.0828488,0.289731,0,0,0,0,
1668527443932,0.563636,0.241546,0.819121,0.0206897,0.0722892,0.485876,0.0972569,0.361045,0.0504202,0.138425,0.416933,0.472789,0.0697674,0.327628,0,0,0,0,
1668527444032,0.618182,0.227053,0.834625,0.0137931,0.0671256,0.52919,0.0947631,0.344418,0.0882353,0.116945,0.468051,0.465986,0.0610465,0.392421,0,0,0,0,
1668527444132,0.672727,0.222222,0.847545,0.0137931,0.060241,0.542373,0.0947631,0.328979,0.151261,0.102625,0.495208,0.527211,0.056686,0.44621,0,0,0,0,
1668527444232,0.727273,0.137681,0.878553,0.0206897,0.0567986,0.538606,0.0972569,0.307601,0.172269,0.0954654,0.515974,0.540816,0.0508721,0.498778,0,0,0,0,
1668527444332,0.818182,0.13285,0.901809,0.0206897,0.0550775,0.549906,0.107232,0.30285,0.184874,0.102625,0.528754,0.578231,0.0494186,0.535452,0,0,0,0,
1668527444433,0.836364,0.130435,0.878553,0.0310345,0.0585198,0.59887,0.117207,0.321853,0.201681,0.112172,0.543131,0.602041,0.0494186,0.555012,0,0,0,0,
1668527444533,0.836364,0.161836,0.844961,0.0448276,0.0774527,0.696799,0.134663,0.362233,0.176471,0.119332,0.560703,0.602041,0.0508721,0.567237,0,0,0,0,
1668527444633,0.945455,0.342995,0.824289,0.0551724,0.101549,0.762712,0.144638,0.380048,0.168067,0.119332,0.571885,0.517007,0.0508721,0.55868,0,0,0,0,
1668527444733,1,0.567633,0.826873,0.0724138,0.106713,0.821092,0.144638,0.404988,0.172269,0.124105,0.560703,0.503401,0.0494186,0.48533,0,0,0,0,
1668527444833,1,0.673913,0.826873,0.0862069,0.110155,0.856874,0.142145,0.416865,0.180672,0.131265,0.546326,0.482993,0.0523256,0.408313,0,0,0,0,
1668527444934,1,0.714976,0.829457,0.0965517,0.108434,0.879473,0.15212,0.413302,0.222689,0.152745,0.507987,0.472789,0.0537791,0.345966,0,0,0,0,
1668527445034,0.983871,0.751208,0.834625,0.110345,0.106713,0.902072,0.167082,0.415677,0.247899,0.178998,0.49361,0.472789,0.0581395,0.326406,0,0,0,0,
1668527445134,1,0.777778,0.839793,0.134483,0.106713,0.898305,0.19202,0.425178,0.281513,0.21241,0.463259,0.442177,0.0697674,0.315403,0,0,0,0,
1668527445234,0.984127,0.797101,0.813953,0.131034,0.110155,0.887006,0.201995,0.442993,0.323529,0.21241,0.439297,0.445578,0.0712209,0.321516,0,0,0,0,
1668527445334,0.968254,0.835749,0.78553,0.106897,0.104991,0.864407,0.197007,0.454869,0.315126,0.198091,0.391374,0.428571,0.0625,0.337408,0,0,0,0,
1668527445435,0.952381,0.876812,0.75969,0.0827586,0.113597,0.841808,0.167082,0.484561,0.260504,0.162291,0.341853,0.414966,0.0537791,0.317848,0,0,0,0,
1668527445535,0.920635,0.874396,0.741602,0.062069,0.11704,0.775895,0.127182,0.503563,0.121849,0.0859189,0.317891,0.397959,0.0392442,0.259169,0,0,0,0,
1668527445635,0.952381,0.835749,0.705426,0.0517241,0.0998279,0.651601,0.124688,0.445368,0.0882353,0.0572792,0.277955,0.414966,0.0450581,0.228606,0,0,0,0,
1668527445735,0.952381,0.804348,0.684755,0.0482759,0.0929432,0.559322,0.102244,0.434679,0.0504202,0.0310263,0.239617,0.44898,0.0494186,0.213936,0,0,0,0,
1668527445835,0.968254,0.751208,0.687339,0.0482759,0.0895009,0.508475,0.0822943,0.415677,0.0168067,0.026253,0.202875,0.452381,0.0537791,0.187042,0,0,0,0,
1668527445936,1,0.717391,0.689922,0.037931,0.0843373,0.483992,0.0773067,0.408551,0,0.0167064,0.198083,0.452381,0.0508721,0.172372,0,0,0,0,
1668527446036,1,0.702899,0.700258,0.0310345,0.080895,0.467043,0.0723192,0.409739,0.00413223,0.0190931,0.191693,0.459184,0.0494186,0.169927,0,0,0,0,
1668527446136,1,0.671498,0.723514,0.0241379,0.0774527,0.467043,0.0723192,0.401425,0.0123967,0.026253,0.174121,0.47619,0.0508721,0.176039,0,0,0,0,
1668527446237,1,0.524155,0.726098,0.0103448,0.0791738,0.480226,0.0698254,0.390736,0.0454545,0.0214797,0.170927,0.5,0.0465116,0.193154,0,0,0,0,
1668527446337,1,0.0942029,0.788114,0.00343643,0.0378658,0.483992,0.0473815,0.231591,0.227273,0.00238663,0.115016,0.663265,0.0450581,0.211491,0,0,0,0,
1668527446437,0.80597,0.0507246,0.744186,0,0.0361446,0.602637,0.0448878,0.128266,0.334711,0.0139211,0.0670926,0.704082,0.0392442,0.215159,0,0,0,0,
1668527446537,0.373134,0.0410628,0.669251,0.0307167,0.0413081,0.295669,0.0374065,0.143705,0.214876,0.0487239,0.0623003,0.683673,0.0436046,0.176039,0,0,0,0,
1668527446637,0.298507,0.0386473,0.69509,0.0614334,0.0395869,0.154426,0.042394,0.103325,0.0826446,0.106729,0.0543131,0.568027,0.0392442,0.136919,0,0,0,0,
1668527446737,0.208955,0.031401,0.762274,0.0819113,0.0413081,0.0263653,0.0174564,0.0593824,0,0.134571,0.0447284,0.37415,0.0334302,0.118582,0,0,0,0,
1668527446838,0.119403,0.02657,0.677003,0.0921502,0.0258176,0.0320151,0.0074813,0.043943,0.289683,0.0858469,0.0591054,0.987616,0.0421512,0.155257,0,0,0,0,
1668527446938,0.149254,0.0338164,0.741602,0.102389,0.0172117,0.0640301,0.0074813,0.0320665,0.361111,0.0719258,0.043131,1,0.056686,0.144254,0,0,0,0,
1668527447038,0.119403,0.0362319,0.705426,0.105802,0.0154905,0.0847458,0.00498753,0.0308789,0.396825,0.0696056,0.0399361,1,0.056686,0.141809,0,0,0,0,
1668527447138,0.119403,0.0362319,0.731266,0.102389,0.0154905,0.0828625,0.00498753,0.0273159,0.388889,0.0696056,0.0399361,0.984416,0.059593,0.141809,0,0,0,0,
1668527447239,0.134328,0.0362319,0.723514,0.102389,0.0172117,0.086629,0.00498753,0.0273159,0.400794,0.0765661,0.0399361,0.979221,0.059593,0.140587,0,0,0,0,
1668527447339,0.119403,0.0386473,0.705426,0.105802,0.0172117,0.086629,0.00249377,0.0285036,0.400794,0.0788863,0.0399361,0.98961,0.059593,0.141809,0,0,0,0,
1668527447439,0.104478,0.0362319,0.69509,0.102389,0.0172117,0.0847458,0.00249377,0.0285036,0.416667,0.0812065,0.0415335,1,0.0610465,0.143032,0,0,0,0,
1668527447539,0.0895522,0.0338164,0.713178,0.109215,0.0189329,0.0753296,0.00249377,0.0308789,0.400794,0.0974478,0.043131,0.989691,0.0625,0.145477,0,0,0,0,
1668527447639,0.0746269,0.031401,0.72093,0.102389,0.0172117,0.0734463,0.00249377,0.0273159,0.373016,0.104408,0.0463259,0.943299,0.0625,0.149144,0,0,0,0,
1668527447740,0.0895522,0.0338164,0.723514,0.102389,0.0172117,0.0885122,0.00498753,0.0225653,0.373016,0.104408,0.0447284,0.917526,0.0639535,0.146699,0,0,0,0,
1668527447840,0.0746269,0.031401,0.739018,0.105802,0.0172117,0.094162,0.00498753,0.02019,0.369048,0.102088,0.043131,0.89433,0.059593,0.145477,0,0,0,0,
1668527447940,0.104478,0.031401,0.751938,0.102389,0.0172117,0.0979284,0.00498753,0.0166271,0.369048,0.099768,0.0399361,0.889175,0.059593,0.143032,0,0,0,0,
1668527448040,0.104478,0.031401,0.757106,0.102389,0.0154905,0.0979284,0.00498753,0.0166271,0.369048,0.0951276,0.0399361,0.896907,0.0581395,0.141809,0,0,0,0,
1668527448140,0.0895522,0.031401,0.749354,0.102389,0.0154905,0.0960452,0.00498753,0.0190024,0.376984,0.099768,0.0399361,0.896907,0.0581395,0.140587,0,0,0,0,
1668527448240,0.0895522,0.0338164,0.744186,0.105802,0.0154905,0.094162,0.00249377,0.0190024,0.365079,0.0951276,0.0367412,0.884021,0.056686,0.143032,0,0,0,0,
1668527448341,0.0895522,0.0338164,0.744186,0.102389,0.0172117,0.0960452,0.00498753,0.0190024,0.373016,0.0974478,0.0367412,0.886598,0.0552326,0.144254,0,0,0,0,
1668527448441,0.0895522,0.0338164,0.739018,0.105802,0.0172117,0.0979284,0.00498753,0.0213777,0.373016,0.102088,0.0367412,0.871134,0.0552326,0.143032,0,0,0,0,
1668527448541,0.104478,0.0338164,0.75969,0.105802,0.0172117,0.0960452,0.00498753,0.0190024,0.365079,0.0974478,0.0335463,0.860825,0.0552326,0.141809,0,0,0,0,
1668527448641,0.119403,0.031401,0.78553,0.102389,0.0154905,0.0922787,0.00498753,0.02019,0.357143,0.0904872,0.0319489,0.865979,0.0537791,0.140587,0,0,0,0,
1668527448741,0.119403,0.0362319,0.78553,0.105802,0.0154905,0.0960452,0.0074813,0.0213777,0.361111,0.0904872,0.0319489,0.871134,0.0537791,0.138142,0,0,0,0,
1668527448842,0.134328,0.0386473,0.780362,0.105802,0.0154905,0.0960452,0.0074813,0.023753,0.357143,0.0928074,0.0319489,0.85567,0.0537791,0.136919,0,0,0,0,
1668527448942,0.119403,0.0362319,0.782946,0.102389,0.0154905,0.094162,0.0074813,0.0249406,0.353175,0.0928074,0.0319489,0.850515,0.0537791,0.136919,0,0,0,0,
1668527449042,0.119403,0.0338164,0.78553,0.105802,0.0154905,0.0922787,0.0074813,0.0261283,0.349206,0.0904872,0.0303514,0.845361,0.0523256,0.136919,0,0,0,0,
1668527449142,0.134328,0.0362319,0.78553,0.105802,0.0154905,0.094162,0.0074813,0.0261283,0.349206,0.0881671,0.0303514,0.840206,0.0537791,0.135697,0,0,0,0,
1668527449242,0.134328,0.0338164,0.782946,0.102389,0.0154905,0.094162,0.0074813,0.0261283,0.353175,0.0928074,0.0303514,0.840206,0.0523256,0.135697,0,0,0,0,
1668527449343,0.134328,0.0386473,0.782946,0.105802,0.0172117,0.0960452,0.0074813,0.0261283,0.357143,0.0951276,0.0303514,0.842784,0.0523256,0.135697,0,0,0,0,
1668527449443,0.119403,0.0362319,0.780362,0.105802,0.0172117,0.094162,0.00498753,0.0261283,0.357143,0.0951276,0.0303514,0.840206,0.0508721,0.135697,0,0,0,0,
1668527449543,0.119403,0.0362319,0.777778,0.102389,0.0172117,0.094162,0.00498753,0.0273159,0.357143,0.0974478,0.0303514,0.840206,0.0523256,0.135697,0,0,0,0,
1668527449643,0.119403,0.0338164,0.780362,0.102389,0.0154905,0.0922787,0.0074813,0.0273159,0.349206,0.0951276,0.0303514,0.837629,0.0523256,0.135697,0,0,0,0,
1668527449744,0.134328,0.0338164,0.782946,0.105802,0.0154905,0.0903955,0.0074813,0.0273159,0.349206,0.0928074,0.0303514,0.837629,0.0523256,0.135697,0,0,0,0,
1668527449844,0.134328,0.0338164,0.78553,0.105802,0.0154905,0.0903955,0.0074813,0.0273159,0.345238,0.0928074,0.028754,0.837629,0.0523256,0.135697,0,0,0,0,
1668527449944,0.134328,0.0338164,0.790698,0.102389,0.0154905,0.0885122,0.0074813,0.0273159,0.349206,0.0928074,0.028754,0.840206,0.0508721,0.135697,0,0,0,0,
1668527450044,0.134328,0.0362319,0.793282,0.109215,0.0154905,0.0903955,0.0074813,0.0273159,0.353175,0.0951276,0.028754,0.840206,0.0523256,0.135697,0,0,0,0,
1668527450144,0.119403,0.031401,0.790698,0.102389,0.0154905,0.0922787,0.0074813,0.0273159,0.353175,0.0951276,0.028754,0.837629,0.0523256,0.135697,0,0,0,0,
1668527450245,0.134328,0.0362319,0.793282,0.102389,0.0154905,0.0922787,0.00997506,0.0273159,0.353175,0.0974478,0.0303514,0.840206,0.0537791,0.136919,0,0,0,0,
1668527450345,0.134328,0.0338164,0.790698,0.105802,0.0154905,0.0922787,0.0074813,0.0273159,0.353175,0.0951276,0.028754,0.840206,0.0523256,0.134474,0,0,0,0,
1668527450445,0.119403,0.0338164,0.790698,0.102389,0.0154905,0.0922787,0.0074813,0.0273159,0.353175,0.0974478,0.028754,0.840206,0.0523256,0.135697,0,0,0,0,
1668527450545,0.134328,0.0338164,0.793282,0.102389,0.0154905,0.0922787,0.0074813,0.0273159,0.353175,0.0974478,0.028754,0.837629,0.0523256,0.135697,0,0,0,0,
1668527450645,0.119403,0.0338164,0.790698,0.105802,0.0154905,0.0922787,0.0074813,0.0273159,0.353175,0.0974478,0.028754,0.837629,0.0508721,0.135697,0,0,0,0,
1668527450745,0.119403,0.0338164,0.790698,0.102389,0.0154905,0.0922787,0.0074813,0.0273159,0.357143,0.099768,0.028754,0.837629,0.0523256,0.135697,0,0,0,0,
1668527450846,0.134328,0.0362319,0.790698,0.105802,0.0154905,0.0903955,0.0074813,0.0273159,0.353175,0.0974478,0.028754,0.837629,0.0523256,0.136919,0,0,0,0,
1668527450946,0.119403,0.0362319,0.790698,0.105802,0.0137694,0.0885122,0.0074813,0.0296912,0.349206,0.0974478,0.028754,0.832474,0.0537791,0.136919,0,0,0,0,
1668527451046,0.104478,0.0362319,0.788114,0.102389,0.0137694,0.0847458,0.0074813,0.0356295,0.337302,0.0974478,0.028754,0.819588,0.0523256,0.138142,0,0,0,0,
