timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668527629816,0.212121,0.0735294,0.659155,0.177143,0.0307692,0.114537,0.0173267,0.121462,0.464029,0.14959,0.0262346,0.787634,0.0104167,0.0320781,0,0,0,0,
1668527629917,0.212121,0.0735294,0.659155,0.177143,0.0307692,0.114537,0.0173267,0.121462,0.464029,0.14959,0.0277778,0.787634,0.0104167,0.0320781,0,0,0,0,
1668527630017,0.212121,0.0698529,0.656338,0.171429,0.0307692,0.118943,0.0173267,0.121462,0.464029,0.151639,0.0277778,0.784946,0.0104167,0.0320781,0,0,0,0,
1668527630117,0.212121,0.0772059,0.653521,0.177143,0.0324786,0.121145,0.0173267,0.121462,0.471223,0.155738,0.0262346,0.782258,0.0119048,0.0320781,0,0,0,0,
1668527630217,0.212121,0.0735294,0.642254,0.171429,0.0358974,0.136564,0.0173267,0.121462,0.482014,0.161885,0.0262346,0.766129,0.0119048,0.0306834,0,0,0,0,
1668527630318,0.181818,0.0845588,0.583099,0.16,0.0461538,0.171806,0.00990099,0.159198,0.496403,0.186475,0.0339506,0.698925,0.0119048,0.0334728,0,0,0,0,
1668527630418,0.333333,0,0.957747,0.148571,0.0188034,0.11674,0.0123762,0.104953,0.5,0.145492,0.0555556,0.674731,0.00148368,0.0292887,0,0,0,0,
1668527630518,0.424242,0.0217391,0.653521,0.12,0.025641,0.418502,0.408416,0.129717,0.528777,0.352459,0.0154321,0.752688,0.272997,0.189679,0,0,0,0,
1668527630618,0.409091,0.105072,0.571831,0.131429,0.0820513,0.530837,0.482673,0.448113,0.568345,0.403689,0.296296,0.669355,0.203264,0.352859,0,0,0,0,
1668527630718,0.757576,0,0.8,0.0114286,0.0461538,0.312775,0.0767327,0.353774,0.417266,0.172131,0.17284,0.408602,0.0667656,0.182706,0,0,0,0,
1668527630819,0.924242,0.0283688,0.771831,0.0457143,0.0290598,0.570485,0.0792079,0.357311,0.507194,0.147541,0.111111,0.446237,0.0623145,0.161785,0,0,0,0,
1668527630919,0.924242,0.00353357,0.749296,0.0342857,0.0119658,0.643172,0.0965347,0.501179,0.417266,0.122951,0.226852,0.446237,0.0682493,0.181311,0,0,0,0,
1668527631019,1,0.530035,0.661972,0.0171429,0.00512821,0.726872,0.155941,0.545991,0.456835,0.157787,0.375,0.475806,0.074184,0.200837,0,0,0,0,
1668527631119,1,1,0.650704,0.04,0,0.795154,0.195545,0.575472,0.489209,0.182377,0.41821,0.446237,0.0623145,0.200837,0,0,0,0,
1668527631219,1,1,0.661972,0.0514286,0.00170648,0.848018,0.247525,0.571934,0.5,0.206967,0.425926,0.379032,0.0578635,0.206416,0,0,0,0,
1668527631320,0.986301,1,0.650704,0.0571429,0,0.830396,0.262376,0.5625,0.503597,0.209016,0.424383,0.376344,0.0519288,0.20781,0,0,0,0,
1668527631420,0.986301,0.994805,0.63662,0.0514286,0.00170648,0.832599,0.274752,0.549528,0.507194,0.204918,0.416667,0.379032,0.0489614,0.205021,0,0,0,0,
1668527631520,0.972603,0.987013,0.622535,0.0285714,0.00170648,0.819383,0.277228,0.534198,0.507194,0.20082,0.405864,0.38172,0.0430267,0.198047,0,0,0,0,
1668527631620,0.972603,0.963636,0.608451,0.0171429,0.00341297,0.795154,0.274752,0.524764,0.507194,0.194672,0.398148,0.395161,0.0385757,0.193863,0,0,0,0,
1668527631720,1,0.914286,0.622535,0.0114286,0.00511945,0.742291,0.269802,0.511792,0.5,0.192623,0.387346,0.397849,0.037092,0.1841,0,0,0,0,
1668527631821,1,0.888312,0.619718,0.00571429,0.00511945,0.704846,0.267327,0.505896,0.482014,0.188525,0.381173,0.392473,0.0311573,0.178522,0,0,0,0,
1668527631921,1,0.890909,0.614084,0.00571429,0.00511945,0.685022,0.267327,0.498821,0.460432,0.180328,0.381173,0.384409,0.0252226,0.174338,0,0,0,0,
1668527632021,1,0.901299,0.608451,0.0171429,0.00511945,0.65859,0.257426,0.503538,0.438849,0.17418,0.384259,0.384409,0.0207715,0.172943,0,0,0,0,
1668527632121,1,0.901299,0.608451,0.0171429,0.00511945,0.623348,0.247525,0.507075,0.413669,0.163934,0.387346,0.376344,0.0178042,0.171548,0,0,0,0,
1668527632222,0.986667,0.896104,0.602817,0.00571429,0.00341297,0.596916,0.237624,0.510613,0.392086,0.155738,0.387346,0.376344,0.0133531,0.168759,0,0,0,0,
