timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668527878730,0.102941,0.361564,0.818519,0.162921,0.0457627,0.0948276,0.0531646,0.105691,0.215686,0.237986,0.0771513,0.689655,0.0663717,0.0857909,0,0,0,0,
1668527878830,0.0882353,0.364821,0.814815,0.174157,0.0457627,0.0926724,0.0531646,0.105691,0.215686,0.240275,0.078635,0.68652,0.0648968,0.0857909,0,0,0,0,
1668527878930,0.0882353,0.364821,0.811111,0.168539,0.0457627,0.0926724,0.0506329,0.106852,0.215686,0.237986,0.078635,0.683386,0.0663717,0.0844504,0,0,0,0,
1668527879031,0.0735294,0.364821,0.8,0.168539,0.0457627,0.0926724,0.0531646,0.106852,0.210784,0.244851,0.078635,0.677116,0.0663717,0.0857909,0,0,0,0,
1668527879131,0.0882353,0.371336,0.788889,0.168539,0.0474576,0.0948276,0.0531646,0.106852,0.210784,0.249428,0.0801187,0.667712,0.0663717,0.0857909,0,0,0,0,
1668527879231,0.0588235,0.371336,0.751852,0.168539,0.0542373,0.101293,0.0556962,0.109175,0.210784,0.265446,0.0801187,0.648903,0.0678466,0.0871314,0,0,0,0,
1668527879331,0.176471,0.335505,1,0.123596,0.0508475,0.0193966,0.0455696,0.0720093,0,0.254005,0.0727003,0.473354,0.0486726,0.0737265,0,0,0,0,
1668527879431,0.367647,0.322476,0.926316,0.123596,0.0457627,0.101293,0.288608,0.130081,0.273543,0.295195,0.0459941,0.523511,0.190265,0.190349,0,0,0,0,
1668527879532,0.397059,0.345277,0.838596,0.106742,0.0542373,0.137931,0.349367,0.2741,0.273543,0.322654,0.152819,0.62069,0.182891,0.264075,0,0,0,0,
1668527879632,0.529412,0.309446,0.996491,0.0393258,0.059322,0.114224,0.0734177,0.239257,0.147982,0.118993,0.135015,0.639498,0.0899705,0.164879,0,0,0,0,
1668527879732,0.661765,0.14658,1,0.0280899,0.0508475,0.181034,0.0405063,0.1777,0.147982,0.0640732,0.105341,0.68652,0.060472,0.100536,0,0,0,0,
1668527879832,0.75,0.0912052,0.994083,0.0168539,0.0440678,0.241379,0.043038,0.192799,0.192825,0.0640732,0.108309,0.708464,0.060472,0.0924933,0,0,0,0,
1668527879933,0.691176,0.0781759,0.908284,0.00561798,0.0423729,0.357759,0.0481013,0.183508,0.300448,0.0846682,0.132047,0.670846,0.0619469,0.107239,0,0,0,0,
1668527880033,0.617647,0.0944625,0.825444,0.00561798,0.0457627,0.415948,0.0556962,0.18583,0.313901,0.121281,0.152819,0.652038,0.0648968,0.113941,0,0,0,0,
1668527880133,0.602941,0.104235,0.789941,0.0224719,0.0474576,0.394397,0.0632911,0.245064,0.345291,0.128146,0.18546,0.623824,0.0693215,0.120643,0,0,0,0,
1668527880233,0.617647,0.159609,0.724852,0.00561798,0.0559322,0.50431,0.0810127,0.29036,0.430493,0.0915332,0.203264,0.673981,0.0634218,0.119303,0,0,0,0,
1668527880333,0.779412,0.322476,0.674556,0,0.0745763,0.752155,0.118987,0.303136,0.408072,0.0434783,0.218101,0.752351,0.0560472,0.124665,0,0,0,0,
1668527880434,0.897059,0.456026,0.659763,0.00561798,0.0847458,1,0.129114,0.304297,0.484305,0.0228833,0.212166,0.761755,0.0501475,0.120643,0,0,0,0,
