timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668694550255,0.118211,0.117786,0.228435,0.142857,0.0293686,0.409405,0.114887,0.0807692,0.765873,0.0993789,0.0919325,0.893617,0.0392377,0.101149,0,0,0,0,
1668694550356,0.115016,0.117786,0.238019,0.142857,0.0293686,0.405256,0.114887,0.0807692,0.761905,0.0962733,0.0919325,0.895981,0.0381166,0.101149,0,0,0,0,
1668694550456,0.102236,0.117786,0.269968,0.137931,0.0293686,0.396957,0.106796,0.0782051,0.746032,0.0916149,0.0919325,0.907801,0.0381166,0.101149,0,0,0,0,
1668694550556,0.0958466,0.0989399,0.423323,0.157635,0.0279001,0.383126,0.0809061,0.0641026,0.646825,0.0776398,0.0881801,0.929078,0.0358744,0.0965517,0,0,0,0,
1668694550656,0.13099,0.0753828,0.544728,0.182266,0.0234949,0.385892,0.139159,0.103846,0.535714,0.111801,0.0844278,0.732861,0.0302691,0.165517,0,0,0,0,
1668694550756,0.14377,0.161366,0.699681,0.123153,0.0763583,0.349931,0.252427,0.20641,0.456349,0.14441,0.138837,0.576832,0.00672646,0.496552,0,0,0,0,
1668694550856,0.0702875,0.114252,0.78754,0.0246305,0.0969163,0.461964,0.12945,0.20641,0.488095,0.13354,0.123827,0.635934,0,0.471264,0,0,0,0,
1668694550957,0.0351438,0.0753828,0.801917,0.0394089,0.0792952,0.61964,0.0906149,0.183333,0.579365,0.118012,0.105066,0.716312,0,0.365517,0,0,0,0,
1668694551057,0.0319489,0.0624264,0.825879,0.0394089,0.0734214,0.61964,0.0809061,0.196154,0.623016,0.108696,0.106942,0.803783,0.00110497,0.333333,0,0,0,0,
1668694551157,0.0383387,0.0647821,0.829073,0.044335,0.0748899,0.640387,0.0679612,0.291026,0.68254,0.0838509,0.106942,0.869976,0,0.301149,0,0,0,0,
1668694551257,0.0415335,0.100118,0.809904,0.0295567,0.139501,0.691563,0.0809061,0.421795,0.611111,0.0729814,0.133208,0.817967,0,0.347126,0,0,0,0,
1668694551357,0.0511182,0.210836,0.829073,0.00492611,0.135095,0.737206,0.148867,0.397436,0.666667,0.107143,0.180113,0.817967,0.00220507,0.406897,0,0,0,0,
1668694551457,0.0447284,0.393404,0.824281,0.00492611,0.113069,0.723375,0.18123,0.347436,0.746032,0.147516,0.174484,0.827423,0.00441014,0.406897,0,0,0,0,
1668694551558,0.0351438,0.402827,0.736422,0.0295567,0.105727,0.704011,0.202265,0.266667,0.896825,0.18323,0.101313,1,0.014333,0.289655,0,0,0,0,
1668694551658,0.0447284,0.39576,0.685304,0.0344828,0.110132,0.751037,0.270227,0.173077,1,0.262422,0,1,0.0628445,0.16092,0,0,0,0,
1668694551758,0.0383387,0.392226,0.659744,0.0344828,0.120411,0.807746,0.331715,0.120513,1,0.305901,0,0.988055,0.101433,0.135632,0,0,0,0,
1668694551858,0.0415335,0.388693,0.653355,0.0344828,0.123348,0.821577,0.38835,0.111538,1,0.319876,0.0071048,0.962457,0.111356,0.133333,0,0,0,0,
1668694551958,0.0670926,0.391048,0.583067,0.0295567,0.133627,0.846473,0.432039,0.0717949,1,0.335404,0.0017762,1,0.109151,0.101149,0,0,0,0,
1668694552059,0.0766773,0.388693,0.554313,0.0344828,0.146843,0.856155,0.432039,0.0474359,0.984076,0.336957,0.00176678,0.994907,0.106946,0.0988506,0,0,0,0,
1668694552159,0.0670926,0.394582,0.595847,0.0492611,0.142438,0.820194,0.386731,0.0358974,0.987261,0.318323,0.0176678,0.98472,0.101433,0.108046,0,0,0,0,
1668694552259,0.0638978,0.394582,0.599042,0.0492611,0.142438,0.810512,0.360841,0.0384615,0.961783,0.309006,0.0229682,0.979626,0.101433,0.108046,0,0,0,0,
1668694552359,0.0638978,0.392226,0.570288,0.044335,0.142438,0.807746,0.347896,0.0435897,0.964968,0.310559,0.0212014,0.991511,0.110254,0.105747,0,0,0,0,
1668694552459,0.0702875,0.386337,0.555911,0.0591133,0.143906,0.795297,0.315534,0.0448718,0.984076,0.313665,0.00353357,1,0.120176,0.0873563,0,0,0,0,
1668694552559,0.0670926,0.37927,0.514377,0.0492611,0.152717,0.80083,0.296117,0.0410256,1,0.326087,0,1,0.123484,0.0758621,0,0,0,0,
1668694552660,0.0638978,0.37927,0.492013,0.0541872,0.168869,0.807746,0.281553,0.0423077,0.996835,0.330745,0.00352734,1,0.123484,0.0758621,0,0,0,0,
1668694552760,0.057508,0.378092,0.5,0.0541872,0.183554,0.813278,0.271845,0.0435897,0.996835,0.329193,0.00529101,1,0.117971,0.0758621,0,0,0,0,
1668694552860,0.0543131,0.383981,0.496805,0.0541872,0.192364,0.814661,0.26699,0.0448718,0.984177,0.330745,0.00352734,0.994118,0.122381,0.0735632,0,0,0,0,
1668694552960,0.0543131,0.376914,0.498403,0.0492611,0.192364,0.814661,0.257282,0.0435897,0.977848,0.333851,0.00352734,0.995588,0.128997,0.0735632,0,0,0,0,
1668694553060,0.0479233,0.37338,0.490415,0.0541872,0.195301,0.821577,0.252427,0.0371795,0.971519,0.343168,0.00352734,0.989706,0.133407,0.0735632,0,0,0,0,
1668694553161,0.0447284,0.37338,0.5,0.0492611,0.193833,0.820194,0.250809,0.0371795,0.96519,0.341615,0.00352734,0.988235,0.134509,0.0735632,0,0,0,0,
1668694553261,0.0415335,0.37338,0.50639,0.0492611,0.193833,0.821577,0.249191,0.0358974,0.958861,0.343168,0.00352734,0.988235,0.136714,0.0735632,0,0,0,0,
1668694553361,0.0447284,0.37338,0.507987,0.0541872,0.193833,0.821577,0.247573,0.0358974,0.952532,0.343168,0.00352734,0.985294,0.134509,0.0712644,0,0,0,0,
1668694553461,0.0415335,0.372203,0.511182,0.0492611,0.193833,0.821577,0.245955,0.0346154,0.943038,0.341615,0.00352734,0.982353,0.135612,0.0712644,0,0,0,0,
1668694553562,0.0415335,0.372203,0.515974,0.0492611,0.193833,0.820194,0.245955,0.0333333,0.936709,0.341615,0.00176367,0.977941,0.133407,0.0712644,0,0,0,0,
1668694553662,0.0415335,0.367491,0.517572,0.0492611,0.190896,0.820194,0.242718,0.0333333,0.927215,0.340062,0.00352734,0.973529,0.134509,0.0689655,0,0,0,0,
1668694553762,0.0415335,0.366313,0.517572,0.0492611,0.190896,0.82296,0.237864,0.0333333,0.911392,0.338509,0.00352734,0.961765,0.136714,0.0689655,0,0,0,0,
1668694553862,0.0415335,0.36278,0.519169,0.0492611,0.190896,0.824343,0.23301,0.0320513,0.898734,0.336957,0.00529101,0.954412,0.136714,0.0689655,0,0,0,0,
1668694553962,0.0415335,0.36278,0.523962,0.0541872,0.189427,0.824343,0.23301,0.0333333,0.89557,0.335404,0.00529101,0.951471,0.134509,0.0689655,0,0,0,0,
1668694554063,0.0383387,0.359246,0.522364,0.044335,0.189427,0.824343,0.228155,0.0333333,0.889241,0.333851,0.00529101,0.95,0.133407,0.0689655,0,0,0,0,
1668694554163,0.0415335,0.35689,0.522364,0.044335,0.190896,0.824343,0.226537,0.0320513,0.886076,0.333851,0.00705467,0.947059,0.132304,0.0666667,0,0,0,0,
1668694554263,0.0415335,0.358068,0.530351,0.0492611,0.193833,0.829876,0.224919,0.0320513,0.886076,0.333851,0.00705467,0.944118,0.133407,0.0666667,0,0,0,0,
1668694554363,0.0383387,0.35689,0.528754,0.044335,0.193833,0.831259,0.224919,0.0320513,0.879747,0.332298,0.00529101,0.933824,0.127894,0.0643678,0,0,0,0,
1668694554464,0.0415335,0.354535,0.531949,0.044335,0.196769,0.834025,0.220065,0.0333333,0.876582,0.330745,0.00881834,0.930882,0.125689,0.0643678,0,0,0,0,
1668694554564,0.0447284,0.354535,0.535144,0.044335,0.202643,0.838174,0.218447,0.0320513,0.873418,0.329193,0.00881834,0.925,0.125689,0.062069,0,0,0,0,
1668694554664,0.0415335,0.353357,0.541534,0.044335,0.202643,0.838174,0.21521,0.0346154,0.870253,0.32764,0.00881834,0.922059,0.123484,0.062069,0,0,0,0,
1668694554764,0.0447284,0.353357,0.543131,0.044335,0.204112,0.839557,0.21521,0.0346154,0.867089,0.32764,0.010582,0.913235,0.121279,0.062069,0,0,0,0,
1668694554864,0.0415335,0.353357,0.546326,0.044335,0.202643,0.839557,0.213592,0.0346154,0.860759,0.324534,0.00881834,0.907353,0.117971,0.0597701,0,0,0,0,
1668694554964,0.0383387,0.354535,0.541534,0.044335,0.204112,0.838174,0.213592,0.0346154,0.860759,0.324534,0.00881834,0.902941,0.116869,0.0574713,0,0,0,0,
1668694555065,0.0447284,0.353357,0.547923,0.0394089,0.202643,0.839557,0.211974,0.0358974,0.857595,0.322981,0.010582,0.898529,0.114664,0.0597701,0,0,0,0,
1668694555165,0.0415335,0.355713,0.546326,0.0492611,0.204112,0.846473,0.213592,0.0371795,0.857595,0.326087,0.00881834,0.892647,0.115766,0.0597701,0,0,0,0,
1668694555265,0.0415335,0.35689,0.549521,0.0492611,0.20558,0.84509,0.211974,0.0371795,0.857595,0.324534,0.00881834,0.897059,0.120176,0.062069,0,0,0,0,
1668694555365,0.0415335,0.360424,0.538339,0.044335,0.207048,0.846473,0.213592,0.0397436,0.860759,0.32764,0.00529101,0.902941,0.124587,0.0643678,0,0,0,0,
1668694555466,0.0415335,0.360424,0.547923,0.0492611,0.204112,0.84509,0.211974,0.0410256,0.860759,0.330745,0.00529101,0.904412,0.126792,0.0643678,0,0,0,0,
1668694555566,0.0383387,0.365135,0.547923,0.0492611,0.207048,0.846473,0.21521,0.0461538,0.860759,0.330745,0.00352734,0.902941,0.125689,0.0643678,0,0,0,0,
1668694555666,0.0383387,0.372203,0.549521,0.0492611,0.211454,0.852006,0.223301,0.0551282,0.870253,0.336957,0.00529101,0.9,0.125689,0.0689655,0,0,0,0,
1668694555766,0.0383387,0.380448,0.560703,0.0492611,0.214391,0.860304,0.226537,0.0653846,0.870253,0.336957,0.010582,0.891176,0.125689,0.0712644,0,0,0,0,
1668694555866,0.0415335,0.382803,0.56869,0.044335,0.220264,0.887967,0.249191,0.0717949,0.886076,0.34472,0.010582,0.877941,0.132304,0.0804598,0,0,0,0,
1668694555966,0.0479233,0.388693,0.584665,0.0344828,0.234949,0.900415,0.254045,0.0884615,0.867089,0.349379,0.0141093,0.844118,0.136714,0.091954,0,0,0,0,
1668694556067,0.0543131,0.382803,0.597444,0.0246305,0.264317,0.925311,0.252427,0.098718,0.857595,0.35559,0.0194004,0.820588,0.135612,0.0965517,0,0,0,0,
1668694556167,0.057508,0.37338,0.607029,0.0197044,0.315712,0.946058,0.242718,0.115385,0.835443,0.349379,0.0246914,0.792647,0.126792,0.0988506,0,0,0,0,
1668694556267,0.057508,0.376914,0.591054,0.0147783,0.358297,0.964039,0.236246,0.134615,0.810127,0.347826,0.026455,0.719118,0.116869,0.0942529,0,0,0,0,
1668694556367,0.0511182,0.376914,0.591054,0.0197044,0.393539,0.979253,0.237864,0.158974,0.816456,0.340062,0.0352734,0.722059,0.112459,0.091954,0,0,0,0,
1668694556467,0.0479233,0.371025,0.623003,0.0147783,0.415565,0.969571,0.231392,0.169231,0.810127,0.332298,0.0405644,0.702941,0.105843,0.0896552,0,0,0,0,
1668694556568,0.0511182,0.367491,0.65016,0,0.43025,0.961272,0.21521,0.191026,0.800633,0.321429,0.0582011,0.660294,0.0948181,0.091954,0,0,0,0,
1668694556668,0.0319489,0.326266,0.640575,0.0147059,0.409692,0.969571,0.166667,0.205128,0.75,0.28882,0.0687831,0.627941,0.076075,0.0965517,0,0,0,0,
1668694556768,0.0319489,0.134276,0.666134,0.0490196,0.146843,0.897649,0.116505,0.132051,0.632911,0.236025,0.116402,0.541176,0.047409,0.0988506,0,0,0,0,
1668694556868,0.057508,0.116608,0.464856,0.0735294,0.118943,0.697095,0.0987055,0.103846,0.53481,0.23913,0.126984,0.473529,0.0396913,0.105747,0,0,0,0,
1668694556968,0.0926518,0.113074,0.434505,0.112745,0.105727,0.536653,0.0889968,0.103846,0.481013,0.225155,0.12522,0.501471,0.0496141,0.105747,0,0,0,0,
1668694557069,0.14377,0.113074,0.456869,0.107843,0.0954479,0.443983,0.0857605,0.098718,0.449367,0.195652,0.111111,0.510294,0.0529217,0.108046,0,0,0,0,
1668694557169,0.166134,0.108363,0.503195,0.117647,0.0910426,0.414938,0.101942,0.0948718,0.436709,0.173913,0.0987654,0.504412,0.0485116,0.103448,0,0,0,0,
1668694557269,0.172524,0.104829,0.523962,0.127451,0.0851689,0.385892,0.11165,0.0923077,0.420886,0.158385,0.0952381,0.5,0.047409,0.0988506,0,0,0,0,
1668694557369,0.166134,0.100118,0.522364,0.117647,0.0704846,0.349931,0.092233,0.0871795,0.417722,0.141304,0.0934744,0.488235,0.0463065,0.091954,0,0,0,0,
1668694557469,0.14377,0.0918728,0.503195,0.112745,0.0543319,0.329184,0.0614887,0.0769231,0.443038,0.124224,0.104056,0.489706,0.045204,0.0781609,0,0,0,0,
1668694557569,0.13738,0.0848057,0.504792,0.122549,0.0381791,0.333333,0.0582524,0.0769231,0.493671,0.108696,0.114638,0.495588,0.0407938,0.0689655,0,0,0,0,
1668694557670,0.127796,0.0718492,0.480831,0.127451,0.0352423,0.352697,0.0647249,0.0782051,0.515823,0.0916149,0.119929,0.483824,0.0363837,0.0643678,0,0,0,0,
1668694557770,0.115016,0.0647821,0.452077,0.132353,0.0381791,0.356846,0.0760518,0.0769231,0.518987,0.0854037,0.119929,0.467647,0.0418964,0.0551724,0,0,0,0,
1668694557870,0.111821,0.0636042,0.314696,0.171569,0.0425844,0.330567,0.0873786,0.0602564,0.566456,0.068323,0.0987654,0.495588,0.0518192,0.0643678,0,0,0,0,
1668694557970,0.115016,0.0647821,0.298722,0.161765,0.0543319,0.42047,0.092233,0.0487179,0.547468,0.0590062,0.0934744,0.498529,0.0540243,0.0827586,0,0,0,0,
1668694558070,0.118211,0.0647821,0.255591,0.161765,0.0455213,0.399723,0.0906149,0.0512821,0.547468,0.0559006,0.0970018,0.511765,0.0529217,0.0873563,0,0,0,0,
1668694558171,0.118211,0.0612485,0.258786,0.161765,0.0367107,0.390042,0.0889968,0.05,0.547468,0.052795,0.0952381,0.523529,0.0551268,0.0896552,0,0,0,0,
1668694558271,0.115016,0.057715,0.268371,0.171569,0.0425844,0.378976,0.0873786,0.0487179,0.544304,0.0543478,0.0952381,0.525,0.0562293,0.0873563,0,0,0,0,
1668694558371,0.118211,0.0588928,0.258786,0.166667,0.0455213,0.37621,0.0857605,0.0474359,0.53481,0.0543478,0.0952381,0.520588,0.0551268,0.0827586,0,0,0,0,
1668694558471,0.121406,0.0600707,0.239617,0.166667,0.0425844,0.362379,0.0857605,0.0487179,0.515823,0.052795,0.0970018,0.514706,0.0540243,0.0850575,0,0,0,0,
1668694558571,0.14377,0.0718492,0.169329,0.161765,0.0352423,0.347165,0.0841424,0.0487179,0.515823,0.0512422,0.0970018,0.517647,0.0562293,0.0873563,0,0,0,0,
1668694558672,0.169329,0.0906949,0.0894569,0.151961,0.0337739,0.337483,0.0809061,0.05,0.512658,0.0481366,0.100529,0.519118,0.0562293,0.0873563,0,0,0,0,
1668694558772,0.166134,0.109541,0.0559105,0.147059,0.0352423,0.320885,0.079288,0.0538462,0.515823,0.0465838,0.104056,0.514706,0.0551268,0.0873563,0,0,0,0,
1668694558872,0.166134,0.0977621,0.0654952,0.147059,0.0337739,0.307054,0.079288,0.0538462,0.506329,0.0434783,0.10582,0.505882,0.0540243,0.0896552,0,0,0,0,
1668694558972,0.162939,0.0812721,0.0814696,0.142157,0.0337739,0.302905,0.079288,0.0538462,0.506329,0.0434783,0.10582,0.501471,0.0529217,0.0896552,0,0,0,0,
1668694559072,0.15016,0.0706714,0.110224,0.147059,0.0337739,0.297372,0.0776699,0.0525641,0.506329,0.0434783,0.102293,0.501471,0.0529217,0.0873563,0,0,0,0,
1668694559173,0.14377,0.06596,0.111821,0.147059,0.041116,0.308437,0.0760518,0.05,0.509494,0.0481366,0.0987654,0.483824,0.0507166,0.0850575,0,0,0,0,
1668694559273,0.13738,0.0636042,0.119808,0.151961,0.0440529,0.315353,0.0744337,0.0474359,0.506329,0.0512422,0.0987654,0.480882,0.0496141,0.0827586,0,0,0,0,
1668694559373,0.13099,0.0612485,0.138978,0.156863,0.0440529,0.311203,0.0728155,0.0448718,0.509494,0.052795,0.0970018,0.479412,0.0507166,0.0827586,0,0,0,0,
1668694559473,0.127796,0.057715,0.169329,0.161765,0.0440529,0.312586,0.0679612,0.0410256,0.509494,0.0512422,0.0934744,0.480882,0.0518192,0.0804598,0,0,0,0,
1668694559573,0.127796,0.0565371,0.178914,0.151961,0.0440529,0.318119,0.0679612,0.0384615,0.509494,0.052795,0.0917108,0.483824,0.0529217,0.0827586,0,0,0,0,
1668694559674,0.124601,0.0565371,0.190096,0.161765,0.0440529,0.315353,0.066343,0.0384615,0.509494,0.0512422,0.0917108,0.486765,0.0529217,0.0781609,0,0,0,0,
1668694559774,0.124601,0.0553592,0.209265,0.161765,0.0396476,0.304288,0.066343,0.0397436,0.509494,0.0496894,0.0917108,0.491176,0.0540243,0.0827586,0,0,0,0,
1668694559874,0.118211,0.0541814,0.236422,0.161765,0.0381791,0.301521,0.0647249,0.0384615,0.506329,0.0465838,0.0917108,0.5,0.0562293,0.0804598,0,0,0,0,
1668694559974,0.118211,0.0553592,0.257188,0.156863,0.0367107,0.300138,0.0647249,0.0397436,0.503165,0.0465838,0.0917108,0.501471,0.0573319,0.0827586,0,0,0,0,
1668694560074,0.115016,0.0541814,0.261981,0.166667,0.0367107,0.304288,0.0647249,0.0384615,0.506329,0.0450311,0.0917108,0.502941,0.0562293,0.0804598,0,0,0,0,
1668694560175,0.115016,0.0541814,0.268371,0.161765,0.0381791,0.301521,0.0631068,0.0384615,0.509494,0.0465838,0.0934744,0.505882,0.0573319,0.0827586,0,0,0,0,
