timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668694272793,0.0160256,0.147097,0.594937,0.2,0,0.271186,0.0830508,0.108138,0.389961,0.0928196,0.157815,0.653696,0.0422222,0.0716418,0,0,0,0,
1668694272894,0.0192308,0.147097,0.597046,0.207407,0,0.269774,0.0830508,0.107023,0.389961,0.0910683,0.157815,0.653696,0.0433333,0.0716418,0,0,0,0,
1668694272994,0.0192308,0.147097,0.597046,0.207407,0.00152207,0.266949,0.0830508,0.108138,0.3861,0.0910683,0.156297,0.653696,0.0433333,0.0716418,0,0,0,0,
1668694273094,0.0576923,0.153548,0.590717,0.207407,0.00913242,0.242938,0.118644,0.103679,0.200772,0.108581,0.124431,0.568093,0.04,0.0746269,0,0,0,0,
1668694273194,0.346154,0.237419,0.240506,0.414815,0.350076,0.268362,0.657627,0.235229,0.359073,0.415061,0.259484,0.601167,0.167778,0.50597,0,0,0,0,
1668694273295,0.339744,0.251613,0.14346,0.533333,0.645358,0.402542,0.738983,0.521739,0.467181,0.654991,0.426404,0.700389,0.398889,0.697015,0,0,0,0,
1668694273395,0.195513,0.219355,0.388186,0.511111,0.645358,0.387006,0.652542,0.511706,0.420849,0.6007,0.433991,0.72179,0.298889,0.646269,0,0,0,0,
1668694273495,0.025641,0.109677,0.708861,0.0518519,0.147641,0.422316,0.276271,0.326644,0.34749,0.204904,0.261002,0.692607,0.0611111,0.426866,0,0,0,0,
1668694273596,0.0544872,0.0929032,0.833333,0.155556,0.127854,0.79661,0.10678,0.250836,0.598456,0.190893,0.174507,0.653696,0.0377778,0.292537,0,0,0,0,
1668694273696,0.0480769,0.0929032,0.805907,0.162963,0.115677,0.878531,0.0864407,0.247492,0.617761,0.169877,0.15478,0.715953,0.0288889,0.285075,0,0,0,0,
1668694273796,0.0576923,0.134194,0.793249,0.125926,0.108067,0.734463,0.0644068,0.343367,0.517375,0.127846,0.179059,0.77821,0.0322222,0.297015,0,0,0,0,
1668694273896,0.0801282,0.372903,0.818565,0.0518519,0.14003,0.805085,0.150847,0.391304,0.559846,0.15937,0.276176,0.690661,0.0333333,0.350746,0,0,0,0,
1668694273996,0.115385,0.495484,0.829114,0.0296296,0.130898,0.885593,0.211864,0.379041,0.50193,0.206655,0.435508,0.587549,0.0444444,0.408955,0,0,0,0,
1668694274097,0.115385,0.584516,0.799578,0.037037,0.126332,0.885593,0.211864,0.406912,0.471042,0.203152,0.517451,0.601167,0.0466667,0.447761,0,0,0,0,
1668694274197,0.11859,0.603871,0.780591,0.0296296,0.130898,0.888418,0.230508,0.442586,0.478764,0.203152,0.570561,0.655642,0.0477778,0.459701,0,0,0,0,
1668694274297,0.11859,0.603871,0.770042,0.0148148,0.133942,0.882768,0.235593,0.433668,0.478764,0.204904,0.564492,0.651751,0.0433333,0.459701,0,0,0,0,
1668694274397,0.108974,0.596129,0.761603,0.00740741,0.138508,0.872881,0.252542,0.412486,0.490348,0.208406,0.556904,0.63035,0.04,0.447761,0,0,0,0,
1668694274498,0.102564,0.592258,0.763713,0,0.143075,0.868644,0.255932,0.406912,0.482625,0.206655,0.559939,0.595331,0.0355556,0.437313,0,0,0,0,
1668694274598,0.0929487,0.581935,0.765823,0,0.144597,0.857345,0.245763,0.402453,0.451737,0.197898,0.546282,0.521401,0.0322222,0.39403,0,0,0,0,
