timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668694756876,0.0956522,0.0216837,0.322134,0.213873,0.0097561,0.223816,0.0313076,0.0496894,0.588816,0.101644,0.139932,0.833871,0.0716511,0.106195,0,0,0,0,
1668694756977,0.0913043,0.0191327,0.351779,0.213873,0.0097561,0.220947,0.0331492,0.047205,0.588816,0.101644,0.136519,0.83871,0.0685358,0.108407,0,0,0,0,
1668694757077,0.0956522,0.0204082,0.37747,0.219653,0.00813008,0.220947,0.0478821,0.0447205,0.565789,0.107623,0.131399,0.833871,0.0685358,0.10177,0,0,0,0,
1668694757177,0.0956522,0.0204082,0.391304,0.219653,0.00813008,0.225251,0.0552486,0.0459627,0.569079,0.112108,0.131399,0.843548,0.066459,0.10177,0,0,0,0,
1668694757278,0.0869565,0.0280612,0.51581,0.225434,0.00487805,0.275466,0.154696,0.0459627,0.588816,0.144993,0.116041,0.78871,0.0643821,0.0951327,0,0,0,0,
1668694757378,0.126087,0.0867347,0.687747,0.202312,0.0699187,0.305595,0.395948,0.163975,0.592105,0.204783,0.211604,0.677419,0.0737279,0.488938,0,0,0,0,
1668694757478,0.1,0.0918367,0.693676,0.127168,0.349593,0.384505,0.338858,0.252174,0.509868,0.242152,0.387372,0.546774,0.0674974,0.619469,0,0,0,0,
1668694757578,0.0782609,0.0854592,0.73913,0.0751445,0.265041,0.428981,0.309392,0.218634,0.417763,0.246637,0.368601,0.419355,0.0726895,0.586283,0,0,0,0,
1668694757679,0.0652174,0.0765306,0.8083,0.0404624,0.143089,0.443329,0.309392,0.161491,0.384868,0.254111,0.288396,0.395161,0.0560748,0.5,0,0,0,0,
1668694757779,0.0652174,0.059949,0.84585,0.0346821,0.121951,0.444763,0.307551,0.146584,0.351974,0.258595,0.264505,0.367742,0.03946,0.442478,0,0,0,0,
1668694757879,0.073913,0.0548469,0.87747,0.0115607,0.102439,0.466284,0.279926,0.136646,0.345395,0.254111,0.235495,0.366129,0.026999,0.418142,0,0,0,0,
1668694757980,0.0956522,0.0433673,0.911067,0,0.0894309,0.480631,0.241252,0.130435,0.371711,0.240658,0.220137,0.38871,0.0103842,0.39823,0,0,0,0,
1668694758080,0.108696,0.0331633,0.94664,0,0.0829268,0.51363,0.198895,0.124224,0.411184,0.22571,0.208191,0.404839,0,0.391593,0,0,0,0,
1668694758180,0.108696,0.0306122,0.958498,0,0.0829268,0.542324,0.167587,0.121739,0.4375,0.219731,0.206485,0.417742,0,0.402655,0,0,0,0,
1668694758280,0.117391,0.0306122,0.962451,0.00564972,0.0861789,0.560976,0.162063,0.120497,0.4375,0.219731,0.206485,0.416129,0.00103199,0.40708,0,0,0,0,
1668694758380,0.113043,0.0293367,0.966403,0.00564972,0.0878049,0.579627,0.154696,0.114286,0.447368,0.216741,0.204778,0.419355,0,0.413717,0,0,0,0,
1668694758481,0.108696,0.0293367,0.976285,0,0.0845528,0.740316,0.14733,0.114286,0.460526,0.216741,0.201365,0.429032,0.00103093,0.415929,0,0,0,0,
