timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668695130849,0.056,0.0407186,0.563025,0.272727,0.0282575,0.220947,0.101724,0.0935601,0.638158,0.0927673,0.168459,0.921225,0.0606395,0.108456,0,0,0,0,
1668695130949,0.052,0.0419162,0.557423,0.262626,0.0266876,0.220947,0.1,0.0947752,0.638158,0.0927673,0.168459,0.921225,0.0595369,0.106618,0,0,0,0,
1668695131049,0.056,0.0431138,0.551821,0.252525,0.0298273,0.219512,0.0982759,0.0935601,0.634868,0.0927673,0.170251,0.914661,0.0562293,0.108456,0,0,0,0,
1668695131150,0.096,0.0479042,0.803922,0.282828,0.0376766,0.192253,0.062069,0.0874848,0.532895,0.086478,0.166667,0.840263,0.0319735,0.101103,0,0,0,0,
1668695131250,0.144,0.0694611,0.773109,0.272727,0.0345369,0.289813,0.17931,0.162819,0.516447,0.144654,0.168459,0.665208,0.0297685,0.213235,0,0,0,0,
1668695131350,0.076,0.0934132,1,0.181818,0.0518053,0.322812,0.165517,0.199271,0.565789,0.146226,0.184588,0.568928,0.0198456,0.327206,0,0,0,0,
1668695131450,0.036,0.0742515,0.997555,0.171717,0.0502355,0.423242,0.0982759,0.218712,0.549342,0.122642,0.207885,0.540481,0.0187431,0.409926,0,0,0,0,
1668695131551,0.036,0.0766467,0.943765,0.151515,0.0486656,0.46198,0.144828,0.253949,0.542763,0.121069,0.218638,0.54267,0.0231533,0.40625,0,0,0,0,
1668695131651,0.044,0.138922,0.924205,0.131313,0.0408163,0.477762,0.210345,0.343864,0.519737,0.133648,0.308244,0.579869,0.0242558,0.419118,0,0,0,0,
1668695131751,0.08,0.227545,0.929095,0.111111,0.0565149,0.56528,0.210345,0.426488,0.463816,0.133648,0.417563,0.525164,0.0176406,0.430147,0,0,0,0,
1668695131851,0.108,0.45509,0.96577,0.050505,0.0266876,0.681492,0.377586,0.400972,0.480263,0.201258,0.517921,0.442013,0.0319735,0.463235,0,0,0,0,
1668695131951,0.092,0.668263,0.929095,0,0.0361068,0.751793,0.474138,0.392467,0.463816,0.237421,0.629032,0.411379,0.0363837,0.540441,0,0,0,0,
1668695132052,0.072,0.667066,0.882641,0.05,0.0408163,0.721664,0.467241,0.405832,0.444079,0.234277,0.630824,0.43326,0.0407938,0.544118,0,0,0,0,
1668695132152,0.04,0.662275,0.848411,0.06,0.0345369,0.697274,0.418966,0.411908,0.496711,0.22327,0.61828,0.503282,0.0385888,0.529412,0,0,0,0,
1668695132252,0.044,0.652695,0.831296,0.05,0.0361068,0.681492,0.406897,0.399757,0.516447,0.221698,0.616487,0.549234,0.0374862,0.512868,0,0,0,0,
1668695132352,0.04,0.645509,0.826406,0.06,0.0361068,0.657102,0.393103,0.394897,0.526316,0.218553,0.61828,0.577681,0.0286659,0.470588,0,0,0,0,
1668695132452,0.04,0.640719,0.838631,0.05,0.0361068,0.64132,0.367241,0.392467,0.539474,0.213836,0.612903,0.601751,0.0242558,0.463235,0,0,0,0,
1668695132552,0.044,0.634731,0.845966,0.05,0.0345369,0.632712,0.356897,0.388821,0.542763,0.210692,0.607527,0.610503,0.0231533,0.459559,0,0,0,0,
1668695132653,0.04,0.632335,0.843521,0.05,0.0376766,0.629842,0.348276,0.386391,0.542763,0.209119,0.600358,0.617068,0.0198456,0.452206,0,0,0,0,
1668695132753,0.04,0.627545,0.850856,0.04,0.0361068,0.621234,0.344828,0.382746,0.532895,0.209119,0.589606,0.617068,0.0198456,0.443015,0,0,0,0,
1668695132853,0.04,0.623952,0.845966,0.04,0.0361068,0.61693,0.339655,0.387606,0.529605,0.207547,0.589606,0.612691,0.0198456,0.441176,0,0,0,0,
1668695132953,0.04,0.617964,0.850856,0.05,0.0298273,0.606887,0.327586,0.390036,0.529605,0.204403,0.586021,0.606127,0.0209482,0.441176,0,0,0,0,
1668695133053,0.036,0.621557,0.836186,0.05,0.0313972,0.599713,0.32931,0.390036,0.526316,0.204403,0.582437,0.603939,0.0220507,0.439338,0,0,0,0,
1668695133154,0.032,0.621557,0.826406,0.05,0.0298273,0.596844,0.334483,0.392467,0.519737,0.205975,0.584229,0.592998,0.0231533,0.443015,0,0,0,0,
1668695133254,0.032,0.614371,0.828851,0.06,0.0313972,0.591105,0.32931,0.388821,0.516447,0.20283,0.577061,0.59081,0.0220507,0.435662,0,0,0,0,
1668695133354,0.032,0.613174,0.831296,0.06,0.0313972,0.582496,0.313793,0.392467,0.529605,0.198113,0.566308,0.599562,0.0209482,0.431985,0,0,0,0,
1668695133454,0.028,0.613174,0.828851,0.05,0.0313972,0.571019,0.306897,0.393682,0.516447,0.194969,0.560932,0.59081,0.0209482,0.426471,0,0,0,0,
1668695133554,0.028,0.613174,0.826406,0.06,0.0298273,0.56528,0.305172,0.394897,0.516447,0.194969,0.557348,0.588621,0.0220507,0.426471,0,0,0,0,
1668695133655,0.024,0.611976,0.823961,0.06,0.0298273,0.560976,0.305172,0.392467,0.523026,0.194969,0.548387,0.592998,0.0209482,0.420956,0,0,0,0,
1668695133755,0.02,0.611976,0.821516,0.05,0.0298273,0.553802,0.3,0.387606,0.523026,0.193396,0.541219,0.59081,0.0209482,0.417279,0,0,0,0,
1668695133855,0.016,0.610778,0.816626,0.06,0.0298273,0.545194,0.303448,0.379101,0.519737,0.196541,0.530466,0.592998,0.0220507,0.411765,0,0,0,0,
1668695133955,0.008,0.611976,0.801956,0.06,0.0298273,0.549498,0.301724,0.377886,0.523026,0.193396,0.521505,0.595186,0.0220507,0.404412,0,0,0,0,
1668695134055,0.004,0.613174,0.794621,0.05,0.0298273,0.555237,0.306897,0.36938,0.529605,0.199686,0.492832,0.592998,0.0264609,0.397059,0,0,0,0,
1668695134155,0.004,0.605988,0.792176,0.06,0.0282575,0.54089,0.310345,0.365735,0.529605,0.20283,0.491039,0.606127,0.0264609,0.393382,0,0,0,0,
1668695134256,0,0.594012,0.782396,0.07,0.0313972,0.519369,0.298276,0.36452,0.539474,0.196541,0.483871,0.623632,0.0242558,0.389706,0,0,0,0,
1668695134356,0.004,0.560479,0.779951,0.07,0.0313972,0.51076,0.281034,0.368165,0.575658,0.190252,0.471326,0.603939,0.0242558,0.375,0,0,0,0,
1668695134456,0.004,0.530539,0.792176,0.08,0.0298273,0.509326,0.258621,0.360875,0.592105,0.183962,0.458781,0.608315,0.0209482,0.369485,0,0,0,0,
1668695134556,0.004,0.513772,0.792176,0.09,0.0423862,0.503587,0.27069,0.309842,0.592105,0.193396,0.46595,0.66302,0.0198456,0.367647,0,0,0,0,
1668695134656,0.008,0.474252,0.799511,0.08,0.0502355,0.502152,0.282759,0.256379,0.585526,0.205975,0.462366,0.673961,0.0198456,0.362132,0,0,0,0,
1668695134757,0.008,0.440719,0.819071,0.09,0.0549451,0.492109,0.27931,0.244228,0.578947,0.205975,0.444444,0.671772,0.0198456,0.356618,0,0,0,0,
1668695134857,0.024,0.311377,0.797066,0.12,0.0565149,0.449067,0.267241,0.215067,0.585526,0.207547,0.397849,0.682713,0.0198456,0.358456,0,0,0,0,
1668695134957,0.036,0.306587,0.767726,0.13,0.0533752,0.43759,0.234483,0.207776,0.588816,0.188679,0.342294,0.691466,0.0176406,0.338235,0,0,0,0,
1668695135057,0.032,0.277844,0.777506,0.15,0.0423862,0.414634,0.218966,0.194411,0.595395,0.18239,0.274194,0.684902,0.0176406,0.314338,0,0,0,0,
1668695135157,0.032,0.274251,0.765281,0.13,0.0204082,0.404591,0.243103,0.202916,0.601974,0.191824,0.275986,0.691466,0.0209482,0.318015,0,0,0,0,
1668695135258,0.028,0.271856,0.765281,0.12,0.0125589,0.38307,0.272414,0.211422,0.608553,0.207547,0.286738,0.693654,0.0264609,0.329044,0,0,0,0,
1668695135358,0.02,0.267066,0.745721,0.14,0.00941915,0.352941,0.294828,0.215067,0.605263,0.220126,0.292115,0.68709,0.0297685,0.329044,0,0,0,0,
1668695135458,0.024,0.267066,0.667482,0.17,0.00941915,0.344333,0.32069,0.216282,0.585526,0.216981,0.292115,0.66302,0.0286659,0.327206,0,0,0,0,
1668695135558,0.028,0.213174,0.660147,0.19,0.0141287,0.344333,0.298276,0.195626,0.559211,0.187107,0.24552,0.636761,0.0242558,0.314338,0,0,0,0,
1668695135658,0.04,0.176048,0.657702,0.19,0.0266876,0.350072,0.25,0.172539,0.536184,0.150943,0.202509,0.625821,0.0198456,0.273897,0,0,0,0,
1668695135759,0.044,0.147305,0.657702,0.17,0.043956,0.314204,0.165517,0.132442,0.519737,0.119497,0.19534,0.641138,0.016538,0.163603,0,0,0,0,
1668695135859,0.044,0.132934,0.679707,0.17,0.0518053,0.301291,0.108621,0.108141,0.513158,0.102201,0.207885,0.658643,0.0187431,0.106618,0,0,0,0,
1668695135959,0.048,0.107784,0.603912,0.18,0.0706436,0.371593,0.101724,0.09113,0.549342,0.100629,0.21147,0.689278,0.0209482,0.0808824,0,0,0,0,
1668695136059,0.056,0.091018,0.476773,0.18,0.0737834,0.426112,0.113793,0.0838396,0.572368,0.102201,0.207885,0.73523,0.0209482,0.0643382,0,0,0,0,
1668695136159,0.072,0.0802395,0.222494,0.2,0.0737834,0.490674,0.124138,0.0741191,0.628289,0.0974843,0.197133,0.796499,0.0242558,0.0569853,0,0,0,0,
1668695136259,0.064,0.0730539,0.158924,0.24,0.0643642,0.467719,0.127586,0.072904,0.654605,0.0927673,0.191756,0.809628,0.0231533,0.0551471,0,0,0,0,
1668695136360,0.064,0.0706587,0.134474,0.27,0.0549451,0.464849,0.125862,0.0704739,0.657895,0.0880503,0.188172,0.80744,0.0242558,0.0533088,0,0,0,0,
1668695136460,0.06,0.0682635,0.146699,0.26,0.0455259,0.450502,0.122414,0.0704739,0.654605,0.081761,0.184588,0.803063,0.0220507,0.0588235,0,0,0,0,
1668695136560,0.06,0.0670659,0.198044,0.27,0.0423862,0.43759,0.118966,0.0704739,0.648026,0.077044,0.184588,0.798687,0.0220507,0.0606618,0,0,0,0,
1668695136660,0.056,0.0658683,0.232274,0.27,0.0361068,0.423242,0.115517,0.0716889,0.644737,0.077044,0.184588,0.798687,0.0220507,0.0625,0,0,0,0,
1668695136760,0.052,0.0646707,0.246944,0.26,0.0345369,0.417504,0.112069,0.072904,0.638158,0.0738994,0.182796,0.796499,0.0242558,0.0643382,0,0,0,0,
1668695136861,0.056,0.0646707,0.271394,0.26,0.032967,0.41033,0.108621,0.0741191,0.631579,0.0707547,0.181004,0.796499,0.0231533,0.0625,0,0,0,0,
1668695136961,0.056,0.0634731,0.288509,0.27,0.0313972,0.394548,0.106897,0.0741191,0.631579,0.0707547,0.182796,0.798687,0.0231533,0.0625,0,0,0,0,
1668695137061,0.052,0.0634731,0.308068,0.26,0.0298273,0.38594,0.103448,0.0777643,0.625,0.0660377,0.181004,0.800875,0.0242558,0.0643382,0,0,0,0,
1668695137161,0.052,0.0622755,0.330073,0.27,0.0282575,0.380201,0.1,0.0777643,0.625,0.0660377,0.181004,0.803063,0.0242558,0.0625,0,0,0,0,
1668695137261,0.052,0.0610778,0.342298,0.27,0.0266876,0.373027,0.0982759,0.0777643,0.618421,0.0644654,0.181004,0.803063,0.0231533,0.0625,0,0,0,0,
1668695137361,0.052,0.0598802,0.347188,0.26,0.0251177,0.370158,0.0965517,0.0801944,0.618421,0.0628931,0.181004,0.805252,0.0242558,0.0643382,0,0,0,0,
1668695137462,0.052,0.0610778,0.349633,0.26,0.0235479,0.364419,0.0948276,0.0801944,0.618421,0.0628931,0.179211,0.803063,0.0231533,0.0625,0,0,0,0,
1668695137562,0.052,0.0598802,0.354523,0.28,0.0235479,0.361549,0.0931034,0.0801944,0.615132,0.0613208,0.181004,0.803063,0.0231533,0.0625,0,0,0,0,
1668695137662,0.048,0.0586826,0.361858,0.27,0.0235479,0.361549,0.0931034,0.0789793,0.615132,0.0628931,0.179211,0.803063,0.0242558,0.0625,0,0,0,0,
1668695137762,0.052,0.0586826,0.371638,0.27,0.0235479,0.360115,0.0913793,0.0789793,0.611842,0.0628931,0.179211,0.800875,0.0242558,0.0643382,0,0,0,0,
1668695137862,0.052,0.057485,0.381418,0.27,0.0235479,0.354376,0.0896552,0.0789793,0.611842,0.0613208,0.177419,0.803063,0.0242558,0.0625,0,0,0,0,
1668695137963,0.048,0.0562874,0.391198,0.27,0.0251177,0.354376,0.0896552,0.0777643,0.611842,0.0613208,0.177419,0.800875,0.0242558,0.0625,0,0,0,0,
1668695138063,0.052,0.057485,0.400978,0.27,0.0251177,0.352941,0.0896552,0.0789793,0.615132,0.0628931,0.177419,0.803063,0.0242558,0.0625,0,0,0,0,
1668695138163,0.048,0.057485,0.391198,0.28,0.0251177,0.351506,0.0896552,0.0789793,0.615132,0.0628931,0.175627,0.800875,0.0242558,0.0625,0,0,0,0,
1668695138263,0.052,0.0562874,0.383863,0.28,0.0235479,0.350072,0.0896552,0.0801944,0.615132,0.0613208,0.177419,0.803063,0.0242558,0.0606618,0,0,0,0,
1668695138364,0.052,0.057485,0.386308,0.27,0.0235479,0.350072,0.0896552,0.0789793,0.615132,0.0613208,0.175627,0.805252,0.0231533,0.0606618,0,0,0,0,
1668695138464,0.052,0.0562874,0.388753,0.28,0.0235479,0.352941,0.0896552,0.0801944,0.618421,0.0613208,0.173835,0.803063,0.0231533,0.0606618,0,0,0,0,
1668695138564,0.052,0.0562874,0.396088,0.29,0.0235479,0.355811,0.0896552,0.0789793,0.621711,0.0613208,0.173835,0.800875,0.0231533,0.0588235,0,0,0,0,
1668695138664,0.052,0.0562874,0.408313,0.27,0.021978,0.352941,0.0896552,0.0801944,0.615132,0.0628931,0.173835,0.803063,0.0242558,0.0606618,0,0,0,0,
1668695138764,0.052,0.0562874,0.425428,0.28,0.0204082,0.348637,0.087931,0.0789793,0.618421,0.0613208,0.173835,0.805252,0.0231533,0.0588235,0,0,0,0,
1668695138865,0.052,0.0550898,0.440098,0.28,0.0204082,0.344333,0.087931,0.0801944,0.615132,0.0613208,0.172043,0.805252,0.0242558,0.0606618,0,0,0,0,
1668695138965,0.056,0.0538922,0.444988,0.28,0.0188383,0.344333,0.0862069,0.0801944,0.615132,0.0613208,0.172043,0.803063,0.0242558,0.0606618,0,0,0,0,
1668695139065,0.052,0.0550898,0.457213,0.29,0.0204082,0.345768,0.0862069,0.0801944,0.615132,0.0628931,0.172043,0.805252,0.0231533,0.0606618,0,0,0,0,
1668695139165,0.052,0.0538922,0.462103,0.28,0.0204082,0.348637,0.0862069,0.0801944,0.615132,0.0628931,0.172043,0.805252,0.0242558,0.0588235,0,0,0,0,
1668695139266,0.052,0.0526946,0.462103,0.27,0.021978,0.350072,0.0862069,0.0801944,0.618421,0.0628931,0.172043,0.805252,0.0242558,0.0606618,0,0,0,0,
1668695139366,0.052,0.0538922,0.459658,0.29,0.021978,0.352941,0.087931,0.0789793,0.621711,0.0628931,0.172043,0.805252,0.0231533,0.0606618,0,0,0,0,
1668695139466,0.052,0.0538922,0.437653,0.28,0.0204082,0.355811,0.0913793,0.0826245,0.621711,0.0660377,0.172043,0.800875,0.0242558,0.0606618,0,0,0,0,
1668695139566,0.056,0.0550898,0.337408,0.3,0.0298273,0.368723,0.112069,0.0777643,0.654605,0.086478,0.168459,0.798687,0.0319735,0.0569853,0,0,0,0,
1668695139666,0.06,0.0562874,0.246944,0.31,0.0455259,0.352941,0.115517,0.0716889,0.641447,0.0849057,0.16129,0.794311,0.0330761,0.0551471,0,0,0,0,
1668695139767,0.064,0.057485,0.210269,0.31,0.0533752,0.362984,0.117241,0.0704739,0.657895,0.0849057,0.157706,0.803063,0.0330761,0.0496324,0,0,0,0,
1668695139867,0.064,0.0562874,0.198044,0.3,0.0549451,0.365854,0.117241,0.0668287,0.661184,0.0849057,0.154122,0.800875,0.0319735,0.0404412,0,0,0,0,
1668695139967,0.064,0.0550898,0.202934,0.32,0.0565149,0.370158,0.117241,0.0643985,0.661184,0.0849057,0.154122,0.803063,0.0319735,0.0404412,0,0,0,0,
1668695140067,0.064,0.0550898,0.205379,0.31,0.0565149,0.371593,0.117241,0.0607533,0.657895,0.081761,0.154122,0.803063,0.030871,0.0404412,0,0,0,0,
1668695140168,0.064,0.0550898,0.205379,0.31,0.0565149,0.367288,0.115517,0.0595383,0.648026,0.081761,0.154122,0.800875,0.030871,0.0422794,0,0,0,0,
1668695140268,0.068,0.0526946,0.224939,0.31,0.0565149,0.364419,0.113793,0.0558931,0.641447,0.0786164,0.15233,0.798687,0.0297685,0.0422794,0,0,0,0,
1668695140368,0.064,0.051497,0.239609,0.31,0.0549451,0.35868,0.112069,0.0534629,0.634868,0.0754717,0.15233,0.792123,0.0297685,0.0422794,0,0,0,0,
1668695140468,0.064,0.051497,0.254279,0.31,0.0549451,0.355811,0.110345,0.0534629,0.631579,0.0754717,0.150538,0.792123,0.0297685,0.0441176,0,0,0,0,
1668695140569,0.064,0.0502994,0.273839,0.31,0.0549451,0.352941,0.110345,0.0522479,0.631579,0.0738994,0.150538,0.792123,0.030871,0.0459559,0,0,0,0,
1668695140669,0.064,0.0502994,0.290954,0.32,0.0533752,0.345768,0.106897,0.0534629,0.628289,0.072327,0.150538,0.792123,0.030871,0.0459559,0,0,0,0,
1668695140769,0.064,0.0479042,0.300734,0.31,0.0533752,0.344333,0.105172,0.0534629,0.628289,0.0707547,0.150538,0.789934,0.030871,0.0459559,0,0,0,0,
