timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668695323125,0.302885,0.12763,0.219672,0.211538,0.00344828,0.244635,0.0632689,0.108176,0.652174,0.0615142,0.12939,0.97,0.0578231,0.0808989,0,0,0,0,
1668695323225,0.293269,0.129032,0.236066,0.221154,0.00344828,0.246066,0.0632689,0.108176,0.652174,0.0599369,0.127542,0.9725,0.0578231,0.0831461,0,0,0,0,
1668695323326,0.274038,0.131837,0.24918,0.221154,0.00517241,0.248927,0.0615114,0.106918,0.656522,0.0583596,0.127542,0.97,0.0566893,0.0831461,0,0,0,0,
1668695323426,0.259615,0.113604,0.652459,0.269231,0.0241379,0.195994,0.0738137,0.113208,0.326087,0.0694006,0.10536,0.785,0.0226757,0.058427,0,0,0,0,
1668695323526,0.307692,0.169705,0.842623,0.201923,0.0672414,0.323319,0.279438,0.221384,0.46087,0.134069,0.158965,0.6975,0.0124717,0.402247,0,0,0,0,
1668695323626,0.105769,0.185133,1,0.0576923,0.122414,0.639485,0.0966608,0.251572,0.517391,0.102524,0.157116,0.5875,0.00113379,0.429213,0,0,0,0,
1668695323726,0.0865385,0.197756,1,0.0865385,0.139655,0.927039,0.0913884,0.213836,0.630435,0.11041,0.144177,0.64,0,0.373034,0,0,0,0,
1668695323827,0.0817308,0.237027,0.931129,0.105769,0.118966,0.948498,0.0843585,0.262893,0.747826,0.102524,0.136784,0.855,0,0.368539,0,0,0,0,
1668695323927,0.0913462,0.382889,0.884298,0.0480769,0.132759,1,0.184534,0.366038,0.821739,0.14511,0.181146,0.8625,0.00449944,0.402247,0,0,0,0,
1668695324027,0.0961538,0.507714,0.889807,0,0.143103,1,0.297012,0.251572,0.847826,0.217666,0.197782,0.755,0.0056243,0.408989,0,0,0,0,
1668695324127,0.139423,0.520337,0.892562,0,0.148276,1,0.369069,0.159748,0.804348,0.27918,0.147874,0.6575,0.00787402,0.370787,0,0,0,0,
1668695324227,0.158654,0.488079,0.942149,0,0.203448,0.972906,0.446397,0.045283,0.804348,0.309148,0.090573,0.615,0.0134983,0.341573,0,0,0,0,
1668695324328,0.177885,0.57223,0.975207,0.00869565,0.182759,0.929803,0.500879,0,0.73913,0.350158,0.103512,0.55,0.0281215,0.370787,0,0,0,0,
1668695324428,0.139423,0.619916,0.936639,0.0173913,0.174138,0.928571,0.504394,0,0.721739,0.347003,0.134935,0.56,0.0314961,0.388764,0,0,0,0,
1668695324528,0.134615,0.601683,0.936639,0.00869565,0.155172,0.940887,0.514938,0.00121803,0.673913,0.337539,0.142329,0.56,0.0337458,0.388764,0,0,0,0,
1668695324628,0.134615,0.598878,0.939394,0,0.15,0.934729,0.520211,0.00487211,0.613043,0.339117,0.131238,0.545,0.0359955,0.373034,0,0,0,0,
1668695324728,0.149038,0.580645,0.958678,0.0173913,0.151724,0.89532,0.499121,0.00974421,0.6,0.337539,0.121996,0.56,0.0382452,0.359551,0,0,0,0,
1668695324828,0.153846,0.586255,0.961433,0.026087,0.158621,0.847291,0.465729,0.0243605,0.604348,0.332808,0.121996,0.57,0.0416198,0.355056,0,0,0,0,
