timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668522325733,0.118852,0.000927644,0.487981,0.0902873,0.0458453,0.279012,0.00735294,0.0172872,0.773756,0.139394,0.0779436,0.923695,0.0545829,0.112801,0,0,0,0,
1668522325834,0.118852,0.000927644,0.487981,0.0916553,0.0458453,0.277778,0.00735294,0.0172872,0.773756,0.139394,0.0762852,0.923695,0.0545829,0.112801,0,0,0,0,
1668522325934,0.118852,0.000927644,0.487981,0.0916553,0.0444126,0.279012,0.00735294,0.0172872,0.773756,0.139394,0.0779436,0.923695,0.0545829,0.111534,0,0,0,0,
1668522326034,0.118852,0,0.485577,0.0902873,0.0444126,0.279012,0.00735294,0.0172872,0.773756,0.139394,0.0762852,0.923695,0.053553,0.111534,0,0,0,0,
1668522326134,0.118852,0.000927644,0.485577,0.0916553,0.0458453,0.279012,0.00980392,0.0172872,0.773756,0.140909,0.0762852,0.923695,0.0556128,0.111534,0,0,0,0,
1668522326235,0.118852,0.000927644,0.483173,0.0916553,0.0458453,0.279012,0.00735294,0.0172872,0.773756,0.140909,0.0762852,0.923695,0.0545829,0.111534,0,0,0,0,
1668522326335,0.118852,0,0.483173,0.0902873,0.0444126,0.279012,0.00735294,0.018617,0.773756,0.140909,0.0779436,0.921687,0.0545829,0.111534,0,0,0,0,
1668522326435,0.116803,0.000927644,0.485577,0.0916553,0.0458453,0.280247,0.00735294,0.0172872,0.773756,0.140909,0.0779436,0.925703,0.0545829,0.111534,0,0,0,0,
1668522326535,0.10041,0,0.516827,0.0984952,0.0472779,0.280247,0.00980392,0.018617,0.760181,0.139394,0.0746269,0.917671,0.0504634,0.106464,0,0,0,0,
1668522326635,0.106557,0,0.716346,0.101231,0.0530086,0.281481,0.0122549,0.025266,0.656109,0.121212,0.0845771,0.827309,0.0298661,0.0811153,0,0,0,0,
