timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668522030507,0.00403226,0,0.818781,0.110963,0.00695652,0.148872,0.0189125,0.0238095,0.68984,0.140533,0.0276817,0.929603,0.0512563,0.00152905,0,0,0,0,
1668522030607,0.00403226,0.00108225,0.815486,0.112299,0.00695652,0.150376,0.0165485,0.0238095,0.68984,0.139053,0.0276817,0.916968,0.0482412,0.0030581,0,0,0,0,
1668522030708,0.00403226,0.00108225,0.808896,0.110963,0.00695652,0.150376,0.0165485,0.0238095,0.68984,0.139053,0.0294118,0.909747,0.0472362,0.00152905,0,0,0,0,
1668522030808,0.00403226,0.00108225,0.802306,0.109626,0.00869565,0.150376,0.0189125,0.0252101,0.695187,0.140533,0.0294118,0.907942,0.0462312,0.00152905,0,0,0,0,
1668522030908,0.00403226,0.00108225,0.800659,0.109626,0.00695652,0.150376,0.0189125,0.0252101,0.695187,0.140533,0.0294118,0.907942,0.0462312,0.0030581,0,0,0,0,
1668522031009,0.00201613,0.00108225,0.800659,0.109626,0.00869565,0.150376,0.0189125,0.0238095,0.695187,0.139053,0.0294118,0.906137,0.0462312,0.0030581,0,0,0,0,
1668522031109,0.00403226,0.0021645,0.805601,0.109626,0.00869565,0.15188,0.0189125,0.0252101,0.68984,0.139053,0.0294118,0.906137,0.0462312,0.0030581,0,0,0,0,
1668522031209,0.00201613,0.00108225,0.805601,0.110963,0.00695652,0.15188,0.0189125,0.0238095,0.68984,0.139053,0.0294118,0.904332,0.0452261,0.0030581,0,0,0,0,
1668522031309,0.00201613,0.00108225,0.805601,0.110963,0.00869565,0.153383,0.0165485,0.0238095,0.684492,0.137574,0.0276817,0.900722,0.0462312,0.00152905,0,0,0,0,
1668522031409,0.00604839,0.00108225,0.802306,0.110963,0.0104348,0.160902,0.0189125,0.022409,0.673797,0.139053,0.0294118,0.877256,0.0432161,0.00152905,0,0,0,0,
1668522031510,0.0322581,0,0.886326,0.118984,0.00347826,0.168421,0.0212766,0.0336134,0.593583,0.131657,0.0415225,0.763538,0.0311558,0.0137195,0,0,0,0,
1668522031610,0.0403226,0,0.930807,0.11631,0.00172712,0.111278,0.0212766,0.0658263,0.620321,0.102071,0.0640138,0.794224,0.0301508,0.097561,0,0,0,0,
1668522031710,0,0,0.971993,0.117647,0.0103627,0.0496241,0.0165485,0.0756303,0.502674,0.0931953,0.0795848,0.66426,0.0211055,0.118902,0,0,0,0,
1668522031810,0,0,1,0.120321,0.0172712,0.0180451,0.0070922,0.0798319,0.385027,0.0769231,0.0778547,0.586643,0.0140704,0.103659,0,0,0,0,
1668522031911,0,0.00320856,1,0.124332,0.0276339,0,0,0.0812325,0.390374,0.0488166,0.0692042,0.552347,0.0100503,0.0929878,0,0,0,0,
1668522032011,0.00184843,0.00213904,1,0.124332,0.0500864,0.0014881,0,0.0798319,0.374332,0.0266272,0.0709343,0.501805,0.0130653,0.108232,0,0,0,0,
1668522032111,0.0166359,0.00427807,1,0.122995,0.0708117,0,0,0.0812325,0.411765,0.00147929,0.0795848,0.528881,0.0301508,0.118902,0,0,0,0,
1668522032211,0.025878,0.00534759,1,0.122995,0.060449,0.0014771,0.00234742,0.0854342,0.395722,0.00295858,0.0934256,0.554152,0.0422111,0.140244,0,0,0,0,
1668522032311,0.0295749,0.00534759,0.995973,0.114973,0.0241796,0,0.0117371,0.114846,0.171123,0.0295858,0.121107,0.534296,0.0542714,0.157012,0,0,0,0,
1668522032411,0.0425139,0.00855615,1,0.113636,0.0259067,0.0145349,0.0140845,0.207283,0.0695187,0.0369822,0.133218,0.525271,0.0492462,0.153963,0,0,0,0,
1668522032512,0.0665434,0.00641711,1,0.114973,0.0328152,0.0901163,0,0.12465,0.31016,0,0.119377,0.564982,0.0311558,0.105183,0,0,0,0,
1668522032612,0.064695,0.0139037,1,0.108289,0.0362694,0.0973837,0.00234192,0.117647,0.219251,0.0203488,0.112457,0.606498,0.0432161,0.125,0,0,0,0,
1668522032712,0.0665434,0.0160428,0.961298,0.112299,0.0431779,0.113372,0.00936768,0.219888,0.0160428,0.0712209,0.126298,0.564982,0.0653266,0.157012,0,0,0,0,
1668522032812,0.0702403,0.0149733,0.940075,0.117647,0.0518135,0.0741279,0.0117096,0.284314,0,0.0770349,0.152249,0.516245,0.0773869,0.172256,0,0,0,0,
1668522032912,0.0720887,0.0149733,0.93633,0.120321,0.0483592,0.0668605,0.0117096,0.285714,0,0.100291,0.16436,0.467509,0.0874372,0.17378,0,0,0,0,
1668522033013,0.0757856,0.0149733,0.932584,0.125668,0.0535406,0.056686,0.0210773,0.278711,0,0.125,0.17474,0.409747,0.0974874,0.17378,0,0,0,0,
1668522033113,0.0831793,0.0149733,0.940075,0.129679,0.0552677,0.0494186,0.0257611,0.277311,0.00877193,0.136628,0.179931,0.371841,0.105528,0.17378,0,0,0,0,
1668522033213,0.0868762,0.0149733,0.946317,0.131016,0.0569948,0.0552326,0.030445,0.278711,0.0175439,0.145349,0.181661,0.357401,0.113568,0.167683,0,0,0,0,
1668522033313,0.0924214,0.0192513,0.947566,0.131016,0.0569948,0.065407,0.030445,0.281513,0.0175439,0.142442,0.185121,0.344765,0.110553,0.172256,0,0,0,0,
