timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668522524973,0.0490798,0,0.939726,0.0939691,0.0319889,0.173579,0.0118483,0.0736434,0.699153,0.13355,0.0559211,0.91206,0.041365,0.042328,0,0,0,0,
1668522525073,0.0490798,0.000981354,0.939726,0.0939691,0.0305981,0.172043,0.0118483,0.0723514,0.694915,0.13355,0.0559211,0.91206,0.041365,0.042328,0,0,0,0,
1668522525173,0.0490798,0.000981354,0.939726,0.0939691,0.0319889,0.172043,0.0118483,0.0736434,0.699153,0.131922,0.0559211,0.914573,0.041365,0.042328,0,0,0,0,
1668522525274,0.0490798,0,0.939726,0.0925666,0.0305981,0.173579,0.0118483,0.0723514,0.694915,0.131922,0.0559211,0.91206,0.0403309,0.042328,0,0,0,0,
1668522525374,0.0490798,0.000981354,0.939726,0.0939691,0.0305981,0.172043,0.0118483,0.0723514,0.699153,0.13355,0.0559211,0.91206,0.041365,0.0410053,0,0,0,0,
1668522525474,0.0490798,0.000981354,0.939726,0.0953717,0.0319889,0.172043,0.0118483,0.0736434,0.699153,0.13355,0.0559211,0.91206,0.0403309,0.0410053,0,0,0,0,
1668522525574,0.0470348,0.000981354,0.934247,0.0939691,0.0319889,0.175115,0.0118483,0.0723514,0.70339,0.13355,0.0559211,0.909548,0.041365,0.0410053,0,0,0,0,
1668522525674,0.0490798,0,0.953425,0.103787,0.0347705,0.187404,0.014218,0.0723514,0.644068,0.140065,0.0542763,0.896985,0.0403309,0.0396825,0,0,0,0,
1668522525775,0.0756646,0,0.978082,0.129032,0.0333797,0.236559,0.049763,0.0917313,0.618644,0.15798,0.0690789,0.974874,0.0465357,0.0502645,0,0,0,0,
1668522525875,0.102249,0,0.989041,0.168303,0.0305981,0.230415,0.0995261,0.111111,0.639831,0.200326,0.0789474,0.964824,0.0558428,0.0806878,0,0,0,0,
1668522525975,0.141104,0,0.980822,0.231417,0.0333797,0.233487,0.158768,0.120155,0.65678,0.2443,0.0888158,1,0.0754912,0.145503,0,0,0,0,
1668522526075,0.165644,0.00097561,0.950685,0.281907,0.0598053,0.239631,0.203791,0.139535,0.707627,0.26873,0.189145,0.90799,0.101344,0.276455,0,0,0,0,
1668522526176,0.167689,0.00292683,0.90137,0.239832,0.0751043,0.278034,0.175355,0.142119,0.783898,0.252443,0.310855,0.789346,0.114788,0.351852,0,0,0,0,
1668522526276,0.116564,0.0117073,0.906849,0.193548,0.0904033,0.302611,0.137441,0.142119,0.809322,0.239414,0.439145,0.753027,0.119959,0.375661,0,0,0,0,
1668522526376,0.0736196,0.017561,0.972603,0.234222,0.100139,0.288786,0.172986,0.142119,0.847458,0.291531,0.555921,0.733656,0.168563,0.415344,0,0,0,0,
1668522526476,0.0102249,0.0156098,1,0.241234,0.104312,0.288786,0.21564,0.121447,0.936441,0.319218,0.613487,0.745763,0.206825,0.439153,0,0,0,0,
1668522526576,0,0.0146341,1,0.269285,0.102921,0.290323,0.255924,0.116279,0.995763,0.337134,0.639803,0.748184,0.219235,0.443122,0,0,0,0,
1668522526677,0,0.0117073,0.997625,0.279102,0.093185,0.3149,0.279621,0.111111,1,0.345277,0.659539,0.748184,0.232678,0.448413,0,0,0,0,
1668522526777,0,0.0117073,0.995249,0.269285,0.0876217,0.327189,0.263033,0.107235,0.983673,0.337134,0.659539,0.74092,0.228542,0.440476,0,0,0,0,
1668522526877,0.00200401,0.0117073,0.985748,0.258065,0.0806676,0.325653,0.246445,0.107235,0.967347,0.31759,0.652961,0.738499,0.21303,0.433862,0,0,0,0,
1668522526977,0,0.0107317,1,0.258065,0.077886,0.334869,0.248815,0.105943,0.987755,0.314332,0.654605,0.74092,0.205791,0.431217,0,0,0,0,
1668522527077,0.002,0.0107317,1,0.258065,0.0751043,0.351767,0.246445,0.104651,1,0.309446,0.65625,0.745763,0.203723,0.435185,0,0,0,0,
1668522527178,0.00199601,0.0097561,1,0.252454,0.0764951,0.360983,0.248815,0.102067,1,0.311075,0.659539,0.748184,0.204757,0.439153,0,0,0,0,
1668522527278,0.00199601,0.0107317,0.997758,0.267882,0.0751043,0.374808,0.258294,0.0994832,1,0.314332,0.661184,0.753027,0.202689,0.440476,0,0,0,0,
1668522527378,0.00199601,0.0117073,0.997773,0.269285,0.0764951,0.388633,0.260664,0.0981912,1,0.314332,0.661184,0.753027,0.202689,0.440476,0,0,0,0,
1668522527478,0.00199601,0.0097561,1,0.258065,0.077886,0.410138,0.258294,0.0943152,0.992424,0.312704,0.659539,0.757869,0.198552,0.439153,0,0,0,0,
1668522527578,0.00399202,0.0107317,0.995595,0.251052,0.0820584,0.470046,0.255924,0.0930233,1,0.311075,0.659539,0.755448,0.196484,0.437831,0,0,0,0,
1668522527679,0.00598802,0.0097561,0.993392,0.248247,0.0959666,0.721966,0.260664,0.0788114,1,0.307818,0.657895,0.762712,0.192347,0.435185,0,0,0,0,
1668522527779,0.00798403,0.00780488,1,0.238429,0.093185,0.717358,0.258294,0.0801034,0.975524,0.312704,0.654605,0.762712,0.19545,0.43254,0,0,0,0,
1668522527879,0.00798403,0.0097561,1,0.235624,0.0876217,0.69278,0.258294,0.0801034,0.954545,0.31759,0.657895,0.762712,0.19545,0.43254,0,0,0,0,
1668522527979,0.00998004,0.0097561,1,0.230014,0.0834492,0.665131,0.258294,0.0813954,0.93007,0.319218,0.65625,0.765133,0.194416,0.428571,0,0,0,0,
1668522528080,0.011976,0.0097561,0.997854,0.218794,0.0848401,0.691244,0.251185,0.0878553,0.91958,0.319218,0.657895,0.772397,0.19545,0.431217,0,0,0,0,
1668522528180,0.00998004,0.00780488,0.993562,0.213184,0.0848401,0.697389,0.253554,0.0891473,0.909091,0.320847,0.659539,0.772397,0.19545,0.43254,0,0,0,0,
1668522528280,0.00998004,0.00780488,0.991416,0.213184,0.0806676,0.680492,0.253554,0.0917313,0.898601,0.320847,0.659539,0.782082,0.193382,0.429894,0,0,0,0,
1668522528380,0.00998004,0.00585366,0.978541,0.215989,0.0848401,0.677419,0.258294,0.0968992,0.888112,0.327362,0.661184,0.794189,0.19545,0.429894,0,0,0,0,
1668522528480,0.011976,0.00390244,0.959227,0.234222,0.0945758,0.72043,0.270142,0.113695,0.895105,0.337134,0.661184,0.801453,0.194416,0.428571,0,0,0,0,
1668522528581,0.011976,0.00780488,0.929185,0.245442,0.146036,0.758833,0.274882,0.138243,0.944056,0.337134,0.664474,0.799031,0.198552,0.433862,0,0,0,0,
1668522528681,0.00798403,0.0312195,0.888412,0.238429,0.194715,0.804915,0.255924,0.166667,0.972028,0.324104,0.662829,0.818402,0.184074,0.428571,0,0,0,0,
1668522528781,0.00998004,0.0692683,0.856223,0.244039,0.226704,0.864823,0.263033,0.180879,1,0.320847,0.657895,0.813559,0.182006,0.425926,0,0,0,0,
1668522528881,0.011976,0.0995122,0.845494,0.245442,0.23783,0.90169,0.265403,0.192506,0.996587,0.319218,0.621711,0.813559,0.174767,0.421958,0,0,0,0,
1668522528982,0.0139721,0.113171,0.843348,0.248247,0.243394,0.923195,0.272512,0.193798,1,0.320847,0.613487,0.799031,0.178904,0.429894,0,0,0,0,
1668522529082,0.0159681,0.119024,0.84764,0.252454,0.255911,0.949309,0.279621,0.19509,0.996667,0.322476,0.605263,0.801453,0.175801,0.424603,0,0,0,0,
1668522529182,0.0179641,0.12878,0.839056,0.255259,0.268428,0.969278,0.28436,0.198966,1,0.325733,0.580592,0.801453,0.175801,0.421958,0,0,0,0,
1668522529282,0.0199601,0.140488,0.834764,0.262272,0.269819,0.973886,0.293839,0.205426,1,0.332248,0.565789,0.811138,0.186143,0.42328,0,0,0,0,
1668522529382,0.0199601,0.155122,0.832618,0.259467,0.267038,0.970814,0.291469,0.210594,0.990228,0.330619,0.552632,0.801453,0.184074,0.420635,0,0,0,0,
1668522529483,0.0199601,0.160976,0.832618,0.26087,0.264256,0.966206,0.28673,0.21447,0.980456,0.327362,0.552632,0.789346,0.179938,0.421958,0,0,0,0,
1668522529583,0.0199601,0.169756,0.830472,0.253857,0.262865,0.969278,0.28436,0.224806,0.941368,0.322476,0.488487,0.767554,0.168563,0.414021,0,0,0,0,
1668522529683,0.0219561,0.190244,0.839056,0.232819,0.257302,0.960061,0.263033,0.222222,0.801303,0.302932,0.419408,0.736077,0.133402,0.404762,0,0,0,0,
1668522529783,0.0259481,0.198049,0.849785,0.208976,0.242003,0.912442,0.248815,0.226098,0.65798,0.309446,0.274671,0.748184,0.120993,0.39418,0,0,0,0,
1668522529883,0.0279441,0.196098,0.854077,0.211781,0.23783,0.90169,0.263033,0.219638,0.771987,0.348534,0.141447,0.791768,0.14788,0.375661,0,0,0,0,
1668522529984,0.0299401,0.189268,0.830472,0.237027,0.258693,0.932412,0.265403,0.251938,0.86645,0.358306,0.101974,0.726392,0.144778,0.354497,0,0,0,0,
1668522530084,0.0299401,0.19122,0.821888,0.218794,0.293463,0.918587,0.232227,0.28553,0.80456,0.335505,0.115132,0.690073,0.138573,0.316138,0,0,0,0,
1668522530184,0.0279441,0.2,0.806867,0.208976,0.312935,0.90937,0.2109,0.297158,0.758958,0.322476,0.115132,0.617433,0.127198,0.271164,0,0,0,0,
1668522530284,0.0259481,0.193171,0.804721,0.206171,0.315716,0.886329,0.199052,0.28553,0.70684,0.315961,0.105263,0.547216,0.120993,0.220899,0,0,0,0,
1668522530385,0.0239521,0.193171,0.809013,0.199158,0.30459,0.850998,0.187204,0.264858,0.644951,0.306189,0.100329,0.493947,0.115822,0.194444,0,0,0,0,
1668522530485,0.0199601,0.190244,0.815451,0.196353,0.296245,0.821813,0.175355,0.255814,0.628664,0.291531,0.101974,0.493947,0.107549,0.187831,0,0,0,0,
1668522530585,0.0179641,0.185366,0.832618,0.187938,0.285118,0.77573,0.161137,0.24031,0.583062,0.281759,0.106908,0.493947,0.10031,0.179894,0,0,0,0,
1668522530685,0.00998004,0.182439,0.845494,0.175316,0.289291,0.737327,0.13981,0.24677,0.540717,0.26873,0.105263,0.510896,0.0868666,0.185185,0,0,0,0,
1668522530785,0.00998004,0.180488,0.839056,0.176718,0.297636,0.721966,0.135071,0.264858,0.547231,0.265472,0.0953947,0.513317,0.0858325,0.185185,0,0,0,0,
1668522530886,0.00798403,0.181463,0.839056,0.169705,0.312935,0.706605,0.123223,0.280362,0.517915,0.258958,0.09375,0.515738,0.0806618,0.193122,0,0,0,0,
1668522530986,0.00399202,0.182439,0.854077,0.154278,0.331015,0.686636,0.111374,0.284238,0.511401,0.239414,0.100329,0.556901,0.073423,0.186508,0,0,0,0,
1668522531086,0.00598802,0.18439,0.869099,0.147265,0.331015,0.652842,0.101896,0.280362,0.530945,0.228013,0.100329,0.581114,0.0723888,0.183862,0,0,0,0,
1668522531186,0.00598802,0.182439,0.875537,0.14446,0.336579,0.639017,0.0995261,0.26615,0.566775,0.234528,0.0855263,0.581114,0.0785936,0.181217,0,0,0,0,
1668522531286,0.00598802,0.181463,0.877682,0.145863,0.33936,0.632873,0.0971564,0.258398,0.602606,0.239414,0.0690789,0.59322,0.0785936,0.18254,0,0,0,0,
1668522531387,0.00399202,0.181463,0.879828,0.14446,0.333797,0.623656,0.0947867,0.254522,0.609121,0.239414,0.0608553,0.602906,0.0785936,0.183862,0,0,0,0,
1668522531487,0.00199601,0.185366,0.866953,0.137447,0.332406,0.623656,0.0924171,0.250646,0.618892,0.236156,0.0608553,0.619855,0.0765253,0.186508,0,0,0,0,
1668522531587,0,0.177561,0.858369,0.129032,0.326843,0.619048,0.0853081,0.251938,0.631922,0.228013,0.0641447,0.66586,0.0765253,0.189153,0,0,0,0,
1668522531687,0.0119522,0.13561,0.839056,0.106592,0.218359,0.571429,0.0521327,0.23385,0.625407,0.12215,0.115132,0.823245,0.0455016,0.207672,0,0,0,0,
1668522531787,0.00796813,0.120976,0.834764,0.0925666,0.112656,0.546851,0.0402844,0.184755,0.67101,0.0863192,0.133224,0.861985,0.0237849,0.207672,0,0,0,0,
1668522531888,0.0179283,0.110244,0.753219,0.0897616,0.0876217,0.420891,0.0308057,0.167959,0.641694,0.0798046,0.131579,0.854722,0.0227508,0.202381,0,0,0,0,
1668522531988,0.00996016,0.0936585,0.761803,0.0939691,0.0737135,0.334869,0.028436,0.155039,0.631922,0.0863192,0.126645,0.847458,0.0279214,0.195767,0,0,0,0,
1668522532088,0.00996016,0.0878049,0.77897,0.105189,0.0598053,0.41321,0.042654,0.144703,0.690554,0.131922,0.110197,0.854722,0.0299897,0.189153,0,0,0,0,
1668522532188,0.0199203,0.0887805,0.759657,0.102384,0.0611961,0.434716,0.0545024,0.133075,0.710098,0.154723,0.103618,0.784504,0.0217166,0.171958,0,0,0,0,
1668522532288,0.0239044,0.0878049,0.73176,0.105189,0.0486787,0.374808,0.049763,0.114987,0.664495,0.156352,0.103618,0.677966,0.0155119,0.141534,0,0,0,0,
1668522532389,0.0199203,0.0760976,0.671674,0.102384,0.0486787,0.368664,0.049763,0.0968992,0.684039,0.166124,0.0871711,0.915254,0.0155119,0.153439,0,0,0,0,
1668522532489,0.0278884,0.0731707,0.493562,0.102384,0.0472879,0.360983,0.0379147,0.0852713,0.667752,0.154723,0.0723684,0.990315,0.0289555,0.146825,0,0,0,0,
1668522532589,0.0298805,0.0731707,0.427039,0.0925666,0.0403338,0.322581,0.035545,0.0788114,0.693811,0.154723,0.0641447,1,0.0382627,0.142857,0,0,0,0,
1668522532689,0.0298805,0.0712195,0.388412,0.085554,0.0431154,0.334869,0.0379147,0.0749354,0.70684,0.161238,0.0625,0.990719,0.0403309,0.140212,0,0,0,0,
1668522532790,0.0258964,0.0712195,0.401288,0.0841515,0.0403338,0.328725,0.0379147,0.0684755,0.729642,0.167752,0.0592105,0.986079,0.0423992,0.140212,0,0,0,0,
1668522532890,0.0239044,0.0692683,0.420601,0.0869565,0.0361613,0.327189,0.0308057,0.0671835,0.710098,0.161238,0.0575658,0.986079,0.041365,0.136243,0,0,0,0,
1668522532990,0.0219124,0.0673171,0.457082,0.088359,0.0333797,0.324117,0.0308057,0.0658915,0.697068,0.162866,0.0575658,0.993039,0.0423992,0.134921,0,0,0,0,
1668522533090,0.0219124,0.0673171,0.465665,0.0897616,0.0305981,0.3149,0.028436,0.0671835,0.690554,0.162866,0.0608553,0.993039,0.0423992,0.136243,0,0,0,0,
1668522533190,0.0239044,0.0673171,0.448498,0.088359,0.0361613,0.321045,0.0308057,0.0671835,0.690554,0.162866,0.0608553,0.986079,0.0423992,0.136243,0,0,0,0,
1668522533290,0.0239044,0.0673171,0.424893,0.0827489,0.038943,0.321045,0.0308057,0.0671835,0.700326,0.166124,0.0608553,0.979118,0.0423992,0.137566,0,0,0,0,
1668522533391,0.0239044,0.0673171,0.427039,0.0827489,0.038943,0.321045,0.0331754,0.0671835,0.700326,0.166124,0.0608553,0.976798,0.0423992,0.136243,0,0,0,0,
1668522533491,0.0239044,0.0673171,0.427039,0.0813464,0.038943,0.322581,0.0331754,0.0671835,0.700326,0.166124,0.0608553,0.974478,0.0423992,0.137566,0,0,0,0,
