timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668522907018,0.0914397,0.0269939,0.391304,0.0842105,0.0288462,0.294045,0.0545024,0.077597,0.539062,0.221849,0.124361,0.738337,0.0484669,0.106262,0,0,0,0,
1668522907118,0.0914397,0.0282209,0.394649,0.0857143,0.0288462,0.294045,0.0521327,0.0763454,0.535156,0.220168,0.126065,0.738337,0.0484669,0.106262,0,0,0,0,
1668522907218,0.0894942,0.0269939,0.397993,0.0857143,0.0288462,0.294045,0.0521327,0.0763454,0.539062,0.220168,0.124361,0.738337,0.0484669,0.106262,0,0,0,0,
1668522907319,0.0894942,0.0269939,0.408027,0.0857143,0.0288462,0.295285,0.0545024,0.0763454,0.539062,0.220168,0.124361,0.738337,0.0484669,0.106262,0,0,0,0,
1668522907419,0.0875486,0.0269939,0.41806,0.087218,0.0288462,0.295285,0.0521327,0.0750939,0.535156,0.220168,0.122658,0.736308,0.0464886,0.106262,0,0,0,0,
1668522907519,0.0914397,0.0159509,0.608696,0.111278,0.021978,0.276675,0.0402844,0.0826033,0.421875,0.179832,0.132879,0.667343,0.0365974,0.0872865,0,0,0,0,
1668522907619,0.105058,0.00858896,0.819398,0.112782,0.0178571,0.251861,0.0450237,0.106383,0.414062,0.134454,0.158433,0.713996,0.0356083,0.180266,0,0,0,0,
1668522907720,0.0953307,0.00613497,0.926421,0.126316,0.0192308,0.246898,0.0758294,0.135169,0.386719,0.152941,0.170358,0.699797,0.0474777,0.265655,0,0,0,0,
1668522907820,0.077821,0.00613497,1,0.109774,0.0274725,0.228288,0.0592417,0.138924,0.339844,0.132773,0.175468,0.677485,0.0326409,0.254269,0,0,0,0,
1668522907920,0.0719844,0.00858896,1,0.0932331,0.0343407,0.234491,0.0331754,0.140175,0.355469,0.10084,0.172061,0.720081,0.0217606,0.242884,0,0,0,0,
1668522908020,0.0680934,0.0122699,1,0.0947368,0.0412088,0.256824,0.0331754,0.138924,0.351562,0.097479,0.160136,0.730223,0.0227498,0.252372,0,0,0,0,
1668522908120,0.0622568,0.0122699,1,0.0917293,0.0384615,0.248139,0.028436,0.142678,0.390625,0.087395,0.163543,0.762677,0.0217606,0.240987,0,0,0,0,
1668522908221,0.0544747,0.00981595,1,0.0887218,0.0384615,0.266749,0.0331754,0.146433,0.402344,0.092437,0.16184,0.776876,0.0207715,0.235294,0,0,0,0,
1668522908321,0.0544747,0.00981595,0.988532,0.087218,0.0412088,0.26799,0.0402844,0.158949,0.421875,0.109244,0.16184,0.780933,0.0217606,0.244782,0,0,0,0,
1668522908421,0.0486381,0.00981595,0.972477,0.0902256,0.0384615,0.261787,0.0592417,0.198999,0.449219,0.137815,0.189097,0.766734,0.024728,0.275142,0,0,0,0,
1668522908521,0.0389105,0.0110429,0.988532,0.0947368,0.032967,0.275434,0.056872,0.231539,0.464844,0.12605,0.212947,0.764706,0.0257171,0.297913,0,0,0,0,
1668522908621,0.0175097,0.00368098,0.942661,0.0977444,0.0467033,0.332506,0.0592417,0.302879,0.515625,0.114286,0.282794,0.760649,0.0267062,0.309298,0,0,0,0,
1668522908722,0.00389105,0.00245399,0.901376,0.109774,0.0686813,0.379653,0.063981,0.394243,0.453125,0.110924,0.272572,0.853955,0.0237389,0.288425,0,0,0,0,
1668522908822,0.00194553,0.0355828,0.857798,0.123308,0.104396,0.522332,0.0805687,0.465582,0.511719,0.136134,0.386712,0.853955,0.0207715,0.326376,0,0,0,0,
1668522908922,0.00389105,0.0466258,0.834862,0.129323,0.119505,0.563275,0.0805687,0.51189,0.460938,0.115966,0.463373,0.78499,0.0197824,0.351044,0,0,0,0,
1668522909022,0,0.0674847,0.786697,0.136842,0.152473,0.594293,0.0805687,0.539424,0.457031,0.114286,0.494037,0.770791,0.0187933,0.360531,0,0,0,0,
1668522909122,0.0019305,0.0883436,0.754587,0.13985,0.163462,0.609181,0.0734597,0.540676,0.449219,0.122689,0.504259,0.740365,0.016815,0.368121,0,0,0,0,
1668522909223,0.0019305,0.105521,0.75,0.13985,0.177198,0.615385,0.0758294,0.541927,0.4375,0.134454,0.51448,0.720081,0.0178042,0.379507,0,0,0,0,
1668522909323,0.0019305,0.110429,0.743119,0.142857,0.184066,0.635236,0.0781991,0.539424,0.46875,0.14958,0.51448,0.724138,0.0187933,0.383302,0,0,0,0,
1668522909423,0,0.116564,0.727064,0.147368,0.186813,0.671216,0.0829384,0.534418,0.492188,0.157983,0.511073,0.740365,0.0197824,0.387097,0,0,0,0,
1668522909523,0,0.121472,0.720183,0.147368,0.188187,0.684864,0.0853081,0.529412,0.503906,0.168067,0.507666,0.748479,0.0217606,0.387097,0,0,0,0,
1668522909623,0.00192678,0.134969,0.699541,0.147368,0.196429,0.69603,0.0876777,0.538173,0.5,0.166387,0.517888,0.748479,0.024728,0.392789,0,0,0,0,
1668522909723,0,0.137423,0.694954,0.148872,0.201923,0.710918,0.0900474,0.534418,0.507812,0.17479,0.519591,0.750507,0.0267062,0.392789,0,0,0,0,
1668522909824,0.00192308,0.143558,0.683486,0.154887,0.212912,0.753102,0.101896,0.524405,0.558594,0.193277,0.521295,0.774848,0.0276954,0.394687,0,0,0,0,
1668522909924,0.00192308,0.144785,0.678899,0.160902,0.215659,0.780397,0.113744,0.505632,0.589844,0.210084,0.511073,0.782961,0.0267062,0.392789,0,0,0,0,
1668522910024,0,0.144785,0.68578,0.162406,0.212912,0.779156,0.113744,0.496871,0.585938,0.206723,0.504259,0.78499,0.0267062,0.392789,0,0,0,0,
1668522910124,0,0.144785,0.701835,0.156391,0.201923,0.756824,0.109005,0.483104,0.566406,0.205042,0.494037,0.787018,0.024728,0.390892,0,0,0,0,
1668522910225,0,0.146012,0.708716,0.168421,0.18544,0.758065,0.118483,0.44806,0.59375,0.231933,0.473595,0.801217,0.0257171,0.388994,0,0,0,0,
1668522910325,0,0.146012,0.708716,0.174436,0.156593,0.746898,0.123223,0.43179,0.597656,0.245378,0.463373,0.79716,0.0267062,0.390892,0,0,0,0,
1668522910425,0,0.148466,0.704128,0.177444,0.146978,0.744417,0.130332,0.433041,0.59375,0.257143,0.463373,0.79716,0.0276954,0.390892,0,0,0,0,
1668522910525,0,0.158282,0.711009,0.174436,0.145604,0.738213,0.127962,0.436796,0.585938,0.257143,0.463373,0.793103,0.0286845,0.392789,0,0,0,0,
1668522910625,0.00191939,0.164417,0.71789,0.169925,0.142857,0.712159,0.125592,0.445557,0.5625,0.255462,0.463373,0.78499,0.0296736,0.392789,0,0,0,0,
1668522910726,0.00191939,0.168098,0.722477,0.16391,0.141484,0.704715,0.123223,0.453066,0.554688,0.248739,0.46678,0.780933,0.0286845,0.398482,0,0,0,0,
1668522910826,0.00383877,0.169325,0.727064,0.16391,0.14011,0.702233,0.123223,0.456821,0.558594,0.25042,0.468484,0.778905,0.0296736,0.398482,0,0,0,0,
1668522910926,0.00191939,0.170552,0.729358,0.162406,0.14011,0.693548,0.120853,0.458073,0.550781,0.245378,0.468484,0.772819,0.0286845,0.398482,0,0,0,0,
1668522911026,0.00191939,0.169325,0.733945,0.159398,0.138736,0.684864,0.116114,0.459324,0.546875,0.235294,0.46678,0.760649,0.0276954,0.398482,0,0,0,0,
1668522911126,0.00383877,0.169325,0.740826,0.154887,0.138736,0.676179,0.113744,0.460576,0.542969,0.230252,0.465077,0.756592,0.0276954,0.398482,0,0,0,0,
1668522911227,0.00383877,0.170552,0.733945,0.156391,0.137363,0.677419,0.111374,0.461827,0.546875,0.230252,0.465077,0.754564,0.0286845,0.398482,0,0,0,0,
1668522911327,0,0.170552,0.729358,0.154887,0.137363,0.676179,0.111374,0.466834,0.542969,0.226891,0.465077,0.748479,0.0276954,0.398482,0,0,0,0,
1668522911427,0.00191939,0.170552,0.731651,0.15188,0.137363,0.668734,0.109005,0.468085,0.535156,0.221849,0.465077,0.740365,0.0276954,0.398482,0,0,0,0,
1668522911527,0.00191939,0.170552,0.736239,0.150376,0.135989,0.667494,0.109005,0.469337,0.542969,0.215126,0.465077,0.73428,0.0286845,0.40038,0,0,0,0,
1668522911627,0,0.169325,0.729358,0.150376,0.135989,0.666253,0.106635,0.470588,0.539062,0.213445,0.465077,0.732252,0.0276954,0.398482,0,0,0,0,
1668522911728,0,0.170552,0.722477,0.150376,0.134615,0.666253,0.104265,0.47184,0.542969,0.208403,0.465077,0.730223,0.0276954,0.398482,0,0,0,0,
1668522911828,0,0.170552,0.722477,0.145865,0.133242,0.668734,0.104265,0.476846,0.550781,0.2,0.46678,0.736308,0.0286845,0.40038,0,0,0,0,
1668522911928,0,0.170552,0.727064,0.144361,0.130495,0.668734,0.0995261,0.478098,0.554688,0.188235,0.465077,0.726166,0.0296736,0.40038,0,0,0,0,
1668522912028,0,0.170552,0.724771,0.13985,0.123626,0.666253,0.0900474,0.481852,0.550781,0.159664,0.468484,0.679513,0.0296736,0.40038,0,0,0,0,
1668522912129,0,0.159509,0.722477,0.135338,0.100275,0.64268,0.0805687,0.494368,0.507812,0.132773,0.494037,0.590264,0.0316518,0.409867,0,0,0,0,
1668522912229,0.00381679,0.160736,0.688073,0.138346,0.0631868,0.363524,0.0521327,0.443054,0.414062,0.0941176,0.48552,0.492901,0.0276954,0.404175,0,0,0,0,
1668522912329,0.00381679,0.132515,0.706422,0.135338,0.0453297,0.409429,0.0473934,0.369212,0.414062,0.097479,0.431005,0.511156,0.0267062,0.40038,0,0,0,0,
1668522912429,0.00954198,0.112883,0.667431,0.133835,0.0494506,0.437965,0.0473934,0.379224,0.40625,0.0991597,0.427598,0.533469,0.0296736,0.398482,0,0,0,0,
1668522912530,0.0171756,0.105521,0.605505,0.133835,0.0508242,0.430521,0.0450237,0.355444,0.410156,0.105882,0.378194,0.551724,0.0326409,0.368121,0,0,0,0,
1668522912630,0.0171756,0.0932515,0.59633,0.130827,0.0535714,0.444169,0.0450237,0.302879,0.449219,0.12605,0.301533,0.590264,0.0365974,0.328273,0,0,0,0,
1668522912730,0.0171756,0.0895706,0.619266,0.129323,0.0480769,0.430521,0.0450237,0.260325,0.492188,0.141176,0.247019,0.604463,0.0375865,0.294118,0,0,0,0,
1668522912830,0.0152672,0.0822086,0.644495,0.12782,0.0425824,0.413151,0.0450237,0.210263,0.535156,0.156303,0.207836,0.624746,0.0365974,0.267552,0,0,0,0,
1668522912931,0.0133588,0.0797546,0.66055,0.126316,0.0384615,0.411911,0.0473934,0.18398,0.566406,0.173109,0.194208,0.63286,0.0365974,0.250474,0,0,0,0,
1668522913031,0.00954198,0.0748466,0.678899,0.123308,0.0357143,0.403226,0.0473934,0.16771,0.59375,0.186555,0.18569,0.636917,0.0346192,0.229602,0,0,0,0,
1668522913131,0.00572519,0.0650307,0.662844,0.115789,0.0357143,0.408189,0.049763,0.162703,0.628906,0.198319,0.177172,0.634888,0.0286845,0.197343,0,0,0,0,
1668522913231,0.0114504,0.0552147,0.612385,0.109774,0.0398352,0.421836,0.056872,0.153942,0.679688,0.226891,0.165247,0.626775,0.0227498,0.170778,0,0,0,0,
1668522913331,0.0209924,0.0503067,0.497706,0.108271,0.0398352,0.434243,0.063981,0.138924,0.671875,0.233613,0.156729,0.612576,0.0217606,0.157495,0,0,0,0,
1668522913432,0.0267176,0.0478528,0.211009,0.106767,0.0343407,0.44665,0.0687204,0.121402,0.65625,0.22521,0.146508,0.612576,0.0217606,0.144213,0,0,0,0,
1668522913532,0.0343511,0.0441718,0.233945,0.105263,0.0274725,0.439206,0.0616114,0.106383,0.632812,0.208403,0.136286,0.68357,0.0257171,0.140417,0,0,0,0,
1668522913632,0.0324427,0.0429448,0.231651,0.102256,0.0260989,0.437965,0.0616114,0.105131,0.636719,0.206723,0.132879,0.693712,0.0296736,0.136622,0,0,0,0,
1668522913732,0.0324427,0.0404908,0.240826,0.105263,0.0233516,0.435484,0.0616114,0.102628,0.628906,0.205042,0.132879,0.69574,0.0296736,0.134725,0,0,0,0,
1668522913832,0.0267176,0.0392638,0.259174,0.103759,0.021978,0.42804,0.0592417,0.102628,0.621094,0.203361,0.132879,0.699797,0.0296736,0.134725,0,0,0,0,
1668522913932,0.0248092,0.0392638,0.275229,0.105263,0.0206044,0.425558,0.056872,0.102628,0.621094,0.203361,0.134583,0.703854,0.0296736,0.132827,0,0,0,0,
1668522914033,0.0229008,0.0380368,0.277523,0.105263,0.021978,0.423077,0.056872,0.102628,0.617188,0.2,0.132879,0.701826,0.0286845,0.13093,0,0,0,0,
1668522914133,0.0229008,0.0392638,0.277523,0.105263,0.021978,0.420596,0.0545024,0.102628,0.613281,0.2,0.131175,0.701826,0.0286845,0.129032,0,0,0,0,
1668522914233,0.0209924,0.0380368,0.277523,0.106767,0.021978,0.416873,0.0545024,0.102628,0.613281,0.2,0.129472,0.699797,0.0286845,0.127135,0,0,0,0,
1668522914333,0.0229008,0.0380368,0.279817,0.106767,0.0233516,0.414392,0.049763,0.102628,0.605469,0.196639,0.129472,0.697769,0.0286845,0.127135,0,0,0,0,
1668522914433,0.0229008,0.0368098,0.286697,0.105263,0.0233516,0.413151,0.0473934,0.102628,0.597656,0.194958,0.127768,0.693712,0.0286845,0.127135,0,0,0,0,
1668522914533,0.0229008,0.0380368,0.305046,0.105263,0.0233516,0.41067,0.0473934,0.102628,0.59375,0.194958,0.127768,0.69574,0.0286845,0.129032,0,0,0,0,
1668522914634,0.0229008,0.0368098,0.31422,0.105263,0.021978,0.409429,0.0450237,0.102628,0.589844,0.191597,0.127768,0.693712,0.0276954,0.129032,0,0,0,0,
1668522914734,0.0229008,0.0368098,0.323395,0.103759,0.021978,0.413151,0.042654,0.102628,0.597656,0.189916,0.127768,0.69574,0.0276954,0.129032,0,0,0,0,
1668522914834,0.0229008,0.0380368,0.330275,0.103759,0.021978,0.416873,0.0450237,0.10388,0.609375,0.191597,0.127768,0.699797,0.0286845,0.129032,0,0,0,0,
1668522914934,0.0229008,0.0368098,0.341743,0.102256,0.0206044,0.420596,0.0450237,0.106383,0.625,0.193277,0.127768,0.703854,0.0296736,0.13093,0,0,0,0,
1668522915034,0.0209924,0.0368098,0.353211,0.102256,0.0178571,0.414392,0.042654,0.106383,0.609375,0.191597,0.127768,0.703854,0.0286845,0.13093,0,0,0,0,
1668522915134,0.0209924,0.0355828,0.360092,0.102256,0.0178571,0.409429,0.0402844,0.106383,0.601562,0.188235,0.127768,0.703854,0.0286845,0.129032,0,0,0,0,
1668522915235,0.019084,0.0355828,0.369266,0.103759,0.0164835,0.405707,0.0402844,0.106383,0.589844,0.186555,0.127768,0.703854,0.0286845,0.129032,0,0,0,0,
1668522915335,0.0209924,0.0368098,0.385321,0.105263,0.0164835,0.398263,0.0402844,0.106383,0.585938,0.183193,0.129472,0.709939,0.0286845,0.13093,0,0,0,0,
1668522915435,0.0209924,0.0355828,0.422018,0.103759,0.0137363,0.384615,0.0402844,0.106383,0.578125,0.179832,0.131175,0.724138,0.0316518,0.132827,0,0,0,0,
1668522915535,0.0229008,0.0355828,0.424312,0.105263,0.0123626,0.378412,0.035545,0.107635,0.574219,0.176471,0.131175,0.726166,0.0316518,0.132827,0,0,0,0,
