timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668523100965,0.100402,0.0324826,0.843416,0.124611,0.017316,0.179975,0.0492611,0.0668414,0.511029,0.126374,0.124183,0.78,0.0484496,0.176707,0,0,0,0,
1668523101066,0.100402,0.0324826,0.839858,0.126168,0.017316,0.178707,0.0517241,0.0668414,0.511029,0.126374,0.124183,0.78,0.0484496,0.174699,0,0,0,0,
1668523101166,0.100402,0.0324826,0.843416,0.124611,0.017316,0.179975,0.0517241,0.0668414,0.514706,0.124542,0.124183,0.778,0.0484496,0.174699,0,0,0,0,
1668523101266,0.100402,0.0324826,0.839858,0.126168,0.017316,0.179975,0.0517241,0.0668414,0.511029,0.126374,0.124183,0.78,0.0484496,0.176707,0,0,0,0,
1668523101366,0.100402,0.0313225,0.829181,0.127726,0.020202,0.181242,0.0492611,0.0668414,0.518382,0.126374,0.122549,0.78,0.0484496,0.174699,0,0,0,0,
1668523101466,0.0943775,0.0301624,0.822064,0.126168,0.025974,0.196451,0.0492611,0.0655308,0.518382,0.124542,0.117647,0.768,0.0465116,0.172691,0,0,0,0,
1668523101566,0.124498,0.025522,0.868327,0.127726,0.037518,0.223067,0.0566502,0.0747051,0.551471,0.111722,0.124183,0.724,0.0436046,0.174699,0,0,0,0,
1668523101667,0.134538,0.025522,0.843416,0.143302,0.044733,0.215463,0.0689655,0.0917431,0.5625,0.115385,0.142157,0.71,0.0532946,0.287149,0,0,0,0,
1668523101767,0.130522,0.0243619,0.846975,0.140187,0.0634921,0.185044,0.0665025,0.0891219,0.588235,0.120879,0.158497,0.724,0.0474806,0.34739,0,0,0,0,
1668523101867,0.0923695,0.0290023,0.843416,0.11215,0.0851371,0.141952,0.044335,0.0917431,0.569853,0.128205,0.168301,0.714,0.0358527,0.359438,0,0,0,0,
1668523101967,0.0220884,0.0324826,0.829181,0.0903427,0.119769,0.186312,0.0369458,0.111402,0.632353,0.17033,0.178105,0.718,0.0261628,0.415663,0,0,0,0,
1668523102067,0,0.0348028,0.846975,0.0903427,0.147186,0.273764,0.0344828,0.14941,0.672794,0.184982,0.214052,0.74,0.0242248,0.473896,0,0,0,0,
1668523102167,0,0.0359629,0.886121,0.0903427,0.180375,0.371356,0.0369458,0.201835,0.716912,0.199634,0.261438,0.762,0.0251938,0.5,0,0,0,0,
1668523102268,0,0.037123,0.950178,0.0965732,0.197691,0.466413,0.0492611,0.199214,0.761029,0.214286,0.245098,0.776,0.0184109,0.495984,0,0,0,0,
1668523102368,0.00196464,0.0359629,0.957295,0.119938,0.23088,0.514575,0.0886699,0.222805,0.724265,0.258242,0.227124,0.798,0.0251938,0.495984,0,0,0,0,
1668523102468,0.00589391,0.037123,0.960854,0.140187,0.279942,0.520913,0.0985222,0.29882,0.705882,0.285714,0.218954,0.798,0.0310078,0.502008,0,0,0,0,
1668523102568,0.00589391,0.0382831,0.925267,0.135514,0.314574,0.596958,0.0935961,0.309305,0.764706,0.28022,0.181373,0.798,0.0300388,0.46988,0,0,0,0,
1668523102668,0.00785855,0.0382831,0.907473,0.132399,0.417027,0.637516,0.0886699,0.328965,0.838235,0.267399,0.158497,0.788,0.0271318,0.421687,0,0,0,0,
1668523102769,0.00982318,0.0406032,0.86121,0.140187,0.468975,0.673004,0.0960591,0.332896,0.897059,0.271062,0.114379,0.764,0.0319767,0.359438,0,0,0,0,
1668523102869,0.0117878,0.0464037,0.86121,0.143302,0.356421,0.82256,0.103448,0.294889,0.970588,0.265568,0.0898693,0.748,0.0329457,0.309237,0,0,0,0,
1668523102969,0.00785855,0.0440835,0.875445,0.17757,0.330447,0.766793,0.125616,0.256881,0.992647,0.285714,0.0882353,0.722,0.0445736,0.293173,0,0,0,0,
1668523103069,0.00392927,0.0696056,0.886121,0.163551,0.399711,0.718631,0.118227,0.310616,0.779412,0.289377,0.0931373,0.698,0.0542636,0.291165,0,0,0,0,
1668523103169,0.00392927,0.147332,0.886121,0.165109,0.441558,0.712294,0.115764,0.369594,0.716912,0.307692,0.0767974,0.698,0.0717054,0.295181,0,0,0,0,
