timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668785501945,0.0074813,0.00722892,0.527473,0.0448718,0.0268456,0.602067,0.0191304,0.0339213,0.45,0.0628183,0.0955519,0.830986,0.0348718,0,0,0,0,0,
1668785502045,0.0074813,0.00722892,0.527473,0.0448718,0.0268456,0.599483,0.0191304,0.0352782,0.444444,0.0628183,0.0955519,0.834507,0.0348718,0.00134589,0,0,0,0,
1668785502145,0.00997506,0.00722892,0.52381,0.0464744,0.0268456,0.599483,0.0191304,0.0339213,0.444444,0.0628183,0.0955519,0.834507,0.0348718,0,0,0,0,0,
1668785502245,0.00997506,0.00963855,0.52381,0.0464744,0.0268456,0.602067,0.0191304,0.0339213,0.45,0.0628183,0.0955519,0.838028,0.0348718,0.00134589,0,0,0,0,
1668785502345,0.00997506,0.00722892,0.520147,0.0448718,0.0268456,0.602067,0.0191304,0.0339213,0.444444,0.0628183,0.0955519,0.841549,0.0348718,0,0,0,0,0,
1668785502446,0.0074813,0.00963855,0.483516,0.0464744,0.0285235,0.604651,0.0191304,0.0339213,0.45,0.0628183,0.0955519,0.866197,0.0348718,0,0,0,0,0,
1668785502546,0.0174564,0.0120482,0.582418,0.0817308,0.0234899,0.751938,0.0191304,0.0312076,0.5,0.0679117,0.110379,1,0.0266667,0,0,0,0,0,
1668785502646,0.0349127,0.0168675,0.710623,0.099359,0.00167785,0.741602,0.026087,0.0583446,0.588889,0.0797963,0.110379,0.982196,0.0338462,0.00796813,0,0,0,0,
1668785502746,0.0374065,0.00722892,0.824176,0.102564,0,0.816537,0.0295652,0.0895522,0.655556,0.0848896,0.107084,0.667656,0.0287179,0.0239044,0,0,0,0,
1668785502846,0,0,0.974359,0.0657051,0.0116667,1,0.0295652,0.0963365,0.566667,0.0933786,0.0889621,0.382789,0.0297436,0.0305445,0,0,0,0,
1668785502946,0,0,1,0.104167,0.02,1,0.04,0.0949796,0.572222,0.10017,0.0345964,0.563798,0.0502564,0.0810093,0,0,0,0,
1668785503047,0.00246305,0.00236407,1,0.153846,0.0266667,0.889073,0.0869565,0.195387,0.666667,0.17657,0.0609555,0.605341,0.0707692,0.14077,0,0,0,0,
1668785503147,0.0246305,0.0520095,1,0.163462,0.0983333,0.945364,0.113043,0.256445,0.716667,0.247878,0.0609555,0.593472,0.0687179,0.158035,0,0,0,0,
1668785503247,0.0541872,0.198582,0.981651,0.200321,0.175,1,0.165217,0.301221,1,0.269949,0.0164745,0.560831,0.0861538,0.12749,0,0,0,0,
1668785503347,0.0837438,0.260047,0.996997,0.224359,0.141667,1,0.198261,0.423338,0.57619,0.27674,0.00988468,0.186944,0.0902564,0.126162,0,0,0,0,
1668785503447,0.0985222,0.319149,0.942943,0.240385,0.128333,1,0.212174,0.401628,0.780952,0.258065,0.151565,0.10089,0.0841026,0.128818,0,0,0,0,
1668785503548,0.0985222,0.36643,0.906907,0.25,0.12,0.997419,0.212174,0.400271,0.838095,0.24618,0.227348,0.0385757,0.0841026,0.132802,0,0,0,0,
1668785503648,0.0960591,0.380615,0.906907,0.241987,0.121667,0.984516,0.196522,0.415197,0.795238,0.222411,0.261944,0,0.0851282,0.138114,0,0,0,0,
1668785503748,0.0935961,0.385343,0.897898,0.246795,0.11,0.96,0.203478,0.398915,0.685714,0.256367,0.0939045,0,0.0830769,0.13413,0,0,0,0,
1668785503848,0.100985,0.380615,0.903904,0.246795,0.0883333,0.925161,0.231304,0.287653,0.942857,0.302207,0,0.0681818,0.104615,0.131474,0,0,0,0,
1668785503948,0.100985,0.385343,0.903904,0.245192,0.0783333,0.92,0.241739,0.208955,1,0.303905,0.00324675,0.127841,0.0964103,0.150066,0,0,0,0,
1668785504049,0.0985222,0.408983,0.948949,0.214744,0.0783333,0.872258,0.193043,0.185889,0.991489,0.302207,0.0633117,0.326705,0.0523077,0.266932,0,0,0,0,
1668785504149,0.0960591,0.425532,0.987988,0.190705,0.0883333,0.809032,0.13913,0.242877,0.825532,0.285229,0.13961,0.375,0.0287179,0.309429,0,0,0,0,
1668785504249,0.100985,0.444444,1,0.165064,0.1,0.705806,0.123478,0.24152,0.634043,0.275042,0.24513,0.3125,0.00615385,0.310757,0,0,0,0,
1668785504349,0.125616,0.451537,0.971264,0.185897,0.123333,0.925161,0.142609,0.112619,0.804255,0.322581,0.199675,0.411932,0,0.286853,0,0,0,0,
1668785504449,0.125616,0.420804,1,0.177885,0.126667,0.649032,0.186087,0.145183,0.761702,0.385399,0.118506,0.363636,0.00408998,0.232404,0,0,0,0,
1668785504550,0.128079,0.382979,1,0.179487,0.113333,0.663226,0.227826,0.130258,0.778723,0.427844,0.0698052,0.326705,0.00920245,0.168659,0,0,0,0,
1668785504650,0.135468,0.368794,1,0.176282,0.111667,0.665806,0.241739,0.132972,0.778723,0.444822,0.0633117,0.340909,0.0143149,0.150066,0,0,0,0,
1668785504750,0.130542,0.378251,0.98916,0.176282,0.108333,0.672258,0.252174,0.128901,0.791489,0.463497,0.0616883,0.357955,0.0163599,0.156707,0,0,0,0,
1668785504850,0.125616,0.382979,0.98916,0.169872,0.106667,0.64129,0.24,0.135685,0.740426,0.458404,0.0665584,0.360795,0.0173824,0.148738,0,0,0,0,
1668785504950,0.125616,0.390071,0.98645,0.165064,0.111667,0.609032,0.233043,0.137042,0.697872,0.466893,0.0665584,0.366477,0.0214724,0.144754,0,0,0,0,
1668785505051,0.125616,0.390071,0.99187,0.158654,0.12,0.602581,0.213913,0.132972,0.668085,0.455008,0.0665584,0.392045,0.0184049,0.155378,0,0,0,0,
1668785505151,0.125616,0.390071,0.97832,0.163462,0.118333,0.623226,0.21913,0.135685,0.689362,0.455008,0.0681818,0.392045,0.0194274,0.156707,0,0,0,0,
1668785505251,0.128079,0.387707,0.98916,0.166667,0.118333,0.630968,0.226087,0.137042,0.697872,0.451613,0.0665584,0.397727,0.0224949,0.155378,0,0,0,0,
1668785505351,0.128079,0.382979,0.99187,0.163462,0.12,0.629677,0.227826,0.139756,0.685106,0.456706,0.0665584,0.394886,0.0235174,0.151394,0,0,0,0,
