timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668785205475,0.00621118,0.00828157,0.770968,0.0111421,0.0378788,0.774373,0.0181159,0.0613333,0.952096,0.0254669,0.056338,0.647887,0.053271,0.0208062,0,0,0,0,
1668785205575,0.00621118,0.010352,0.774194,0.0111421,0.0393939,0.774373,0.0181159,0.0613333,0.946108,0.0254669,0.056338,0.647887,0.053271,0.0208062,0,0,0,0,
1668785205675,0.00621118,0.00828157,0.777419,0.0139276,0.0393939,0.774373,0.0163043,0.0626667,0.952096,0.0254669,0.056338,0.647887,0.0542056,0.0208062,0,0,0,0,
1668785205776,0.00621118,0.00828157,0.774194,0.0111421,0.0378788,0.774373,0.0181159,0.0613333,0.946108,0.0254669,0.056338,0.647887,0.0523364,0.0195059,0,0,0,0,
1668785205876,0.00621118,0.00828157,0.774194,0.0111421,0.0378788,0.771588,0.0163043,0.0613333,0.952096,0.0254669,0.0547731,0.651408,0.0523364,0.0195059,0,0,0,0,
1668785205976,0.00621118,0.00828157,0.774194,0.0125348,0.0378788,0.774373,0.0163043,0.0613333,0.952096,0.0254669,0.056338,0.647887,0.053271,0.0208062,0,0,0,0,
1668785206076,0.00621118,0.00828157,0.774194,0.0139276,0.0378788,0.777159,0.0163043,0.0613333,0.952096,0.0254669,0.056338,0.647887,0.053271,0.0195059,0,0,0,0,
1668785206176,0.00414079,0.00828157,0.770968,0.0111421,0.0393939,0.777159,0.0163043,0.0613333,0.946108,0.0254669,0.056338,0.647887,0.0523364,0.0195059,0,0,0,0,
1668785206277,0.00621118,0.010352,0.764516,0.0125348,0.0409091,0.78273,0.0181159,0.0626667,0.958084,0.0271647,0.0547731,0.647887,0.0523364,0.0195059,0,0,0,0,
1668785206377,0.00414079,0.00828157,0.76129,0.0139276,0.0409091,0.802228,0.0163043,0.0613333,0.94012,0.0271647,0.0547731,0.647887,0.0523364,0.0195059,0,0,0,0,
1668785206477,0.00207039,0.00414079,0.841935,0.0362117,0.0409091,0.793872,0.00905797,0.0546667,0.808383,0.0152801,0.0547731,0.619718,0.0457944,0.0169051,0,0,0,0,
1668785206577,0.0207039,0,0.8,0.0654596,0.0439394,0.871866,0.00724638,0.048,0.712575,0.00339559,0.0610329,0.5,0.0383178,0.0117035,0,0,0,0,
1668785206677,0.0227743,0.00414079,0.854839,0.0807799,0.0409091,0.816156,0.00905797,0.0626667,0.694611,0.0101868,0.0610329,0.507042,0.0439252,0.0117035,0,0,0,0,
1668785206778,0.0310559,0.0186335,0.980645,0.100279,0.0363636,0.777159,0.0144928,0.0866667,0.670659,0.0203735,0.056338,0.496479,0.0514019,0.0156047,0,0,0,0,
1668785206878,0.0559006,0.0351967,1,0.116992,0.0363636,0.768802,0.0289855,0.116,0.670659,0.0441426,0.0438185,0.492958,0.0747664,0.0598179,0,0,0,0,
1668785206978,0.0434783,0.10559,1,0.114206,0.0363636,0.816156,0.0307971,0.133333,0.682635,0.0475382,0.0485133,0.443662,0.0869159,0.104031,0,0,0,0,
1668785207078,0.010352,0.0890269,0.997403,0.091922,0.0469697,0.832869,0.0199275,0.129333,0.562874,0.0305603,0.0453834,0.309859,0.0943925,0.114434,0,0,0,0,
1668785207179,0.00621118,0.0807453,1,0.0905292,0.05,0.777159,0.0289855,0.141333,0.568862,0.0543294,0.103286,0.450704,0.146729,0.213264,0,0,0,0,
1668785207279,0.010352,0.0807453,1,0.0849582,0.154545,0.437326,0.0217391,0.437333,0.51497,0.0560272,0.330203,0.485915,0.151402,0.343303,0,0,0,0,
1668785207379,0.00828157,0.0828157,0.976987,0.0877437,0.422727,0.278552,0.0199275,0.572,0.508982,0.00848896,0.471049,0.299296,0.0962617,0.396619,0,0,0,0,
1668785207479,0,0.10352,1,0.0933148,0.509091,0.284123,0.0217391,0.614667,0.700599,0,0.521127,0.278169,0.0560748,0.443433,0,0,0,0,
1668785207580,0.018595,0.128364,1,0.101671,0.513636,0.370474,0.0271739,0.637333,0.598802,0,0.586854,0.176056,0.0392523,0.559168,0,0,0,0,
1668785207680,0.0206612,0.120083,1,0.100279,0.515152,0.381616,0.0253623,0.64,0.664671,0,0.622848,0.204225,0.0308411,0.630689,0,0,0,0,
1668785207780,0.0268595,0.122153,0.9783,0.0961003,0.518182,0.381616,0.0235507,0.64,0.670659,0,0.625978,0.211268,0.0280374,0.63459,0,0,0,0,
1668785207880,0.0247934,0.128364,0.942134,0.0947075,0.518182,0.373259,0.0235507,0.64,0.676647,0,0.625978,0.214789,0.0261682,0.643693,0,0,0,0,
1668785207980,0.0247934,0.130435,0.920434,0.0947075,0.519697,0.373259,0.0253623,0.638667,0.688623,0.00163399,0.625978,0.21831,0.0252336,0.652796,0,0,0,0,
1668785208081,0.0247934,0.132505,0.900542,0.0947075,0.519697,0.373259,0.0253623,0.638667,0.694611,0.00490196,0.627543,0.21831,0.0242991,0.663199,0,0,0,0,
1668785208181,0.0268595,0.132505,0.893309,0.0933148,0.519697,0.370474,0.0235507,0.638667,0.682635,0.00326797,0.627543,0.214789,0.0242991,0.659298,0,0,0,0,
1668785208281,0.0268595,0.130435,0.889693,0.0933148,0.521212,0.367688,0.0235507,0.64,0.676647,0.00326797,0.627543,0.214789,0.0233645,0.655397,0,0,0,0,
1668785208381,0.0247934,0.126294,0.889693,0.0933148,0.521212,0.362117,0.0235507,0.638667,0.658683,0.00326797,0.627543,0.21831,0.0233645,0.642393,0,0,0,0,
1668785208482,0.0268595,0.126294,0.886076,0.0933148,0.522727,0.373259,0.0253623,0.64,0.682635,0.00490196,0.630673,0.232394,0.0242991,0.655397,0,0,0,0,
1668785208582,0.0289256,0.126294,0.891501,0.0933148,0.522727,0.373259,0.0253623,0.64,0.676647,0.00490196,0.632238,0.228873,0.0242991,0.659298,0,0,0,0,
1668785208682,0.0289256,0.128364,0.904159,0.0933148,0.522727,0.373259,0.0253623,0.641333,0.682635,0.00490196,0.636933,0.225352,0.0233645,0.668401,0,0,0,0,
1668785208782,0.0268595,0.128364,0.913201,0.0905292,0.522727,0.367688,0.0253623,0.641333,0.682635,0.00163399,0.638498,0.225352,0.0224299,0.678804,0,0,0,0,
1668785208882,0.0268595,0.134576,0.916817,0.0905292,0.525758,0.367688,0.0253623,0.642667,0.688623,0.00163399,0.641628,0.221831,0.0205607,0.676203,0,0,0,0,
1668785208983,0.0289256,0.134576,0.893309,0.0877437,0.528788,0.364902,0.0253623,0.645333,0.694611,0.00163399,0.644757,0.21831,0.0214953,0.676203,0,0,0,0,
1668785209083,0.018595,0.134576,0.810127,0.0752089,0.537879,0.356546,0.0199275,0.652,0.646707,0,0.657277,0.204225,0.0233645,0.647594,0,0,0,0,
1668785209183,0.00413223,0.0973085,0.790235,0.0724234,0.509091,0.415042,0.0163043,0.652,0.443114,0.0032,0.621283,0.165493,0.028972,0.507152,0,0,0,0,
1668785209283,0.00206186,0.0952381,0.582278,0.0250696,0.172727,0.660167,0.00905797,0.281333,0.39521,0.0304,0.195618,0,0.0588785,0.227568,0,0,0,0,
1668785209384,0.014433,0.0973085,0.385172,0.0194986,0.128788,0.718663,0.00905797,0.168,0.401198,0.0432,0.101721,0.0360656,0.0672897,0.130039,0,0,0,0,
1668785209484,0.0103093,0.0993789,0.345389,0.0236769,0.127273,0.754875,0.00905797,0.162667,0.538922,0.0544,0.0938967,0.111475,0.0635514,0.119636,0,0,0,0,
1668785209584,0.0123711,0.0952381,0.35443,0.0306407,0.128788,0.802228,0.00905797,0.161333,0.598802,0.0592,0.0892019,0.180328,0.0579439,0.115735,0,0,0,0,
1668785209684,0.0123711,0.0910973,0.403255,0.0417827,0.127273,0.791086,0.00905797,0.16,0.628743,0.056,0.084507,0.255738,0.0523364,0.113134,0,0,0,0,
1668785209784,0.0103093,0.0890269,0.439421,0.0584958,0.130303,0.718663,0.00905797,0.162667,0.610778,0.0528,0.0813771,0.301639,0.0457944,0.110533,0,0,0,0,
1668785209885,0.0103093,0.0910973,0.457505,0.0557103,0.124242,0.696379,0.00724638,0.162667,0.676647,0.048,0.0829421,0.367213,0.0383178,0.0988296,0,0,0,0,
1668785209985,0.00824742,0.0931677,0.446655,0.0487465,0.10303,0.696379,0.00543478,0.152,0.676647,0.0448,0.0813771,0.393443,0.0336449,0.0806242,0,0,0,0,
1668785210085,0.00412371,0.0973085,0.415913,0.0417827,0.0666667,0.727019,0.00362319,0.12,0.736527,0.0416,0.0798122,0.514754,0.035514,0.0715215,0,0,0,0,
1668785210186,0.00412371,0.0496894,0.361664,0.0278552,0.0590909,0.746518,0.00724638,0.088,0.802395,0.048,0.0798122,0.583607,0.0364486,0.0689207,0,0,0,0,
1668785210286,0.00412371,0.0455487,0.363472,0.0111421,0.0636364,0.788301,0.0199275,0.0773333,0.988024,0.0624,0.0594679,0.740984,0.0429907,0.0650195,0,0,0,0,
1668785210386,0.00824742,0.0455487,0.361664,0.00696379,0.0575758,0.821727,0.0235507,0.072,1,0.0672,0.0532081,0.737705,0.0457944,0.0624187,0,0,0,0,
1668785210486,0.00824742,0.047619,0.38698,0.00835655,0.05,0.81337,0.0217391,0.068,0.994595,0.0688,0.0516432,0.72459,0.0485981,0.0624187,0,0,0,0,
1668785210586,0.00824742,0.0455487,0.410488,0.0111421,0.0454545,0.805014,0.0199275,0.0653333,0.994624,0.0688,0.0500782,0.731148,0.0504673,0.0598179,0,0,0,0,
1668785210687,0.00618557,0.0434783,0.424955,0.0125348,0.0439394,0.799443,0.0181159,0.0626667,0.983871,0.0672,0.0500782,0.734426,0.0523364,0.0598179,0,0,0,0,
