timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668785669854,0.0162866,0.0122549,0.268199,0.017331,0.0369181,0.479714,0.0477941,0.0538358,0.617391,0.11883,0.114286,0.831395,0.0409836,0.00128041,0,0,0,0,
1668785669954,0.0162866,0.0122549,0.275862,0.017331,0.0369181,0.477327,0.0459559,0.0524899,0.617391,0.11883,0.114286,0.834302,0.0409836,0.00128041,0,0,0,0,
1668785670054,0.0130293,0.0122549,0.275862,0.0207972,0.035313,0.477327,0.0477941,0.0538358,0.613043,0.11883,0.114286,0.840116,0.0420082,0.00128041,0,0,0,0,
1668785670155,0.0130293,0.0122549,0.275862,0.0242634,0.0369181,0.465394,0.0441176,0.0538358,0.608696,0.11883,0.114286,0.860465,0.0420082,0.00128041,0,0,0,0,
1668785670255,0.0260586,0.00735294,0.421456,0.05026,0.0369181,0.484487,0.0477941,0.0565276,0.530435,0.127971,0.119328,1,0.0327869,0,0,0,0,0,
1668785670355,0.0260586,0,0.789272,0.0866551,0.0288925,0.477327,0.0367647,0.0551817,0.447826,0.102377,0.12605,0.997207,0.0297131,0,0,0,0,0,
1668785670455,0.0390879,0,0.923372,0.17331,0.00963082,0.396181,0.0625,0.0740242,0.478261,0.095064,0.109244,0.899441,0.0420082,0.0189633,0,0,0,0,
1668785670555,0.0521173,0.0146341,0.827586,0.237435,0.0433387,0.408115,0.15625,0.126514,0.556522,0.182815,0.0789916,0.801676,0.0963115,0.0606827,0,0,0,0,
1668785670656,0.0846906,0.0195122,0.670498,0.320624,0.104334,0.398568,0.294118,0.197847,0.586957,0.327239,0.188235,0.684358,0.172131,0.178255,0,0,0,0,
1668785670756,0.136808,0.15122,0.582375,0.303293,0.213483,0.403341,0.299632,0.332436,0.656522,0.351005,0.280672,0.625698,0.147541,0.209861,0,0,0,0,
1668785670856,0.0684039,0.156098,0.781609,0.220104,0.070626,0.527446,0.193015,0.302826,0.7,0.30713,0.184874,0.5,0.0819672,0.158028,0,0,0,0,
1668785670956,0,0.14878,0.908046,0.194107,0.0224719,0.708831,0.158088,0.142665,0.734783,0.23766,0.0739496,0.421788,0.0163934,0.121365,0,0,0,0,
1668785671056,0,0.146341,1,0.187175,0.0321027,0.837709,0.152574,0.115747,0.769565,0.213894,0.0655462,0.416201,0.00204918,0.116308,0,0,0,0,
1668785671157,0.00628931,0.146341,1,0.192374,0.035313,0.990453,0.147059,0.106326,0.813043,0.197441,0.0672269,0.416201,0,0.116308,0,0,0,0,
1668785671257,0.0157233,0.143902,1,0.199307,0.0256822,0.942792,0.159926,0.100942,0.826087,0.215722,0.0638655,0.413408,0.00709939,0.127686,0,0,0,0,
1668785671357,0.0220126,0.146341,1,0.202773,0.0208668,0.949657,0.170956,0.115747,0.856522,0.230347,0.0554622,0.410615,0.0131846,0.135272,0,0,0,0,
1668785671457,0.0408805,0.109756,1,0.216638,0.0160514,0.926773,0.191176,0.125168,0.886957,0.263254,0.0487395,0.418994,0.0294118,0.145386,0,0,0,0,
1668785671558,0.0503145,0.0804878,1,0.246101,0.0192616,0.938215,0.222426,0.123822,0.956522,0.28702,0.0420168,0.416201,0.0517241,0.14665,0,0,0,0,
1668785671658,0.0628931,0.0658537,1,0.265165,0.0176565,0.974828,0.25,0.122476,1,0.297989,0.0336134,0.416201,0.0669371,0.145386,0,0,0,0,
1668785671758,0.0691824,0.0560976,0.997059,0.268631,0.0160514,0.974828,0.259191,0.121131,1,0.30713,0.0285714,0.424581,0.0760649,0.142857,0,0,0,0,
1668785671858,0.0754717,0.0585366,0.997067,0.275563,0.0144462,0.981693,0.266544,0.122476,1,0.316271,0.0268908,0.427374,0.0851927,0.144121,0,0,0,0,
1668785671958,0.0786164,0.0560976,0.98538,0.291161,0.0160514,0.949657,0.275735,0.126514,1,0.329068,0.0235294,0.438547,0.0943205,0.145386,0,0,0,0,
1668785672059,0.072327,0.0853659,0.929825,0.303293,0.0208668,1,0.303309,0.13459,1,0.340037,0.0184874,0.460894,0.114604,0.144121,0,0,0,0,
1668785672159,0.110063,0.217073,0.918129,0.320624,0.0224719,1,0.340074,0.141319,1,0.351005,0.0134454,0.444134,0.126775,0.142857,0,0,0,0,
1668785672259,0.122642,0.278049,0.915205,0.32409,0.0208668,1,0.363971,0.141319,0.996656,0.358318,0.010084,0.435754,0.138945,0.136536,0,0,0,0,
1668785672359,0.122642,0.319512,0.903509,0.322357,0.0224719,1,0.373162,0.139973,0.996656,0.354662,0.00840336,0.413408,0.14503,0.136536,0,0,0,0,
1668785672459,0.125786,0.343902,0.906433,0.317158,0.0208668,1,0.375,0.141319,0.979933,0.352834,0.00840336,0.385475,0.14503,0.147914,0,0,0,0,
1668785672559,0.128931,0.363415,0.909357,0.318891,0.0176565,1,0.367647,0.146703,0.939799,0.349177,0.0117647,0.351955,0.139959,0.147914,0,0,0,0,
1668785672660,0.128931,0.382927,0.906433,0.317158,0.0160514,0.998155,0.356618,0.153432,0.886288,0.340037,0.0201681,0.329609,0.128803,0.147914,0,0,0,0,
1668785672760,0.125786,0.402439,0.894737,0.32409,0.0144462,0.998168,0.345588,0.161507,0.832776,0.330896,0.0268908,0.315642,0.119675,0.14665,0,0,0,0,
1668785672860,0.116352,0.497561,0.877193,0.32409,0.0144462,0.998168,0.332721,0.170929,0.782609,0.325411,0.0420168,0.304469,0.116633,0.147914,0,0,0,0,
1668785672960,0.0974843,0.531707,0.827485,0.327556,0.0160514,0.981685,0.334559,0.183042,0.749164,0.338208,0.0672269,0.335196,0.127789,0.1378,0,0,0,0,
1668785673060,0.0849057,0.560976,0.78655,0.331023,0.0192616,0.967033,0.330882,0.192463,0.729097,0.349177,0.0823529,0.337989,0.133874,0.132743,0,0,0,0,
1668785673161,0.0597484,0.57561,0.75731,0.322357,0.0224719,0.959707,0.306985,0.193809,0.70903,0.347349,0.0823529,0.346369,0.134888,0.131479,0,0,0,0,
1668785673261,0.0471698,0.556098,0.75731,0.308492,0.0208668,0.93956,0.286765,0.195155,0.675585,0.345521,0.0789916,0.346369,0.130832,0.135272,0,0,0,0,
1668785673361,0.0408805,0.543902,0.739766,0.294627,0.024077,0.924908,0.268382,0.197847,0.675585,0.33638,0.0773109,0.363128,0.115619,0.141593,0,0,0,0,
1668785673461,0.0440252,0.526829,0.719298,0.279029,0.0256822,0.904762,0.25,0.197847,0.685619,0.321755,0.0789916,0.416201,0.0862069,0.149178,0,0,0,0,
1668785673562,0.0471698,0.512195,0.707602,0.258232,0.0288925,0.857143,0.224265,0.195155,0.682274,0.305302,0.0689076,0.438547,0.0527383,0.147914,0,0,0,0,
1668785673662,0.0471698,0.5,0.69883,0.239168,0.0304976,0.835165,0.207721,0.192463,0.652174,0.285192,0.0588235,0.421788,0.0456389,0.136536,0,0,0,0,
1668785673762,0.0503145,0.404878,0.684211,0.213172,0.0321027,0.820513,0.189338,0.187079,0.675585,0.26691,0.0352941,0.51676,0.0456389,0.131479,0,0,0,0,
1668785673862,0.0503145,0.343902,0.681287,0.202773,0.0321027,0.807692,0.1875,0.179004,0.692308,0.25777,0.0235294,0.594972,0.0486815,0.134008,0,0,0,0,
1668785673962,0.0503145,0.321951,0.675439,0.202773,0.0304976,0.815018,0.181985,0.177658,0.698997,0.252285,0.0168067,0.606145,0.0476673,0.128951,0,0,0,0,
1668785674062,0.0503145,0.27561,0.681287,0.197574,0.0321027,0.807692,0.172794,0.170929,0.702341,0.246801,0.0117647,0.639665,0.0466531,0.126422,0,0,0,0,
1668785674163,0.0440252,0.219512,0.675439,0.195841,0.0321027,0.822344,0.167279,0.165545,0.722408,0.239488,0.00504202,0.692737,0.0456389,0.120101,0,0,0,0,
1668785674263,0.0408805,0.187805,0.681287,0.199307,0.0321027,0.844322,0.169118,0.162853,0.759197,0.235832,0.00168067,0.768156,0.0496957,0.101138,0,0,0,0,
1668785674363,0.0377358,0.158537,0.687135,0.197574,0.0304976,0.838828,0.172794,0.153432,0.809365,0.239488,0,0.879888,0.0547667,0.091024,0,0,0,0,
1668785674463,0.0377358,0.146341,0.692982,0.194107,0.0288925,0.833333,0.169118,0.152086,0.829431,0.239488,0,0.924581,0.0567951,0.0897598,0,0,0,0,
1668785674564,0.0377358,0.160976,0.684211,0.194107,0.0304976,0.82967,0.170956,0.149394,0.842809,0.241316,0,0.949721,0.0588235,0.091024,0,0,0,0,
1668785674664,0.0377358,0.173171,0.678363,0.176776,0.0321027,0.767399,0.150735,0.141319,0.842809,0.25777,0,1,0.0628803,0.0948167,0,0,0,0,
1668785674764,0.0283019,0.153659,0.669591,0.142114,0.0385233,0.672161,0.110294,0.13459,0.852843,0.255942,0.00825083,1,0.0689655,0.102402,0,0,0,0,
1668785674864,0.0440252,0.0512195,0.760234,0.114385,0.0481541,0.714286,0.0514706,0.0874832,0.765886,0.122486,0.0643564,0.977778,0.0192698,0.117573,0,0,0,0,
1668785674965,0.0691824,0.0292683,0.567251,0.109185,0.0337079,0.818681,0.0367647,0.0659489,0.585284,0.0840951,0.0676568,0.760494,0.00608519,0.11378,0,0,0,0,
1668785675065,0.0974843,0.0195122,0.380117,0.10052,0.0192616,0.556777,0.0275735,0.0632571,0.45485,0.0621572,0.0643564,0.654321,0.0223124,0.116308,0,0,0,0,
1668785675165,0.0880503,0.0439024,0.222222,0.0970537,0.0192616,0.408425,0.0147059,0.0538358,0.394649,0.0457038,0.0610561,0.622222,0.025355,0.106195,0,0,0,0,
1668785675265,0.0660377,0.0560976,0.0760234,0.102253,0.024077,0.369963,0.0110294,0.0484522,0.364549,0.0493601,0.0627063,0.567901,0.0223124,0.0935525,0,0,0,0,
1668785675366,0.0597484,0.0560976,0.0906433,0.0693241,0.0337079,0.404762,0.0183824,0.051144,0.397993,0.0786106,0.0726073,0.533333,0.020284,0.0884956,0,0,0,0,
1668785675466,0.0628931,0.0585366,0.0994152,0.0381282,0.0433387,0.432234,0.0422794,0.0524899,0.404682,0.11883,0.0808581,0.479012,0.0182556,0.0859671,0,0,0,0,
1668785675566,0.0566038,0.0487805,0.0321637,0.0259965,0.0513644,0.412088,0.0422794,0.0430686,0.41806,0.117002,0.0693069,0.614815,0.0233266,0.0948167,0,0,0,0,
1668785675666,0.0408805,0.0487805,0.00584795,0.0207972,0.0481541,0.39011,0.0367647,0.0376851,0.431438,0.100548,0.0561056,0.624691,0.035497,0.0821745,0,0,0,0,
1668785675767,0.0440252,0.0463415,0.0229885,0.0207972,0.0449438,0.40293,0.0404412,0.0376851,0.481605,0.106033,0.0544554,0.622222,0.0375254,0.0783818,0,0,0,0,
1668785675867,0.0440252,0.0439024,0.0373563,0.0190641,0.0449438,0.40293,0.0422794,0.0349933,0.491639,0.111517,0.0528053,0.612346,0.0395538,0.0771176,0,0,0,0,
1668785675967,0.0440252,0.0439024,0.0632184,0.0207972,0.0433387,0.399267,0.0404412,0.0349933,0.498328,0.107861,0.0528053,0.617284,0.040568,0.0758533,0,0,0,0,
1668785676067,0.0408805,0.0414634,0.0804598,0.0190641,0.0401284,0.399267,0.0386029,0.0336474,0.511706,0.109689,0.0528053,0.617284,0.040568,0.0745891,0,0,0,0,
1668785676167,0.0440252,0.0414634,0.112069,0.0207972,0.0417335,0.40293,0.0386029,0.0336474,0.518395,0.106033,0.0511551,0.622222,0.0425963,0.0745891,0,0,0,0,
1668785676268,0.0440252,0.0414634,0.137931,0.0207972,0.0417335,0.404762,0.0367647,0.0309556,0.525084,0.106033,0.049505,0.622222,0.0425963,0.0745891,0,0,0,0,
1668785676368,0.0440252,0.0414634,0.152299,0.0190641,0.0401284,0.404762,0.0386029,0.0309556,0.525084,0.107861,0.049505,0.619753,0.0425963,0.0733249,0,0,0,0,
1668785676468,0.0440252,0.0390244,0.166667,0.0207972,0.0385233,0.401099,0.0349265,0.0296097,0.528428,0.106033,0.0478548,0.617284,0.0436105,0.0720607,0,0,0,0,
1668785676568,0.0471698,0.0414634,0.175287,0.0225303,0.0385233,0.40293,0.0349265,0.0296097,0.531773,0.104205,0.0478548,0.619753,0.0436105,0.0720607,0,0,0,0,
1668785676668,0.0440252,0.0390244,0.175287,0.0225303,0.0369181,0.401099,0.0367647,0.0296097,0.528428,0.106033,0.0478548,0.614815,0.0425963,0.0720607,0,0,0,0,
1668785676769,0.0440252,0.0390244,0.198276,0.0242634,0.035313,0.397436,0.0349265,0.0296097,0.531773,0.106033,0.0478548,0.619753,0.0425963,0.0720607,0,0,0,0,
