timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668785914378,0.0305677,0.0134529,0.815451,0.00320513,0.0757576,0.596825,0.0645161,0.0645586,0.575758,0.107078,0.0841584,0.33494,0.0268657,0.0138191,0,0,0,0,
1668785914478,0.0283843,0.0134529,0.819743,0.00480769,0.0757576,0.596825,0.0663082,0.0645586,0.575758,0.107078,0.0825083,0.337349,0.0268657,0.0138191,0,0,0,0,
1668785914578,0.0283843,0.0134529,0.819743,0.00480769,0.0742424,0.590476,0.062724,0.0645586,0.575758,0.103448,0.0825083,0.356627,0.0268657,0.0138191,0,0,0,0,
1668785914678,0.0283843,0.0134529,0.802575,0.00641026,0.0742424,0.574603,0.0573477,0.0632411,0.570707,0.0980036,0.0825083,0.383133,0.0248756,0.0150754,0,0,0,0,
1668785914779,0.0305677,0.00448431,0.798283,0.0304487,0.0757576,0.638095,0.0376344,0.0566535,0.484848,0.0834846,0.0924092,0.445783,0.0208955,0.0113065,0,0,0,0,
1668785914879,0.0567686,0.00896861,0.961373,0.113782,0.0515152,0.669841,0.0376344,0.0803689,0.5,0.0580762,0.0841584,0.433735,0.0318408,0.0125628,0,0,0,0,
1668785914979,0.0786026,0.0246637,1,0.182692,0.0575758,0.568254,0.130824,0.137022,0.590909,0.132486,0.0643564,0.438554,0.0696517,0.0376884,0,0,0,0,
1668785915079,0.0960699,0.0156951,1,0.278846,0.0893939,0.393651,0.286738,0.200264,0.661616,0.328494,0.130363,0.438554,0.146269,0.110553,0,0,0,0,
1668785915179,0.0895196,0.0919283,1,0.24359,0.107576,0.336508,0.272401,0.246377,0.656566,0.335753,0.181518,0.448193,0.144279,0.165829,0,0,0,0,
1668785915279,0.0218341,0.0941704,1,0.126603,0.0818182,0.6,0.116487,0.247694,0.661616,0.176044,0.207921,0.395181,0.112438,0.221106,0,0,0,0,
1668785915380,0,0.0919283,1,0.137821,0.0530303,0.812698,0.102151,0.239789,0.651515,0.132486,0.19967,0.39759,0.0915423,0.223618,0,0,0,0,
1668785915480,0.00215054,0.0941704,1,0.147436,0.0454545,0.8,0.105735,0.262187,0.681818,0.136116,0.19967,0.412048,0.0885572,0.224874,0,0,0,0,
1668785915580,0.00215054,0.0941704,1,0.166667,0.0454545,0.834921,0.102151,0.277997,0.69697,0.125227,0.194719,0.412048,0.0825871,0.219849,0,0,0,0,
1668785915680,0.00430108,0.0896861,1,0.184295,0.0378788,0.860317,0.109319,0.299078,0.737374,0.143376,0.189769,0.438554,0.0885572,0.221106,0,0,0,0,
1668785915780,0.00645161,0.0807175,0.997579,0.185897,0.0318182,0.809524,0.121864,0.338603,0.80303,0.170599,0.219472,0.472289,0.0925373,0.242462,0,0,0,0,
1668785915881,0.0129032,0.0919283,0.992736,0.192308,0.0318182,0.774603,0.130824,0.382082,0.818182,0.165154,0.242574,0.46747,0.0885572,0.247487,0,0,0,0,
1668785915981,0.0258065,0.073991,0.990338,0.227564,0.0378788,0.825397,0.15233,0.399209,0.853535,0.168784,0.237624,0.438554,0.0865672,0.243719,0,0,0,0,
1668785916081,0.0301075,0.121076,0.968599,0.214744,0.0318182,0.72381,0.166667,0.417655,0.80303,0.185118,0.249175,0.416867,0.0915423,0.242462,0,0,0,0,
1668785916181,0.0301075,0.192825,0.905797,0.224359,0.0242424,0.787302,0.177419,0.450593,0.808081,0.190563,0.244224,0.392771,0.0935323,0.241206,0,0,0,0,
1668785916282,0.027957,0.286996,0.881643,0.258013,0.0287879,0.777778,0.189964,0.495389,0.747475,0.215971,0.245875,0.368675,0.101493,0.244975,0,0,0,0,
1668785916382,0.0236559,0.29148,0.917874,0.299679,0.0363636,0.787302,0.216846,0.505929,0.722222,0.241379,0.226073,0.33494,0.107463,0.226131,0,0,0,0,
1668785916482,0.0258065,0.318386,0.898551,0.309295,0.0424242,0.793651,0.234767,0.500659,0.732323,0.250454,0.214521,0.301205,0.110448,0.202261,0,0,0,0,
1668785916582,0.0322581,0.325112,0.903382,0.296474,0.0469697,0.768254,0.229391,0.501976,0.69697,0.246824,0.219472,0.279518,0.101493,0.198492,0,0,0,0,
