timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668786089192,0.0268293,0.025641,0.593103,0.0394089,0.0516129,0.600619,0.0564663,0.069241,0.618257,0.0874525,0.0871022,0.730878,0.0249221,0.00678426,0,0,0,0,
1668786089293,0.0219512,0.025641,0.596552,0.0410509,0.05,0.594427,0.0564663,0.0679095,0.614108,0.0874525,0.0854271,0.736544,0.0249221,0.00678426,0,0,0,0,
1668786089393,0.0219512,0.027972,0.603448,0.0410509,0.05,0.575851,0.0564663,0.069241,0.605809,0.0874525,0.0854271,0.745043,0.0249221,0.00542741,0,0,0,0,
1668786089493,0.0170732,0.027972,0.606897,0.044335,0.05,0.560372,0.0510018,0.069241,0.589212,0.0798479,0.0871022,0.767705,0.0238837,0.00407056,0,0,0,0,
1668786089593,0.0195122,0.034965,0.655172,0.0804598,0.0516129,0.708978,0.0382514,0.0665779,0.580913,0.0646388,0.0954774,0.798867,0.0238837,0,0,0,0,0,
1668786089693,0.0707317,0.048951,0.837931,0.175698,0.0274194,0.770898,0.107468,0.139814,0.755187,0.11597,0.0653266,0.872521,0.0674974,0.0201884,0,0,0,0,
1668786089793,0.1,0.174825,0.848276,0.229885,0.0612903,0.736842,0.167577,0.256991,0.755187,0.197719,0.154104,0.770538,0.0986501,0.13459,0,0,0,0,
1668786089894,0.0951219,0.158508,1,0.165846,0.0983871,0.786378,0.134791,0.346205,0.771784,0.163498,0.229481,0.696884,0.0643821,0.20996,0,0,0,0,
1668786089994,0.0463415,0.16317,1,0.141215,0.0935484,1,0.0819672,0.330226,0.892116,0.110266,0.18928,0.640227,0.0259605,0.166891,0,0,0,0,
1668786090094,0,0.158508,1,0.157635,0.0854839,1,0.0637523,0.238349,1,0.0874525,0.120603,0.628895,0,0.119785,0,0,0,0,
1668786090194,0,0.149184,1,0.175698,0.0709677,0.951827,0.0928962,0.194407,0.883534,0.110266,0.0837521,0.628895,0.00205339,0.0794078,0,0,0,0,
1668786090294,0.00239808,0.146853,1,0.175698,0.0693548,0.800664,0.116576,0.201065,0.835341,0.148289,0.0753769,0.677054,0.0102669,0.0699865,0,0,0,0,
1668786090395,0.0143885,0.121212,1,0.178982,0.0677419,0.754153,0.125683,0.203728,0.86747,0.176806,0.080402,0.671388,0.0123203,0.0713324,0,0,0,0,
1668786090495,0.0263789,0.125874,1,0.178982,0.0935484,0.672757,0.17122,0.227696,0.891566,0.21673,0.125628,0.708215,0.0123203,0.139973,0,0,0,0,
1668786090595,0.0359712,0.165501,0.984018,0.18555,0.0967742,0.682724,0.20765,0.262317,0.919679,0.268061,0.159129,0.818697,0.013347,0.238223,0,0,0,0,
1668786090695,0.0503597,0.20979,0.981735,0.198686,0.0790323,0.704319,0.255009,0.256991,1,0.346008,0.0938023,0.886686,0.0277207,0.266487,0,0,0,0,
1668786090795,0.0623501,0.230769,0.986301,0.208539,0.0580645,0.730897,0.331512,0.245007,1,0.393536,0.0737018,0.84136,0.0390144,0.269179,0,0,0,0,
1668786090895,0.0647482,0.247086,0.954338,0.213465,0.0532258,0.755814,0.35337,0.233023,0.996528,0.393536,0.082077,0.810198,0.0379877,0.273217,0,0,0,0,
1668786090996,0.0527578,0.251748,0.936073,0.20197,0.0516129,0.754153,0.32969,0.23036,0.972222,0.39924,0.0871022,0.76204,0.0287474,0.286676,0,0,0,0,
1668786091096,0.0455635,0.237762,0.947489,0.19376,0.0467742,0.729236,0.315118,0.201065,0.947917,0.431559,0.0887772,0.705382,0.0215606,0.296097,0,0,0,0,
1668786091196,0.0431655,0.235431,0.931507,0.20197,0.0354839,0.73588,0.326047,0.182423,0.951389,0.441065,0.100503,0.628895,0.0143737,0.296097,0,0,0,0,
1668786091297,0.0431655,0.2331,0.913242,0.20197,0.0354839,0.745847,0.331512,0.177097,0.954861,0.429658,0.0921273,0.589235,0.0123203,0.292059,0,0,0,0,
1668786091397,0.0455635,0.235431,0.90411,0.18555,0.0370968,0.739203,0.326047,0.170439,0.944444,0.418251,0.0904523,0.580737,0.0112936,0.292059,0,0,0,0,
1668786091497,0.0455635,0.235431,0.890411,0.154351,0.0467742,0.696013,0.302368,0.169108,0.930556,0.410646,0.0887772,0.620397,0.013347,0.292059,0,0,0,0,
1668786091597,0.0455635,0.228438,0.881279,0.137931,0.0758065,0.671096,0.275046,0.155792,0.916667,0.404943,0.0837521,0.668555,0.0112936,0.279946,0,0,0,0,
1668786091697,0.0407674,0.219114,0.899543,0.131363,0.0935484,0.607973,0.247723,0.149134,0.878472,0.361217,0.0653266,0.713881,0.0102669,0.267833,0,0,0,0,
1668786091798,0.0383693,0.207459,0.920091,0.134647,0.0758065,0.54485,0.220401,0.154461,0.819444,0.304182,0.0502513,0.739377,0.0102669,0.247645,0,0,0,0,
1668786091898,0.0407674,0.188811,0.940639,0.139573,0.0516129,0.282392,0.163934,0.266312,0.829861,0.252852,0.0217755,0.78187,0.0102669,0.227456,0,0,0,0,
1668786091998,0.0407674,0.172494,0.936073,0.136289,0.0370968,0.303987,0.17122,0.330226,0.881944,0.271863,0.00335008,0.815864,0.0164271,0.201884,0,0,0,0,
1668786092098,0.0383693,0.160839,0.942922,0.133005,0.0370968,0.33887,0.187614,0.304927,0.944444,0.306084,0,0.835694,0.0256674,0.18035,0,0,0,0,
1668786092198,0.0383693,0.153846,0.936073,0.133005,0.0370968,0.342193,0.193078,0.298269,0.895833,0.306084,0.0116086,0.804533,0.0225873,0.187079,0,0,0,0,
1668786092298,0.0359712,0.151515,0.93379,0.133005,0.0322581,0.340532,0.191257,0.296937,0.920139,0.307985,0.0066335,0.815864,0.0246407,0.189771,0,0,0,0,
1668786092399,0.0359712,0.146853,0.93379,0.133005,0.0322581,0.347176,0.193078,0.287617,0.944444,0.313688,0.00165837,0.824363,0.0297741,0.187079,0,0,0,0,
1668786092499,0.0359712,0.142191,0.940639,0.134647,0.0322581,0.352159,0.191257,0.283622,0.947917,0.31749,0,0.827195,0.0318275,0.183042,0,0,0,0,
1668786092599,0.0359712,0.137529,0.945205,0.133005,0.0322581,0.353821,0.193078,0.279627,0.958333,0.319392,0,0.827195,0.0318275,0.181696,0,0,0,0,
1668786092699,0.0359712,0.125874,0.945205,0.133005,0.0306452,0.360465,0.196721,0.274301,0.96875,0.323194,0,0.82153,0.0349076,0.177658,0,0,0,0,
1668786092799,0.0359712,0.0909091,0.947489,0.134647,0.0322581,0.373754,0.204007,0.266312,0.993056,0.330798,0,0.824363,0.036961,0.18035,0,0,0,0,
1668786092899,0.0407674,0.0652681,0.96347,0.133005,0.0290323,0.380399,0.209472,0.266312,0.982639,0.336502,0,0.8017,0.0318275,0.189771,0,0,0,0,
1668786093000,0.0407674,0.0652681,0.974886,0.134647,0.0258065,0.392027,0.204007,0.241012,0.934028,0.359316,0.00653595,0.645892,0.0338809,0.239569,0,0,0,0,
1668786093100,0.0431655,0.0652681,0.990868,0.131363,0.0274194,0.385382,0.20765,0.20506,0.902778,0.378327,0.0277778,0.580737,0.0297741,0.261104,0,0,0,0,
1668786093200,0.0407674,0.0606061,0.995434,0.131363,0.0290323,0.388704,0.209472,0.189081,0.923611,0.361217,0.0784314,0.535411,0.0277207,0.28533,0,0,0,0,
1668786093300,0.0455635,0.0582751,0.990868,0.129721,0.0274194,0.398671,0.213115,0.18775,0.916667,0.34981,0.129085,0.552408,0.0277207,0.290713,0,0,0,0,
1668786093400,0.0455635,0.0559441,0.993151,0.131363,0.0290323,0.403654,0.220401,0.190413,0.927083,0.34981,0.142157,0.620397,0.0277207,0.288022,0,0,0,0,
1668786093500,0.0503597,0.0536131,0.990868,0.133005,0.0290323,0.42691,0.242259,0.195739,0.944444,0.357414,0.147059,0.711048,0.0318275,0.288022,0,0,0,0,
1668786093601,0.057554,0.0652681,0.995434,0.137931,0.0274194,0.433555,0.251366,0.20506,0.944444,0.351711,0.155229,0.776204,0.0328542,0.286676,0,0,0,0,
1668786093701,0.0671463,0.0979021,0.997717,0.154351,0.0241935,0.44186,0.256831,0.213049,0.961806,0.34981,0.145425,0.824363,0.0318275,0.277254,0,0,0,0,
1668786093801,0.0767386,0.104895,0.993151,0.175698,0.0177419,0.436877,0.251366,0.214381,0.965278,0.340304,0.142157,0.849858,0.0297741,0.263795,0,0,0,0,
1668786093901,0.0791367,0.104895,0.995434,0.180624,0.016129,0.435216,0.245902,0.207723,0.947917,0.325095,0.133987,0.855524,0.023614,0.240915,0,0,0,0,
1668786094001,0.0815348,0.100233,1,0.180624,0.0193548,0.428571,0.242259,0.203728,0.934028,0.309886,0.130719,0.849858,0.0195072,0.23284,0,0,0,0,
1668786094102,0.0839329,0.0955711,1,0.187192,0.0193548,0.421927,0.229508,0.203728,0.895833,0.292776,0.119281,0.849858,0.0154004,0.215343,0,0,0,0,
1668786094202,0.0839329,0.0909091,1,0.192118,0.0258065,0.430233,0.227687,0.191744,0.90625,0.288973,0.0833333,0.844193,0.0215606,0.184388,0,0,0,0,
1668786094302,0.0815348,0.0862471,0.995475,0.195402,0.0258065,0.42691,0.222222,0.193076,0.902778,0.28327,0.0816993,0.844193,0.023614,0.179004,0,0,0,0,
1668786094402,0.0815348,0.0769231,0.979638,0.213465,0.0241935,0.453488,0.218579,0.18775,0.975694,0.275665,0.0604575,0.866856,0.0318275,0.170929,0,0,0,0,
1668786094503,0.0767386,0.0722611,0.957014,0.208539,0.0225806,0.48505,0.200364,0.181092,0.989655,0.245247,0.0473856,0.86119,0.023614,0.164199,0,0,0,0,
1668786094603,0.0671463,0.0536131,0.914027,0.195402,0.0177419,0.493355,0.183971,0.17976,0.934483,0.222433,0.0653595,0.830028,0.0246407,0.181696,0,0,0,0,
1668786094703,0.0311751,0.025641,0.832579,0.167488,0.00322581,0.468439,0.162113,0.182423,0.827586,0.214829,0.0964052,0.804533,0.0451745,0.195155,0,0,0,0,
1668786094803,0.0191847,0.02331,0.794118,0.162562,0.00644122,0.401993,0.145719,0.201065,0.744828,0.195817,0.111111,0.776204,0.0554415,0.191117,0,0,0,0,
1668786094903,0.00959233,0.020979,0.733032,0.154351,0.0225443,0.372093,0.111111,0.202397,0.710345,0.142586,0.107843,0.747875,0.0533881,0.160162,0,0,0,0,
1668786095003,0.0167866,0.032634,0.50905,0.091954,0.041868,0.393688,0.0546448,0.135819,0.610345,0.108365,0.0882353,0.566572,0.0297741,0.0713324,0,0,0,0,
1668786095103,0.0359712,0.032634,0.341629,0.0295567,0.0515298,0.451827,0.0728597,0.0798935,0.558621,0.157795,0.102941,0.535411,0.023614,0.0444145,0,0,0,0,
1668786095204,0.0383693,0.030303,0.190045,0.0180624,0.078905,0.486711,0.0856102,0.0585885,0.706897,0.155894,0.0767974,0.773371,0.0328542,0.0363392,0,0,0,0,
1668786095304,0.0335731,0.030303,0.115385,0.00985222,0.0821256,0.443522,0.0819672,0.0545939,0.67931,0.131179,0.0588235,0.767705,0.0349076,0.0336474,0,0,0,0,
1668786095404,0.0359712,0.030303,0.135747,0.00821018,0.078905,0.460133,0.0856102,0.0519308,0.696552,0.131179,0.0539216,0.759207,0.0379877,0.0363392,0,0,0,0,
1668786095504,0.0335731,0.02331,0.156109,0.00492611,0.0660225,0.446844,0.0837887,0.0492676,0.7,0.131179,0.0522876,0.747875,0.0400411,0.0363392,0,0,0,0,
1668786095604,0.0359712,0.02331,0.190045,0.00656814,0.0628019,0.44186,0.0837887,0.0492676,0.710345,0.13308,0.0522876,0.736544,0.0400411,0.0363392,0,0,0,0,
1668786095704,0.0359712,0.02331,0.210407,0.00821018,0.0628019,0.44186,0.0856102,0.0492676,0.713793,0.138783,0.0522876,0.730878,0.0410678,0.0363392,0,0,0,0,
1668786095805,0.0383693,0.02331,0.214932,0.00821018,0.0611916,0.443522,0.0874317,0.0505992,0.713793,0.140684,0.0522876,0.728045,0.0410678,0.0376851,0,0,0,0,
1668786095905,0.0383693,0.02331,0.230769,0.00656814,0.0628019,0.450166,0.0874317,0.0505992,0.713793,0.140684,0.0506536,0.728045,0.0410678,0.0363392,0,0,0,0,
1668786096005,0.0383693,0.02331,0.246606,0.00985222,0.0692432,0.458472,0.0856102,0.0505992,0.717241,0.138783,0.0506536,0.725212,0.0410678,0.0349933,0,0,0,0,
1668786096105,0.0359712,0.02331,0.260181,0.00985222,0.0676328,0.456811,0.0837887,0.0492676,0.72069,0.136882,0.0490196,0.728045,0.0410678,0.0349933,0,0,0,0,
