timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668689672065,0.0222222,0.0673759,0.616498,0.187097,0.0256881,0.112228,0.0675325,0.146753,0.355049,0.0739796,0.0127273,0.684327,0.0326633,0.108225,0,0,0,0,
1668689672165,0.0296296,0.0673759,0.617945,0.187097,0.0256881,0.112228,0.0675325,0.146753,0.358306,0.0739796,0.0127273,0.684327,0.0351759,0.108225,0,0,0,0,
1668689672265,0.0296296,0.0673759,0.617945,0.193548,0.0256881,0.113903,0.0701299,0.146753,0.358306,0.0739796,0.0145455,0.686534,0.0351759,0.109668,0,0,0,0,
1668689672365,0.0296296,0.0673759,0.617945,0.187097,0.0256881,0.113903,0.0675325,0.146753,0.358306,0.0765306,0.0127273,0.688742,0.0351759,0.109668,0,0,0,0,
1668689672466,0.0296296,0.0673759,0.617945,0.187097,0.0275229,0.113903,0.0701299,0.146753,0.358306,0.0739796,0.0127273,0.686534,0.0351759,0.109668,0,0,0,0,
1668689672566,0.0518519,0.0673759,0.616498,0.174194,0.0366972,0.122278,0.0701299,0.145455,0.358306,0.0688775,0.0109091,0.673289,0.0376884,0.106782,0,0,0,0,
1668689672666,0.140741,0.0638298,0.615051,0.16129,0.0678899,0.423786,0.148052,0.198701,0.42671,0.119898,0.0745455,0.600442,0.0326633,0.147186,0,0,0,0,
1668689672766,0.288889,0.0638298,0.628075,0.129032,0.0642202,0.442211,0.0857143,0.28961,0.488599,0.0943878,0.136364,0.644592,0.040201,0.176046,0,0,0,0,
1668689672866,0.303704,0.0549645,0.675832,0.00636943,0.0825688,0.711893,0.101299,0.231169,0.674267,0.206633,0.0672727,0.600442,0.0502513,0.155844,0,0,0,0,
1668689672966,0.296296,0.0390071,0.746744,0.0509554,0.102752,1,0.148052,0.128571,0.85342,0.339286,0.0327273,0.554084,0.105528,0.134199,0,0,0,0,
1668689673067,0.333333,0.0319149,0.804631,0.101911,0.13578,1,0.0779221,0.0948052,0.846906,0.0969388,0,0.596026,0.0703518,0.0678211,0,0,0,0,
1668689673167,0.377778,0,0.84081,0.133758,0.152294,1,0.0649351,0.0779221,0.814332,0,0,0.686534,0.0477387,0.0591631,0,0,0,0,
1668689673267,0.407407,0,0.855282,0.127389,0.154128,1,0.0675325,0.0623377,0.830619,0,0,0.739514,0.0301508,0.0894661,0,0,0,0,
1668689673367,0.407407,0.0017331,0.852388,0.0955414,0.110092,1,0.0779221,0.0506494,0.80456,0.0167064,0.020979,0.774834,0.0175879,0.154401,0,0,0,0,
1668689673467,0.414815,0.0121317,0.888567,0.140127,0.110092,0.806854,0.0987013,0.24026,0.938111,0.107399,0.152098,0.922737,0.0427136,0.213564,0,0,0,0,
1668689673568,0.42963,0.0207972,0.885673,0.178344,0.209174,0.7892,0.145455,0.303896,0.977199,0.145585,0.181818,0.918322,0.0301508,0.240981,0,0,0,0,
