timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668689495491,0.0357143,0.127223,0.912424,0.212903,0.0860215,0.132208,0.163594,0.291209,0.436975,0.201923,0.236879,0.740659,0.0414634,0.276715,0,0,0,0,
1668689495592,0.0357143,0.128591,0.912424,0.212903,0.0860215,0.133615,0.163594,0.291209,0.436975,0.201923,0.236879,0.740659,0.0439024,0.276715,0,0,0,0,
1668689495692,0.0357143,0.127223,0.912424,0.212903,0.0860215,0.132208,0.163594,0.291209,0.436975,0.199519,0.236879,0.740659,0.0414634,0.276715,0,0,0,0,
1668689495792,0.0357143,0.127223,0.910387,0.212903,0.0842294,0.133615,0.163594,0.29011,0.436975,0.199519,0.236879,0.740659,0.0414634,0.276715,0,0,0,0,
1668689495892,0.0357143,0.127223,0.910387,0.206452,0.0842294,0.133615,0.163594,0.29011,0.436975,0.199519,0.236879,0.738462,0.0414634,0.275591,0,0,0,0,
1668689495992,0.0357143,0.127223,0.90224,0.2,0.0878136,0.136428,0.163594,0.291209,0.432773,0.204327,0.235461,0.712088,0.0414634,0.275591,0,0,0,0,
1668689496092,0.0625,0.127223,0.89002,0.167742,0.111111,0.172996,0.172811,0.293407,0.352941,0.192308,0.22695,0.597802,0.0341463,0.274466,0,0,0,0,
1668689496193,0.0982143,0.128591,0.892057,0.193548,0.111111,0.209564,0.193548,0.307692,0.378151,0.197115,0.242553,0.6,0.0390244,0.285714,0,0,0,0,
1668689496293,0.125,0.129959,0.90224,0.212903,0.111111,0.218003,0.200461,0.326374,0.378151,0.199519,0.249645,0.604396,0.0414634,0.289089,0,0,0,0,
1668689496393,0.125,0.127223,0.918534,0.193548,0.112903,0.225035,0.186636,0.32967,0.37395,0.192308,0.249645,0.597802,0.0439024,0.285714,0,0,0,0,
1668689496493,0.142857,0.119015,0.959267,0.129032,0.129032,0.230661,0.135945,0.335165,0.37395,0.170673,0.248227,0.47033,0.0341463,0.271091,0,0,0,0,
1668689496593,0.125,0.0984952,0.96334,0.0967742,0.137993,0.0590717,0.103687,0.312088,0.210084,0.100962,0.243972,0.191209,0.0243902,0.1991,0,0,0,0,
1668689496694,0.142857,0.0930233,0.967413,0.0967742,0.139785,0.0590717,0.0921659,0.287912,0.0630252,0.0288462,0.229787,0.010989,0.0170732,0.178853,0,0,0,0,
1668689496794,0.142857,0.0902873,0.979633,0.0967742,0.139785,0.0675105,0.101382,0.302198,0.012605,0.0504808,0.241135,0,0.0536585,0.219348,0,0,0,0,
1668689496894,0.196429,0.0875513,0.967413,0.109677,0.34767,0.154712,0.126728,0.468132,0.00829876,0.149038,0.480851,0,0.168293,0.316085,0,0,0,0,
1668689496994,0.1875,0.0766074,0.971487,0.109677,0.473118,0.275668,0.138249,0.586813,0.0248963,0.180288,0.608511,0,0.14878,0.353206,0,0,0,0,
1668689497094,0.214286,0.0670315,1,0.103226,0.539427,0.433193,0.14977,0.646154,0.211618,0.146635,0.622695,0.0487365,0.1,0.379078,0,0,0,0,
1668689497195,0.196429,0.0601915,0.996248,0.109677,0.516129,0.410689,0.140553,0.653846,0.190871,0.134615,0.625532,0.064982,0.0878049,0.392576,0,0,0,0,
1668689497295,0.205357,0.0711354,0.964353,0.116129,0.505376,0.360056,0.142857,0.646154,0.190871,0.153846,0.61844,0.0830325,0.121951,0.386952,0,0,0,0,
1668689497395,0.214286,0.0848153,0.93621,0.116129,0.456989,0.323488,0.14977,0.626374,0.19917,0.173077,0.611347,0.108303,0.146341,0.382452,0,0,0,0,
